2,Ferrari 488 GTE,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.551706
258.584900,1.551808
257.586182,1.551962
256.587372,1.550824
255.555344,1.546047
254.556549,1.541269
253.557785,1.536323
252.525742,1.531157
251.526947,1.525986
250.528183,1.520923
249.496140,1.515458
248.497330,1.509943
247.498581,1.504222
246.466522,1.498054
245.467773,1.491994
244.468964,1.485861
243.436951,1.479528
242.438156,1.473445
241.439392,1.467327
240.407318,1.461014
239.408585,1.454896
238.409760,1.448850
237.377716,1.442500
236.378922,1.436400
235.380157,1.430375
234.348114,1.424021
233.349335,1.417987
232.350586,1.411792
231.318527,1.404863
230.319733,1.397917
229.320969,1.390714
228.288895,1.383215
227.290115,1.376785
226.291382,1.370529
225.259277,1.364180
224.260529,1.358101
223.261749,1.353346
222.229706,1.348019
221.230927,1.341832
220.232147,1.335752
219.200073,1.329407
218.201324,1.322378
217.202515,1.316970
216.170486,1.310464
215.171677,1.303903
214.172928,1.298115
213.140839,1.291575
212.142090,1.285534
211.143280,1.279136
210.111252,1.272904
209.112442,1.267012
208.113693,1.260778
207.081604,1.254276
206.082840,1.248296
205.050766,1.242040
204.052017,1.235693
203.053238,1.229671
202.021164,1.223317
201.022385,1.217629
200.023605,1.211510
198.991516,1.205096
197.992783,1.198963
196.994003,1.192631
195.961929,1.186475
194.963150,1.180375
193.964371,1.174159
192.932281,1.167842
191.933533,1.161902
190.934753,1.155690
189.902695,1.149326
188.903946,1.143121
187.905136,1.137181
186.873108,1.130727
185.874298,1.124629
184.875549,1.118663
183.843445,1.112123
182.844696,1.106097
181.845901,1.100151
180.813843,1.093639
179.815063,1.087505
178.816269,1.081571
177.784180,1.075044
176.785431,1.069257
175.786636,1.063270
174.754608,1.056641
173.755783,1.050535
172.757034,1.044502
171.724945,1.038579
170.726196,1.032181
169.727371,1.025909
168.695328,1.019670
167.696548,1.013898
166.697769,1.007500
165.665665,1.001290
164.666916,0.995476
163.668106,0.989086
162.636078,0.982685
161.637283,0.976797
160.638535,0.970855
159.606430,0.964237
158.607651,0.958303
157.608841,0.951963
156.576813,0.945776
155.578003,0.939810
154.545944,0.933358
153.547165,0.927571
152.548386,0.921244
151.516296,0.914827
150.517532,0.908673
149.518738,0.902558
148.486664,0.896557
147.487885,0.890348
146.489105,0.884071
145.457016,0.877785
144.458267,0.871709
143.459503,0.865617
142.427399,0.859374
141.428650,0.853187
140.429840,0.847277
139.397781,0.840750
138.399002,0.834636
137.400223,0.828821
136.368118,0.822615
135.369385,0.816303
134.370560,0.810093
133.338501,0.803833
132.339691,0.797962
131.340958,0.791681
130.308853,0.785300
129.310074,0.779264
128.311264,0.773160
127.279228,0.767127
126.280426,0.760936
125.281647,0.754678
124.249550,0.748299
123.250801,0.742687
122.251991,0.736119
121.219940,0.729870
120.221115,0.723789
119.222366,0.717726
118.190239,0.711380
117.191505,0.705229
116.192688,0.699248
115.160629,0.692935
114.161819,0.686732
113.163063,0.680833
112.130974,0.674429
111.132202,0.668373
110.133385,0.662588
109.101326,0.656160
108.102509,0.649920
107.103767,0.643984
106.071671,0.637516
105.072891,0.631420
104.074081,0.625310
103.042015,0.619298
102.043213,0.613099
101.011185,0.606558
100.012398,0.600554
99.013596,0.594441
97.981529,0.588201
96.982719,0.582121
95.983971,0.576235
94.951881,0.569825
93.953102,0.564009
92.954285,0.557674
91.922226,0.551502
90.923409,0.545122
89.924667,0.539031
88.892548,0.532711
87.893791,0.526591
86.894981,0.520628
85.862923,0.514238
84.864113,0.508226
83.865334,0.502021
82.833237,0.495891
81.834457,0.489782
80.835648,0.483561
79.803581,0.477354
78.804771,0.471286
77.806030,0.465133
76.773903,0.458955
75.775154,0.452883
74.776337,0.446678
73.744286,0.440381
72.745476,0.434287
71.746696,0.428189
70.714600,0.421943
69.715820,0.415882
68.717003,0.409845
67.684944,0.403611
66.686142,0.397577
65.687355,0.391381
64.655266,0.385255
63.656487,0.378996
62.657673,0.373219
61.625610,0.366641
60.626797,0.360629
59.628021,0.354464
58.595932,0.348534
57.597145,0.342005
56.598400,0.336249
55.566277,0.329846
54.567528,0.323876
53.568687,0.317460
52.536625,0.311386
51.537811,0.305138
50.505753,0.299154
49.506939,0.293150
48.508160,0.287065
47.476070,0.280757
46.477287,0.274302
45.478477,0.268652
44.446415,0.262060
