2,Ferrari 499P,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.989345
271.735382,1.989476
270.736603,1.990032
269.704529,1.988167
268.705780,1.980815
267.707001,1.973663
266.674927,1.966315
265.676178,1.890331
264.677399,1.888441
263.645355,1.881838
262.646576,1.874912
261.647827,1.876727
260.615753,1.868948
259.617004,1.862202
258.584900,1.855073
257.586182,1.848292
256.587372,1.841531
255.555344,1.827101
254.556549,1.819956
253.557785,1.813107
252.525742,1.805988
251.526947,1.823838
250.528183,1.848323
249.496140,1.840004
248.497330,1.832742
247.498581,1.825144
246.466522,1.817471
245.467773,1.809975
244.468964,1.802326
243.436951,1.794647
242.438156,1.787014
241.439392,1.779532
240.407318,1.769823
239.408585,1.759791
238.409760,1.751903
237.377716,1.744168
236.378922,1.736655
235.380157,1.729491
234.348114,1.722096
233.349335,1.715012
232.350586,1.707878
231.318527,1.700461
230.319733,1.693347
229.320969,1.686160
228.288895,1.678751
227.290115,1.671377
226.291382,1.663777
225.259277,1.656090
224.260529,1.648529
223.261749,1.640706
222.229706,1.632520
221.230927,1.624568
220.232147,1.616737
219.200073,1.608979
218.201324,1.601587
217.202515,1.593925
216.170486,1.586521
215.171677,1.579228
214.172928,1.571751
213.140839,1.563916
212.142090,1.556416
211.143280,1.548726
210.111252,1.541048
209.112442,1.533642
208.113693,1.526150
207.081604,1.518292
206.082840,1.510891
205.050766,1.503051
204.052017,1.495689
203.053238,1.488191
202.021164,1.480370
201.022385,1.472928
200.023605,1.465509
198.991516,1.457841
197.992783,1.450339
196.994003,1.442893
195.961929,1.435103
194.963150,1.427711
193.964371,1.420289
192.932281,1.412415
191.933533,1.405098
190.934753,1.397597
189.902695,1.389797
188.903946,1.382528
187.905136,1.374958
186.873108,1.367184
185.874298,1.359827
184.875549,1.352431
183.843445,1.344605
182.844696,1.337185
181.845901,1.329854
180.813843,1.322214
179.815063,1.314611
178.816269,1.307271
177.784180,1.299578
176.785431,1.292225
175.786636,1.284828
174.754608,1.277013
173.755783,1.269664
172.757034,1.262229
171.724945,1.254600
170.726196,1.247057
169.727371,1.239694
168.695328,1.232014
167.696548,1.224698
166.697769,1.217121
165.665665,1.209558
164.666916,1.202163
163.668106,1.194654
162.636078,1.186994
161.637283,1.179565
160.638535,1.172264
159.606430,1.164553
158.607651,1.157219
157.608841,1.149850
156.576813,1.142061
155.578003,1.134800
154.545944,1.127036
153.547165,1.119693
152.548386,1.112232
151.516296,1.104763
150.517532,1.097344
149.518738,1.089954
148.486664,1.082217
147.487885,1.075026
146.489105,1.067460
145.457016,1.059863
144.458267,1.052485
143.459503,1.045056
142.427399,1.037374
141.428650,1.030119
140.429840,1.022697
139.397781,1.015088
138.399002,1.007703
137.400223,1.000288
136.368118,0.992674
135.369385,0.985575
134.370560,0.978020
133.338501,0.970348
132.339691,0.963076
131.340958,0.955672
130.308853,0.947995
129.310074,0.940680
128.311264,0.933346
127.279228,0.925759
126.280426,0.918297
125.281647,0.911047
124.249550,0.903357
123.250801,0.896036
122.251991,0.888630
121.219940,0.881103
120.221115,0.873765
119.222366,0.866419
118.190239,0.858814
117.191505,0.851427
116.192688,0.844200
115.160629,0.836471
114.161819,0.829236
113.163063,0.821872
112.130974,0.814325
111.132202,0.806892
110.133385,0.799597
109.101326,0.791954
108.102509,0.784688
107.103767,0.777308
106.071671,0.769697
105.072891,0.762584
104.074081,0.755129
103.042015,0.747521
102.043213,0.740222
101.011185,0.732526
100.012398,0.725316
99.013596,0.717981
97.981529,0.710405
