2,Ford F150,chicago
Steering Wheel Angle,Yaw Rate
366.684296,2.820439
365.685516,2.858631
364.653442,2.889924
363.654724,2.889125
362.622681,2.873633
361.623901,2.842344
360.625153,2.832474
359.593109,2.823463
358.594330,2.822750
357.595612,2.822455
356.563568,2.813686
355.564758,2.806032
354.566010,2.790605
353.533997,2.787146
352.535248,2.778397
351.536469,2.771191
350.504425,2.762088
349.505646,2.754483
348.506927,2.745669
347.474854,2.737980
346.476105,2.729344
345.477325,2.720803
344.445282,2.712809
343.446533,2.705040
342.447784,2.696384
341.415710,2.687118
340.416962,2.678008
339.418213,2.673296
338.386139,2.662496
337.387360,2.653876
336.388641,2.647340
335.356598,2.639041
334.357849,2.630746
333.359039,2.622243
332.326996,2.614628
331.328247,2.605685
330.329498,2.597091
329.297424,2.589585
328.298645,2.580876
327.299927,2.573292
326.267853,2.563965
325.269073,2.556278
324.270355,2.547675
323.238281,2.539610
322.239502,2.532035
321.240784,2.523916
320.208710,2.515928
319.209961,2.507935
318.211212,2.499412
317.179138,2.491592
316.180359,2.483158
315.181641,2.474845
314.149536,2.466261
313.150787,2.457094
312.152069,2.450619
311.119995,2.441875
310.121185,2.433887
309.089172,2.426063
308.090393,2.417190
307.091644,2.409526
306.059570,2.400525
305.060852,2.392823
304.062042,2.384982
303.029999,2.376356
302.031219,2.369498
301.032471,2.360744
300.000427,2.352222
299.001678,2.344703
298.002899,2.336525
296.970825,2.327890
295.972076,2.319699
294.973328,2.311684
293.941254,2.303969
292.942474,2.295593
291.943726,2.287030
290.911652,2.278714
289.912903,2.271006
288.914154,2.263680
287.882080,2.255360
286.883301,2.246886
285.884552,2.237458
284.852478,2.228662
283.853729,2.223510
282.854980,2.213560
281.822876,2.205586
280.824127,2.198274
279.825317,2.190174
278.793304,2.181774
277.794556,2.172746
276.795776,2.165016
275.763702,2.157357
274.764984,2.148247
273.766174,2.142277
272.734131,2.132752
271.735382,2.126057
270.736603,2.117425
269.704529,2.108939
268.705780,2.100705
267.707001,2.093660
266.674927,2.085058
265.676178,2.076417
264.677399,2.068413
263.645355,2.060541
262.646576,2.051963
261.647827,2.044642
260.615753,2.036747
259.617004,2.027693
258.584900,2.020416
257.586182,2.011137
256.587372,2.003520
255.555344,1.997314
254.556549,1.988421
253.557785,1.980092
252.525742,1.970570
251.526947,1.964871
250.528183,1.956268
249.496140,1.947696
248.497330,1.939982
247.498581,1.932243
246.466522,1.924553
245.467773,1.915299
244.468964,1.907442
243.436951,1.898038
242.438156,1.891909
241.439392,1.883582
240.407318,1.875139
239.408585,1.865257
238.409760,1.860315
237.377716,1.851332
236.378922,1.843395
235.380157,1.834537
234.348114,1.825997
233.349335,1.818681
232.350586,1.812306
231.318527,1.803145
230.319733,1.794225
229.320969,1.788477
228.288895,1.780306
227.290115,1.771839
226.291382,1.761638
225.259277,1.755141
224.260529,1.749128
223.261749,1.739770
222.229706,1.731086
221.230927,1.723446
220.232147,1.715987
219.200073,1.708116
218.201324,1.699863
217.202515,1.689932
216.170486,1.684844
215.171677,1.674119
214.172928,1.665319
213.140839,1.657659
212.142090,1.649416
211.143280,1.644159
210.111252,1.637669
209.112442,1.627410
208.113693,1.618857
207.081604,1.610987
206.082840,1.605018
205.050766,1.597708
204.052017,1.587869
203.053238,1.581239
202.021164,1.570399
201.022385,1.562758
200.023605,1.554510
198.991516,1.546242
197.992783,1.537896
196.994003,1.532023
195.961929,1.525054
194.963150,1.514022
193.964371,1.506416
192.932281,1.499283
191.933533,1.493744
190.934753,1.486675
189.902695,1.477192
188.903946,1.470186
187.905136,1.461677
186.873108,1.454386
185.874298,1.445340
184.875549,1.438028
183.843445,1.429704
182.844696,1.417250
181.845901,1.412634
180.813843,1.405440
179.815063,1.400085
178.816269,1.384931
177.784180,1.340356
176.785431,1.367346
175.786636,1.376887
174.754608,1.346775
173.755783,1.372016
172.757034,1.342684
171.724945,1.358102
170.726196,1.325341
169.727371,1.293445
168.695328,1.318465
167.696548,1.303685
166.697769,1.318991
165.665665,1.248485
164.666916,1.286519
163.668106,1.230108
162.636078,1.251746
161.637283,1.213009
160.638535,1.225696
159.606430,1.188688
158.607651,1.209873
157.608841,1.216270
156.576813,1.200690
155.578003,1.225933
154.545944,1.149084
153.547165,1.192752
152.548386,1.181914
151.516296,1.188196
150.517532,1.127995
149.518738,1.152369
148.486664,1.103140
147.487885,1.130857
146.489105,1.163606
145.457016,1.116115
144.458267,1.131707
143.459503,1.125727
142.427399,1.131603
141.428650,1.098496
140.429840,1.062651
139.397781,1.066182
138.399002,1.066261
137.400223,1.055850
136.368118,1.052907
135.369385,1.052302
134.370560,1.060708
133.338501,1.034668
132.339691,1.048888
131.340958,0.985528
130.308853,1.000172
129.310074,1.005210
128.311264,0.977064
127.279228,0.955064
126.280426,0.990229
125.281647,0.981863
124.249550,0.986578
123.250801,0.953927
122.251991,0.899555
121.219940,0.935974
120.221115,0.920095
119.222366,0.937461
118.190239,0.917789
117.191505,0.907771
116.192688,0.887811
115.160629,0.882511
114.161819,0.846547
113.163063,0.873891
112.130974,0.869051
111.132202,0.859456
110.133385,0.845861
109.101326,0.826166
108.102509,0.828458
107.103767,0.803297
106.071671,0.820725
105.072891,0.814347
104.074081,0.774624
103.042015,0.803667
102.043213,0.762767
101.011185,0.778359
100.012398,0.753365
99.013596,0.768315
97.981529,0.760024
96.982719,0.751465
95.983971,0.743031
94.951881,0.749706
93.953102,0.693909
92.954285,0.708208
91.922226,0.723635
90.923409,0.706788
89.924667,0.697150
88.892548,0.688025
87.893791,0.655932
86.894981,0.673669
85.862923,0.680383
84.864113,0.649880
83.865334,0.643204
82.833237,0.639625
81.834457,0.640291
80.835648,0.626672
79.803581,0.620725
78.804771,0.579349
77.806030,0.605434
76.773903,0.605304
75.775154,0.586944
74.776337,0.578822
73.744286,0.567703
72.745476,0.561632
71.746696,0.576036
70.714600,0.546739
69.715820,0.510422
68.717003,0.525269
67.684944,0.526011
66.686142,0.515250
65.687355,0.494977
64.655266,0.501465
63.656487,0.483836
62.657673,0.448695
61.625610,0.455322
60.626797,0.464398
59.628021,0.469354
58.595932,0.452193
57.597145,0.445089
56.598400,0.438746
55.566277,0.412388
54.567528,0.428166
53.568687,0.430833
52.536625,0.418865
51.537811,0.397453
50.505753,0.389708
49.506939,0.383856
48.508160,0.374790
47.476070,0.361752
46.477287,0.357994
45.478477,0.349631
44.446415,0.340537
43.447601,0.339793
42.448826,0.321214
41.416702,0.317239
40.417953,0.310259
39.419140,0.301367
38.387077,0.293917
37.388233,0.285243
36.389488,0.282466
