2,Ford F150,watkinsglen
Steering Wheel Angle,Yaw Rate
366.684296,2.832954
365.685516,2.840069
364.653442,2.890453
363.654724,2.892420
362.622681,2.878802
361.623901,2.851653
360.625153,2.833707
359.593109,2.824450
358.594330,2.819376
357.595612,2.819869
356.563568,2.816735
355.564758,2.808628
354.566010,2.799786
353.533997,2.784309
352.535248,2.778623
351.536469,2.771201
350.504425,2.764069
349.505646,2.754879
348.506927,2.748285
347.474854,2.738634
346.476105,2.731441
345.477325,2.722949
344.445282,2.714981
343.446533,2.706029
342.447784,2.698717
341.415710,2.689813
340.416962,2.681505
339.418213,2.673924
338.386139,2.665796
337.387360,2.656137
336.388641,2.648920
335.356598,2.640325
334.357849,2.631882
333.359039,2.624071
332.326996,2.615660
331.328247,2.607702
330.329498,2.599658
329.297424,2.590649
328.298645,2.582975
327.299927,2.575019
326.267853,2.566267
325.269073,2.558523
324.270355,2.550700
323.238281,2.541172
322.239502,2.534135
321.240784,2.524775
320.208710,2.516874
319.209961,2.509005
318.211212,2.500939
317.179138,2.492170
316.180359,2.484652
315.181641,2.475809
314.149536,2.467847
313.150787,2.459856
312.152069,2.451819
311.119995,2.442335
310.121185,2.435219
309.089172,2.427093
308.090393,2.418701
307.091644,2.411008
306.059570,2.402509
305.060852,2.393940
304.062042,2.386750
303.029999,2.377994
302.031219,2.369967
301.032471,2.361314
300.000427,2.353012
299.001678,2.345242
298.002899,2.337665
296.970825,2.328545
295.972076,2.320154
294.973328,2.312906
293.941254,2.304977
292.942474,2.296062
291.943726,2.288982
290.911652,2.280179
289.912903,2.272391
288.914154,2.263726
287.882080,2.256202
286.883301,2.248086
285.884552,2.239899
284.852478,2.230722
283.853729,2.223825
282.854980,2.214985
281.822876,2.207840
280.824127,2.198811
279.825317,2.191526
278.793304,2.183108
277.794556,2.174709
276.795776,2.166657
275.763702,2.158334
274.764984,2.151228
273.766174,2.142489
272.734131,2.134466
271.735382,2.126014
270.736603,2.118010
269.704529,2.109932
268.705780,2.102261
267.707001,2.094344
266.674927,2.086245
265.676178,2.078177
264.677399,2.069393
263.645355,2.062012
262.646576,2.053588
261.647827,2.045246
260.615753,2.037098
259.617004,2.029502
258.584900,2.021284
257.586182,2.013077
256.587372,2.005561
255.555344,1.996588
254.556549,1.989012
253.557785,1.981247
252.525742,1.972149
251.526947,1.965262
250.528183,1.956376
249.496140,1.949248
248.497330,1.940847
247.498581,1.933057
246.466522,1.924253
245.467773,1.916560
244.468964,1.908465
243.436951,1.900095
242.438156,1.892496
241.439392,1.884708
240.407318,1.875176
239.408585,1.868822
238.409760,1.860131
237.377716,1.852667
236.378922,1.844038
235.380157,1.836811
234.348114,1.827945
233.349335,1.820098
232.350586,1.812659
231.318527,1.804122
230.319733,1.795933
229.320969,1.788024
228.288895,1.779639
227.290115,1.771947
226.291382,1.764316
225.259277,1.755863
224.260529,1.748953
223.261749,1.739965
222.229706,1.732045
221.230927,1.723909
220.232147,1.716184
219.200073,1.708537
218.201324,1.700348
217.202515,1.692197
216.170486,1.684021
215.171677,1.676109
214.172928,1.668254
213.140839,1.660281
