2,Ford Falcon FG01 V8,baseline
Steering Wheel Angle,Yaw Rate
211.143280,1.671721
210.111252,1.673828
209.112442,1.658709
208.113693,1.647156
207.081604,1.635738
206.082840,1.627514
205.050766,1.620712
204.052017,1.611777
203.053238,1.603165
202.021164,1.592573
201.022385,1.583919
200.023605,1.575323
198.991516,1.565771
197.992783,1.556303
196.994003,1.547456
195.961929,1.537850
194.963150,1.529242
193.964371,1.519854
192.932281,1.510711
191.933533,1.501581
190.934753,1.492599
189.902695,1.483099
188.903946,1.474385
187.905136,1.465496
186.873108,1.456323
185.874298,1.446878
184.875549,1.437801
183.843445,1.428593
182.844696,1.419807
181.845901,1.410723
180.813843,1.401431
179.815063,1.392626
178.816269,1.383798
177.784180,1.374561
176.785431,1.365663
175.786636,1.356506
174.754608,1.347289
173.755783,1.338517
172.757034,1.329448
171.724945,1.320054
170.726196,1.311148
169.727371,1.302344
168.695328,1.293079
167.696548,1.284255
166.697769,1.275522
165.665665,1.266460
164.666916,1.257734
163.668106,1.248977
162.636078,1.239524
161.637283,1.230785
160.638535,1.222193
159.606430,1.213081
158.607651,1.204365
157.608841,1.194941
156.576813,1.185894
155.578003,1.177078
154.545944,1.168205
153.547165,1.158574
152.548386,1.150097
151.516296,1.141207
150.517532,1.132727
149.518738,1.123695
148.486664,1.114700
147.487885,1.106158
146.489105,1.097708
145.457016,1.088873
144.458267,1.079659
143.459503,1.071366
142.427399,1.062306
141.428650,1.053365
140.429840,1.044851
139.397781,1.035850
138.399002,1.027328
137.400223,1.019004
136.368118,1.010062
135.369385,1.001368
134.370560,0.992070
133.338501,0.983510
132.339691,0.975120
131.340958,0.966867
130.308853,0.958170
129.310074,0.949752
128.311264,0.941025
127.279228,0.932428
126.280426,0.924158
125.281647,0.916172
124.249550,0.907436
123.250801,0.898756
122.251991,0.890562
121.219940,0.882140
120.221115,0.873794
119.222366,0.865409
118.190239,0.857360
117.191505,0.848876
116.192688,0.840607
115.160629,0.832486
114.161819,0.824152
113.163063,0.815714
112.130974,0.807599
111.132202,0.799898
110.133385,0.791146
109.101326,0.782880
108.102509,0.774737
107.103767,0.766621
106.071671,0.757965
105.072891,0.751057
104.074081,0.744042
103.042015,0.736480
102.043213,0.729291
101.011185,0.721892
100.012398,0.714726
99.013596,0.707516
97.981529,0.700001
96.982719,0.692855
95.983971,0.685688
94.951881,0.678148
93.953102,0.671096
92.954285,0.663776
91.922226,0.656442
90.923409,0.649286
89.924667,0.641986
88.892548,0.634561
87.893791,0.627324
86.894981,0.620149
85.862923,0.612782
84.864113,0.605584
83.865334,0.598373
82.833237,0.590953
81.834457,0.583780
80.835648,0.576488
79.803581,0.569113
78.804771,0.561966
77.806030,0.554762
76.773903,0.547301
75.775154,0.540105
74.776337,0.532969
73.744286,0.525555
72.745476,0.518334
71.746696,0.511023
70.714600,0.503663
69.715820,0.496506
68.717003,0.489288
67.684944,0.481803
66.686142,0.474671
65.687355,0.467492
64.655266,0.460082
63.656487,0.452805
62.657673,0.445662
61.625610,0.438246
60.626797,0.431013
59.628021,0.423862
58.595932,0.416457
57.597145,0.409272
56.598400,0.402026
55.566277,0.394704
54.567528,0.387417
53.568687,0.380378
52.536625,0.372842
51.537811,0.365717
50.505753,0.358259
49.506939,0.351121
48.508160,0.343945
47.476070,0.336574
46.477287,0.329455
45.478477,0.322212
44.446415,0.314818
43.447601,0.307674
42.448826,0.300514
41.416702,0.293162
40.417953,0.285892
39.419140,0.278762
38.387077,0.271306
37.388233,0.264251
36.389488,0.257134
35.357365,0.249782
34.358585,0.242648
33.359772,0.235397
32.327709,0.227997
31.328901,0.220929
30.330120,0.213683
29.297997,0.206383
28.299248,0.199166
27.300406,0.192045
26.268345,0.184645
25.269531,0.177486
24.270754,0.170309
23.238661,0.163043
22.239880,0.155856
21.241070,0.148741
20.209009,0.141366
19.210163,0.134265
18.211416,0.127172
17.179293,0.119748
16.180511,0.112676
15.181702,0.105477
14.149640,0.098102
13.150796,0.091002
12.152049,0.083922
11.119988,0.076540
10.121144,0.069454
9.122396,0.062304
8.090272,0.054903
7.091493,0.047866
6.092681,0.040748
5.060620,0.033447
4.061809,0.026332
3.062997,0.019315
2.030904,0.012011
1.032093,0.004917
0.000000,0.002412
-0.998747,0.009476
-1.997624,0.016578
-3.029652,0.023915
-4.028464,0.030981
-5.027276,0.038097
-6.059368,0.045426
-7.058115,0.052504
-8.056992,0.059568
-9.089020,0.066913
-10.087896,0.074000
-11.086643,0.080998
-12.118735,0.088398
-13.117547,0.095441
-14.116360,0.102505
-15.148452,0.109841
-16.147263,0.116893
-17.146011,0.124000
-18.178169,0.131290
-19.176916,0.138429
-20.175728,0.145463
-21.207819,0.152801
-22.206633,0.159883
-23.205444,0.166989
-24.237535,0.174278
-25.236284,0.181456
-26.235159,0.188601
-27.267187,0.195957
-28.266064,0.203107
-29.264811,0.210225
-30.296968,0.217581
-31.295717,0.224703
-32.294464,0.231838
-33.326618,0.239146
-34.325367,0.246354
-35.324245,0.253484
-36.356274,0.260845
-37.355083,0.267992
-38.353897,0.275143
-39.385986,0.282557
-40.384800,0.289667
-41.383614,0.296799
-42.415703,0.304196
-43.414516,0.311324
-44.413265,0.318458
-45.445419,0.325879
-46.444168,0.333007
-47.443043,0.340116
-48.475071,0.347511
-49.473949,0.354652
-50.472694,0.361838
-51.504852,0.369227
-52.503601,0.376366
-53.535759,0.383732
-54.534504,0.390893
-55.533318,0.398002
-56.565411,0.405475
-57.564224,0.412695
-58.563034,0.419846
-59.595127,0.427111
-60.593937,0.434350
-61.592751,0.441514
-62.624840,0.448919
-63.623653,0.456054
-64.622467,0.463182
-65.654556,0.470655
-66.653366,0.477815
-67.652184,0.484994
-68.684273,0.492451
-69.683090,0.499580
-70.681831,0.506773
-71.713989,0.514148
-72.712738,0.521276
-73.711617,0.528429
-74.743645,0.535781
