2,Ford Fusion Class A,baseline
Steering Wheel Angle,Yaw Rate
372.684296,2.808111
371.685516,2.884227
370.653442,2.906148
369.654724,2.928888
368.622681,2.853514
367.623901,2.878628
366.625153,2.896896
365.593109,2.885499
364.594330,2.870891
363.595612,2.881237
362.563568,2.893589
361.564758,2.894360
360.566010,2.869421
359.533997,2.843283
358.535248,2.841088
357.536469,2.852749
356.504425,2.846670
355.505646,2.828219
354.506927,2.812809
353.474854,2.812958
352.476105,2.812829
351.477325,2.803698
350.445282,2.790756
349.446533,2.781810
348.447784,2.775163
347.415710,2.772735
346.416962,2.766506
345.418213,2.755800
344.386139,2.745124
343.387360,2.737205
342.388641,2.733363
341.356598,2.729886
340.357849,2.719469
339.359039,2.708996
338.326996,2.686747
337.328247,2.618859
336.329498,2.658223
335.297424,2.721762
334.298645,2.686341
333.299927,2.627448
332.267853,2.600846
331.269073,2.631597
330.270355,2.670514
329.238281,2.653486
328.239502,2.609377
327.240784,2.569637
326.208710,2.630464
325.209961,2.613590
324.211212,2.581779
323.179138,2.578974
322.180359,2.584755
321.181641,2.572209
320.149536,2.563815
319.150787,2.555613
318.152069,2.547648
317.119995,2.538085
316.121185,2.530849
315.089172,2.521538
314.090393,2.513414
313.091644,2.505153
312.059570,2.495431
311.060852,2.486807
310.062042,2.479355
309.029999,2.471177
308.031219,2.462689
307.032471,2.454852
306.000427,2.446430
305.001678,2.437209
304.002899,2.429008
302.970825,2.420557
301.972076,2.412281
300.973328,2.403590
299.941254,2.394953
298.942474,2.386715
297.943726,2.378694
296.911652,2.369579
295.912903,2.362181
294.914154,2.352608
293.882080,2.345283
292.883301,2.335533
291.884552,2.329026
290.852478,2.319433
289.853729,2.311667
288.854980,2.302592
287.822876,2.294968
286.824127,2.285697
285.825317,2.278359
284.793304,2.268718
283.794556,2.261865
282.795776,2.252491
281.763702,2.244501
280.764984,2.234954
279.766174,2.228329
278.734131,2.218043
277.735382,2.211200
276.736603,2.202132
275.704529,2.193651
274.705780,2.185347
273.707001,2.177671
272.674927,2.168531
271.676178,2.161312
270.677399,2.151831
269.645355,2.144194
268.646576,2.135623
267.647827,2.126275
266.615753,2.118506
265.617004,2.110751
264.584900,2.102038
263.586182,2.093777
262.587372,2.085065
261.555359,2.077267
260.556549,2.067908
259.557800,2.061481
258.525757,2.051092
257.526947,2.043872
256.528198,2.035520
255.496140,2.027181
254.497330,2.018502
253.498581,2.010632
252.466522,2.002126
251.467773,1.993947
250.468964,1.985016
249.436951,1.977525
248.438156,1.968194
247.439392,1.961633
246.407318,1.952097
245.408585,1.943725
244.409760,1.935886
243.377716,1.926896
242.378922,1.919173
241.380157,1.911032
240.348114,1.903169
239.349335,1.893818
238.350586,1.887079
237.318527,1.876878
236.319733,1.869444
235.320969,1.861235
234.288895,1.853161
233.290115,1.843787
232.291382,1.836625
231.259277,1.827790
230.260529,1.819720
229.261749,1.811645
228.229706,1.802460
227.230927,1.795031
226.232147,1.785578
225.200073,1.778585
224.201324,1.769975
223.202515,1.762279
222.170486,1.753320
221.171677,1.745946
220.172928,1.737355
219.140839,1.729388
218.142090,1.720007
217.143280,1.712289
216.111252,1.703896
215.112442,1.696267
214.113693,1.686794
213.081604,1.680258
212.082840,1.670464
211.050766,1.662826
210.052017,1.653912
209.053238,1.647420
208.021164,1.637507
207.022385,1.631174
206.023605,1.621091
204.991516,1.613418
203.992783,1.605130
202.994003,1.597289
201.961929,1.588750
200.963150,1.581284
199.964371,1.572248
198.932281,1.564660
197.933533,1.556096
196.934753,1.548355
195.902695,1.538998
194.903946,1.531677
193.905136,1.523497
192.873108,1.514806
191.874298,1.507450
190.875549,1.498811
189.843445,1.489314
188.844696,1.482679
187.845901,1.473834
186.813843,1.465720
185.815063,1.458148
184.816269,1.449041
183.784180,1.441257
182.785431,1.433402
181.786636,1.424667
180.754608,1.416387
179.755783,1.407971
178.757034,1.400672
177.724945,1.390932
176.726196,1.384693
175.727371,1.374673
174.695328,1.367885
173.696548,1.358298
172.697769,1.351921
171.665665,1.342956
170.666916,1.334265
169.668106,1.327271
168.636078,1.318063
167.637283,1.310462
166.638535,1.301385
165.606430,1.294366
164.607651,1.285154
163.608841,1.278299
162.576813,1.268823
161.578003,1.261333
160.545944,1.252652
159.547165,1.245053
158.548386,1.237121
157.516296,1.227250
156.517532,1.220834
155.518738,1.211302
154.486664,1.204824
153.487885,1.194352
152.489105,1.188702
151.457016,1.179130
150.458267,1.171224
149.459503,1.162651
148.427399,1.154704
147.428650,1.146168
146.429840,1.139348
145.397781,1.130085
144.399002,1.122825
143.400223,1.114157
142.368118,1.105866
141.369385,1.097293
140.370560,1.090327
139.338501,1.080547
138.339691,1.073875
137.340958,1.064281
136.308853,1.057977
135.310074,1.048206
134.311264,1.041543
133.279236,1.032115
132.280426,1.024440
131.281647,1.016632
130.249542,1.007703
129.250793,1.000465
128.251984,0.991550
127.219940,0.984185
126.221115,0.974556
125.222366,0.968120
124.190239,0.959685
123.191505,0.950739
122.192688,0.943772
121.160629,0.934549
120.161819,0.927217
119.163063,0.919344
118.130974,0.909690
117.132202,0.902956
116.133385,0.893625
115.101326,0.886478
114.102509,0.878021
113.103767,0.869921
112.071671,0.861940
111.072891,0.853504
110.074081,0.846158
109.042015,0.836545
108.043213,0.829112
107.011185,0.821356
106.012398,0.812655
105.013596,0.805417
103.981529,0.796123
102.982719,0.789009
101.983971,0.780796
100.951881,0.771863
99.953102,0.764902
98.954285,0.755252
97.922226,0.748611
96.923409,0.738848
95.924667,0.732533
94.892548,0.723105
93.893791,0.715816
92.894981,0.706878
91.862923,0.699702
