2,Ford GT GT2,baseline
Steering Wheel Angle,Yaw Rate
261.647827,2.362731
260.615753,2.363531
259.617004,2.361735
258.584900,2.353908
257.586182,2.346614
256.587372,2.339271
255.555344,2.331395
254.556549,2.323776
253.557785,2.316124
252.525742,2.308012
251.526947,2.300081
250.528183,2.290940
249.496140,2.281276
248.497330,2.271930
247.498581,2.262565
246.466522,2.251246
245.467773,2.240064
244.468964,2.228800
243.436951,2.217119
242.438156,2.208241
241.439392,2.199021
240.407318,2.189327
239.408585,2.182265
238.409760,2.173802
237.377716,2.164148
236.378922,2.154744
235.380157,2.144533
234.348114,2.135316
233.349335,2.126260
232.350586,2.116679
231.318527,2.107478
230.319733,2.098358
229.320969,2.088969
228.288895,2.079483
227.290115,2.070080
226.291382,2.060948
225.259277,2.051086
224.260529,2.042082
223.261749,2.032551
222.229706,2.023013
221.230927,2.013828
220.232147,2.004559
219.200073,1.994944
218.201324,1.985718
217.202515,1.976535
216.170486,1.966887
215.171677,1.957721
214.172928,1.948421
213.140839,1.938919
212.142090,1.929664
211.143280,1.920516
210.111252,1.910921
209.112442,1.901838
208.113693,1.892504
207.081604,1.882819
206.082840,1.873539
205.050766,1.863844
204.052017,1.854779
203.053238,1.845789
202.021164,1.836043
201.022385,1.826916
200.023605,1.817633
198.991516,1.808158
197.992783,1.799062
196.994003,1.789630
195.961929,1.780297
194.963150,1.770764
193.964371,1.761772
192.932281,1.752373
191.933533,1.742808
190.934753,1.733793
189.902695,1.724307
188.903946,1.715200
187.905136,1.705995
186.873108,1.696232
185.874298,1.687079
184.875549,1.677742
183.843445,1.668293
182.844696,1.659125
181.845901,1.650159
180.813843,1.640440
179.815063,1.631380
178.816269,1.622147
177.784180,1.612561
176.785431,1.603335
175.786636,1.594252
174.754608,1.584730
173.755783,1.575745
172.757034,1.566252
171.724945,1.556991
170.726196,1.547606
169.727371,1.538744
168.695328,1.529046
167.696548,1.519992
166.697769,1.510733
165.665665,1.501231
164.666916,1.492166
163.668106,1.483064
162.636078,1.473277
161.637283,1.464338
160.638535,1.455180
159.606430,1.445600
158.607651,1.436534
157.608841,1.427195
156.576813,1.417787
155.578003,1.408684
154.545944,1.399112
153.547165,1.389982
152.548386,1.380660
151.516296,1.371402
150.517532,1.362186
149.518738,1.352964
148.486664,1.343764
147.487885,1.334370
146.489105,1.325318
145.457016,1.315639
144.458267,1.306681
143.459503,1.297530
142.427399,1.288292
141.428650,1.278986
140.429840,1.269710
139.397781,1.260368
138.399002,1.250942
137.400223,1.241827
136.368118,1.232470
135.369385,1.223498
134.370560,1.214269
133.338501,1.204949
132.339691,1.195644
131.340958,1.186384
130.308853,1.177281
129.310074,1.168031
128.311264,1.158968
127.279228,1.149498
126.280426,1.140448
125.281647,1.131323
124.249550,1.121752
123.250801,1.112457
122.251991,1.103242
121.219940,1.094038
120.221115,1.084898
119.222366,1.075928
118.190239,1.066499
117.191505,1.057360
116.192688,1.048227
115.160629,1.038746
114.161819,1.029508
113.163063,1.020490
112.130974,1.010908
111.132202,1.001896
110.133385,0.992732
109.101326,0.983412
108.102509,0.974449
107.103767,0.965338
106.071671,0.955952
105.072891,0.946631
104.074081,0.937513
103.042015,0.928228
102.043213,0.919035
101.011185,0.909901
100.012398,0.900715
99.013596,0.891403
97.981529,0.881921
96.982719,0.872961
95.983971,0.863745
94.951881,0.854534
93.953102,0.845414
92.954285,0.836197
91.922226,0.826833
90.923409,0.817599
89.924667,0.808429
88.892548,0.799233
87.893791,0.790122
86.894981,0.781060
85.862923,0.771416
84.864113,0.762454
83.865334,0.753460
82.833237,0.744103
81.834457,0.734794
80.835648,0.725642
79.803581,0.716171
78.804771,0.707187
77.806030,0.698172
76.773903,0.688630
75.775154,0.679554
74.776337,0.670511
73.744286,0.661180
72.745476,0.652011
71.746696,0.642960
70.714600,0.633466
69.715820,0.624527
68.717003,0.615203
67.684944,0.605790
66.686142,0.596747
65.687355,0.587653
64.655266,0.578232
63.656487,0.569167
62.657673,0.560154
61.625610,0.550611
60.626797,0.541511
59.628021,0.532313
58.595932,0.523040
