2,Ford GT GTE,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.561164
258.584900,1.561258
257.586182,1.561358
256.587372,1.559414
255.555344,1.553833
254.556549,1.548581
253.557785,1.542970
252.525742,1.537283
251.526947,1.531665
250.528183,1.526024
249.496140,1.520084
248.497330,1.514308
247.498581,1.508308
246.466522,1.501859
245.467773,1.495667
244.468964,1.489422
243.436951,1.483118
242.438156,1.476993
241.439392,1.470761
240.407318,1.464340
239.408585,1.458186
238.409760,1.452032
237.377716,1.445469
236.378922,1.438810
235.380157,1.432229
234.348114,1.425232
233.349335,1.418427
232.350586,1.412193
231.318527,1.405837
230.319733,1.399750
229.320969,1.394034
228.288895,1.388214
227.290115,1.382422
226.291382,1.376278
225.259277,1.369868
224.260529,1.363532
223.261749,1.357108
222.229706,1.350971
221.230927,1.344605
220.232147,1.338869
219.200073,1.331988
218.201324,1.325931
217.202515,1.319907
216.170486,1.313521
215.171677,1.307322
214.172928,1.301044
213.140839,1.294811
212.142090,1.288733
211.143280,1.282652
210.111252,1.276285
209.112442,1.270278
208.113693,1.263889
207.081604,1.257745
206.082840,1.251489
205.050766,1.245165
204.052017,1.239125
203.053238,1.232719
202.021164,1.226554
201.022385,1.220345
200.023605,1.214157
198.991516,1.207969
197.992783,1.201627
196.994003,1.195673
195.961929,1.189251
194.963150,1.182999
193.964371,1.177128
192.932281,1.170725
191.933533,1.164618
190.934753,1.158425
189.902695,1.151986
188.903946,1.146016
187.905136,1.139691
186.873108,1.133271
185.874298,1.127492
184.875549,1.121180
183.843445,1.114833
182.844696,1.108787
181.845901,1.102479
180.813843,1.096404
179.815063,1.090116
178.816269,1.083978
177.784180,1.077629
176.785431,1.071530
175.786636,1.065284
174.754608,1.059245
173.755783,1.052862
172.757034,1.046651
171.724945,1.040298
170.726196,1.034248
169.727371,1.028321
168.695328,1.021812
167.696548,1.015790
166.697769,1.009576
165.665665,1.003238
164.666916,0.997248
163.668106,0.991058
162.636078,0.984909
161.637283,0.978633
160.638535,0.972359
159.606430,0.966274
158.607651,0.960017
