2,Ford Mustang Class A,watkinsglen
Steering Wheel Angle,Yaw Rate
370.684296,2.854338
369.685516,2.872844
368.653442,2.926761
367.654724,2.924925
366.622681,2.920253
365.623901,2.889511
364.625153,2.889373
363.593109,2.889198
362.594330,2.885746
361.595612,2.884730
360.563568,2.880083
359.564758,2.872563
358.566010,2.865107
357.533997,2.849356
356.535248,2.841274
355.536469,2.836642
354.504425,2.827362
353.505646,2.818999
352.506927,2.810598
351.474854,2.803180
350.476105,2.793945
349.477325,2.785930
348.445282,2.777445
347.446533,2.769121
346.447784,2.761338
345.415710,2.750931
344.416962,2.744125
343.418213,2.736845
342.386139,2.726511
341.387360,2.720670
340.388641,2.712229
339.356598,2.703569
338.357849,2.694872
337.359039,2.686295
336.326996,2.678163
335.328247,2.671054
334.329498,2.662390
333.297424,2.653685
332.298645,2.645768
331.299927,2.637606
330.267853,2.628948
329.269073,2.621682
328.270355,2.612634
327.238281,2.604418
326.239502,2.595760
325.240784,2.588624
324.208710,2.579587
323.209961,2.570658
322.211212,2.563110
321.179138,2.555004
320.180359,2.547092
319.181641,2.539459
318.149536,2.529716
317.150787,2.522099
316.152069,2.514452
315.119995,2.505910
314.121185,2.497231
313.089172,2.489980
312.090393,2.480737
311.091644,2.472901
310.059570,2.465132
309.060852,2.456860
308.062042,2.448985
307.029999,2.440303
306.031219,2.432067
305.032471,2.423966
304.000427,2.415397
303.001678,2.407041
302.002899,2.399214
300.970825,2.390709
299.972076,2.383121
298.973328,2.374181
297.941254,2.365680
296.942474,2.357781
295.943726,2.350422
294.911652,2.341627
293.912903,2.333871
292.914154,2.325594
291.882080,2.317582
290.883301,2.308914
289.884552,2.301854
288.852478,2.293203
287.853729,2.285161
286.854980,2.276720
285.822876,2.268506
284.824127,2.259594
283.825317,2.253438
282.793304,2.243279
281.794556,2.236636
280.795776,2.227679
279.763702,2.219772
278.764984,2.210911
277.766174,2.203493
276.734131,2.195220
275.735382,2.187597
274.736603,2.178823
273.704529,2.170423
272.705780,2.161891
271.707001,2.155181
270.674927,2.146401
269.676178,2.138434
268.677399,2.130100
267.645355,2.122152
266.646576,2.114127
265.647827,2.106030
264.615753,2.097733
263.617004,2.089506
262.584900,2.081830
261.586182,2.072742
260.587372,2.066148
259.555359,2.056256
258.556549,2.049635
257.557800,2.040666
256.525757,2.033107
255.526947,2.024572
254.528183,2.016672
253.496140,2.008371
252.497330,2.000336
251.498581,1.993293
250.466522,1.983834
249.467773,1.976323
248.468964,1.968577
247.436951,1.959793
246.438156,1.951976
245.439392,1.944209
244.407318,1.935649
243.408585,1.928156
242.409760,1.919780
241.377716,1.911104
240.378922,1.903403
239.380157,1.895289
238.348114,1.887191
237.349335,1.878849
