2,Ford Mustang Class B,watkinsglen
Steering Wheel Angle,Yaw Rate
372.021210,2.879139
371.161163,2.912882
370.328857,2.950554
369.496582,2.951024
368.636566,2.927018
367.804291,2.911475
366.971954,2.911452
366.111938,2.919768
365.279633,2.926372
364.447357,2.933130
363.587311,2.931611
362.755035,2.924963
361.922760,2.917328
361.062714,2.904113
360.230408,2.897488
359.398132,2.893114
358.538086,2.884690
357.705811,2.876786
356.873505,2.872543
356.013458,2.864823
355.181152,2.857858
354.348877,2.851374
353.488861,2.843746
352.656586,2.837132
351.824280,2.830189
350.964233,2.822966
350.131927,2.815357
349.271912,2.808921
348.439606,2.802167
347.607300,2.795136
346.747284,2.787977
345.915009,2.780642
345.082703,2.774177
344.222687,2.766725
343.390381,2.760349
342.558075,2.753329
341.698059,2.746131
340.865753,2.738761
340.033447,2.731810
339.173431,2.724643
338.341125,2.717556
337.508850,2.711113
336.648834,2.703803
335.816498,2.697296
334.984222,2.690234
334.124176,2.683115
333.291870,2.676094
332.459595,2.669316
331.599579,2.662455
330.767242,2.655328
329.934998,2.648215
329.074890,2.640425
328.242615,2.634295
327.410339,2.626324
326.550323,2.620299
325.718018,2.613370
324.885742,2.606958
324.025665,2.599909
323.193359,2.592704
322.361053,2.585743
321.501038,2.578881
320.668762,2.570798
319.836456,2.565561
318.976410,2.557288
318.144104,2.551067
317.311798,2.544164
316.451782,2.536976
315.619476,2.528129
314.787201,2.522290
313.927124,2.517428
313.094849,2.509696
312.262543,2.502852
311.402527,2.494537
310.570251,2.489378
309.737915,2.481936
308.877869,2.475065
308.045593,2.468261
307.185547,2.460683
306.353241,2.454200
305.520966,2.447354
304.660919,2.440294
303.828613,2.433618
302.996338,2.426353
302.136292,2.419445
301.303955,2.412713
300.471680,2.406152
299.611664,2.398159
298.779358,2.391656
297.947052,2.383330
297.087006,2.378726
296.254700,2.371849
295.422424,2.364225
294.562378,2.356759
293.730072,2.350715
292.897766,2.343968
292.037720,2.336072
291.205444,2.330213
290.373138,2.323391
289.513092,2.315952
288.680786,2.309114
287.848511,2.302358
286.988434,2.294802
286.156128,2.286693
285.323853,2.282656
284.463837,2.274592
283.631531,2.266896
282.799194,2.261385
281.939148,2.253796
281.106873,2.246819
280.274567,2.239925
279.414520,2.233710
278.582184,2.226799
277.749939,2.220014
276.889862,2.213177
276.057556,2.205694
275.225281,2.199531
274.365234,2.192455
273.532898,2.184629
272.700653,2.179303
271.840576,2.171043
271.008301,2.165017
270.175995,2.158314
269.315948,2.150506
268.483612,2.144410
267.651367,2.138229
266.791260,2.130904
265.958984,2.123729
265.126709,2.117751
264.266663,2.110050
263.434326,2.103622
262.574310,2.096507
261.741974,2.088840
260.909698,2.083507
260.049622,2.075809
259.217377,2.068053
258.385040,2.062411
257.524994,2.056208
256.692688,2.047890
255.860382,2.042783
255.000351,2.033916
254.168060,2.028805
253.335739,2.020236
252.475677,2.015714
251.643387,2.008065
250.811096,2.000356
249.951035,1.994448
249.118729,1.987255
248.286438,1.980259
247.426376,1.973785
246.594086,1.965825
245.761795,1.960640
244.901733,1.954616
244.069412,1.945505
243.237122,1.940552
242.377060,1.932896
241.544769,1.927317
240.712479,1.920094
239.852386,1.913066
239.020096,1.906611
238.187759,1.900373
237.327744,1.891846
236.495453,1.885017
235.663147,1.879254
234.803085,1.872180
233.970810,1.865818
233.138474,1.857922
232.278442,1.852630
231.446152,1.843783
230.613831,1.839134
229.753769,1.831345
228.921478,1.825304
228.089157,1.817209
227.229095,1.811833
226.396805,1.803273
225.564499,1.798743
224.704453,1.790948
223.872147,1.784727
223.039856,1.776620
222.179794,1.771418
221.347504,1.763333
