2,Ford Mustang FR500S,baseline
Steering Wheel Angle,Yaw Rate
511.103180,2.810640
510.104462,2.800635
509.105713,2.784565
508.073700,2.785244
507.074921,2.688956
506.076233,2.701915
505.044159,2.706251
504.045410,2.709178
503.046692,2.711475
502.014679,2.713763
501.015930,2.716834
500.017181,2.719213
498.985138,2.718860
497.986389,2.715312
496.987640,2.751119
495.955627,2.829355
494.956909,2.816151
493.958160,2.814928
492.926147,2.796947
491.927399,2.782693
490.928619,2.768510
489.896606,2.753725
488.897858,2.745244
487.899139,2.738176
486.867065,2.732160
485.868317,2.726691
484.869598,2.728308
483.837555,2.729461
482.838837,2.727009
481.840027,2.717300
480.808014,2.702999
479.809296,2.693322
478.810547,2.693756
477.778534,2.686714
476.779755,2.685958
475.781006,2.691557
474.748993,2.688244
473.750244,2.674555
472.751526,2.658620
471.719452,2.644413
470.720764,2.639714
469.721985,2.640292
468.689972,2.645246
467.691223,2.647528
466.659149,2.638837
465.660400,2.622740
464.661682,2.606255
463.629669,2.596522
462.630920,2.596782
461.632141,2.602575
460.600128,2.605961
459.601379,2.600923
458.602631,2.585838
457.570587,2.567809
456.571869,2.560088
455.573090,2.551425
454.541046,2.552356
453.542328,2.557916
452.543579,2.559457
451.511505,2.552210
450.512787,2.538758
449.514038,2.521931
448.481995,2.509034
447.483276,2.506775
446.484497,2.511695
445.452484,2.517270
444.453705,2.513061
443.454987,2.500801
442.422974,2.484787
441.424194,2.471825
440.425476,2.465286
439.393402,2.466689
438.394653,2.473557
437.395905,2.474378
436.363892,2.462544
435.365143,2.446465
434.366364,2.430652
433.334320,2.422063
432.335571,2.425739
431.336823,2.432743
430.304779,2.434588
429.306061,2.422332
428.307312,2.405056
427.275269,2.390917
426.276489,2.383233
425.277771,2.385078
424.245728,2.392047
423.246979,2.393536
422.248230,2.381667
421.216156,2.365041
420.217407,2.350345
419.218658,2.342563
418.186646,2.344116
417.187897,2.350951
416.189148,2.352029
415.157104,2.341047
414.158325,2.324702
413.126312,2.309595
412.127533,2.301289
411.128784,2.305433
410.096741,2.312948
409.098022,2.310821
408.099243,2.298007
407.067230,2.281673
406.068481,2.267514
405.069702,2.262970
404.037689,2.266606
403.038910,2.272865
402.040161,2.271359
401.008118,2.256746
400.009369,2.239660
399.010620,2.226274
397.978607,2.222000
396.979797,2.229460
395.981079,2.234128
394.949005,2.230295
393.950256,2.214846
392.951538,2.199624
391.919495,2.187190
390.920715,2.182955
389.921997,2.186877
388.889893,2.191930
387.891144,2.190241
386.892426,2.175852
385.860382,2.158609
384.861633,2.145537
383.862885,2.141092
382.830811,2.147636
381.832031,2.152142
380.833282,2.148821
379.801239,2.134618
378.802521,2.118673
377.803772,2.105667
376.771698,2.101237
375.772919,2.107353
374.774170,2.113448
373.742157,2.107164
372.743378,2.092443
371.744659,2.074748
370.712555,2.064973
369.713837,2.065300
368.715057,2.071991
367.683044,2.074607
366.684296,2.064626
365.685516,2.047529
364.653442,2.031980
363.654724,2.025198
362.622681,2.028245
361.623901,2.035452
360.625153,2.033972
359.593109,2.021997
358.594330,2.005803
357.595612,1.990489
356.563568,1.984983
355.564758,1.989465
354.566010,1.995605
353.533997,1.991795
352.535248,1.980581
351.536469,1.965773
350.504425,1.950562
349.505646,1.945428
348.506927,1.948515
347.474854,1.954633
346.476105,1.953146
345.477325,1.941494
344.445282,1.923999
343.446533,1.910249
342.447784,1.906937
341.415710,1.911503
340.416962,1.916168
339.418213,1.910865
338.386139,1.896060
337.387360,1.879395
336.388641,1.869148
335.356598,1.871437
334.357849,1.879098
333.359039,1.877204
332.326996,1.866231
331.328247,1.850790
330.329498,1.836412
329.297424,1.830251
328.298645,1.836464
327.299927,1.841759
326.267853,1.836121
325.269073,1.819916
324.270355,1.803856
323.238281,1.796450
322.239502,1.797293
321.240784,1.803805
320.208710,1.802934
319.209961,1.792504
318.211212,1.774858
317.179138,1.761358
316.180359,1.756838
315.181641,1.761921
314.149536,1.766946
313.150787,1.761476
312.152069,1.746265
311.119995,1.730170
310.121185,1.720470
309.089172,1.721633
308.090393,1.729333
307.091644,1.728887
306.059570,1.718963
305.060852,1.700630
304.062042,1.687195
303.029999,1.682663
302.031219,1.686069
301.032471,1.689865
300.000427,1.687785
299.001678,1.676472
298.002899,1.660206
296.970825,1.645428
295.972076,1.643188
294.973328,1.650171
293.941254,1.652869
292.942474,1.645553
291.943726,1.631373
290.911652,1.616364
289.912903,1.606978
288.914154,1.607889
287.882080,1.613913
286.883301,1.614111
285.884552,1.605038
284.852478,1.587445
283.853729,1.573081
282.854980,1.566788
281.822876,1.572369
280.824127,1.577649
279.825317,1.572808
278.793304,1.556293
277.794556,1.541621
276.795776,1.533336
275.763702,1.533511
274.764984,1.539018
273.766174,1.539232
272.734131,1.530331
271.735382,1.513402
270.736603,1.498989
269.704529,1.493529
268.705780,1.497973
267.707001,1.502750
266.674927,1.497637
265.676178,1.482415
264.677399,1.466780
263.645355,1.459523
262.646576,1.462667
261.647827,1.467764
260.615753,1.464553
259.617004,1.452467
258.584900,1.434365
257.586182,1.422788
256.587372,1.424207
255.555344,1.430640
254.556549,1.430909
253.557785,1.418823
252.525742,1.401459
251.526947,1.388609
250.528183,1.388261
249.496140,1.391483
248.497330,1.390820
247.498581,1.389418
246.466522,1.379644
245.467773,1.364411
244.468964,1.353457
243.436951,1.349560
242.438156,1.341764
241.439392,1.337519
240.407318,1.343690
239.408585,1.341632
238.409760,1.333148
237.377716,1.328387
236.378922,1.318759
235.380157,1.303912
234.348114,1.293012
233.349335,1.292739
232.350586,1.288606
231.318527,1.284355
230.319733,1.290389
229.320969,1.284243
228.288895,1.275035
227.290115,1.265568
226.291382,1.258028
225.259277,1.244934
224.260529,1.235612
223.261749,1.237833
222.229706,1.236242
221.230927,1.232870
220.232147,1.235531
219.200073,1.225937
218.201324,1.213915
217.202515,1.203254
216.170486,1.196536
215.171677,1.186586
214.172928,1.180203
213.140839,1.186759
212.142090,1.185517
211.143280,1.178342
210.111252,1.176279
209.112442,1.165494
208.113693,1.152685
207.081604,1.140471
206.082840,1.138403
205.050766,1.133435
204.052017,1.129456
203.053238,1.135741
202.021164,1.128978
201.022385,1.120975
200.023605,1.111955
198.991516,1.103271
197.992783,1.090874
196.994003,1.082537
195.961929,1.085486
194.963150,1.084721
193.964371,1.080092
192.932281,1.080313
191.933533,1.070109
