2,Ford Mustang GT4,baseline
Steering Wheel Angle,Yaw Rate
252.525742,1.623338
251.526947,1.623573
250.528183,1.623708
249.496140,1.621258
248.497330,1.615608
247.498581,1.609937
246.466522,1.604026
245.467773,1.598364
244.468964,1.592681
243.436951,1.586756
242.438156,1.580998
241.439392,1.575222
240.407318,1.569257
239.408585,1.563446
238.409760,1.557745
237.377716,1.551602
236.378922,1.545728
235.380157,1.539774
234.348114,1.533305
233.349335,1.526874
232.350586,1.520355
231.318527,1.513530
230.319733,1.506984
229.320969,1.500341
228.288895,1.493644
227.290115,1.487076
226.291382,1.480547
225.259277,1.473725
224.260529,1.467260
223.261749,1.460670
222.229706,1.453810
221.230927,1.447363
220.232147,1.440872
219.200073,1.434094
218.201324,1.427491
217.202515,1.420865
216.170486,1.414192
215.171677,1.407676
214.172928,1.401213
213.140839,1.394454
212.142090,1.387921
211.143280,1.381379
210.111252,1.374681
209.112442,1.368140
208.113693,1.361623
207.081604,1.354869
206.082840,1.348328
205.050766,1.341611
204.052017,1.335192
203.053238,1.328649
202.021164,1.321917
201.022385,1.315400
200.023605,1.309009
198.991516,1.302263
197.992783,1.295616
196.994003,1.288703
195.961929,1.281209
194.963150,1.273823
193.964371,1.266172
192.932281,1.258080
191.933533,1.250818
190.934753,1.244203
189.902695,1.237424
188.903946,1.230693
187.905136,1.225214
186.873108,1.219338
185.874298,1.213654
184.875549,1.207161
183.843445,1.200340
182.844696,1.193947
181.845901,1.186982
180.813843,1.179495
179.815063,1.172819
178.816269,1.166940
177.784180,1.159878
176.785431,1.153696
175.786636,1.146697
174.754608,1.140226
173.755783,1.133501
172.757034,1.126858
171.724945,1.120331
170.726196,1.113314
169.727371,1.107198
168.695328,1.100084
167.696548,1.093808
166.697769,1.087029
165.665665,1.080490
164.666916,1.073864
163.668106,1.067107
162.636078,1.060638
161.637283,1.053934
160.638535,1.047562
159.606430,1.040438
158.607651,1.033975
157.608841,1.027609
156.576813,1.020447
155.578003,1.013974
154.545944,1.007394
153.547165,1.000902
152.548386,0.994488
151.516296,0.987453
150.517532,0.980940
149.518738,0.974301
148.486664,0.967534
147.487885,0.961088
146.489105,0.954769
145.457016,0.947682
144.458267,0.941281
143.459503,0.934663
142.427399,0.927945
141.428650,0.921353
140.429840,0.914988
139.397781,0.907821
138.399002,0.901571
137.400223,0.895110
136.368118,0.887940
135.369385,0.881800
134.370560,0.874942
133.338501,0.868313
132.339691,0.861883
131.340958,0.855284
130.308853,0.848378
129.310074,0.841951
128.311264,0.835525
127.279228,0.828909
126.280426,0.821971
125.281647,0.815533
124.249550,0.808819
123.250801,0.802398
122.251991,0.795858
121.219940,0.788797
120.221115,0.782629
119.222366,0.775974
118.190239,0.769099
117.191505,0.762321
116.192688,0.756436
115.160629,0.749314
114.161819,0.742861
113.163063,0.736419
112.130974,0.729563
111.132202,0.722860
110.133385,0.716633
109.101326,0.709550
108.102509,0.703146
107.103767,0.696747
106.071671,0.689949
105.072891,0.683506
104.074081,0.676989
103.042015,0.670011
102.043213,0.663476
101.011185,0.656801
100.012398,0.650235
99.013596,0.643764
97.981529,0.637097
96.982719,0.630312
95.983971,0.623925
94.951881,0.617094
93.953102,0.610570
92.954285,0.604271
91.922226,0.597338
90.923409,0.590953
89.924667,0.584272
88.892548,0.577783
87.893791,0.570947
86.894981,0.564369
85.862923,0.557887
84.864113,0.551254
83.865334,0.544657
82.833237,0.537864
81.834457,0.531408
80.835648,0.525008
79.803581,0.518198
78.804771,0.511474
77.806030,0.505173
76.773903,0.498222
75.775154,0.491742
74.776337,0.485207
73.744286,0.478448
72.745476,0.472189
71.746696,0.465497
70.714600,0.458973
69.715820,0.452123
68.717003,0.445682
67.684944,0.438911
66.686142,0.432489
65.687355,0.425952
64.655266,0.419228
63.656487,0.412529
62.657673,0.406232
61.625610,0.399213
60.626797,0.392858
59.628021,0.386299
58.595932,0.379665
57.597145,0.373277
56.598400,0.366636
55.566277,0.359805
54.567528,0.353216
53.568687,0.346895
52.536625,0.340018
51.537811,0.333471
50.505753,0.326844
49.506939,0.320330
48.508160,0.313707
47.476070,0.306911
46.477287,0.300651
45.478477,0.293980
44.446415,0.287096
43.447601,0.280739
42.448826,0.274128
41.416702,0.267319
40.417953,0.260833
39.419140,0.254360
38.387077,0.247738
37.388233,0.240897
36.389488,0.234506
35.357365,0.227782
34.358585,0.221267
33.359772,0.214677
32.327709,0.207936
31.328901,0.201343
30.330120,0.194832
29.297997,0.188288
28.299248,0.181791
27.300406,0.175289
26.268345,0.168484
25.269531,0.161841
24.270754,0.155363
23.238661,0.148778
22.239880,0.142208
21.241070,0.135576
20.209009,0.128899
19.210163,0.122522
18.211416,0.115951
17.179293,0.109021
16.180511,0.102445
15.181702,0.096103
14.149640,0.089601
13.150796,0.082842
12.152049,0.076337
11.119988,0.069483
10.121144,0.062910
9.122396,0.056583
8.090272,0.049815
7.091493,0.043251
6.092681,0.036680
5.060620,0.029897
4.061809,0.023393
3.062997,0.017164
2.030904,0.011011
1.032093,0.005757
0.000000,0.002068
-0.998747,0.005173
-1.997624,0.010637
-3.029652,0.017663
-4.028464,0.024201
-5.027276,0.030700
-6.059368,0.037516
-7.058115,0.043935
-8.056992,0.050412
-9.089020,0.057103
-10.087896,0.063822
-11.086643,0.070168
-12.118735,0.076997
-13.117547,0.083442
-14.116360,0.089960
-15.148452,0.096758
-16.147263,0.103396
-17.146011,0.109705
-18.178169,0.116552
-19.176916,0.123100
-20.175728,0.129571
-21.207819,0.136211
-22.206633,0.142791
-23.205444,0.149418
-24.237535,0.156188
-25.236284,0.162664
-26.235159,0.168945
-27.267187,0.175779
-28.266064,0.182508
-29.264811,0.188849
-30.296968,0.195545
-31.295717,0.202161
-32.294464,0.208687
-33.326618,0.215591
-34.325367,0.221784
-35.324245,0.228312
-36.356274,0.235252
-37.355083,0.241640
-38.353897,0.248274
-39.385986,0.255046
-40.384800,0.261560
-41.383614,0.267890
-42.415703,0.274712
-43.414516,0.281218
-44.413265,0.287660
-45.445419,0.294386
-46.444168,0.301036
-47.443043,0.307473
-48.475071,0.314434
-49.473949,0.321058
-50.472694,0.327588
-51.504852,0.334109
-52.503601,0.340605
-53.535759,0.347302
-54.534504,0.353847
-55.533318,0.360298
-56.565411,0.367228
-57.564224,0.373540
-58.563034,0.380149
-59.595127,0.386998
-60.593937,0.393527
-61.592751,0.399748
-62.624840,0.406742
-63.623653,0.413376
-64.622467,0.419754
-65.654556,0.426443
-66.653366,0.433225
-67.652184,0.439563
-68.684273,0.446142
-69.683090,0.452826
-70.681831,0.459204
-71.713989,0.466096
-72.712738,0.472645
-73.711617,0.478931
-74.743645,0.485918
-75.742516,0.492333
-76.741264,0.498981
-77.773361,0.505549
-78.772171,0.512230
-79.770981,0.518693
-80.803070,0.525410
-81.801888,0.531979
-82.800697,0.538566
-83.832787,0.545330
-84.831604,0.551662
-85.830414,0.558361
-86.862572,0.565052
-87.861313,0.571662
-88.860130,0.578066
-89.892227,0.584801
-90.891098,0.591512
-91.889847,0.597839
-92.921997,0.604886
-93.920753,0.611057
-94.919624,0.617731
-95.951653,0.624524
-96.950531,0.631206
-97.949280,0.637514
-98.981438,0.644400
-99.980179,0.650696
-100.979065,0.657530
