2,Formula Renault 3.5,baseline
Steering Wheel Angle,Yaw Rate
293.941254,1.724164
292.942474,1.725480
291.943726,1.726529
290.911652,1.721362
289.912903,1.716732
288.914154,1.709882
287.882080,1.681276
286.883301,1.696584
285.884552,1.694161
284.852478,1.688141
283.853729,1.681973
282.854980,1.675853
281.822876,1.669482
280.824127,1.663391
279.825317,1.657401
278.793304,1.651030
277.794556,1.644883
276.795776,1.638718
275.763702,1.632457
274.764984,1.626382
273.766174,1.620235
272.734131,1.613890
271.735382,1.607743
270.736603,1.600918
269.704529,1.593798
268.705780,1.587469
267.707001,1.581208
266.674927,1.574906
265.676178,1.569191
264.677399,1.564164
263.645355,1.557975
262.646576,1.551983
261.647827,1.545492
260.615753,1.538921
259.617004,1.533276
258.584900,1.526440
257.586182,1.521940
256.587372,1.514180
255.555344,1.509351
254.556549,1.502821
253.557785,1.496680
252.525742,1.490748
251.526947,1.484337
250.528183,1.479194
249.496140,1.471595
248.497330,1.466220
247.498581,1.460969
246.466522,1.453467
245.467773,1.447927
244.468964,1.442903
243.436951,1.435210
242.438156,1.430071
241.439392,1.423200
240.407318,1.417931
239.408585,1.411348
238.409760,1.405874
237.377716,1.398718
236.378922,1.393232
235.380157,1.387641
234.348114,1.381512
233.349335,1.374954
232.350586,1.369068
231.318527,1.363090
230.319733,1.356629
229.320969,1.351053
228.288895,1.344664
227.290115,1.339184
226.291382,1.333102
225.259277,1.326734
224.260529,1.320223
223.261749,1.315230
222.229706,1.308326
221.230927,1.302234
220.232147,1.296772
219.200073,1.290561
218.201324,1.284324
217.202515,1.278463
216.170486,1.271948
215.171677,1.265903
214.172928,1.260833
213.140839,1.254053
212.142090,1.248010
211.143280,1.242671
210.111252,1.236328
209.112442,1.229478
208.113693,1.224385
207.081604,1.218400
206.082840,1.211511
205.050766,1.206203
204.052017,1.199724
203.053238,1.193926
202.021164,1.188028
201.022385,1.182028
200.023605,1.175467
198.991516,1.169945
197.992783,1.164132
196.994003,1.157608
195.961929,1.151742
194.963150,1.146037
