2,Formula Vee - Classic,baseline
Steering Wheel Angle,Yaw Rate
193.964371,2.531701
192.932281,2.531974
191.933533,2.523817
190.934753,2.511382
189.902695,2.497801
188.903946,2.484887
187.905136,2.471461
186.873108,2.457185
185.874298,2.443236
184.875549,2.430037
183.843445,2.416199
182.844696,2.402891
181.845901,2.389555
180.813843,2.375741
179.815063,2.362562
178.816269,2.349173
177.784180,2.335454
176.785431,2.322203
175.786636,2.308788
174.754608,2.294958
173.755783,2.281813
172.757034,2.268458
171.724945,2.254780
170.726196,2.241553
169.727371,2.228116
168.695328,2.214337
167.696548,2.201218
166.697769,2.187885
165.665665,2.173936
164.666916,2.160815
163.668106,2.147603
162.636078,2.133938
161.637283,2.120708
160.638535,2.107615
159.606430,2.093767
158.607651,2.080597
157.608841,2.067205
156.576813,2.053556
155.578003,2.040205
154.545944,2.026656
153.547165,2.013422
152.548386,2.000333
151.516296,1.986459
150.517532,1.973246
149.518738,1.959906
148.486664,1.946243
147.487885,1.933046
146.489105,1.919920
145.457016,1.906312
144.458267,1.892746
143.459503,1.879692
142.427399,1.865880
141.428650,1.852661
140.429840,1.839677
139.397781,1.825752
138.399002,1.812558
137.400223,1.799543
136.368118,1.785863
135.369385,1.772486
134.370560,1.759320
133.338501,1.745752
132.339691,1.732416
131.340958,1.719375
130.308853,1.705721
129.310074,1.692479
128.311264,1.679624
127.279228,1.665682
126.280426,1.652663
125.281647,1.639643
124.249550,1.625859
123.250801,1.612699
122.251991,1.599527
121.219940,1.585936
120.221115,1.572835
119.222366,1.559797
118.190239,1.546120
117.191505,1.532986
116.192688,1.519885
115.160629,1.506324
114.161819,1.493204
113.163063,1.480039
112.130974,1.466325
111.132202,1.453397
110.133385,1.440316
109.101326,1.426721
108.102509,1.413706
107.103767,1.400347
106.071671,1.386967
105.072891,1.373702
104.074081,1.360777
103.042015,1.347200
102.043213,1.334045
101.011185,1.320359
100.012398,1.307325
99.013596,1.294243
97.981529,1.280525
96.982719,1.267772
95.983971,1.254699
94.951881,1.241245
