2,Formula Vee - Conqueror,baseline
Steering Wheel Angle,Yaw Rate
193.964371,2.531579
192.932281,2.531982
191.933533,2.523706
190.934753,2.511593
189.902695,2.498034
188.903946,2.484939
187.905136,2.471388
186.873108,2.457681
185.874298,2.443775
184.875549,2.430137
183.843445,2.416386
182.844696,2.403567
181.845901,2.390111
180.813843,2.376233
179.815063,2.362869
178.816269,2.349463
177.784180,2.335443
176.785431,2.322148
175.786636,2.308688
174.754608,2.294997
173.755783,2.282117
172.757034,2.268325
171.724945,2.254837
170.726196,2.242296
169.727371,2.228976
168.695328,2.215442
167.696548,2.201747
166.697769,2.188209
165.665665,2.174261
164.666916,2.160941
163.668106,2.147668
162.636078,2.133726
161.637283,2.120570
160.638535,2.107357
159.606430,2.093584
158.607651,2.080345
157.608841,2.067205
156.576813,2.053347
155.578003,2.040130
154.545944,2.026692
153.547165,2.013178
152.548386,1.999899
151.516296,1.986225
150.517532,1.972941
149.518738,1.959766
148.486664,1.946110
147.487885,1.932761
146.489105,1.919833
145.457016,1.905869
144.458267,1.892751
143.459503,1.879739
142.427399,1.866168
141.428650,1.853051
140.429840,1.839634
139.397781,1.826319
138.399002,1.812998
137.400223,1.799927
136.368118,1.786220
135.369385,1.773295
134.370560,1.760280
133.338501,1.746651
132.339691,1.733541
131.340958,1.720322
130.308853,1.706787
129.310074,1.693186
128.311264,1.679935
127.279228,1.666140
126.280426,1.652966
125.281647,1.639693
124.249550,1.625832
123.250801,1.612836
122.251991,1.599585
121.219940,1.585830
120.221115,1.572898
119.222366,1.559611
118.190239,1.546272
117.191505,1.533310
116.192688,1.519928
115.160629,1.506380
114.161819,1.493191
113.163063,1.479882
112.130974,1.466487
111.132202,1.453196
110.133385,1.439993
109.101326,1.426571
108.102509,1.413318
107.103767,1.400314
106.071671,1.386577
105.072891,1.373806
104.074081,1.360440
103.042015,1.346831
102.043213,1.333660
101.011185,1.320140
100.012398,1.307276
99.013596,1.294024
97.981529,1.280687
96.982719,1.267612
95.983971,1.254467
94.951881,1.241012
93.953102,1.228120
92.954285,1.215308
91.922226,1.201683
90.923409,1.188590
89.924667,1.175494
88.892548,1.161895
87.893791,1.148612
86.894981,1.135449
85.862923,1.121633
84.864113,1.108407
83.865334,1.095282
82.833237,1.081647
81.834457,1.068702
80.835648,1.055442
79.803581,1.041976
78.804771,1.029071
77.806030,1.015792
76.773903,1.002471
75.775154,0.989405
74.776337,0.976234
73.744286,0.962823
72.745476,0.949739
71.746696,0.936649
70.714600,0.923372
69.715820,0.910372
68.717003,0.897490
67.684944,0.884015
66.686142,0.870953
65.687355,0.857876
64.655266,0.844383
63.656487,0.831329
62.657673,0.818013
61.625610,0.804358
60.626797,0.791208
59.628021,0.778051
58.595932,0.764579
57.597145,0.751336
56.598400,0.738353
55.566277,0.724806
54.567528,0.711628
53.568687,0.698554
52.536625,0.685078
51.537811,0.671922
50.505753,0.658533
49.506939,0.645505
48.508160,0.632420
47.476070,0.619128
46.477287,0.605965
45.478477,0.592970
44.446415,0.579538
43.447601,0.566500
42.448826,0.553481
41.416702,0.540113
40.417953,0.527114
39.419140,0.514139
38.387077,0.500753
37.388233,0.487664
36.389488,0.474542
35.357365,0.461049
34.358585,0.448020
33.359772,0.434696
32.327709,0.421143
31.328901,0.407899
30.330120,0.394860
29.297997,0.381347
28.299248,0.368214
27.300406,0.355212
26.268345,0.341853
25.269531,0.328710
24.270754,0.315765
23.238661,0.302169
22.239880,0.289358
21.241070,0.276263
20.209009,0.262728
19.210163,0.249928
18.211416,0.236848
17.179293,0.223501
16.180511,0.210455
15.181702,0.197428
14.149640,0.183928
13.150796,0.170978
12.152049,0.157991
11.119988,0.144351
10.121144,0.131446
9.122396,0.118304
8.090272,0.104830
7.091493,0.091581
6.092681,0.078582
5.060620,0.065006
4.061809,0.051956
3.062997,0.038765
2.030904,0.025153
1.032093,0.012262
0.000000,0.002165
-0.998747,0.013287
-1.997624,0.026352
-3.029652,0.040172
-4.028464,0.053020
-5.027276,0.066364
-6.059368,0.079810
-7.058115,0.092899
-8.056992,0.105793
-9.089020,0.119358
-10.087896,0.132305
-11.086643,0.145350
-12.118735,0.158749
-13.117547,0.171693
-14.116360,0.184670
-15.148452,0.198131
-16.147263,0.211015
-17.146011,0.224260
-18.178169,0.237678
-19.176916,0.250565
-20.175728,0.263627
-21.207819,0.277021
-22.206633,0.290291
-23.205444,0.303096
-24.237535,0.316883
-25.236284,0.329809
-26.235159,0.342989
-27.267187,0.356456
-28.266064,0.369588
-29.264811,0.382855
-30.296968,0.396365
-31.295717,0.409579
-32.294464,0.422697
-33.326618,0.436033
-34.325367,0.449125
-35.324245,0.462091
-36.356274,0.475672
-37.355083,0.488581
-38.353897,0.501641
-39.385986,0.515301
-40.384800,0.528073
-41.383614,0.541060
-42.415703,0.554477
-43.414516,0.567378
-44.413265,0.580560
-45.445419,0.593907
-46.444168,0.606802
-47.443043,0.619867
-48.475071,0.633532
-49.473949,0.646418
-50.472694,0.659658
-51.504852,0.673321
-52.503601,0.686457
-53.535759,0.700203
-54.534504,0.713227
-55.533318,0.726331
-56.565411,0.739973
-57.564224,0.752991
-58.563034,0.766224
-59.595127,0.779566
-60.593937,0.792724
-61.592751,0.805618
-62.624840,0.819128
-63.623653,0.832201
-64.622467,0.845297
-65.654556,0.858604
-66.653366,0.871640
-67.652184,0.884572
-68.684273,0.898004
-69.683090,0.911164
-70.681831,0.924037
-71.713989,0.937469
-72.712738,0.950587
-73.711617,0.963642
-74.743645,0.977052
-75.742516,0.990252
-76.741264,1.003350
-77.773361,1.017050
-78.772171,1.030082
-79.770981,1.043694
-80.803070,1.057254
-81.801888,1.070356
-82.800697,1.083399
-83.832787,1.097227
-84.831604,1.110307
-85.830414,1.123301
-86.862572,1.137060
-87.861313,1.150052
-88.860130,1.163190
-89.892227,1.176644
-90.891098,1.189637
-91.889847,1.202899
-92.921997,1.216425
-93.920753,1.229463
-94.919624,1.242477
-95.951653,1.256019
-96.950531,1.268820
-97.949280,1.282008
-98.981438,1.295580
-99.980179,1.308607
-100.979065,1.321631
-102.011093,1.335221
-103.009964,1.347960
-104.008705,1.361021
-105.040863,1.374661
-106.039619,1.387807
-107.071777,1.401568
-108.070587,1.414704
-109.069389,1.428082
-110.101486,1.441790
-111.100304,1.455000
-112.099113,1.468386
-113.131271,1.481804
-114.130020,1.495148
-115.128899,1.508357
-116.160927,1.521854
-117.159798,1.535071
-118.158554,1.548173
-119.190704,1.561737
-120.189453,1.574873
-121.188255,1.587864
-122.220421,1.601664
-123.219162,1.614732
-124.218033,1.627800
-125.250061,1.641366
-126.248947,1.654440
-127.247688,1.667555
-128.279846,1.681292
-129.278656,1.694177
-130.277481,1.707297
-131.309555,1.720755
-132.308380,1.733869
-133.307190,1.747087
-134.339355,1.760506
-135.338089,1.773817
-136.336975,1.786909
-137.369003,1.800998
-138.367874,1.814522
-139.366684,1.827932
-140.398773,1.841757
-141.397583,1.854986
-142.396408,1.868244
-143.428497,1.881887
-144.427368,1.895055
-145.426117,1.908285
-146.458282,1.922031
-147.457077,1.935160
-148.455902,1.948363
-149.487991,1.961942
-150.486877,1.975122
-151.485611,1.988340
-152.517776,2.002008
-153.516525,2.015279
-154.515396,2.028533
-155.547485,2.042191
-156.546295,2.055447
-157.578400,2.069366
-158.577271,2.082390
-159.576004,2.095803
-160.608170,2.109474
-161.606918,2.122718
-162.605804,2.135965
-163.637894,2.149912
-164.636765,2.163207
-165.635513,2.176360
-166.667603,2.190428
-167.666428,2.203404
-168.665222,2.217003
-169.697372,2.230521
-170.696136,2.244003
-171.695007,2.257290
-172.727097,2.270898
-173.725922,2.284362
-174.724731,2.297351
-175.756882,2.310607
-176.755630,2.323684
-177.754501,2.336585
-178.786606,2.351010
-179.785477,2.364373
-180.784225,2.377888
-181.816376,2.391908
-182.815125,2.405468
-183.813995,2.418763
-184.846100,2.432623
-185.844971,2.445669
-186.843719,2.459049
-187.875870,2.472971
-188.874695,2.486570
-189.873505,2.499878
-190.905594,2.513517
-191.904465,2.527151
-192.903214,2.534616
-193.935364,2.533776
