2,Formula Vee - Cutlass,baseline
Steering Wheel Angle,Yaw Rate
193.964371,2.531644
192.932281,2.532067
191.933533,2.523031
190.934753,2.510026
189.902695,2.496375
188.903946,2.483551
187.905136,2.469819
186.873108,2.455658
185.874298,2.442598
184.875549,2.429363
183.843445,2.415882
182.844696,2.402615
181.845901,2.388757
180.813843,2.374865
179.815063,2.361349
178.816269,2.347862
177.784180,2.333959
176.785431,2.320418
175.786636,2.307042
174.754608,2.293513
173.755783,2.279845
172.757034,2.266787
171.724945,2.252886
170.726196,2.239638
169.727371,2.226413
168.695328,2.212343
167.696548,2.199378
166.697769,2.186217
165.665665,2.172213
164.666916,2.158995
163.668106,2.145905
162.636078,2.132177
161.637283,2.118990
160.638535,2.105377
159.606430,2.091664
158.607651,2.078681
157.608841,2.065157
156.576813,2.051550
155.578003,2.038003
154.545944,2.024055
153.547165,2.010977
152.548386,1.997512
151.516296,1.983899
150.517532,1.970901
149.518738,1.957246
148.486664,1.943790
147.487885,1.930327
146.489105,1.917236
145.457016,1.903733
144.458267,1.890349
143.459503,1.877099
142.427399,1.863411
141.428650,1.850241
140.429840,1.836899
139.397781,1.823207
138.399002,1.810140
137.400223,1.797013
136.368118,1.783283
135.369385,1.770071
134.370560,1.757124
133.338501,1.743544
132.339691,1.730380
131.340958,1.717374
130.308853,1.703557
129.310074,1.690526
128.311264,1.677284
127.279228,1.663620
126.280426,1.650694
125.281647,1.637519
124.249550,1.623857
123.250801,1.611008
122.251991,1.598092
121.219940,1.584500
120.221115,1.571224
119.222366,1.558255
118.190239,1.544426
117.191505,1.531045
116.192688,1.517372
115.160629,1.503791
114.161819,1.490431
113.163063,1.477328
112.130974,1.463576
111.132202,1.450526
110.133385,1.437210
109.101326,1.423657
108.102509,1.410456
107.103767,1.397453
106.071671,1.383697
105.072891,1.370618
104.074081,1.357687
103.042015,1.343840
102.043213,1.330845
101.011185,1.317311
100.012398,1.304039
99.013596,1.290966
97.981529,1.277346
96.982719,1.264443
95.983971,1.251463
94.951881,1.237680
93.953102,1.224613
92.954285,1.211557
91.922226,1.197937
90.923409,1.184956
89.924667,1.172034
88.892548,1.158607
87.893791,1.145529
86.894981,1.132527
85.862923,1.119180
84.864113,1.106262
83.865334,1.093313
82.833237,1.079722
81.834457,1.066685
80.835648,1.053321
79.803581,1.039743
78.804771,1.026464
77.806030,1.013307
76.773903,0.999599
75.775154,0.986390
74.776337,0.973151
73.744286,0.960068
72.745476,0.946996
71.746696,0.933899
70.714600,0.920297
69.715820,0.907124
68.717003,0.894031
67.684944,0.880265
66.686142,0.867301
65.687355,0.854200
64.655266,0.840415
63.656487,0.827368
62.657673,0.814277
61.625610,0.800117
60.626797,0.787882
59.628021,0.774602
58.595932,0.761266
57.597145,0.748124
56.598400,0.734964
55.566277,0.721456
54.567528,0.708445
53.568687,0.695246
52.536625,0.682110
51.537811,0.668943
50.505753,0.655519
49.506939,0.642514
48.508160,0.629542
47.476070,0.616235
46.477287,0.603377
45.478477,0.590383
44.446415,0.576876
43.447601,0.563899
42.448826,0.550817
41.416702,0.537428
40.417953,0.524042
39.419140,0.510716
38.387077,0.497226
37.388233,0.484045
36.389488,0.471067
35.357365,0.457340
34.358585,0.444189
33.359772,0.431188
32.327709,0.417516
31.328901,0.404493
30.330120,0.391593
29.297997,0.378135
28.299248,0.365146
27.300406,0.352429
26.268345,0.338824
25.269531,0.325976
24.270754,0.312913
23.238661,0.299451
22.239880,0.286543
21.241070,0.273512
20.209009,0.260163
19.210163,0.246994
18.211416,0.233866
17.179293,0.220488
16.180511,0.207371
15.181702,0.194288
14.149640,0.180658
13.150796,0.167698
12.152049,0.154643
11.119988,0.141230
10.121144,0.128070
9.122396,0.114984
8.090272,0.101284
7.091493,0.088330
6.092681,0.075219
5.060620,0.061699
4.061809,0.048586
3.062997,0.035335
2.030904,0.021980
1.032093,0.008940
0.000000,0.003658
-0.998747,0.016611
-1.997624,0.025060
-3.029652,0.039731
-4.028464,0.052821
-5.027276,0.066103
-6.059368,0.079542
-7.058115,0.092724
-8.056992,0.105906
-9.089020,0.119351
-10.087896,0.132521
-11.086643,0.145412
-12.118735,0.158911
-13.117547,0.171990
-14.116360,0.184943
-15.148452,0.198469
-16.147263,0.211475
-17.146011,0.224514
-18.178169,0.237814
-19.176916,0.250824
-20.175728,0.263725
-21.207819,0.277265
-22.206633,0.290213
-23.205444,0.303200
-24.237535,0.316746
-25.236284,0.329533
-26.235159,0.342615
-27.267187,0.356147
-28.266064,0.369133
-29.264811,0.382238
-30.296968,0.395998
-31.295717,0.409031
-32.294464,0.422112
-33.326618,0.435881
-34.325367,0.449147
-35.324245,0.462046
-36.356274,0.475723
-37.355083,0.488550
-38.353897,0.501695
-39.385986,0.515180
-40.384800,0.528211
-41.383614,0.541198
-42.415703,0.554630
-43.414516,0.567605
-44.413265,0.580476
-45.445419,0.593802
-46.444168,0.606948
-47.443043,0.619813
-48.475071,0.633448
-49.473949,0.646489
-50.472694,0.659517
-51.504852,0.673165
-52.503601,0.686233
-53.535759,0.700030
-54.534504,0.713047
-55.533318,0.726249
-56.565411,0.739863
-57.564224,0.752893
-58.563034,0.766155
-59.595127,0.779495
-60.593937,0.792715
-61.592751,0.805754
-62.624840,0.819299
-63.623653,0.832338
-64.622467,0.845236
-65.654556,0.858870
-66.653366,0.871708
-67.652184,0.884855
-68.684273,0.898237
-69.683090,0.911433
-70.681831,0.924290
-71.713989,0.937891
-72.712738,0.950824
-73.711617,0.963891
-74.743645,0.977471
-75.742516,0.990268
-76.741264,1.003390
-77.773361,1.016885
-78.772171,1.030003
-79.770981,1.043350
-80.803070,1.056956
-81.801888,1.070166
-82.800697,1.083247
-83.832787,1.097090
-84.831604,1.109934
-85.830414,1.123220
-86.862572,1.136885
-87.861313,1.149925
-88.860130,1.163109
-89.892227,1.176559
-90.891098,1.189674
-91.889847,1.202826
-92.921997,1.216282
-93.920753,1.229519
-94.919624,1.242556
-95.951653,1.256135
-96.950531,1.269395
-97.949280,1.282257
-98.981438,1.295715
-99.980179,1.308686
-100.979065,1.321694
-102.011093,1.335157
-103.009964,1.348041
-104.008705,1.361112
-105.040863,1.374823
-106.039619,1.387609
-107.071777,1.401317
-108.070587,1.414462
-109.069389,1.427498
-110.101486,1.441534
-111.100304,1.454951
-112.099113,1.468124
-113.131271,1.481878
-114.130020,1.495046
-115.128899,1.508262
-116.160927,1.522024
-117.159798,1.534895
-118.158554,1.548160
-119.190704,1.561746
-120.189453,1.574982
-121.188255,1.587961
-122.220421,1.601763
-123.219162,1.614726
-124.218033,1.627773
-125.250061,1.641423
-126.248947,1.654399
-127.247688,1.667993
-128.279846,1.681330
-129.278656,1.694535
-130.277481,1.707626
-131.309555,1.721071
-132.308380,1.734437
-133.307190,1.747624
-134.339355,1.761370
-135.338089,1.774787
-136.336975,1.788064
-137.369003,1.801551
-138.367874,1.815031
-139.366684,1.828152
-140.398773,1.841838
-141.397583,1.855052
-142.396408,1.868148
-143.428497,1.881974
-144.427368,1.895092
-145.426117,1.908144
-146.458282,1.922030
-147.457077,1.935361
-148.455902,1.947977
-149.487991,1.961449
-150.486877,1.974980
-151.485611,1.988226
-152.517776,2.002224
-153.516525,2.015375
-154.515396,2.028769
-155.547485,2.042542
-156.546295,2.055569
-157.578400,2.069667
-158.577271,2.082735
-159.576004,2.096085
-160.608170,2.109767
-161.606918,2.123048
-162.605804,2.136426
-163.637894,2.149871
-164.636765,2.163412
-165.635513,2.176535
-166.667603,2.190070
-167.666428,2.203613
-168.665222,2.216836
-169.697372,2.230539
-170.696136,2.244011
-171.695007,2.257084
-172.727097,2.270930
-173.725922,2.284283
-174.724731,2.297454
-175.756882,2.311538
-176.755630,2.324534
-177.754501,2.337869
-178.786606,2.351825
-179.785477,2.364526
-180.784225,2.377289
-181.816376,2.391182
-182.815125,2.404052
-183.813995,2.418100
-184.846100,2.431752
-185.844971,2.444734
-186.843719,2.458334
-187.875870,2.471750
-188.874695,2.485471
-189.873505,2.499004
-190.905594,2.513093
-191.904465,2.526648
-192.903214,2.534379
-193.935364,2.533748
