2,Formula Vee,baseline
Steering Wheel Angle,Yaw Rate
193.964371,2.530813
192.932281,2.531442
191.933533,2.523278
190.934753,2.510032
189.902695,2.496597
188.903946,2.484070
187.905136,2.471204
186.873108,2.457690
185.874298,2.444513
184.875549,2.430910
183.843445,2.416554
182.844696,2.403138
181.845901,2.389680
180.813843,2.375972
179.815063,2.362410
178.816269,2.349296
177.784180,2.335372
176.785431,2.322058
175.786636,2.308942
174.754608,2.294938
173.755783,2.281674
172.757034,2.268416
171.724945,2.254699
170.726196,2.241452
169.727371,2.228232
168.695328,2.214296
167.696548,2.201139
166.697769,2.187984
165.665665,2.174037
164.666916,2.161008
163.668106,2.147835
162.636078,2.133917
161.637283,2.120973
160.638535,2.107537
159.606430,2.093749
158.607651,2.080592
157.608841,2.067365
156.576813,2.053731
155.578003,2.039950
154.545944,2.026419
153.547165,2.013443
152.548386,1.999879
151.516296,1.986228
150.517532,1.972949
149.518738,1.959808
148.486664,1.946137
147.487885,1.932956
146.489105,1.919828
145.457016,1.906181
144.458267,1.892927
143.459503,1.879643
142.427399,1.866182
141.428650,1.852610
140.429840,1.839641
139.397781,1.825865
138.399002,1.812667
137.400223,1.799633
136.368118,1.785930
135.369385,1.772905
134.370560,1.759710
133.338501,1.745986
132.339691,1.732856
131.340958,1.719770
130.308853,1.705969
129.310074,1.692876
128.311264,1.679675
127.279228,1.666244
126.280426,1.652930
125.281647,1.639611
124.249550,1.626157
123.250801,1.613090
122.251991,1.599850
121.219940,1.586332
120.221115,1.573343
119.222366,1.560169
118.190239,1.546680
117.191505,1.533677
116.192688,1.520532
115.160629,1.507034
114.161819,1.494200
113.163063,1.480671
112.130974,1.467222
111.132202,1.453746
110.133385,1.440500
109.101326,1.426811
108.102509,1.413592
107.103767,1.400284
106.071671,1.386793
105.072891,1.373435
104.074081,1.360657
103.042015,1.346720
102.043213,1.333690
101.011185,1.320106
100.012398,1.307032
99.013596,1.293929
97.981529,1.280499
96.982719,1.267406
95.983971,1.254204
94.951881,1.240566
93.953102,1.227793
92.954285,1.214740
91.922226,1.201039
90.923409,1.188080
89.924667,1.175177
88.892548,1.161558
87.893791,1.148537
86.894981,1.135676
85.862923,1.122131
84.864113,1.109151
83.865334,1.095911
82.833237,1.082512
81.834457,1.069223
80.835648,1.056083
79.803581,1.042405
78.804771,1.029215
77.806030,1.016016
76.773903,1.002448
75.775154,0.989402
74.776337,0.976223
73.744286,0.962650
72.745476,0.949519
71.746696,0.936353
70.714600,0.923058
69.715820,0.910071
68.717003,0.896955
67.684944,0.883627
66.686142,0.870595
65.687355,0.857471
64.655266,0.844153
63.656487,0.831199
62.657673,0.818221
61.625610,0.804553
60.626797,0.791675
59.628021,0.778423
58.595932,0.764772
57.597145,0.751579
56.598400,0.738501
55.566277,0.724940
54.567528,0.711694
53.568687,0.698645
52.536625,0.685019
51.537811,0.671964
50.505753,0.658573
49.506939,0.645504
48.508160,0.632401
47.476070,0.618909
46.477287,0.606082
45.478477,0.592959
44.446415,0.579486
43.447601,0.566570
42.448826,0.553648
41.416702,0.540146
40.417953,0.527341
39.419140,0.514209
38.387077,0.500819
37.388233,0.487492
36.389488,0.474339
35.357365,0.460618
34.358585,0.447603
33.359772,0.434517
32.327709,0.421088
31.328901,0.407764
30.330120,0.394910
29.297997,0.381195
28.299248,0.368244
27.300406,0.355266
26.268345,0.341816
25.269531,0.328729
24.270754,0.315657
23.238661,0.302316
22.239880,0.289522
21.241070,0.276583
20.209009,0.263134
19.210163,0.250264
18.211416,0.237110
17.179293,0.223588
16.180511,0.210464
15.181702,0.197185
14.149640,0.183817
13.150796,0.170521
12.152049,0.157524
11.119988,0.143887
