2,Gen 4 Chevrolet Impala,roadamerica
Steering Wheel Angle,Yaw Rate
367.021210,2.996476
366.161163,3.004785
365.328857,3.065859
364.496582,3.065902
363.636566,3.057648
362.804291,3.028227
361.971954,3.013402
361.111938,3.005527
360.279633,2.998003
359.447357,3.002002
358.587311,2.999650
357.755035,2.992572
356.922760,2.978681
356.062714,2.973920
355.230408,2.966233
354.398132,2.961488
353.538086,2.953627
352.705811,2.945990
351.873505,2.939179
351.013458,2.931558
350.181152,2.923935
349.348877,2.916999
348.488861,2.910088
347.656586,2.902830
346.824280,2.895348
345.964233,2.887758
345.131927,2.880562
344.271912,2.873367
343.439606,2.865706
342.607300,2.858788
341.747284,2.851985
340.915009,2.844613
340.082703,2.836685
339.222687,2.829860
338.390381,2.823111
337.558075,2.815127
336.698059,2.808856
335.865753,2.800669
335.033447,2.794156
334.173431,2.787314
333.341125,2.779622
332.508850,2.772302
331.648834,2.764508
330.816498,2.757871
329.984222,2.750214
329.124176,2.742722
328.291870,2.736905
327.459595,2.728913
326.599579,2.722133
325.767242,2.714760
324.934998,2.707461
324.074890,2.700049
323.242615,2.692217
322.410339,2.685583
321.550323,2.678916
320.718018,2.671084
319.885742,2.664168
319.025665,2.658049
318.193359,2.649300
317.361053,2.642171
316.501038,2.635540
315.668762,2.627197
314.836456,2.620874
313.976410,2.613484
313.144104,2.605605
312.311798,2.599640
311.451782,2.591996
310.619476,2.585653
309.787201,2.577639
308.927124,2.570546
308.094849,2.563976
307.262543,2.555708
306.402527,2.549554
305.570251,2.541321
304.737915,2.534932
303.877869,2.527453
303.045593,2.520362
302.185547,2.513386
301.353241,2.505199
300.520966,2.499047
299.660919,2.491342
298.828613,2.484351
297.996338,2.477373
297.136292,2.468823
296.303955,2.462451
295.471680,2.454118
294.611664,2.448960
293.779358,2.441572
292.947052,2.433922
292.087006,2.425465
291.254700,2.419971
290.422424,2.412475
289.562378,2.404939
288.730072,2.398456
287.897766,2.391207
287.037720,2.382832
286.205444,2.376889
285.373138,2.369676
284.513092,2.362022
283.680786,2.355933
282.848511,2.348348
281.988434,2.340904
281.156128,2.332536
280.323853,2.327557
279.463837,2.319507
278.631531,2.312060
277.799194,2.304450
276.939148,2.298230
276.106873,2.288794
275.274567,2.284115
274.414520,2.275640
273.582184,2.270223
272.749939,2.262563
271.889862,2.255348
271.057556,2.248440
270.225281,2.241293
269.365234,2.233790
268.532898,2.226623
267.700653,2.218883
266.840576,2.212726
266.008301,2.204671
265.175995,2.198275
264.315948,2.191100
263.483612,2.182999
262.651367,2.176674
261.791260,2.168898
260.958984,2.161390
260.126709,2.155649
259.266663,2.146854
258.434326,2.141519
257.574310,2.134581
256.741974,2.126203
255.909698,2.119836
255.049637,2.112684
254.217377,2.105539
253.385025,2.097370
252.524994,2.091177
251.692673,2.084145
250.860382,2.077366
250.000351,2.068851
249.168060,2.063590
248.335739,2.056481
247.475677,2.048680
246.643387,2.041400
245.811096,2.034481
244.951035,2.026778
244.118729,2.019042
243.286438,2.013628
242.426376,2.005033
241.594086,1.999760
240.761795,1.991858
239.901733,1.985156
239.069412,1.976296
238.237122,1.971335
237.377060,1.963108
236.544769,1.956442
235.712479,1.949061
234.852386,1.942623
234.020096,1.934093
233.187759,1.928609
232.327744,1.920662
231.495453,1.914007
230.663147,1.906103
229.803085,1.900075
228.970810,1.892882
228.138474,1.884976
227.278442,1.878322
226.446152,1.870674
225.613831,1.864279
224.753769,1.855593
223.921478,1.850386
223.089157,1.843683
222.229095,1.835286
221.396805,1.828090
220.564499,1.822417
219.704453,1.814665
218.872147,1.805082
218.039856,1.801499
217.179794,1.793917
216.347504,1.784755
215.487411,1.780304
214.655151,1.772470
213.822800,1.766094
212.962784,1.758237
212.130447,1.751515
211.298157,1.744102
210.438110,1.737066
209.605789,1.729660
208.773483,1.723806
207.913452,1.715312
207.081100,1.709440
206.248810,1.701079
205.388763,1.695304
204.556473,1.687640
203.724136,1.680841
202.864120,1.673458
202.031799,1.666156
201.199493,1.660030
200.339432,1.651969
199.507156,1.645749
198.674789,1.636669
197.814758,1.631334
196.982437,1.625452
196.150131,1.615201
195.290085,1.610316
194.457779,1.603337
193.625488,1.596570
192.765442,1.586987
191.933105,1.581685
191.100800,1.575314
190.240738,1.567699
189.408432,1.560737
188.576141,1.554691
187.716064,1.546974
186.883774,1.539693
186.051453,1.533081
185.191422,1.525105
184.359100,1.519111
183.526779,1.510870
182.666718,1.505860
181.834427,1.498274
181.002090,1.491068
180.142075,1.483692
179.309723,1.475543
178.477432,1.469801
177.617355,1.462531
176.785065,1.455967
175.952728,1.448772
175.092712,1.439924
174.260361,1.434369
173.428070,1.428961
172.567993,1.420479
171.735703,1.414284
170.875641,1.406872
170.043350,1.397819
169.211029,1.392506
168.350967,1.385672
167.518646,1.378071
166.686340,1.372425
165.826263,1.364063
164.993988,1.357559
164.161667,1.351150
163.301605,1.342314
162.469284,1.336354
161.636978,1.329914
160.776901,1.321320
159.944611,1.316380
159.112289,1.309490
158.252243,1.300700
157.419952,1.294705
156.587616,1.287479
155.727585,1.280230
154.895248,1.274127
154.062958,1.265689
153.202866,1.260250
152.370575,1.252919
151.538254,1.245671
150.678192,1.237628
149.845886,1.232192
149.013550,1.223206
148.153473,1.216669
147.321182,1.211550
146.488861,1.202963
145.628830,1.196391
144.796478,1.190392
143.964188,1.182882
143.104111,1.176101
142.271820,1.168218
141.439468,1.162728
140.579437,1.153246
139.747116,1.147263
138.914810,1.141996
138.054718,1.133478
137.222427,1.126869
136.390091,1.120519
135.530060,1.111311
134.697739,1.106094
133.865448,1.099758
133.005356,1.091061
132.173035,1.084925
131.340698,1.077164
130.480667,1.070865
129.648331,1.064324
128.788284,1.057232
127.955971,1.048623
127.123650,1.042979
126.263580,1.036868
125.431274,1.027727
124.598946,1.021625
123.738884,1.015710
122.906570,1.008374
122.074249,1.001427
121.214180,0.993005
120.381889,0.987958
119.549583,0.979262
118.689499,0.972374
117.857208,0.966770
117.024864,0.959972
116.164818,0.951158
115.332497,0.944955
114.500183,0.939170
113.640099,0.931609
112.807816,0.924603
111.975464,0.916480
111.115417,0.909574
110.283073,0.903392
109.450798,0.897200
108.590706,0.888536
107.758392,0.881716
106.926048,0.876582
106.066025,0.868262
105.233688,0.861735
104.401367,0.853726
103.541290,0.847740
102.709000,0.841697
101.876656,0.832418
101.016617,0.827367
100.184258,0.819945
99.351967,0.812785
98.491867,0.805715
97.659584,0.798195
96.827240,0.792639
95.967186,0.784059
95.134850,0.778196
94.302551,0.770519
93.442474,0.764514
92.610168,0.756451
91.777817,0.750315
90.917770,0.741676
90.085419,0.735534
89.253136,0.730077
88.393059,0.722221
87.560738,0.714463
86.728401,0.709137
85.868347,0.700368
85.036011,0.693375
84.175987,0.686700
83.343666,0.680582
82.511330,0.674223
81.651276,0.665447
80.818932,0.658390
79.986641,0.652093
79.126564,0.645598
78.294250,0.639281
77.461899,0.630799
76.601852,0.623460
75.769508,0.618305
74.937218,0.610872
74.077118,0.603356
73.244827,0.596897
72.412483,0.588660
71.552437,0.582285
70.720093,0.576602
69.887779,0.567635
69.027695,0.562460
68.195381,0.553878
67.363037,0.547183
66.502983,0.541609
65.670639,0.533977
64.838356,0.527257
63.978252,0.519276
63.145962,0.513706
62.313614,0.505810
61.453571,0.497902
60.621227,0.491577
59.788914,0.485985
58.928833,0.476880
58.096516,0.471517
57.264168,0.464719
56.404118,0.456193
55.571785,0.450452
54.739460,0.443834
53.879387,0.435617
53.047070,0.428573
52.214725,0.423403
51.354675,0.414943
50.522331,0.408208
49.690018,0.402198
48.829941,0.393335
47.997620,0.388133
47.165333,0.381295
46.305229,0.373819
45.472939,0.366216
44.640572,0.358978
43.780521,0.352236
42.948174,0.346754
42.088127,0.337599
41.255783,0.332981
40.423466,0.324173
39.563393,0.317470
38.731071,0.311620
37.898731,0.303195
37.038677,0.303511
36.206333,0.298757
35.374020,0.295484
34.513916,0.299088
33.681625,0.294834
32.849281,0.289479
31.989231,0.282284
31.156860,0.274189
30.324574,0.267205
29.464470,0.261138
28.632154,0.253091
27.799809,0.247303
26.939756,0.239273
26.107418,0.233373
25.275099,0.225409
24.414997,0.218160
23.582706,0.212543
22.750338,0.204673
21.890287,0.198723
21.057941,0.191004
20.225628,0.183938
19.365551,0.177493
18.533232,0.169542
17.700891,0.163750
16.840841,0.155629
16.008469,0.148815
15.176180,0.142193
14.316077,0.135940
13.483759,0.128416
12.651418,0.120840
11.791367,0.114201
10.958997,0.106960
10.126707,0.101317
9.266657,0.092915
8.434287,0.087193
7.601997,0.079704
6.741893,0.072121
5.909577,0.066028
5.077234,0.058287
4.217184,0.051799
3.384840,0.045293
2.552498,0.038387
1.692420,0.030331
0.860077,0.023077
0.000000,0.017519
-0.832289,0.009672
-1.664686,0.002457
-2.524710,0.003853
-3.357053,0.010519
-4.189396,0.017544
-5.049473,0.025788
-5.881763,0.031217
-6.714159,0.039294
-7.574183,0.046503
-8.406580,0.052150
-9.238869,0.060294
-10.098946,0.067138
-10.931289,0.073151
-11.763633,0.081250
-12.623710,0.087139
-13.456052,0.095436
-14.288342,0.101033
-15.148474,0.109376
-15.980763,0.115229
-16.813107,0.121677
-17.673182,0.130087
-18.505527,0.137175
-19.337870,0.142872
-20.197947,0.150148
-21.030237,0.158297
-21.862633,0.164316
-22.722656,0.170813
-23.555052,0.178058
-24.387342,0.185835
-25.247473,0.192057
-26.079763,0.198968
-26.912052,0.206360
-27.772181,0.212683
-28.604471,0.220743
-29.436871,0.227770
-30.296894,0.233561
-31.129236,0.240614
-31.961580,0.247853
-32.821655,0.255946
-33.653999,0.262709
-34.486343,0.268201
-35.346416,0.276759
-36.178764,0.283906
-37.011055,0.289505
-37.871181,0.296430
-38.703472,0.304422
-39.535870,0.311689
-40.395893,0.317920
-41.228291,0.324266
-42.060577,0.332486
-42.920708,0.340090
-43.752998,0.345606
-44.613132,0.352164
-45.445419,0.359540
-46.277763,0.367845
-47.137840,0.374178
-47.970184,0.380576
-48.802528,0.388881
-49.662605,0.395756
-50.494946,0.401289
-51.327290,0.408822
-52.187366,0.416935
-53.019711,0.422763
-53.852055,0.429205
-54.712128,0.436814
-55.544472,0.443714
-56.376820,0.451513
-57.236893,0.457972
-58.069241,0.464745
-58.901524,0.473001
-59.761658,0.479633
-60.593948,0.485102
-61.426346,0.492571
-62.286369,0.500601
-63.118763,0.508029
-63.951054,0.515037
-64.811134,0.521618
-65.643471,0.527097
-66.475815,0.534593
-67.335892,0.543286
-68.168236,0.550007
-69.000580,0.555797
-69.860657,0.562767
-70.693001,0.570667
-71.525345,0.576437
-72.385475,0.584579
-73.217758,0.591772
-74.050110,0.598533
-74.910187,0.604465
-75.742577,0.613005
