2,Gen 4 Chevrolet Monte Carlo,watkinsglen
Steering Wheel Angle,Yaw Rate
368.684296,2.889994
367.685516,2.896921
366.653442,2.946250
365.654724,2.946205
364.622681,2.940210
363.623901,2.913105
362.625153,2.904712
361.593109,2.895423
360.594330,2.893987
359.595612,2.891799
358.563568,2.884161
357.564758,2.876948
356.566010,2.868691
355.533997,2.852791
354.535248,2.849359
353.536469,2.840243
352.504425,2.833534
351.505646,2.823794
350.506927,2.816125
349.474854,2.806641
348.476105,2.798830
347.477325,2.790155
346.445282,2.782140
345.446533,2.773985
344.447784,2.764423
343.415710,2.758103
342.416962,2.747084
341.418213,2.741361
340.386139,2.731597
339.387360,2.723983
338.388641,2.714939
337.356598,2.707549
336.357849,2.699311
335.359039,2.690390
334.326996,2.681875
333.328247,2.672997
332.329498,2.665918
331.297424,2.656723
330.298645,2.648481
329.299927,2.640661
328.267853,2.632246
327.269073,2.623561
326.270355,2.615541
325.238281,2.606858
324.239502,2.598564
323.240784,2.590594
322.208710,2.580830
321.209961,2.574062
320.211212,2.565738
319.179138,2.556807
318.180359,2.548316
317.181641,2.540908
316.149536,2.531459
315.150787,2.523585
314.152069,2.514521
313.119995,2.507391
312.121185,2.499604
311.089172,2.489910
310.090393,2.483082
309.091644,2.473837
308.059570,2.465388
307.060852,2.456615
306.062042,2.449400
305.029999,2.440965
304.031219,2.431906
303.032471,2.424418
302.000427,2.415860
301.001678,2.408150
300.002899,2.399872
298.970825,2.391996
297.972076,2.382526
296.973328,2.374719
295.941254,2.366599
294.942474,2.357656
293.943726,2.350544
292.911652,2.341931
291.912903,2.332761
290.914154,2.325356
289.882080,2.316664
288.883301,2.308816
287.884552,2.300795
286.852478,2.292377
285.853729,2.284051
284.854980,2.275598
283.822876,2.267516
282.824127,2.259689
281.825317,2.250870
280.793304,2.243254
279.794556,2.234260
278.795776,2.226794
277.763702,2.218562
276.764984,2.210256
275.766174,2.201590
274.734131,2.194338
273.735382,2.184804
272.736603,2.177575
271.704529,2.168596
270.705780,2.160992
269.707001,2.152658
268.674927,2.144101
267.676178,2.136771
266.677399,2.127832
265.645355,2.120029
264.646576,2.111605
263.647827,2.104336
262.615753,2.095024
261.617004,2.087637
260.584900,2.078423
259.586182,2.070708
258.587372,2.062191
257.555359,2.053824
256.556549,2.045848
255.557785,2.038135
254.525742,2.030155
253.526947,2.021100
252.528183,2.013556
251.496140,2.003609
250.497330,1.997638
249.498581,1.988738
248.466522,1.980490
247.467773,1.973182
246.468964,1.964904
245.436951,1.956380
244.438156,1.948415
243.439392,1.940227
242.407318,1.931650
241.408585,1.924071
240.409760,1.916207
239.377716,1.907219
238.378922,1.899481
237.380157,1.891513
236.348114,1.881422
235.349335,1.875354
234.350586,1.866812
233.318527,1.858784
232.319733,1.850815
231.320969,1.843008
230.288895,1.834229
229.290115,1.826423
228.291382,1.817428
227.259277,1.810128
226.260529,1.799924
225.261749,1.794309
224.229706,1.784064
223.230927,1.778130
222.232147,1.769493
221.200073,1.761233
220.201324,1.753617
219.202515,1.745401
218.170486,1.737448
217.171677,1.729306
216.172928,1.720901
215.140839,1.711146
214.142090,1.705361
213.143280,1.696695
212.111252,1.688735
211.112442,1.680534
210.113693,1.672501
209.081604,1.663355
208.082840,1.656352
207.050766,1.647218
206.052017,1.640831
205.053238,1.632053
204.021164,1.624064
203.022385,1.614118
202.023605,1.608179
200.991516,1.599934
199.992783,1.591960
198.994003,1.583680
197.961929,1.575286
196.963150,1.567222
195.964371,1.559453
194.932281,1.551422
193.933533,1.543176
192.934753,1.535626
191.902695,1.526478
190.903946,1.519734
189.905136,1.510905
188.873108,1.502867
187.874298,1.495142
186.875549,1.486958
185.843445,1.478854
184.844696,1.470946
183.845901,1.462823
182.813843,1.454281
181.815063,1.446510
180.816269,1.438576
179.784180,1.430767
178.785431,1.421630
177.786636,1.414911
176.754608,1.406726
175.755783,1.398479
174.757034,1.390825
173.724945,1.382623
172.726196,1.374020
171.727371,1.366503
170.695328,1.358383
169.696548,1.349683
168.697769,1.342832
167.665665,1.332413
166.666916,1.326359
165.668106,1.317365
164.636078,1.310287
163.637283,1.302245
162.638535,1.292326
161.606430,1.286859
160.607651,1.277019
159.608841,1.270670
158.576813,1.260283
157.578003,1.254243
156.545944,1.245950
155.547165,1.236703
154.548386,1.230413
153.516296,1.222041
152.517532,1.213496
151.518738,1.206390
150.486664,1.197989
149.487885,1.189934
148.489105,1.181617
147.457016,1.174113
146.458267,1.165611
145.459503,1.157814
144.427399,1.149683
143.428650,1.141787
142.429840,1.133878
141.397781,1.125965
140.399002,1.118069
139.400223,1.108919
138.368118,1.102164
137.369385,1.093433
136.370560,1.086576
135.338501,1.076645
134.339691,1.070270
133.340958,1.060881
132.308853,1.054365
131.310074,1.045032
130.311264,1.037889
129.279236,1.029909
128.280426,1.022232
127.281647,1.014093
126.249550,1.006048
125.250801,0.997771
124.251991,0.990211
123.219940,0.981367
122.221115,0.974333
121.222366,0.965135
120.190239,0.958514
119.191505,0.949168
118.192688,0.942475
117.160629,0.934041
116.161819,0.926174
115.163063,0.918188
114.130974,0.908768
113.132202,0.902629
112.133385,0.894359
111.101326,0.885688
110.102509,0.878227
109.103767,0.869373
108.071671,0.862689
107.072891,0.854534
106.074081,0.846350
105.042015,0.838407
104.043213,0.829530
103.011185,0.821207
102.012398,0.814773
101.013596,0.806360
99.981529,0.798287
98.982719,0.790070
97.983971,0.782285
96.951881,0.774313
95.953102,0.765956
94.954285,0.758440
93.922226,0.750138
92.923409,0.742669
91.924667,0.733636
90.892548,0.726396
89.893791,0.719113
88.894981,0.710631
87.862923,0.702357
86.864113,0.694612
85.865334,0.686034
84.833237,0.678902
83.834457,0.670891
82.835648,0.662607
81.803581,0.654498
80.804771,0.646915
79.806030,0.638860
78.773903,0.630890
77.775154,0.622859
76.776337,0.614248
75.744286,0.606892
74.745476,0.598734
73.746696,0.590823
72.714600,0.582407
71.715820,0.575242
70.717003,0.566246
69.684944,0.558317
68.686142,0.551365
67.687355,0.542926
66.655266,0.534228
65.656487,0.527569
64.657669,0.518700
63.625610,0.511273
62.626797,0.502345
61.628021,0.495517
60.595932,0.486213
59.597145,0.479605
58.598400,0.470367
57.566277,0.463378
56.567528,0.455001
55.568687,0.447548
54.536625,0.438463
53.537811,0.431614
52.505753,0.422369
51.506939,0.415656
50.508160,0.407253
49.476070,0.399293
48.477287,0.390581
47.478477,0.383842
46.446415,0.374495
45.447601,0.367608
44.448826,0.358870
43.416702,0.351465
42.417953,0.342851
41.419140,0.336028
40.387077,0.327286
39.388233,0.322633
38.389488,0.318210
37.357365,0.311758
