2,Gen 4 Ford Taurus,watkinsglen
Steering Wheel Angle,Yaw Rate
368.684296,2.886659
367.685516,2.894428
366.653442,2.946581
365.654724,2.946705
364.622681,2.940783
363.623901,2.913199
362.625153,2.904787
361.593109,2.895498
360.594330,2.893480
359.595612,2.891442
358.563568,2.884805
357.564758,2.877607
356.566010,2.865984
355.533997,2.853808
354.535248,2.850652
353.536469,2.840382
352.504425,2.833459
351.505646,2.823684
350.506927,2.816959
349.474854,2.807150
348.476105,2.799970
347.477325,2.790309
346.445282,2.782429
345.446533,2.773811
344.447784,2.764601
343.415710,2.756830
342.416962,2.748562
341.418213,2.740438
340.386139,2.731471
339.387360,2.723577
338.388641,2.716202
337.356598,2.706611
336.357849,2.698903
335.359039,2.690217
334.326996,2.681239
333.328247,2.674515
332.329498,2.663941
331.297424,2.656626
330.298645,2.649329
329.299927,2.639778
328.267853,2.631767
327.269073,2.624724
326.270355,2.615148
325.238281,2.607137
324.239502,2.596304
323.240784,2.591212
322.208710,2.581472
321.209961,2.573497
320.211212,2.565035
319.179138,2.557269
318.180359,2.548594
317.181641,2.539891
316.149536,2.532175
315.150787,2.523683
314.152069,2.516128
313.119995,2.507065
312.121185,2.499231
311.089172,2.490596
310.090393,2.482200
309.091644,2.474460
308.059570,2.465389
307.060852,2.456857
306.062042,2.448602
305.029999,2.440238
304.031219,2.433562
303.032471,2.424304
302.000427,2.415435
301.001678,2.408089
300.002899,2.399682
298.970825,2.391564
297.972076,2.383533
296.973328,2.374410
295.941254,2.366734
294.942474,2.358521
293.943726,2.349975
292.911652,2.341666
291.912903,2.334419
290.914154,2.325192
289.882080,2.317687
288.883301,2.308467
287.884552,2.300142
286.852478,2.292751
285.853729,2.283977
284.854980,2.275822
283.822876,2.267147
282.824127,2.259408
281.825317,2.250969
280.793304,2.242626
279.794556,2.234574
278.795776,2.226656
277.763702,2.216841
276.764984,2.210552
275.766174,2.200946
274.734131,2.193754
273.735382,2.185592
272.736603,2.177572
271.704529,2.169272
270.705780,2.160541
269.707001,2.153088
268.674927,2.145051
267.676178,2.136375
266.677399,2.128344
265.645355,2.119960
264.646576,2.111655
263.647827,2.104125
262.615753,2.092299
261.617004,2.086478
260.584900,2.079172
259.586182,2.070572
258.587372,2.063341
257.555359,2.053953
256.556549,2.047046
255.557785,2.038071
254.525742,2.029249
253.526947,2.020805
252.528183,2.014127
251.496140,2.005546
250.497330,1.997160
249.498581,1.989140
248.466522,1.980893
247.467773,1.972458
246.468964,1.964588
245.436951,1.956472
244.438156,1.948620
243.439392,1.939805
242.407318,1.932471
241.408585,1.923000
240.409760,1.915990
239.377716,1.907734
238.378922,1.900094
237.380157,1.891723
236.348114,1.883326
235.349335,1.875272
234.350586,1.867123
233.318527,1.858842
232.319733,1.850192
231.320969,1.842996
230.288895,1.834180
229.290115,1.826506
228.291382,1.817890
227.259277,1.810154
226.260529,1.802371
225.261749,1.793869
224.229706,1.785942
223.230927,1.777977
222.232147,1.770370
221.200073,1.761377
220.201324,1.753710
219.202515,1.745687
218.170486,1.737301
217.171677,1.729320
216.172928,1.720786
215.140839,1.712892
214.142090,1.705086
213.143280,1.697043
212.111252,1.689121
211.112442,1.680606
210.113693,1.673087
209.081604,1.664211
208.082840,1.656127
207.050766,1.647764
206.052017,1.640345
205.053238,1.632213
204.021164,1.624027
203.022385,1.613826
202.023605,1.608263
200.991516,1.599592
199.992783,1.591605
198.994003,1.583625
197.961929,1.575225
196.963150,1.567144
195.964371,1.559496
194.932281,1.551062
193.933533,1.543551
192.934753,1.535231
191.902695,1.527335
190.903946,1.519439
189.905136,1.511081
188.873108,1.503248
187.874298,1.495399
186.875549,1.487016
185.843445,1.478869
184.844696,1.470872
183.845901,1.463301
182.813843,1.454288
181.815063,1.444929
180.816269,1.438852
179.784180,1.430412
178.785431,1.421603
177.786636,1.415400
176.754608,1.405407
175.755783,1.399248
174.757034,1.390531
173.724945,1.382007
172.726196,1.374778
171.727371,1.365538
170.695328,1.356784
169.696548,1.350065
168.697769,1.342553
167.665665,1.333090
166.666916,1.326848
165.668106,1.317246
164.636078,1.310213
163.637283,1.302243
162.638535,1.294289
