2,Gen 4 Grand National,watkinsglen
Steering Wheel Angle,Yaw Rate
368.684296,3.043329
367.685516,3.048154
366.653442,3.080373
365.654724,3.105238
364.622681,3.105017
363.623901,3.097123
362.625153,3.076782
361.593109,3.061030
360.594330,3.053612
359.595612,3.044369
358.563568,3.042232
357.564758,3.035294
356.566010,3.024192
355.533997,3.016140
354.535248,3.006434
353.536469,2.999699
352.504425,2.988547
351.505646,2.981887
350.506927,2.971256
349.474854,2.963620
348.476105,2.952994
347.477325,2.945655
346.445282,2.935564
345.446533,2.927563
344.447784,2.918774
343.415710,2.908803
342.416962,2.900981
341.418213,2.891994
340.386139,2.882721
339.387360,2.874363
338.388641,2.865444
337.356598,2.856702
336.357849,2.848127
335.359039,2.839371
334.326996,2.830979
333.328247,2.820925
332.329498,2.812791
331.297424,2.803143
330.298645,2.794842
329.299927,2.786736
328.267853,2.776991
327.269073,2.767990
326.270355,2.759988
325.238281,2.750651
324.239502,2.741342
323.240784,2.733344
322.208710,2.723918
321.209961,2.715932
320.211212,2.706928
319.179138,2.698596
318.180359,2.689130
317.181641,2.680456
316.149536,2.671203
315.150787,2.662508
314.152069,2.654002
313.119995,2.645043
312.121185,2.635870
311.089172,2.626848
310.090393,2.617664
309.091644,2.610821
308.059570,2.599933
307.060852,2.592879
306.062042,2.583618
305.029999,2.574434
304.031219,2.565769
303.032471,2.556850
302.000427,2.547370
301.001678,2.540101
300.002899,2.530908
298.970825,2.522758
297.972076,2.513321
296.973328,2.505545
295.941254,2.495046
294.942474,2.487848
293.943726,2.477574
292.911652,2.470354
291.912903,2.460375
290.914154,2.452199
289.882080,2.443339
288.883301,2.434462
287.884552,2.425750
286.852478,2.416999
285.853729,2.408882
284.854980,2.399367
283.822876,2.391522
282.824127,2.382694
281.825317,2.373735
280.793304,2.364918
279.794556,2.355161
278.795776,2.347364
277.763702,2.338388
276.764984,2.330073
275.766174,2.320717
274.734131,2.311384
273.735382,2.304490
272.736603,2.294301
271.704529,2.286281
270.705780,2.277781
269.707001,2.268629
268.674927,2.260399
267.676178,2.251787
266.677399,2.243258
265.645355,2.234010
264.646576,2.225901
263.647827,2.217255
262.615753,2.208763
261.617004,2.199500
260.584900,2.189919
259.586182,2.181285
258.587372,2.173846
257.555359,2.163915
256.556549,2.156042
255.557785,2.147745
254.525742,2.137929
253.526947,2.130945
252.528183,2.120754
251.496140,2.112353
250.497330,2.103681
249.498581,2.095157
248.466522,2.086111
247.467773,2.078162
246.468964,2.069345
245.436951,2.059993
244.438156,2.051879
243.439392,2.043572
242.407318,2.034580
241.408585,2.025664
240.409760,2.016982
239.377716,2.008514
238.378922,2.000532
237.380157,1.991158
236.348114,1.982928
235.349335,1.974778
234.350586,1.965218
233.318527,1.956840
232.319733,1.948310
231.320969,1.939710
230.288895,1.930623
229.290115,1.922186
228.291382,1.914074
227.259277,1.905439
226.260529,1.896427
225.261749,1.888644
224.229706,1.879921
223.230927,1.871024
222.232147,1.862836
221.200073,1.853379
220.201324,1.845107
219.202515,1.836802
218.170486,1.827902
217.171677,1.819657
216.172928,1.810874
215.140839,1.801844
214.142090,1.793390
213.143280,1.785099
212.111252,1.776977
211.112442,1.767936
210.113693,1.759978
209.081604,1.750567
208.082840,1.742127
207.050766,1.733763
206.052017,1.725119
205.053238,1.716565
204.021164,1.708218
203.022385,1.699301
202.023605,1.690349
200.991516,1.682200
199.992783,1.673102
198.994003,1.664320
197.961929,1.656894
196.963150,1.648217
195.964371,1.639714
194.932281,1.630701
193.933533,1.622218
192.934753,1.614060
191.902695,1.605237
190.903946,1.596864
189.905136,1.588638
188.873108,1.579398
187.874298,1.571468
186.875549,1.563159
185.843445,1.553426
184.844696,1.545512
183.845901,1.537284
182.813843,1.528788
181.815063,1.519750
180.816269,1.512037
179.784180,1.502136
178.785431,1.494442
177.786636,1.486572
176.754608,1.477121
175.755783,1.469473
174.757034,1.460060
173.724945,1.450817
172.726196,1.443721
171.727371,1.435026
170.695328,1.425625
169.696548,1.418571
168.697769,1.409551
167.665665,1.400156
166.666916,1.392974
165.668106,1.383971
164.636078,1.375364
163.637283,1.366662
162.638535,1.358172
161.606430,1.350069
160.607651,1.341894
159.608841,1.333149
158.576813,1.324446
157.578003,1.316302
156.545944,1.307321
155.547165,1.299150
154.548386,1.290745
153.516296,1.282142
152.517532,1.273918
151.518738,1.265338
150.486664,1.256405
149.487885,1.247747
148.489105,1.240144
147.457016,1.230337
146.458267,1.222655
145.459503,1.213079
144.427399,1.205719
143.428650,1.196895
142.429840,1.188379
141.397781,1.180293
140.399002,1.172308
139.400223,1.163395
138.368118,1.155425
137.369385,1.144906
136.370560,1.139240
135.338501,1.129323
134.339691,1.121145
133.340958,1.113165
132.308853,1.103906
131.310074,1.096284
130.311264,1.086912
129.279236,1.079092
128.280426,1.071028
127.281647,1.062195
126.249550,1.053209
125.250801,1.045204
124.251991,1.036978
123.219940,1.028348
122.221115,1.020084
121.222366,1.011751
120.190239,1.003263
119.191505,0.994670
118.192688,0.986198
117.160629,0.977202
116.161819,0.969515
115.163063,0.960771
114.130974,0.952035
113.132202,0.944216
112.133385,0.936030
111.101326,0.927070
