2,HPD ARX-01c,baseline
Steering Wheel Angle,Yaw Rate
325.269073,2.099060
324.270355,2.099348
323.238281,2.100881
322.239502,2.102067
321.240784,2.096868
320.208710,2.091115
319.209961,2.085601
318.211212,2.079075
317.179138,2.072257
316.180359,2.065503
315.181641,2.058855
314.149536,2.051036
313.150787,2.043058
312.152069,2.035801
311.119995,2.029110
310.121185,2.022451
309.089172,2.016391
308.090393,2.009732
307.091644,2.002494
306.059570,1.995576
305.060852,1.988876
304.062042,1.982531
303.029999,1.975575
302.031219,1.968537
301.032471,1.962089
300.000427,1.955177
299.001678,1.948502
298.002899,1.941892
296.970825,1.934848
295.972076,1.928296
294.973328,1.921526
293.941254,1.914604
292.942474,1.907998
291.943726,1.901444
290.911652,1.894554
289.912903,1.888412
288.914154,1.881558
287.882080,1.874251
286.883301,1.867791
285.884552,1.860998
284.852478,1.854192
283.853729,1.848133
282.854980,1.840859
281.822876,1.834070
280.824127,1.827371
279.825317,1.821422
278.793304,1.813893
277.794556,1.807652
276.795776,1.800850
275.763702,1.794035
274.764984,1.787371
273.766174,1.780708
272.734131,1.773661
271.735382,1.767074
270.736603,1.760686
269.704529,1.754061
268.705780,1.747148
267.707001,1.740257
266.674927,1.733781
265.676178,1.726784
264.677399,1.720655
263.645355,1.713487
262.646576,1.706894
261.647827,1.700161
260.615753,1.693544
259.617004,1.686748
258.584900,1.679968
257.586182,1.673158
256.587372,1.666914
255.555344,1.659887
254.556549,1.653333
253.557785,1.646960
252.525742,1.639899
251.526947,1.633223
250.528183,1.626777
249.496140,1.620028
248.497330,1.613179
247.498581,1.606594
246.466522,1.599821
245.467773,1.593359
244.468964,1.586700
243.436951,1.579933
242.438156,1.573266
241.439392,1.566618
240.407318,1.559823
239.408585,1.553367
238.409760,1.546786
237.377716,1.539742
236.378922,1.533519
235.380157,1.526674
234.348114,1.520048
233.349335,1.513234
232.350586,1.506693
231.318527,1.500383
230.319733,1.493146
229.320969,1.486731
228.288895,1.479960
227.290115,1.473598
226.291382,1.466685
225.259277,1.459976
224.260529,1.453495
223.261749,1.446970
222.229706,1.440238
221.230927,1.433475
220.232147,1.426963
219.200073,1.420427
218.201324,1.413929
217.202515,1.406953
216.170486,1.400469
215.171677,1.393523
214.172928,1.387311
213.140839,1.380306
212.142090,1.373877
211.143280,1.367579
210.111252,1.360560
209.112442,1.353797
208.113693,1.347536
207.081604,1.340578
206.082840,1.333860
205.050766,1.327230
204.052017,1.320639
203.053238,1.314157
202.021164,1.307302
201.022385,1.301092
200.023605,1.294150
198.991516,1.287801
197.992783,1.280740
196.994003,1.274344
195.961929,1.267490
194.963150,1.261133
193.964371,1.254374
192.932281,1.247835
191.933533,1.241388
190.934753,1.234578
189.902695,1.227972
188.903946,1.221456
187.905136,1.214674
186.873108,1.208125
185.874298,1.201446
184.875549,1.194975
183.843445,1.188188
182.844696,1.181643
181.845901,1.175180
180.813843,1.168314
179.815063,1.162066
178.816269,1.155340
177.784180,1.148564
176.785431,1.142067
175.786636,1.135399
174.754608,1.128837
173.755783,1.122236
172.757034,1.115810
171.724945,1.108943
170.726196,1.102354
169.727371,1.096272
168.695328,1.089130
167.696548,1.082729
166.697769,1.076283
165.665665,1.069250
164.666916,1.062819
163.668106,1.056448
162.636078,1.049573
161.637283,1.043107
160.638535,1.036460
159.606430,1.029765
158.607651,1.023305
157.608841,1.016764
156.576813,1.009916
155.578003,1.003616
154.545944,0.996664
153.547165,0.990201
152.548386,0.983931
151.516296,0.976836
150.517532,0.970396
149.518738,0.963775
148.486664,0.957108
147.487885,0.950522
146.489105,0.943957
145.457016,0.937489
144.458267,0.930811
143.459503,0.924207
142.427399,0.917531
141.428650,0.910940
140.429840,0.904505
139.397781,0.897659
138.399002,0.891224
137.400223,0.884802
136.368118,0.877899
135.369385,0.871503
134.370560,0.864980
133.338501,0.858199
132.339691,0.851706
131.340958,0.845140
130.308853,0.838546
129.310074,0.831841
128.311264,0.825385
127.279228,0.818590
126.280426,0.812084
125.281647,0.805819
124.249550,0.798889
123.250801,0.792422
122.251991,0.785973
121.219940,0.779053
120.221115,0.772775
119.222366,0.766115
118.190239,0.759382
117.191505,0.753054
116.192688,0.746250
115.160629,0.739675
114.161819,0.733027
113.163063,0.726824
112.130974,0.719959
111.132202,0.713243
110.133385,0.706883
109.101326,0.700254
108.102509,0.693518
107.103767,0.687082
106.071671,0.680480
105.072891,0.673840
104.074081,0.667516
103.042015,0.660729
102.043213,0.654370
101.011185,0.647384
100.012398,0.640960
99.013596,0.634575
97.981529,0.627755
96.982719,0.621340
95.983971,0.614755
94.951881,0.607943
93.953102,0.601585
92.954285,0.595191
91.922226,0.588311
90.923409,0.581828
89.924667,0.575516
88.892548,0.568582
87.893791,0.562188
86.894981,0.555716
85.862923,0.548967
84.864113,0.542476
83.865334,0.536037
82.833237,0.529365
81.834457,0.522767
80.835648,0.516217
79.803581,0.509468
78.804771,0.503116
77.806030,0.496535
76.773903,0.490079
75.775154,0.483435
74.776337,0.476948
73.744286,0.470272
72.745476,0.463636
71.746696,0.457353
70.714600,0.450554
69.715820,0.444104
68.717003,0.437693
67.684944,0.430785
66.686142,0.424526
65.687355,0.417938
64.655266,0.411316
63.656487,0.404695
62.657673,0.398172
61.625610,0.391411
60.626797,0.385025
59.628021,0.378564
58.595932,0.371839
57.597145,0.365335
56.598400,0.358828
55.566277,0.352281
54.567528,0.345773
53.568687,0.339116
52.536625,0.332636
51.537811,0.325906
50.505753,0.319474
49.506939,0.312783
48.508160,0.306312
47.476070,0.299813
46.477287,0.293137
45.478477,0.286647
44.446415,0.280091
43.447601,0.273525
42.448826,0.267159
41.416702,0.260459
40.417953,0.253760
39.419140,0.247541
38.387077,0.240622
37.388233,0.234203
36.389488,0.227762
35.357365,0.221048
34.358585,0.214529
33.359772,0.208327
32.327709,0.201255
31.328901,0.195041
30.330120,0.188365
29.297997,0.181873
28.299248,0.175257
27.300406,0.168792
26.268345,0.162102
25.269531,0.155658
24.270754,0.149241
23.238661,0.142441
22.239880,0.136091
21.241070,0.129505
20.209009,0.122672
19.210163,0.116307
18.211416,0.109784
17.179293,0.103104
16.180511,0.096682
15.181702,0.090214
14.149640,0.083531
13.150796,0.077027
12.152049,0.070499
11.119988,0.063800
10.121144,0.057500
9.122396,0.050906
8.090272,0.044224
7.091493,0.037664
6.092681,0.031382
5.060620,0.024544
4.061809,0.018642
3.062997,0.013773
2.030904,0.009002
1.032093,0.004341
0.000000,0.001226
-0.998747,0.005167
-1.997624,0.009728
-3.029652,0.014587
-4.028464,0.019300
-5.027276,0.024457
-6.059368,0.030919
-7.058115,0.037502
-8.056992,0.044039
-9.089020,0.050626
-10.087896,0.057108
-11.086643,0.063640
-12.118735,0.070285
-13.117547,0.076772
-14.116360,0.083229
-15.148452,0.090112
-16.147263,0.096242
-17.146011,0.102996
-18.178169,0.109581
-19.176916,0.116051
-20.175728,0.122641
-21.207819,0.129043
-22.206633,0.135814
-23.205444,0.142205
-24.237535,0.148801
-25.236284,0.155410
-26.235159,0.161701
-27.267187,0.168649
-28.266064,0.175070
-29.264811,0.181518
-30.296968,0.188308
-31.295717,0.194723
-32.294464,0.201057
-33.326618,0.207915
-34.325367,0.214332
-35.324245,0.220704
-36.356274,0.227428
-37.355083,0.234119
-38.353897,0.240476
-39.385986,0.247151
-40.384800,0.253669
-41.383614,0.260126
-42.415703,0.266723
-43.414516,0.273233
-44.413265,0.279845
-45.445419,0.286430
-46.444168,0.292832
-47.443043,0.299555
-48.475071,0.306127
-49.473949,0.312551
-50.472694,0.319009
-51.504852,0.325856
-52.503601,0.332325
-53.535759,0.338855
-54.534504,0.345450
-55.533318,0.352008
-56.565411,0.358762
-57.564224,0.365223
-58.563034,0.371622
-59.595127,0.378208
-60.593937,0.384941
-61.592751,0.391388
-62.624840,0.397850
-63.623653,0.404446
-64.622467,0.410930
-65.654556,0.417741
-66.653366,0.424137
-67.652184,0.430477
-68.684273,0.437462
-69.683090,0.443719
-70.681831,0.450397
-71.713989,0.457023
-72.712738,0.463479
-73.711617,0.470058
-74.743645,0.476595
-75.742516,0.483232
-76.741264,0.489518
-77.773361,0.496532
-78.772171,0.502910
-79.770981,0.509443
-80.803070,0.516131
-81.801888,0.522496
-82.800697,0.529201
-83.832787,0.535743
-84.831604,0.542326
-85.830414,0.548763
-86.862572,0.555404
-87.861313,0.561837
-88.860130,0.568503
-89.892227,0.575066
-90.891098,0.581612
-91.889847,0.588257
-92.921997,0.594933
-93.920753,0.601186
-94.919624,0.607984
-95.951653,0.614432
-96.950531,0.621266
-97.949280,0.627538
-98.981438,0.634272
-99.980179,0.640858
-100.979065,0.647335
-102.011093,0.654070
-103.009964,0.660438
-104.008705,0.667153
-105.040863,0.673770
-106.039619,0.680282
-107.071777,0.686797
-108.070587,0.693551
-109.069389,0.700027
-110.101486,0.706796
-111.100304,0.713107
-112.099113,0.719849
-113.131271,0.726496
-114.130020,0.732861
-115.128899,0.739553
-116.160927,0.746207
-117.159798,0.752579
-118.158554,0.759251
-119.190704,0.765960
-120.189453,0.772403
-121.188255,0.778963
-122.220421,0.785679
-123.219162,0.792224
-124.218033,0.798708
-125.250061,0.805212
-126.248947,0.812062
-127.247688,0.818606
-128.279846,0.825152
-129.278656,0.831707
-130.277481,0.838382
-131.309555,0.844984
-132.308380,0.851575
-133.307190,0.858104
-134.339355,0.864802
-135.338089,0.871316
-136.336975,0.877829
-137.369003,0.884535
-138.367874,0.890880
-139.366684,0.897732
-140.398773,0.904383
-141.397583,0.910858
-142.396408,0.917352
-143.428497,0.924001
-144.427368,0.930414
-145.426117,0.937259
-146.458282,0.943839
-147.457077,0.950467
-148.455902,0.956854
-149.487991,0.963822
-150.486877,0.969971
-151.485611,0.976783
-152.517776,0.983572
-153.516525,0.989976
-154.515396,0.996440
-155.547485,1.003383
-156.546295,1.009787
-157.578400,1.016558
-158.577271,1.022890
-159.576004,1.029511
-160.608170,1.036458
-161.606918,1.042589
-162.605804,1.049513
-163.637894,1.055907
-164.636765,1.062807
-165.635513,1.069231
-166.667603,1.075983
-167.666428,1.082443
-168.665222,1.088955
-169.697372,1.095734
-170.696136,1.102221
-171.695007,1.108559
-172.727097,1.115462
-173.725922,1.122227
-174.724731,1.128316
-175.756882,1.135451
-176.755630,1.142014
-177.754501,1.148394
-178.786606,1.155050
-179.785477,1.161723
-180.784225,1.168153
-181.816376,1.174920
-182.815125,1.181322
-183.813995,1.188114
-184.846100,1.194649
-185.844971,1.201425
-186.843719,1.207577
-187.875870,1.214732
-188.874695,1.221123
-189.873505,1.227468
-190.905594,1.234583
-191.904465,1.240892
-192.903214,1.247642
-193.935364,1.253940
-194.934189,1.260994
-195.933060,1.267243
-196.965088,1.274219
-197.963959,1.280551
-198.962769,1.287201
-199.994934,1.294117
-200.993683,1.300588
-201.992554,1.307065
-203.024643,1.313603
-204.023468,1.320518
-205.022263,1.326728
-206.054428,1.333822
-207.053177,1.340246
-208.085403,1.347106
-209.084137,1.353698
-210.082886,1.360235
-211.115112,1.366921
-212.113861,1.373172
-213.112732,1.380208
-214.144836,1.386934
-215.143646,1.393522
-216.142456,1.400052
-217.174606,1.406842
-218.173355,1.413286
-219.172241,1.419976
-220.204330,1.426660
-221.203201,1.433334
-222.201950,1.439492
-223.234177,1.446695
-224.232925,1.453205
-225.231796,1.459856
-226.263885,1.466676
-227.262772,1.473141
-228.261505,1.479666
-229.293671,1.486638
-230.292496,1.492960
-231.291367,1.499532
-232.323380,1.506366
-233.322250,1.513046
-234.321075,1.519536
-235.353226,1.526457
-236.351990,1.532814
-237.350861,1.539575
-238.382965,1.546509
-239.381836,1.552820
-240.380569,1.559284
-241.412811,1.566252
-242.411545,1.572945
-243.410416,1.579459
-244.442505,1.586262
-245.441391,1.592734
-246.440125,1.599675
-247.472305,1.605914
-248.471100,1.613112
-249.469971,1.619658
-250.502060,1.626278
-251.500946,1.632905
-252.499710,1.639346
-253.531860,1.646524
-254.530670,1.652998
-255.529404,1.659508
-256.561554,1.666559
-257.560394,1.672586
-258.559265,1.679830
-259.591339,1.686575
-260.590240,1.693162
-261.622253,1.699699
-262.621124,1.706657
-263.619934,1.713158
-264.652100,1.720023
-265.650909,1.726727
-266.649780,1.732778
-267.681824,1.740249
-268.680695,1.746670
-269.679504,1.752932
-270.711670,1.759684
-271.710449,1.766969
-272.709351,1.773239
-273.741425,1.780330
-274.740295,1.786777
-275.739075,1.793016
-276.771210,1.800503
-277.770050,1.806721
-278.768921,1.813476
-279.800995,1.820627
-280.799866,1.827281
-281.798615,1.833794
-282.830841,1.840785
-283.829590,1.847390
-284.828461,1.853945
-285.860565,1.860835
-286.859436,1.867490
-287.858246,1.873747
-288.890411,1.881122
-289.889130,1.887587
-290.888000,1.893686
-291.920105,1.901163
-292.918976,1.907841
-293.917816,1.914497
-294.949951,1.921414
-295.948761,1.928041
-296.947662,1.934766
-297.979736,1.940983
-298.978485,1.948253
-299.977356,1.954906
-301.009460,1.961709
-302.008331,1.968533
-303.007141,1.974977
-304.039307,1.981290
-305.038116,1.988716
-306.036987,1.995285
-307.069031,2.002283
-308.067963,2.009060
-309.066711,2.015634
-310.098877,2.022436
-311.097656,2.029307
-312.129852,2.036062
-313.128632,2.042704
-314.127502,2.049515
-315.159607,2.056105
-316.158478,2.062828
-317.157318,2.069647
-318.189453,2.076616
-319.188263,2.083076
-320.187134,2.089798
-321.219177,2.096675
-322.218109,2.103317
-323.216858,2.103495
-324.249084,2.103732
-325.247833,2.103986
