2,Holden Commodore 2014,baseline
Steering Wheel Angle,Yaw Rate
190.934753,1.508590
189.902695,1.511176
188.903946,1.507897
187.905136,1.493028
186.873108,1.483818
185.874298,1.473856
184.875549,1.464276
183.843445,1.454451
182.844696,1.447068
181.845901,1.437285
180.813843,1.428371
179.815063,1.419467
178.816269,1.410202
177.784180,1.399952
176.785431,1.390850
175.786636,1.381499
174.754608,1.371929
173.755783,1.362772
172.757034,1.353932
171.724945,1.344498
170.726196,1.335502
169.727371,1.326269
168.695328,1.316836
167.696548,1.308010
166.697769,1.299113
165.665665,1.289654
164.666916,1.280438
163.668106,1.271362
162.636078,1.261970
161.637283,1.252865
160.638535,1.243684
159.606430,1.234373
158.607651,1.225544
157.608841,1.216449
156.576813,1.207269
155.578003,1.198443
154.545944,1.188994
153.547165,1.180031
152.548386,1.171075
151.516296,1.161667
150.517532,1.153059
149.518738,1.144060
148.486664,1.134501
147.487885,1.125747
146.489105,1.116882
145.457016,1.108126
144.458267,1.098620
143.459503,1.089781
142.427399,1.080437
141.428650,1.071137
140.429840,1.062219
139.397781,1.052963
138.399002,1.044213
137.400223,1.035662
136.368118,1.027058
135.369385,1.018417
134.370560,1.008717
133.338501,0.999270
132.339691,0.990750
131.340958,0.982530
130.308853,0.973430
129.310074,0.964522
128.311264,0.955654
127.279228,0.946588
126.280426,0.937854
125.281647,0.929926
124.249550,0.920387
123.250801,0.911131
122.251991,0.902194
121.219940,0.893308
120.221115,0.885347
119.222366,0.876810
118.190239,0.867607
117.191505,0.859147
116.192688,0.850984
115.160629,0.841791
114.161819,0.833594
113.163063,0.825225
112.130974,0.816729
111.132202,0.808429
110.133385,0.800144
109.101326,0.790889
108.102509,0.782568
107.103767,0.774470
106.071671,0.765671
105.072891,0.758228
104.074081,0.749334
103.042015,0.740575
102.043213,0.732482
101.011185,0.723753
100.012398,0.716433
99.013596,0.707525
97.981529,0.697739
96.982719,0.689642
95.983971,0.682886
94.951881,0.675456
93.953102,0.668359
92.954285,0.661178
91.922226,0.653829
90.923409,0.646711
89.924667,0.639438
88.892548,0.632063
87.893791,0.624892
86.894981,0.617620
85.862923,0.610215
84.864113,0.603037
83.865334,0.595851
82.833237,0.588387
81.834457,0.581262
80.835648,0.574081
79.803581,0.566722
78.804771,0.559507
77.806030,0.552396
76.773903,0.545003
75.775154,0.537684
74.776337,0.530559
73.744286,0.523163
72.745476,0.516006
71.746696,0.508825
70.714600,0.501379
69.715820,0.494261
68.717003,0.487039
67.684944,0.479623
66.686142,0.472442
65.687355,0.465329
64.655266,0.457923
63.656487,0.450744
62.657673,0.443620
61.625610,0.436211
60.626797,0.429045
59.628021,0.421891
58.595932,0.414506
57.597145,0.407402
56.598400,0.400135
55.566277,0.392752
54.567528,0.385656
53.568687,0.378448
52.536625,0.371177
51.537811,0.363944
50.505753,0.356623
49.506939,0.349474
48.508160,0.342323
47.476070,0.334905
46.477287,0.327821
45.478477,0.320643
44.446415,0.313327
43.447601,0.306155
42.448826,0.299045
41.416702,0.291691
40.417953,0.284622
39.419140,0.277514
38.387077,0.270378
37.388233,0.263104
36.389488,0.255915
35.357365,0.248599
34.358585,0.241420
33.359772,0.234325
32.327709,0.227028
