2,Honda Civic Type R TCR,baseline
Steering Wheel Angle,Yaw Rate
321.240784,1.970443
320.208710,1.970569
319.209961,1.970789
318.211212,1.968457
317.179138,1.964764
316.180359,1.961541
315.181641,1.958299
314.149536,1.954870
313.150787,1.951739
312.152069,1.948602
311.119995,1.945256
310.121185,1.942231
309.089172,1.938925
308.090393,1.935862
307.091644,1.932686
306.059570,1.929058
305.060852,1.925269
304.062042,1.918303
303.029999,1.911503
302.031219,1.905101
301.032471,1.898654
300.000427,1.888940
299.001678,1.879683
298.002899,1.870041
296.970825,1.860015
295.972076,1.850154
294.973328,1.840357
293.941254,1.833908
292.942474,1.827296
291.943726,1.820874
290.911652,1.814670
289.912903,1.812413
288.914154,1.809506
287.882080,1.804892
286.883301,1.797893
285.884552,1.791365
284.852478,1.782081
283.853729,1.776469
282.854980,1.772044
281.822876,1.765093
280.824127,1.759518
279.825317,1.753422
278.793304,1.746051
277.794556,1.740323
276.795776,1.733998
275.763702,1.726954
274.764984,1.721237
273.766174,1.712888
272.734131,1.705765
271.735382,1.700256
270.736603,1.695111
269.704529,1.689248
268.705780,1.682978
267.707001,1.676975
266.674927,1.670002
265.676178,1.663754
264.677399,1.657132
263.645355,1.650954
262.646576,1.644297
261.647827,1.638183
260.615753,1.631913
259.617004,1.625497
258.584900,1.618625
257.586182,1.611451
256.587372,1.604600
255.555344,1.597074
254.556549,1.591105
253.557785,1.586165
252.525742,1.580244
251.526947,1.574817
250.528183,1.568925
249.496140,1.561614
248.497330,1.555888
247.498581,1.548943
246.466522,1.540596
245.467773,1.533546
244.468964,1.527790
243.436951,1.522854
242.438156,1.517628
241.439392,1.510964
240.407318,1.504883
239.408585,1.498432
238.409760,1.492305
237.377716,1.485502
236.378922,1.479380
235.380157,1.472696
234.348114,1.466417
233.349335,1.460349
232.350586,1.453663
231.318527,1.447487
230.319733,1.440708
229.320969,1.434339
228.288895,1.427679
227.290115,1.421555
226.291382,1.415746
225.259277,1.408885
224.260529,1.402247
223.261749,1.396722
222.229706,1.386709
221.230927,1.382163
220.232147,1.377923
219.200073,1.368793
218.201324,1.364083
217.202515,1.355629
216.170486,1.350771
215.171677,1.344690
214.172928,1.338833
213.140839,1.333117
212.142090,1.326859
211.143280,1.320471
210.111252,1.314102
209.112442,1.307588
208.113693,1.301083
207.081604,1.294529
206.082840,1.288329
205.050766,1.282109
204.052017,1.275607
203.053238,1.269180
202.021164,1.262096
201.022385,1.255049
200.023605,1.247888
198.991516,1.240603
197.992783,1.234640
196.994003,1.229098
195.961929,1.223770
194.963150,1.218477
193.964371,1.211813
192.932281,1.205821
191.933533,1.199326
190.934753,1.193308
189.902695,1.186463
188.903946,1.180040
187.905136,1.173964
186.873108,1.167404
185.874298,1.161544
184.875549,1.155094
183.843445,1.148443
182.844696,1.142202
181.845901,1.135268
180.813843,1.128967
179.815063,1.122938
178.816269,1.116202
177.784180,1.108810
176.785431,1.101651
175.786636,1.094823
174.754608,1.088492
173.755783,1.083610
172.757034,1.078434
171.724945,1.072448
170.726196,1.066090
169.727371,1.059645
168.695328,1.053376
167.696548,1.047159
166.697769,1.040536
165.665665,1.033881
164.666916,1.027579
163.668106,1.020836
162.636078,1.013521
161.637283,1.006474
160.638535,0.999215
159.606430,0.992851
158.607651,0.987998
157.608841,0.983089
156.576813,0.976790
155.578003,0.970652
154.545944,0.964062
153.547165,0.958253
152.548386,0.950989
151.516296,0.944885
150.517532,0.935377
149.518738,0.931237
148.486664,0.925502
147.487885,0.919086
146.489105,0.913485
145.457016,0.906796
144.458267,0.898420
143.459503,0.891528
142.427399,0.884063
141.428650,0.879410
140.429840,0.874271
139.397781,0.868466
138.399002,0.862376
137.400223,0.856034
136.368118,0.849394
135.369385,0.842543
134.370560,0.835811
133.338501,0.827843
132.339691,0.821334
131.340958,0.814696
130.308853,0.809184
129.310074,0.804252
128.311264,0.798507
127.279228,0.792171
126.280426,0.786247
125.281647,0.779706
124.249550,0.773085
123.250801,0.766450
122.251991,0.760319
121.219940,0.753793
120.221115,0.747025
119.222366,0.740254
118.190239,0.733406
117.191505,0.726295
116.192688,0.719717
115.160629,0.712353
114.161819,0.706642
113.163063,0.701813
112.130974,0.696064
111.132202,0.690536
110.133385,0.684020
109.101326,0.677336
108.102509,0.670669
107.103767,0.664118
106.071671,0.657831
105.072891,0.651477
104.074081,0.645326
103.042015,0.637599
102.043213,0.630897
101.011185,0.623425
100.012398,0.617138
99.013596,0.611123
97.981529,0.606379
96.982719,0.600065
95.983971,0.594880
94.951881,0.588387
93.953102,0.581446
92.954285,0.575197
91.922226,0.567806
90.923409,0.561819
89.924667,0.555731
88.892548,0.548380
87.893791,0.542034
86.894981,0.534929
85.862923,0.528252
84.864113,0.521071
83.865334,0.514782
82.833237,0.509504
81.834457,0.504547
80.835648,0.498602
79.803581,0.492755
78.804771,0.486206
77.806030,0.479825
76.773903,0.473280
75.775154,0.465913
74.776337,0.459649
73.744286,0.450826
72.745476,0.445461
71.746696,0.438827
70.714600,0.433501
69.715820,0.428572
68.717003,0.421444
67.684944,0.416067
66.686142,0.407530
65.687355,0.401339
64.655266,0.394355
63.656487,0.387476
62.657673,0.380733
61.625610,0.374950
60.626797,0.369763
59.628021,0.364504
58.595932,0.358293
57.597145,0.352184
56.598400,0.345747
55.566277,0.339117
54.567528,0.332349
53.568687,0.325978
52.536625,0.318798
51.537811,0.311730
50.505753,0.304643
49.506939,0.297703
48.508160,0.291323
47.476070,0.285380
46.477287,0.280295
45.478477,0.274031
44.446415,0.268863
43.447601,0.262684
42.448826,0.256798
41.416702,0.249198
40.417953,0.243474
39.419140,0.237011
38.387077,0.230316
37.388233,0.222125
36.389488,0.217030
35.357365,0.209804
34.358585,0.204362
33.359772,0.198450
32.327709,0.192433
31.328901,0.185211
30.330120,0.179731
29.297997,0.171628
28.299248,0.164278
27.300406,0.159897
26.268345,0.152171
25.269531,0.147457
24.270754,0.138172
23.238661,0.133116
22.239880,0.128483
21.241070,0.120492
20.209009,0.114989
19.210163,0.107237
18.211416,0.101500
17.179293,0.095363
16.180511,0.089814
15.181702,0.084342
14.149640,0.078635
13.150796,0.073125
12.152049,0.067470
11.119988,0.061664
10.121144,0.056106
9.122396,0.050550
8.090272,0.044646
7.091493,0.039098
6.092681,0.033504
5.060620,0.027687
4.061809,0.022108
3.062997,0.016471
2.030904,0.010673
1.032093,0.005105
0.000000,0.001775
-0.998747,0.006278
-1.997624,0.011926
-3.029652,0.017732
-4.028464,0.023296
-5.027276,0.028866
-6.059368,0.034695
-7.058115,0.040298
-8.056992,0.045911
-9.089020,0.051693
-10.087896,0.057301
-11.086643,0.062895
-12.118735,0.068678
-13.117547,0.074236
-14.116360,0.079842
-15.148452,0.085698
-16.147263,0.091279
-17.146011,0.098019
-18.178169,0.104416
-19.176916,0.109875
-20.175728,0.115607
-21.207819,0.121249
-22.206633,0.127448
-23.205444,0.133753
-24.237535,0.140156
-25.236284,0.146803
-26.235159,0.153413
-27.267187,0.161145
-28.266064,0.168378
-29.264811,0.174987
-30.296968,0.182019
-31.295717,0.187128
-32.294464,0.192636
-33.326618,0.198674
-34.325367,0.203951
-35.324245,0.210267
-36.356274,0.216826
-37.355083,0.222739
-38.353897,0.229950
-39.385986,0.236419
-40.384800,0.244688
-41.383614,0.251706
-42.415703,0.258652
-43.414516,0.264766
-44.413265,0.270354
-45.445419,0.276297
-46.444168,0.281452
-47.443043,0.287310
-48.475071,0.293534
-49.473949,0.299407
-50.472694,0.306599
-51.504852,0.313223
-52.503601,0.320254
-53.535759,0.327107
-54.534504,0.333670
-55.533318,0.341609
-56.565411,0.347937
-57.564224,0.353298
-58.563034,0.358356
-59.595127,0.364279
-60.593937,0.369807
-61.592751,0.376308
-62.624840,0.383045
-63.623653,0.389843
-64.622467,0.396289
-65.654556,0.402789
-66.653366,0.409107
-67.652184,0.415958
-68.684273,0.423296
-69.683090,0.430454
-70.681831,0.437556
-71.713989,0.443401
-72.712738,0.449369
-73.711617,0.454201
-74.743645,0.460399
-75.742516,0.466016
-76.741264,0.471741
-77.773361,0.478915
-78.772171,0.484899
-79.770981,0.491694
-80.803070,0.497996
-81.801888,0.503878
-82.800697,0.511356
-83.832787,0.517935
-84.831604,0.526430
-85.830414,0.531924
-86.862572,0.536022
-87.861313,0.544442
-88.860130,0.549221
-89.892227,0.558303
-90.891098,0.564902
-91.889847,0.570889
-92.921997,0.575975
-93.920753,0.581348
-94.919624,0.586994
-95.951653,0.593415
-96.950531,0.599757
-97.949280,0.606605
-98.981438,0.612892
-99.980179,0.618619
-100.979065,0.625085
-102.011093,0.631595
-103.009964,0.638154
-104.008705,0.644913
-105.040863,0.652259
-106.039619,0.659424
-107.071777,0.666556
-108.070587,0.673133
-109.069389,0.678334
-110.101486,0.683639
-111.100304,0.689100
-112.099113,0.695418
-113.131271,0.701441
-114.130020,0.708341
-115.128899,0.714683
-116.160927,0.721015
-117.159798,0.727503
-118.158554,0.733595
-119.190704,0.740353
-120.189453,0.746295
-121.188255,0.752855
-122.220421,0.759592
-123.219162,0.765897
-124.218033,0.773435
-125.250061,0.780340
-126.248947,0.786791
-127.247688,0.792114
-128.279846,0.797557
-129.278656,0.804102
-130.277481,0.810115
-131.309555,0.818955
-132.308380,0.825543
-133.307190,0.829020
-134.339355,0.837478
-135.338089,0.842308
-136.336975,0.850348
-137.369003,0.856879
-138.367874,0.863524
-139.366684,0.868499
-140.398773,0.874381
-141.397583,0.879850
-142.396408,0.886231
-143.428497,0.892810
-144.427368,0.899001
-145.426117,0.904965
-146.458282,0.912256
-147.457077,0.918295
-148.455902,0.924673
-149.487991,0.931228
-150.486877,0.937514
-151.485611,0.943588
-152.517776,0.950436
-153.516525,0.956669
-154.515396,0.963100
-155.547485,0.970053
-156.546295,0.976388
-157.578400,0.982763
-158.577271,0.989536
-159.576004,0.996232
-160.608170,1.003447
-161.606918,1.010399
-162.605804,1.016779
-163.637894,1.023164
-164.636765,1.027952
-165.635513,1.032884
-166.667603,1.039653
-167.666428,1.045580
-168.665222,1.051663
-169.697372,1.058914
-170.696136,1.064530
-171.695007,1.071480
-172.727097,1.077396
-173.725922,1.083069
-174.724731,1.089759
-175.756882,1.097884
-176.755630,1.103642
-177.754501,1.111866
-178.786606,1.116574
-179.785477,1.122018
-180.784225,1.127921
-181.816376,1.134356
-182.815125,1.140599
-183.813995,1.146498
-184.846100,1.153481
-185.844971,1.160169
-186.843719,1.166031
-187.875870,1.172966
-188.874695,1.179265
-189.873505,1.186438
-190.905594,1.193963
-191.904465,1.200672
