2,Hyundai Elantra N TCR,baseline
Steering Wheel Angle,Yaw Rate
158.022095,1.417296
157.308685,1.415626
156.571487,1.407778
155.858093,1.399306
155.144653,1.391575
154.407501,1.384596
153.694061,1.378035
152.980667,1.371547
152.243454,1.364894
151.530075,1.358512
150.816635,1.352152
150.079468,1.345556
149.366028,1.339214
148.652649,1.333184
147.915436,1.327096
147.202026,1.321350
146.464844,1.315199
145.751450,1.309350
145.038025,1.303242
144.300842,1.296567
143.587418,1.290023
142.874008,1.283063
142.136795,1.275865
141.423416,1.269052
140.710007,1.262217
139.972809,1.255221
139.259399,1.248843
138.545990,1.242469
137.808777,1.235848
137.095383,1.229557
136.381973,1.222920
135.644791,1.216179
134.931396,1.209720
134.217957,1.203184
133.480789,1.196469
132.767365,1.189949
132.053970,1.183459
131.316742,1.176694
130.603363,1.170300
129.889938,1.163778
129.152740,1.156911
128.439331,1.150526
127.725906,1.144038
126.988701,1.137336
126.275314,1.130766
125.561890,1.124305
124.824722,1.117577
124.111275,1.111051
123.397888,1.104595
122.660675,1.097808
121.947289,1.091385
121.233841,1.084959
120.496666,1.078150
119.783249,1.071718
119.069839,1.065176
118.332619,1.058393
117.619232,1.051922
116.905792,1.045450
116.168633,1.038739
115.455208,1.032281
114.741814,1.025745
114.004593,1.018997
113.291183,1.012523
112.577744,1.006010
111.840584,0.999278
111.127144,0.992811
110.389961,0.986040
109.676552,0.979608
108.963135,0.973123
108.225929,0.966354
107.512527,0.959900
106.799103,0.953402
106.061905,0.946655
105.348488,0.940170
104.635078,0.933699
103.897873,0.926924
103.184479,0.920479
102.471077,0.913956
101.733856,0.907230
101.020470,0.900797
100.307030,0.894269
99.569847,0.887538
98.856430,0.881077
98.143021,0.874572
97.405800,0.867732
96.692421,0.861329
95.978973,0.854836
95.241791,0.848134
94.528351,0.841645
93.814972,0.835161
93.077751,0.828384
92.364342,0.821942
91.650902,0.815442
90.913734,0.808722
90.200310,0.802312
89.486893,0.795784
88.749680,0.788984
88.036285,0.782509
87.322853,0.776124
86.585670,0.769325
85.872231,0.762829
85.158836,0.756336
84.421600,0.749587
83.708221,0.743170
82.994781,0.736749
82.257591,0.730033
81.544159,0.723501
80.830765,0.717024
80.093552,0.710250
79.380150,0.703804
78.666702,0.697300
77.929520,0.690601
77.216080,0.684132
76.502693,0.677669
75.765480,0.670896
75.052071,0.664408
74.338631,0.657985
73.601440,0.651163
72.888008,0.644741
72.150848,0.638003
71.437431,0.631569
70.723999,0.625040
69.986809,0.618342
69.273376,0.611844
68.559982,0.605396
67.822777,0.598708
67.109360,0.592229
66.395920,0.585726
65.658737,0.578913
64.945290,0.572360
64.231903,0.565976
63.494678,0.559171
62.781281,0.552772
62.067844,0.546293
61.330662,0.539564
60.617226,0.533073
59.903812,0.526603
59.166599,0.519844
58.453186,0.513391
57.739750,0.506879
57.002560,0.500193
56.289124,0.493653
55.575737,0.487238
54.838505,0.480532
54.125111,0.474075
53.411671,0.467606
52.674492,0.460859
51.961056,0.454331
51.247643,0.447891
50.510429,0.441174
49.797016,0.434685
49.083576,0.428183
48.346390,0.421476
47.632961,0.415058
46.919540,0.408656
46.182335,0.401839
45.468922,0.395307
44.755482,0.388950
44.018295,0.382195
43.304855,0.375723
42.591446,0.369215
41.854237,0.362533
41.140820,0.356085
40.427429,0.349601
39.690197,0.342863
38.976807,0.336375
38.263348,0.329855
37.526161,0.323096
36.812725,0.316688
36.075539,0.309960
35.362099,0.303402
34.648685,0.297062
33.911480,0.290353
33.198063,0.283867
32.484627,0.277426
31.747440,0.270638
31.034002,0.264273
30.320591,0.257644
29.583359,0.251067
28.869968,0.244705
28.156528,0.238043
27.419342,0.231309
26.705881,0.224953
25.992493,0.218400
25.255260,0.211582
24.541847,0.205280
23.828409,0.198788
23.091221,0.191862
22.377787,0.185630
21.664371,0.179163
20.927141,0.172419
20.213749,0.165848
19.500290,0.159534
18.763103,0.152720
18.049665,0.146254
17.336254,0.139988
16.599043,0.133288
15.885629,0.127079
15.172194,0.121246
14.435007,0.115445
13.721545,0.109718
13.008155,0.103959
12.270924,0.098015
11.557508,0.092300
10.844073,0.086594
10.106886,0.080659
9.393426,0.074894
8.680036,0.069135
7.942849,0.063195
7.229389,0.057497
6.515997,0.051758
5.778766,0.045871
5.065352,0.040113
4.351915,0.034407
3.614729,0.028396
2.901292,0.022653
2.187855,0.016928
1.450646,0.010979
0.737209,0.005255
0.000000,0.001677
-0.713391,0.006443
-1.426874,0.012123
-2.164037,0.018037
-2.877474,0.023771
-3.590911,0.029454
-4.328120,0.035433
-5.041511,0.041210
-5.754994,0.046896
-6.492157,0.052840
-7.205640,0.058618
-7.919031,0.064320
-8.656240,0.070254
-9.369677,0.076008
-10.083115,0.081744
-10.820323,0.087730
-11.533759,0.093432
-12.247151,0.099158
-12.984406,0.105076
-13.697798,0.110876
-14.411235,0.116586
-15.148442,0.122605
-15.861881,0.128528
-16.575317,0.135220
-17.312527,0.141926
-18.025917,0.148515
-18.739399,0.155097
-19.476562,0.161736
-20.190046,0.168202
-20.903437,0.174698
-21.640692,0.181311
-22.354084,0.187678
-23.067474,0.194257
-23.804728,0.201072
-24.518120,0.207544
-25.231604,0.213756
-25.968767,0.220529
-26.682203,0.227021
-27.395641,0.233660
-28.132849,0.240257
-28.846287,0.246833
-29.559725,0.253101
-30.296932,0.259908
-31.010370,0.266308
-31.723763,0.272811
-32.461014,0.279688
-33.174408,0.285946
-33.887890,0.292507
