2,Hyundai Veloster N TCR,baseline
Steering Wheel Angle,Yaw Rate
158.735504,1.453330
158.022095,1.451579
157.308685,1.449791
156.571487,1.441629
155.858093,1.433451
155.144653,1.426758
154.407501,1.419759
153.694061,1.413219
152.980667,1.406657
152.243454,1.399862
151.530075,1.393441
150.816635,1.386960
150.079468,1.380173
149.366028,1.373863
148.652649,1.367984
147.915436,1.361783
147.202026,1.355907
146.464844,1.349597
145.751450,1.343295
145.038025,1.336773
144.300842,1.329646
143.587418,1.322554
142.874008,1.315510
142.136795,1.308188
141.423416,1.301208
140.710007,1.294291
139.972809,1.287513
139.259399,1.281035
138.545990,1.274532
137.808777,1.267676
137.095383,1.260958
136.381973,1.254391
135.644791,1.247384
134.931396,1.240781
134.217957,1.234175
133.480789,1.227234
132.767365,1.220616
132.053970,1.213977
131.316742,1.207039
130.603363,1.200433
129.889938,1.193767
129.152740,1.186914
128.439331,1.180325
127.725906,1.173590
126.988701,1.166641
126.275314,1.160071
125.561890,1.153370
124.824722,1.146495
124.111275,1.139961
123.397888,1.133216
122.660675,1.126287
121.947289,1.119714
121.233841,1.113085
120.496666,1.106147
119.783249,1.099531
119.069839,1.092846
118.332619,1.085919
117.619232,1.079307
116.905792,1.072696
116.168633,1.065742
115.455208,1.059111
114.741814,1.052500
114.004593,1.045601
113.291183,1.038965
112.577744,1.032303
111.840584,1.025385
111.127144,1.018765
110.389961,1.011812
109.676552,1.005222
108.963135,0.998503
108.225929,0.991624
107.512527,0.984989
106.799103,0.978376
106.061905,0.971431
105.348488,0.964786
104.635078,0.958153
103.897873,0.951267
103.184479,0.944646
102.471077,0.938005
101.733856,0.931037
101.020470,0.924497
100.307030,0.917802
99.569847,0.910918
98.856430,0.904276
98.143021,0.897538
97.405800,0.890684
96.692421,0.884054
95.978973,0.877424
95.241791,0.870525
94.528351,0.863827
93.814972,0.857260
93.077751,0.850330
92.364342,0.843763
91.650902,0.837129
90.913734,0.830169
90.200310,0.823609
89.486893,0.816847
88.749680,0.810061
88.036285,0.803363
87.322853,0.796669
86.585670,0.789770
85.872231,0.783097
85.158836,0.776523
84.421600,0.769633
83.708221,0.762963
82.994781,0.756335
82.257591,0.749422
81.544159,0.743008
80.830765,0.736177
80.093552,0.729291
79.380150,0.722583
78.666702,0.715989
77.929520,0.709177
77.216080,0.702541
76.502693,0.695806
75.765480,0.688865
75.052071,0.682261
74.338631,0.675582
73.601440,0.668788
72.888008,0.662130
72.150848,0.655249
71.437431,0.648620
70.723999,0.641924
69.986809,0.635008
69.273376,0.628423
68.559982,0.621777
67.822777,0.614850
67.109360,0.608198
66.395920,0.601570
65.658737,0.594703
64.945290,0.588091
64.231903,0.581487
63.494678,0.574614
62.781281,0.567924
62.067844,0.561212
61.330662,0.554242
60.617226,0.547699
59.903812,0.541070
59.166599,0.534165
58.453186,0.527535
57.739750,0.520924
57.002560,0.514088
56.289124,0.507382
55.575737,0.500738
54.838505,0.493811
54.125111,0.487216
53.411671,0.480570
52.674492,0.473663
51.961056,0.466968
51.247643,0.460268
50.510429,0.453440
49.797016,0.446893
49.083576,0.440308
48.346390,0.433386
47.632961,0.426674
46.919540,0.420107
46.182335,0.413213
45.468922,0.406506
44.755482,0.400002
44.018295,0.393002
43.304855,0.386429
42.591446,0.379758
41.854237,0.372792
41.140820,0.366204
40.427429,0.359575
39.690197,0.352598
38.976807,0.346166
38.263348,0.339442
37.526161,0.332460
36.812725,0.325941
36.075539,0.319060
35.362099,0.312482
34.648685,0.305741
33.911480,0.298831
33.198063,0.292131
32.484627,0.285609
31.747440,0.278591
31.034002,0.272095
30.320591,0.265425
29.583359,0.258662
28.869968,0.251950
28.156528,0.245305
27.419342,0.238356
26.705881,0.231884
25.992493,0.225335
25.255260,0.218321
24.541847,0.211637
23.828409,0.205058
23.091221,0.198212
22.377787,0.191612
21.664371,0.184829
20.927141,0.177982
20.213749,0.171486
19.500290,0.164757
18.763103,0.157861
18.049665,0.151284
17.336254,0.144640
16.599043,0.137677
15.885629,0.131188
15.172194,0.124558
14.435007,0.117614
13.721545,0.111560
13.008155,0.105852
12.270924,0.099796
11.557508,0.094046
10.844073,0.088221
10.106886,0.082154
9.393426,0.076283
8.680036,0.070375
7.942849,0.064363
7.229389,0.058538
6.515997,0.052656
5.778766,0.046655
5.065352,0.040791
4.351915,0.034961
3.614729,0.028838
2.901292,0.023090
2.187855,0.017036
1.450646,0.011018
0.737209,0.005218
0.000000,0.001566
-0.713391,0.006641
-1.426874,0.012443
-2.164037,0.018581
-2.877474,0.024453
-3.590911,0.030254
-4.328120,0.036264
-5.041511,0.042180
-5.754994,0.047994
-6.492157,0.054069
-7.205640,0.059911
-7.919031,0.065771
-8.656240,0.071828
-9.369677,0.077613
-10.083115,0.083477
-10.820323,0.089573
-11.533759,0.095371
-12.247151,0.101283
-12.984406,0.107305
-13.697798,0.113251
-14.411235,0.119702
-15.148442,0.126863
-15.861881,0.133385
-16.575317,0.140200
-17.312527,0.147082
-18.025917,0.153778
-18.739399,0.160257
-19.476562,0.167077
-20.190046,0.173713
-20.903437,0.180325
-21.640692,0.187240
-22.354084,0.193917
-23.067474,0.200551
-23.804728,0.207373
-24.518120,0.214009
-25.231604,0.220674
-25.968767,0.227646
-26.682203,0.234102
-27.395641,0.240745
-28.132849,0.247748
-28.846287,0.254401
-29.559725,0.260862
-30.296932,0.267862
-31.010370,0.274551
-31.723763,0.281108
-32.461014,0.287977
-33.174408,0.294537
-33.887890,0.301287
-34.625053,0.308105
-35.338535,0.314693
-36.051926,0.321383
-36.789181,0.328320
-37.502575,0.334902
-38.239830,0.341834
-38.953217,0.348361
-39.666656,0.354918
-40.403866,0.361889
-41.117306,0.368497
-41.830738,0.375147
-42.567947,0.381985
-43.281384,0.388680
-43.994823,0.395266
-44.732029,0.402199
-45.445469,0.408896
-46.158905,0.415605
-46.896114,0.422425
-47.609547,0.429070
-48.322990,0.435578
-49.060196,0.442549
-49.773636,0.449129
-50.487022,0.455751
-51.224277,0.462684
-51.937672,0.469318
-52.651157,0.475941
-53.388317,0.482903
-54.101799,0.489578
-54.815189,0.496286
-55.552402,0.503086
-56.265839,0.509801
-56.979275,0.516395
-57.716480,0.523237
-58.429920,0.529830
-59.143356,0.536548
-59.880562,0.543345
-60.594006,0.549977
-61.307442,0.556652
-62.044697,0.563535
-62.758083,0.570149
-63.471523,0.576795
-64.208733,0.583666
-64.922211,0.590302
-65.635605,0.596970
-66.372856,0.603871
-67.086250,0.610531
-67.799736,0.617260
-68.536896,0.624094
-69.250381,0.630704
-69.963776,0.637348
-70.701027,0.644189
-71.414413,0.650803
-72.127907,0.657499
-72.865067,0.664417
-73.578545,0.671035
-74.291931,0.677710
-75.029190,0.684585
-75.742584,0.691169
-76.479843,0.698033
-77.193275,0.704728
-77.906708,0.711376
-78.643921,0.718296
-79.357361,0.724898
-80.070801,0.731581
-80.808052,0.738498
-81.521446,0.745139
-82.234932,0.751707
-82.972092,0.758581
-83.685570,0.765273
-84.398972,0.771937
-85.136223,0.778835
-85.849609,0.785486
-86.563042,0.792059
-87.300301,0.799063
-88.013687,0.805646
-88.727165,0.812296
-89.464333,0.819169
-90.177818,0.825804
-90.891205,0.832458
-91.628464,0.839427
-92.341896,0.846080
-93.055344,0.852699
-93.792542,0.859645
-94.505989,0.866207
-95.219421,0.872895
-95.956688,0.879795
-96.670067,0.886419
-97.383553,0.893079
-98.120720,0.899972
-98.834198,0.906604
-99.547630,0.913253
-100.284843,0.920247
-100.998276,0.926853
-101.711723,0.933550
-102.448929,0.940383
-103.162407,0.947070
-103.875801,0.953723
-104.613060,0.960602
-105.326485,0.967237
-106.039932,0.973877
