2,Indy Pro 2000 PM-18,baseline
Steering Wheel Angle,Yaw Rate
193.964371,1.879835
192.932281,1.880067
191.933533,1.875351
190.934753,1.866795
189.902695,1.858029
188.903946,1.849351
187.905136,1.840347
186.873108,1.830575
185.874298,1.820586
184.875549,1.810730
183.843445,1.800426
182.844696,1.790242
181.845901,1.779173
180.813843,1.767566
179.815063,1.757879
178.816269,1.747883
177.784180,1.737754
176.785431,1.729159
175.786636,1.718872
174.754608,1.708143
173.755783,1.699025
172.757034,1.688533
171.724945,1.678300
170.726196,1.667899
169.727371,1.658999
168.695328,1.648262
167.696548,1.639086
166.697769,1.628321
165.665665,1.618336
164.666916,1.609188
163.668106,1.599352
162.636078,1.588715
161.637283,1.579149
160.638535,1.569330
159.606430,1.558139
158.607651,1.548560
157.608841,1.539837
156.576813,1.528808
155.578003,1.518713
154.545944,1.509241
153.547165,1.498964
152.548386,1.489090
151.516296,1.478642
150.517532,1.469342
149.518738,1.459239
148.486664,1.448979
147.487885,1.440061
146.489105,1.429311
145.457016,1.419630
144.458267,1.409411
143.459503,1.400068
142.427399,1.389885
141.428650,1.379451
140.429840,1.369538
139.397781,1.360015
138.399002,1.350024
137.400223,1.339856
136.368118,1.330096
135.369385,1.320599
134.370560,1.310064
133.338501,1.300355
132.339691,1.290688
131.340958,1.280713
130.308853,1.270373
129.310074,1.260652
128.311264,1.250801
127.279228,1.240545
126.280426,1.231003
125.281647,1.221081
124.249550,1.210795
123.250801,1.201202
122.251991,1.190984
121.219940,1.181625
120.221115,1.170692
119.222366,1.161783
118.190239,1.150906
117.191505,1.141663
116.192688,1.131580
115.160629,1.121811
114.161819,1.111692
113.163063,1.102434
112.130974,1.091476
111.132202,1.082466
110.133385,1.072691
109.101326,1.062420
108.102509,1.052807
107.103767,1.042664
106.071671,1.032397
105.072891,1.022363
104.074081,1.012704
103.042015,1.002637
102.043213,0.993093
101.011185,0.982976
100.012398,0.973057
99.013596,0.963552
97.981529,0.953465
96.982719,0.943327
95.983971,0.933522
94.951881,0.923855
93.953102,0.913545
92.954285,0.904146
91.922226,0.894049
90.923409,0.884139
89.924667,0.874672
88.892548,0.864268
87.893791,0.854278
86.894981,0.844556
85.862923,0.834819
84.864113,0.824734
83.865334,0.815316
82.833237,0.805281
81.834457,0.795367
80.835648,0.785208
79.803581,0.775466
78.804771,0.765382
77.806030,0.755809
76.773903,0.745458
75.775154,0.735576
74.776337,0.725856
73.744286,0.716051
72.745476,0.705994
71.746696,0.696694
70.714600,0.686595
69.715820,0.676568
68.717003,0.666992
67.684944,0.656497
66.686142,0.647212
65.687355,0.637330
64.655266,0.626994
63.656487,0.617585
62.657673,0.607245
61.625610,0.597580
60.626797,0.587491
59.628021,0.578220
58.595932,0.567502
57.597145,0.558305
56.598400,0.548208
55.566277,0.538356
54.567528,0.528421
53.568687,0.518984
52.536625,0.508395
51.537811,0.499154
50.505753,0.488504
49.506939,0.479211
48.508160,0.469370
47.476070,0.459436
46.477287,0.449617
45.478477,0.439450
44.446415,0.429738
43.447601,0.419484
42.448826,0.410324
41.416702,0.400020
40.417953,0.390348
39.419140,0.380420
38.387077,0.370473
37.388233,0.360619
36.389488,0.350927
35.357365,0.340634
34.358585,0.330976
33.359772,0.321358
32.327709,0.310941
31.328901,0.301583
30.330120,0.291331
29.297997,0.281713
28.299248,0.272112
27.300406,0.261943
26.268345,0.252282
25.269531,0.242209
24.270754,0.232549
23.238661,0.222311
22.239880,0.212856
21.241070,0.202595
20.209009,0.192947
19.210163,0.183117
18.211416,0.173646
17.179293,0.162996
16.180511,0.153615
15.181702,0.143928
14.149640,0.133562
13.150796,0.124069
12.152049,0.114357
11.119988,0.103894
10.121144,0.094418
9.122396,0.084637
8.090272,0.074211
7.091493,0.064773
6.092681,0.054877
5.060620,0.045147
4.061809,0.035170
3.062997,0.025307
2.030904,0.015694
1.032093,0.007322
0.000000,0.001559
-0.998747,0.007741
-1.997624,0.016219
-3.029652,0.027137
-4.028464,0.036821
-5.027276,0.046592
-6.059368,0.056678
-7.058115,0.066116
-8.056992,0.075851
-9.089020,0.086062
-10.087896,0.096051
-11.086643,0.105856
-12.118735,0.115612
-13.117547,0.125405
-14.116360,0.135272
-15.148452,0.145499
-16.147263,0.154800
-17.146011,0.164759
-18.178169,0.174677
-19.176916,0.184406
-20.175728,0.194365
-21.207819,0.204444
-22.206633,0.214035
-23.205444,0.224075
-24.237535,0.233986
-25.236284,0.243708
-26.235159,0.253600
-27.267187,0.263529
-28.266064,0.273434
-29.264811,0.282803
-30.296968,0.293043
-31.295717,0.303103
-32.294464,0.312849
-33.326618,0.322608
-34.325367,0.332600
-35.324245,0.341885
-36.356274,0.352278
-37.355083,0.362183
-38.353897,0.372068
-39.385986,0.381728
-40.384800,0.391845
-41.383614,0.401250
-42.415703,0.411831
-43.414516,0.421054
-44.413265,0.431284
-45.445419,0.441197
-46.444168,0.450890
-47.443043,0.460855
-48.475071,0.470543
-49.473949,0.480392
-50.472694,0.490035
-51.504852,0.500627
-52.503601,0.510302
-53.535759,0.519839
-54.534504,0.529962
-55.533318,0.539623
-56.565411,0.549585
-57.564224,0.559443
-58.563034,0.569551
-59.595127,0.579311
-60.593937,0.589150
-61.592751,0.599011
-62.624840,0.609021
-63.623653,0.618867
-64.622467,0.628436
-65.654556,0.638604
-66.653366,0.648121
-67.652184,0.658448
-68.684273,0.668196
-69.683090,0.677767
-70.681831,0.688057
-71.713989,0.697964
-72.712738,0.707497
-73.711617,0.717395
-74.743645,0.727507
-75.742516,0.737232
-76.741264,0.746945
-77.773361,0.757231
-78.772171,0.766926
-79.770981,0.777075
-80.803070,0.787036
-81.801888,0.796783
-82.800697,0.806234
-83.832787,0.816601
-84.831604,0.826694
-85.830414,0.836479
-86.862572,0.846405
-87.861313,0.855936
-88.860130,0.865576
-89.892227,0.876093
-90.891098,0.885446
-91.889847,0.895489
-92.921997,0.905599
-93.920753,0.915736
-94.919624,0.924971
-95.951653,0.935412
-96.950531,0.944907
-97.949280,0.954555
-98.981438,0.965066
-99.980179,0.974476
-100.979065,0.984283
-102.011093,0.994909
-103.009964,1.004574
-104.008705,1.014121
-105.040863,1.024165
-106.039619,1.034235
-107.071777,1.044199
-108.070587,1.053863
-109.069389,1.063733
-110.101486,1.074015
-111.100304,1.083595
-112.099113,1.093678
-113.131271,1.103433
-114.130020,1.113908
-115.128899,1.123446
-116.160927,1.133256
-117.159798,1.143091
-118.158554,1.152894
-119.190704,1.163066
-120.189453,1.173365
-121.188255,1.183088
-122.220421,1.192621
-123.219162,1.202873
-124.218033,1.212682
-125.250061,1.222626
-126.248947,1.232534
-127.247688,1.242699
-128.279846,1.251946
-129.278656,1.262704
-130.277481,1.271987
-131.309555,1.282229
-132.308380,1.292079
-133.307190,1.301596
-134.339355,1.312583
-135.338089,1.322006
-136.336975,1.331969
-137.369003,1.341666
-138.367874,1.351835
-139.366684,1.361484
-140.398773,1.372039
-141.397583,1.381630
-142.396408,1.391270
-143.428497,1.401681
-144.427368,1.411509
-145.426117,1.421062
-146.458282,1.431594
-147.457077,1.440831
-148.455902,1.450457
-149.487991,1.460893
-150.486877,1.470735
-151.485611,1.480401
-152.517776,1.491173
-153.516525,1.500721
-154.515396,1.511008
-155.547485,1.520513
-156.546295,1.530584
-157.578400,1.540641
-158.577271,1.551020
-159.576004,1.559852
-160.608170,1.570905
-161.606918,1.580151
-162.605804,1.590281
-163.637894,1.600472
-164.636765,1.610616
-165.635513,1.620369
-166.667603,1.630867
-167.666428,1.640381
-168.665222,1.649861
-169.697372,1.661171
-170.696136,1.670233
-171.695007,1.680860
-172.727097,1.689830
-173.725922,1.699906
-174.724731,1.710955
-175.756882,1.720712
-176.755630,1.731145
-177.754501,1.739737
-178.786606,1.749859
-179.785477,1.760252
-180.784225,1.770346
-181.816376,1.780703
-182.815125,1.790663
-183.813995,1.799952
