2,Kia Optima,baseline
Steering Wheel Angle,Yaw Rate
291.943726,1.839222
290.911652,1.835898
289.912903,1.834932
288.914154,1.827506
287.882080,1.820654
286.883301,1.813117
285.884552,1.805730
284.852478,1.798751
283.853729,1.792486
282.854980,1.786244
281.822876,1.779882
280.824127,1.773709
279.825317,1.767457
278.793304,1.760966
277.794556,1.755272
276.795776,1.749047
275.763702,1.741804
274.764984,1.735414
273.766174,1.729102
272.734131,1.722235
271.735382,1.715373
270.736603,1.709391
269.704529,1.703541
268.705780,1.696065
267.707001,1.689115
266.674927,1.683740
265.676178,1.677475
264.677399,1.669573
263.645355,1.663213
262.646576,1.658196
261.647827,1.651073
260.615753,1.643213
259.617004,1.637787
258.584900,1.632045
257.586182,1.624600
256.587372,1.617489
255.555344,1.612046
254.556549,1.605910
253.557785,1.598169
252.525742,1.591739
251.526947,1.586626
250.528183,1.579602
249.496140,1.571943
248.497330,1.566440
247.498581,1.560767
246.466522,1.553066
245.467773,1.546395
244.468964,1.541098
243.436951,1.534388
242.438156,1.526994
241.439392,1.521005
240.407318,1.515319
239.408585,1.508361
238.409760,1.501087
237.377716,1.495293
236.378922,1.489671
235.380157,1.482326
234.348114,1.475176
233.349335,1.469826
232.350586,1.463762
231.318527,1.456069
230.319733,1.449693
229.320969,1.444370
228.288895,1.437504
227.290115,1.430164
226.291382,1.424359
225.259277,1.418554
224.260529,1.411447
223.261749,1.404653
222.229706,1.398887
221.230927,1.392612
220.232147,1.385359
219.200073,1.379002
218.201324,1.373517
217.202515,1.366584
216.170486,1.359326
215.171677,1.353761
214.172928,1.347836
213.140839,1.340350
212.142090,1.333994
211.143280,1.328484
210.111252,1.321710
209.112442,1.314519
208.113693,1.308771
207.081604,1.302863
206.082840,1.295867
205.050766,1.288831
204.052017,1.283358
203.053238,1.277232
202.021164,1.269722
201.022385,1.263651
200.023605,1.258188
198.991516,1.251126
197.992783,1.244195
196.994003,1.238497
195.961929,1.232539
194.963150,1.225326
193.964371,1.218824
192.932281,1.213041
191.933533,1.206836
190.934753,1.199695
189.902695,1.193342
188.903946,1.187805
187.905136,1.180976
186.873108,1.173900
185.874298,1.168221
184.875549,1.162304
183.843445,1.154989
182.844696,1.148708
181.845901,1.143024
180.813843,1.136312
179.815063,1.129412
178.816269,1.123537
177.784180,1.117444
176.785431,1.110541
175.786636,1.104015
174.754608,1.098119
173.755783,1.091883
172.757034,1.084882
171.724945,1.078521
170.726196,1.072821
169.727371,1.066139
168.695328,1.059206
167.696548,1.053467
166.697769,1.047296
165.665665,1.040204
164.666916,1.033977
163.668106,1.028224
162.636078,1.021466
161.637283,1.014716
160.638535,1.008713
159.606430,1.002597
158.607651,0.995876
157.608841,0.989279
156.576813,0.983216
155.578003,0.977060
154.545944,0.970081
153.547165,0.963850
152.548386,0.957928
151.516296,0.951149
150.517532,0.944552
149.518738,0.938560
148.486664,0.932240
147.487885,0.925587
146.489105,0.919265
145.457016,0.912958
144.458267,0.906706
143.459503,0.900005
142.427399,0.893651
141.428650,0.887679
140.429840,0.881135
139.397781,0.874400
138.399002,0.868334
137.400223,0.862235
136.368118,0.855294
135.369385,0.848960
134.370560,0.843026
133.338501,0.836480
132.339691,0.829973
131.340958,0.823702
130.308853,0.817445
129.310074,0.810985
128.311264,0.804498
127.279228,0.798146
126.280426,0.792000
125.281647,0.785525
124.249550,0.778950
123.250801,0.772859
122.251991,0.766545
121.219940,0.759828
120.221115,0.753673
119.222366,0.747562
118.190239,0.740846
117.191505,0.734491
116.192688,0.728300
115.160629,0.721871
114.161819,0.715489
113.163063,0.709162
112.130974,0.702767
111.132202,0.696480
110.133385,0.690135
109.101326,0.683601
108.102509,0.677478
107.103767,0.671067
106.071671,0.664439
105.072891,0.658353
104.074081,0.652081
103.042015,0.645441
102.043213,0.639212
101.011185,0.632731
100.012398,0.626459
99.013596,0.620108
97.981529,0.613672
96.982719,0.607429
95.983971,0.601112
94.951881,0.594552
93.953102,0.588339
92.954285,0.582094
91.922226,0.575530
90.923409,0.569326
89.924667,0.563044
88.892548,0.556503
87.893791,0.550262
86.894981,0.544011
85.862923,0.537397
84.864113,0.531258
83.865334,0.524962
82.833237,0.518429
81.834457,0.512128
80.835648,0.505888
79.803581,0.499422
78.804771,0.493119
77.806030,0.486829
76.773903,0.480432
75.775154,0.474084
74.776337,0.467763
73.744286,0.461271
72.745476,0.455225
71.746696,0.448756
70.714600,0.442180
69.715820,0.436078
68.717003,0.429893
67.684944,0.423226
66.686142,0.416975
65.687355,0.410938
64.655266,0.404283
63.656487,0.397825
62.657673,0.391694
61.625610,0.385345
60.626797,0.378976
59.628021,0.372553
58.595932,0.366243
57.597145,0.360111
56.598400,0.353624
55.566277,0.347032
54.567528,0.341140
53.568687,0.334734
52.536625,0.327961
51.537811,0.321929
50.505753,0.315682
49.506939,0.309126
48.508160,0.302723
47.476070,0.296499
46.477287,0.290400
45.478477,0.283743
44.446415,0.277243
43.447601,0.271353
42.448826,0.265048
41.416702,0.258138
40.417953,0.252049
39.419140,0.246127
38.387077,0.239404
37.388233,0.232862
36.389488,0.226921
35.357365,0.220684
34.358585,0.214035
33.359772,0.207616
32.327709,0.201578
31.328901,0.195342
30.330120,0.188579
29.297997,0.182231
28.299248,0.176473
27.300406,0.169944
26.268345,0.163006
25.269531,0.157176
24.270754,0.151197
23.238661,0.144194
22.239880,0.137842
21.241070,0.132097
20.209009,0.125594
19.210163,0.118776
18.211416,0.112680
17.179293,0.106710
16.180511,0.100119
15.181702,0.093509
14.149640,0.087491
13.150796,0.081460
12.152049,0.074611
11.119988,0.068104
10.121144,0.062442
9.122396,0.056039
8.090272,0.048958
7.091493,0.043119
6.092681,0.037332
5.060620,0.030194
4.061809,0.023728
3.062997,0.018169
2.030904,0.011628
1.032093,0.004866
0.000000,0.001476
-0.998747,0.007241
-1.997624,0.013295
-3.029652,0.019437
-4.028464,0.026245
-5.027276,0.032811
-6.059368,0.038658
-7.058115,0.044910
-8.056992,0.051756
-9.089020,0.058081
-10.087896,0.063754
-11.086643,0.070343
-12.118735,0.077303
-13.117547,0.083051
-14.116360,0.089045
-15.148452,0.096135
-16.147263,0.102464
-17.146011,0.108126
-18.178169,0.114658
-19.176916,0.121424
-20.175728,0.127536
-21.207819,0.133588
-22.206633,0.140097
-23.205444,0.146762
-24.237535,0.152848
-25.236284,0.158859
-26.235159,0.165544
-27.267187,0.172235
-28.266064,0.177957
-29.264811,0.184174
-30.296968,0.191172
-31.295717,0.197358
-32.294464,0.203124
-33.326618,0.209842
-34.325367,0.216477
-35.324245,0.222401
-36.356274,0.228578
-37.355083,0.235203
-38.353897,0.241653
-39.385986,0.247815
-40.384800,0.253986
-41.383614,0.260615
-42.415703,0.267108
-43.414516,0.272974
-44.413265,0.279376
-45.445419,0.286181
-46.444168,0.292211
-47.443043,0.298235
-48.475071,0.305052
-49.473949,0.311424
-50.472694,0.317389
-51.504852,0.323742
-52.503601,0.330370
-53.535759,0.336832
-54.534504,0.342767
-55.533318,0.349114
-56.565411,0.355886
-57.564224,0.362003
-58.563034,0.368068
-59.595127,0.374760
-60.593937,0.381134
-61.592751,0.387180
-62.624840,0.393646
-63.623653,0.400125
