2,Lamborghini Huracan GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
308.090393,1.781640
307.091644,1.784634
306.059570,1.785942
305.060852,1.780720
304.062042,1.776149
303.029999,1.771616
302.031219,1.766922
301.032471,1.762216
300.000427,1.757260
299.001678,1.752256
298.002899,1.747332
296.970825,1.742094
295.972076,1.737023
294.973328,1.731762
293.941254,1.726372
292.942474,1.721054
291.943726,1.715737
290.911652,1.710167
289.912903,1.704729
288.914154,1.699142
287.882080,1.693485
286.883301,1.687009
285.884552,1.680735
284.852478,1.674198
283.853729,1.667770
282.854980,1.661422
281.822876,1.654203
280.824127,1.647085
279.825317,1.640170
278.793304,1.633117
277.794556,1.626227
276.795776,1.619652
275.763702,1.613757
274.764984,1.608048
273.766174,1.602145
272.734131,1.596429
271.735382,1.591526
270.736603,1.586270
269.704529,1.579874
268.705780,1.573984
267.707001,1.568147
266.674927,1.561167
265.676178,1.556065
264.677399,1.550351
263.645355,1.543834
262.646576,1.537612
261.647827,1.531612
260.615753,1.525551
259.617004,1.519868
258.584900,1.513691
257.586182,1.507545
256.587372,1.501545
255.555344,1.495121
254.556549,1.489751
253.557785,1.484228
252.525742,1.477254
251.526947,1.471702
250.528183,1.466019
249.496140,1.459096
248.497330,1.453808
247.498581,1.448107
246.466522,1.441642
245.467773,1.435326
244.468964,1.430112
243.436951,1.424811
242.438156,1.418574
241.439392,1.412181
240.407318,1.405884
239.408585,1.399977
238.409760,1.393787
237.377716,1.387914
236.378922,1.382046
235.380157,1.376282
234.348114,1.369392
233.349335,1.364033
232.350586,1.358501
231.318527,1.352071
230.319733,1.345877
229.320969,1.339902
228.288895,1.333707
227.290115,1.327851
226.291382,1.322267
225.259277,1.316365
224.260529,1.310395
223.261749,1.304536
222.229706,1.298164
221.230927,1.292197
220.232147,1.286074
219.200073,1.280578
218.201324,1.274751
217.202515,1.268603
216.170486,1.262453
215.171677,1.256306
214.172928,1.250613
213.140839,1.244431
212.142090,1.238440
211.143280,1.232698
210.111252,1.226517
209.112442,1.220690
208.113693,1.214996
207.081604,1.208568
206.082840,1.202738
205.050766,1.196763
204.052017,1.190713
203.053238,1.184793
202.021164,1.178981
201.022385,1.172843
200.023605,1.166999
198.991516,1.160961
197.992783,1.155235
196.994003,1.149180
195.961929,1.142933
194.963150,1.137048
193.964371,1.130913
192.932281,1.125197
191.933533,1.119335
190.934753,1.113611
189.902695,1.107420
188.903946,1.101496
187.905136,1.095554
186.873108,1.089421
185.874298,1.083189
184.875549,1.077404
183.843445,1.071149
182.844696,1.065810
