2,Late Model Stock,baseline
Steering Wheel Angle,Yaw Rate
147.321182,1.064949
146.488861,1.065411
145.628830,1.062243
144.796478,1.055653
143.964188,1.051182
143.104111,1.046468
142.271820,1.034416
141.439468,1.027261
140.579437,1.020303
139.747116,1.013349
138.914810,1.006444
138.054718,0.998668
137.222427,0.991547
136.390091,0.983927
135.530060,0.976228
134.697739,0.968539
133.865448,0.962127
133.005356,0.953373
132.173035,0.945594
131.340698,0.937415
130.480667,0.930155
129.648331,0.923669
128.788284,0.912416
127.955971,0.904450
127.123650,0.896938
126.263580,0.889243
125.431274,0.882057
124.598946,0.875123
123.738884,0.867699
122.906570,0.860597
122.074249,0.853055
121.214180,0.846730
120.381889,0.840924
119.549583,0.834788
118.689499,0.827790
117.857208,0.822343
117.024864,0.815977
116.164818,0.809444
115.332497,0.803215
114.500183,0.796814
113.640099,0.789524
112.807816,0.785698
111.975464,0.777418
111.115417,0.771123
110.283073,0.765294
109.450798,0.757863
108.590706,0.753003
107.758392,0.745500
106.926048,0.740753
106.066025,0.733238
105.233688,0.727899
104.401367,0.721789
103.541290,0.714212
102.709000,0.710181
101.876656,0.702770
101.016617,0.696417
100.184258,0.691133
99.351967,0.684251
98.491867,0.678437
97.659584,0.672220
96.827240,0.667866
95.967186,0.660216
95.134850,0.654495
94.302551,0.649071
93.442474,0.643155
92.610168,0.636612
91.777817,0.631745
90.917770,0.624970
90.085419,0.619528
89.253136,0.613889
88.393059,0.604228
87.560738,0.596050
86.728401,0.592175
85.868347,0.581142
85.036011,0.577328
84.175987,0.568909
83.343666,0.560712
82.511330,0.556814
81.651276,0.548816
80.818932,0.542027
79.986641,0.535725
79.126564,0.530490
78.294250,0.524731
77.461899,0.518760
76.601852,0.513198
75.769508,0.508486
74.937218,0.502223
74.077118,0.497408
73.244827,0.492045
72.412483,0.487126
71.552437,0.481808
70.720093,0.476188
69.887779,0.471267
69.027695,0.466091
68.195381,0.461090
67.363037,0.456512
66.502983,0.452009
65.670639,0.447427
64.838356,0.443012
63.978252,0.438480
63.145962,0.434005
62.313614,0.429528
61.453571,0.424899
60.621227,0.420308
59.788914,0.415934
58.928833,0.411316
58.096516,0.406927
57.264168,0.402363
56.404118,0.397678
55.571785,0.393280
54.739460,0.388914
53.879387,0.384094
53.047070,0.379728
52.214725,0.375355
51.354675,0.370648
50.522331,0.366021
49.690018,0.361592
48.829941,0.356978
47.997620,0.352548
47.165333,0.347962
46.305229,0.343312
45.472939,0.338790
44.640572,0.334416
43.780521,0.329766
42.948174,0.325286
42.088127,0.320580
41.255783,0.316159
40.423466,0.311597
39.563393,0.306947
38.731071,0.302540
37.898731,0.298023
37.038677,0.293281
36.206333,0.288813
35.374020,0.284361
34.513916,0.279554
33.681625,0.275300
32.849281,0.270598
31.989231,0.266037
31.156860,0.261646
30.324574,0.257055
29.464470,0.252404
28.632154,0.247966
27.799809,0.243311
26.939756,0.238794
26.107418,0.234233
25.275099,0.229835
24.414997,0.225095
23.582706,0.220720
22.750338,0.215917
21.890287,0.211567
21.057941,0.206879
20.225628,0.202398
19.365551,0.197728
18.533232,0.193151
17.700891,0.188791
16.840841,0.184031
16.008469,0.179450
15.176180,0.175095
14.316077,0.170454
13.483759,0.165892
12.651418,0.161251
11.791367,0.156765
10.958997,0.152274
10.126707,0.147815
9.266657,0.142913
8.434287,0.138761
7.601997,0.134070
6.741893,0.129405
5.909577,0.124783
5.077234,0.120505
4.217184,0.115678
3.384840,0.111272
2.552498,0.106842
1.692420,0.102007
0.860077,0.097570
0.000000,0.093058
-0.832289,0.088358
-1.664686,0.083714
-2.524710,0.079374
-3.357053,0.073561
-4.189396,0.070269
-5.049473,0.063218
-5.881763,0.057000
-6.714159,0.052387
-7.574183,0.047334
-8.406580,0.041570
-9.238869,0.036518
-10.098946,0.030100
-10.931289,0.024629
-11.763633,0.019269
-12.623710,0.013803
-13.456052,0.007634
-14.288342,0.003653
-15.148474,0.002901
-15.980763,0.009708
-16.813107,0.014746
-17.673182,0.020308
-18.505527,0.026928
-19.337870,0.032372
-20.197947,0.037679
-21.030237,0.042990
-21.862633,0.048276
-22.722656,0.053756
-23.555052,0.059203
-24.387342,0.064118
-25.247473,0.073709
-26.079763,0.081584
-26.912052,0.086588
-27.772181,0.091790
-28.604471,0.096646
-29.436871,0.101711
-30.296894,0.106683
-31.129236,0.111818
-31.961580,0.117117
-32.821655,0.122080
-33.653999,0.128831
-34.486343,0.135368
-35.346416,0.142417
-36.178764,0.148023
-37.011055,0.155269
-37.871181,0.162653
-38.703472,0.168014
-39.535870,0.174974
-40.395893,0.182189
-41.228291,0.188475
-42.060577,0.194896
-42.920708,0.201005
-43.752998,0.207746
-44.613132,0.214436
-45.445419,0.220650
-46.277763,0.227481
-47.137840,0.234089
-47.970184,0.239921
-48.802528,0.246987
-49.662605,0.253522
-50.494946,0.259333
-51.327290,0.266830
-52.187366,0.272851
-53.019711,0.279645
-53.852055,0.286656
-54.712128,0.292243
-55.544472,0.299662
-56.376820,0.306922
-57.236893,0.312256
-58.069241,0.320184
-58.901524,0.326838
-59.761658,0.332921
-60.593948,0.339803
-61.426346,0.347795
-62.286369,0.352877
-63.118763,0.360553
-63.951054,0.368230
-64.811134,0.373745
-65.643471,0.380790
-66.475815,0.388305
-67.335892,0.395168
-68.168236,0.401309
-69.000580,0.408700
-69.860657,0.416804
-70.693001,0.422974
-71.525345,0.428458
-72.385475,0.437153
-73.217758,0.444746
-74.050110,0.449922
-74.910187,0.457299
-75.742577,0.465914
-76.574867,0.472437
-77.434998,0.478019
-78.267296,0.486541
-79.099686,0.493625
-79.959709,0.500072
-80.792107,0.508182
-81.624397,0.515954
-82.484528,0.522298
-83.316811,0.527396
-84.149216,0.536048
-85.009239,0.545055
-85.841637,0.551376
-86.673920,0.556992
-87.534050,0.565800
-88.366348,0.573445
-89.226479,0.579156
-90.058823,0.585803
-90.891159,0.594334
-91.751236,0.601234
-92.583588,0.607956
-93.415924,0.616104
-94.276054,0.624107
-95.108345,0.630780
-95.940750,0.638020
-96.800774,0.646514
-97.633163,0.653160
-98.465462,0.660228
-99.325584,0.668462
-100.157875,0.675369
-100.990211,0.681624
-101.850349,0.690171
-102.682632,0.698866
-103.515022,0.704401
-104.375046,0.711184
-105.207451,0.719790
-106.039742,0.727084
-106.899872,0.732731
-107.732208,0.740545
-108.564568,0.749091
-109.424629,0.755183
-110.256981,0.761995
-111.089325,0.769876
-111.949463,0.777946
-112.781738,0.784398
-113.614143,0.791245
-114.474167,0.800248
-115.306557,0.808784
-116.138901,0.815685
-116.998978,0.822693
-117.831314,0.829999
-118.663673,0.837956
-119.523743,0.843993
-120.356140,0.851277
-121.188431,0.858844
-122.048569,0.867259
-122.880898,0.874896
-123.713249,0.884152
-124.573326,0.892037
-125.405731,0.901443
-126.238007,0.908167
-127.098145,0.916886
-127.930435,0.923830
-128.762833,0.931345
-129.622894,0.939971
-130.455246,0.945477
-131.315323,0.953181
-132.147720,0.961179
-132.979996,0.967948
-133.840134,0.975201
-134.672424,0.982340
-135.504837,0.991131
-136.364914,0.997782
-137.197296,1.004694
-138.029587,1.012790
-138.889664,1.019991
-139.722015,1.027323
-140.554352,1.034739
-141.414474,1.042347
-142.246780,1.050769
-143.079163,1.057889
-143.939240,1.065381
-144.771591,1.071848
-145.603943,1.080577
-146.464066,1.084239
-147.296356,1.082703
