2,Legends Ford  34 Coupe,baseline
Steering Wheel Angle,Yaw Rate
261.586182,3.465351
260.587372,3.463000
259.555359,3.455626
258.556549,3.451564
257.557800,3.450990
256.525757,3.452167
255.526947,3.455174
254.528183,3.450742
253.496140,3.437691
252.497330,3.425815
251.498581,3.413477
250.466522,3.397448
249.467773,3.382765
248.468964,3.368080
247.436951,3.353259
246.438156,3.341441
245.439392,3.327486
244.407318,3.314598
243.408585,3.300648
242.409760,3.285538
241.377716,3.271049
240.378922,3.257061
239.380157,3.243749
238.348114,3.229790
237.349335,3.216464
236.350586,3.202837
235.318527,3.188558
234.319733,3.176808
233.320969,3.164324
232.288895,3.150164
231.290115,3.134664
230.291382,3.119904
229.259277,3.104828
228.260529,3.090871
227.261749,3.076691
226.229706,3.062360
225.230927,3.048235
224.232147,3.034927
223.200073,3.020036
222.201324,3.006344
221.202515,2.993372
220.170486,2.978951
219.171677,2.964684
218.172928,2.951553
217.140839,2.936923
216.142090,2.922841
215.143280,2.910053
214.111252,2.895154
213.112442,2.881428
212.113693,2.867536
211.081604,2.851517
210.082840,2.836487
209.050766,2.820251
208.052017,2.803775
207.053238,2.788780
206.021164,2.772704
205.022385,2.756323
204.023605,2.740164
202.991516,2.724767
201.992783,2.708476
200.994003,2.693515
199.961929,2.676435
198.963150,2.661256
197.964371,2.644639
196.932281,2.629131
195.933533,2.613654
194.934753,2.597558
193.902695,2.581399
192.903946,2.566399
191.905136,2.549228
190.873108,2.532483
189.874298,2.517393
188.875549,2.501628
187.843445,2.485804
186.844696,2.470150
185.845901,2.454571
184.813843,2.438445
183.815063,2.422764
182.816269,2.407612
181.784180,2.391251
180.785431,2.375619
179.786636,2.360011
178.754608,2.344211
177.755783,2.328708
176.757034,2.313126
175.724945,2.297371
174.726196,2.281678
173.727371,2.266034
172.695328,2.250044
171.696548,2.235018
170.697769,2.219217
169.665665,2.202494
168.666916,2.187697
167.668106,2.172579
166.636078,2.156534
165.637283,2.173959
164.638535,2.179332
163.606430,2.115036
162.607651,2.140287
161.608841,2.130032
160.576813,2.119198
159.578003,2.093509
158.545944,2.073364
157.547165,2.066340
156.548386,2.040772
155.516296,2.024827
154.517532,2.011191
153.518738,1.990546
152.486664,1.976246
151.487885,1.960681
150.489105,1.940447
149.457016,1.926970
148.458267,1.911574
147.459503,1.891247
146.427399,1.876511
145.428650,1.861847
144.429840,1.840630
143.397781,1.826620
142.399002,1.813100
141.400223,1.791884
140.368118,1.776477
139.369385,1.763883
138.370560,1.743406
137.338501,1.728028
136.339691,1.713733
135.340958,1.694740
134.308853,1.681343
133.310074,1.666551
132.311264,1.647823
131.279236,1.632200
130.280426,1.619244
129.281647,1.601419
128.249542,1.586685
127.250801,1.573262
126.251991,1.556247
125.219940,1.540865
124.221115,1.527807
123.222366,1.511873
122.190239,1.496944
121.191505,1.483720
120.192688,1.468754
119.160629,1.453384
118.161819,1.440418
117.163063,1.426380
116.130974,1.410772
115.132202,1.397981
114.133385,1.384881
113.101326,1.368901
112.102509,1.356830
111.103767,1.343943
110.071671,1.327654
109.072891,1.316140
108.074081,1.303441
107.042015,1.287299
106.043213,1.276421
105.011185,1.261546
104.012398,1.249102
103.013596,1.236397
101.981529,1.221270
100.982719,1.210309
99.983971,1.195503
98.951881,1.184133
97.953102,1.168530
96.954285,1.157245
95.922226,1.143542
94.923409,1.131284
93.924667,1.116916
92.892548,1.105180
91.893791,1.091195
90.894981,1.078940
89.862923,1.064960
88.864113,1.051833
87.865334,1.038978
86.833237,1.025177
85.834457,1.012612
84.835648,0.998355
83.803581,0.984988
82.804771,0.972499
81.806030,0.959028
80.773903,0.944980
79.775154,0.937395
78.776337,0.920320
77.744286,0.908644
76.745476,0.897843
75.746696,0.881850
74.714600,0.868249
73.715820,0.857746
72.717003,0.845983
71.684944,0.826516
70.686142,0.817713
69.687355,0.801372
68.655266,0.786923
67.656487,0.746913
66.657669,0.720615
65.625610,0.707148
64.626801,0.694526
63.628021,0.680362
62.595932,0.665987
61.597145,0.654191
60.598400,0.640698
59.566277,0.626358
58.567528,0.613294
57.568687,0.601016
56.536625,0.589486
55.537811,0.575350
54.505753,0.562257
53.506939,0.548531
52.508160,0.535722
51.476070,0.522571
50.477287,0.510475
49.478477,0.497274
48.446415,0.484388
47.447601,0.472052
46.448826,0.459894
45.416702,0.447353
44.417953,0.435927
43.419140,0.423885
42.387077,0.411439
41.388233,0.397561
40.389488,0.384639
39.357365,0.369980
38.358585,0.357360
37.359772,0.344543
36.327709,0.331228
35.328903,0.319234
34.330120,0.292172
33.297997,0.282933
32.299248,0.275989
31.300406,0.267843
30.268345,0.259468
29.269531,0.251949
28.270754,0.244222
27.238661,0.235324
26.239880,0.227847
25.241070,0.219638
24.209009,0.211458
23.210163,0.203222
22.211416,0.195927
21.179293,0.187442
20.180511,0.179641
19.181702,0.171633
18.149639,0.163487
17.150795,0.155368
16.152050,0.147179
15.119988,0.139622
14.121144,0.131256
13.122396,0.123460
12.090272,0.115686
11.091493,0.107792
10.092681,0.099224
9.060620,0.091825
8.061809,0.083621
7.062997,0.075570
6.030904,0.067575
5.032093,0.059861
4.000000,0.051285
3.001253,0.043396
2.002377,0.035712
0.970348,0.027841
-0.028464,0.019442
-1.027276,0.011697
-2.059368,0.003825
-3.058115,0.004472
-4.056992,0.012177
-5.089020,0.020571
-6.087896,0.028117
-7.086643,0.036107
-8.118735,0.044355
-9.117547,0.052346
-10.116360,0.059744
-11.148452,0.068069
-12.147263,0.076261
-13.146011,0.083684
-14.178169,0.091878
-15.176916,0.100217
-16.175728,0.107353
-17.207819,0.116321
-18.206633,0.123681
-19.205444,0.131344
-20.237535,0.151532
-21.236284,0.169205
-22.235159,0.182204
-23.267187,0.202387
-24.266064,0.217727
-25.264811,0.231679
-26.296968,0.245528
-27.295717,0.259984
-28.294464,0.274799
-29.326618,0.290214
-30.325367,0.301958
-31.324245,0.313333
-32.356274,0.326006
-33.355083,0.338404
-34.353897,0.350644
-35.385986,0.363236
-36.384800,0.375897
-37.383614,0.388238
-38.415703,0.401295
-39.414516,0.413772
-40.413265,0.426579
-41.445419,0.440298
-42.444168,0.452838
-43.443043,0.466147
-44.475071,0.479455
-45.473949,0.492450
-46.472694,0.506258
-47.504852,0.520092
-48.503601,0.533404
-49.535759,0.547686
-50.534504,0.561432
-51.533318,0.575043
-52.565411,0.589222
-53.564224,0.602739
-54.563034,0.616284
-55.595127,0.630840
-56.593937,0.644895
-57.592751,0.658628
-58.624840,0.672810
-59.623653,0.687070
-60.622467,0.701426
-61.654556,0.716364
-62.653366,0.730009
-63.652184,0.744142
-64.684273,0.759529
-65.683090,0.773725
-66.681831,0.787701
-67.713989,0.802495
-68.712738,0.817141
-69.711617,0.831585
-70.743645,0.846212
-71.742516,0.860861
-72.741264,0.875332
-73.773361,0.890405
-74.772171,0.905143
-75.770981,0.919616
-76.803070,0.934805
-77.801888,0.949431
-78.800697,0.963815
-79.832787,0.979505
-80.831604,0.994007
-81.830414,1.008515
-82.862572,1.024284
-83.861313,1.038726
-84.860130,1.053370
-85.892227,1.069318
-86.891098,1.083809
-87.889847,1.098458
