2,Legends Ford  34 Coupe,road
Steering Wheel Angle,Yaw Rate
257.586182,3.433980
256.587372,3.453921
255.555344,3.472449
254.556549,3.482811
253.557785,3.511805
252.525742,3.520078
251.526947,3.526458
250.528183,3.531652
249.496140,3.529165
248.497330,3.442892
247.498581,3.437699
246.466522,3.426624
245.467773,3.412453
244.468964,3.395287
243.436951,3.374585
242.438156,3.351885
241.439392,3.327015
240.407318,3.302551
239.408585,3.377770
238.409760,3.338491
237.377716,3.312920
236.378922,3.288930
235.380157,3.265671
234.348114,3.241844
233.349335,3.218113
232.350586,3.193383
231.318527,3.166228
230.319733,3.140337
229.320969,3.114399
228.288895,3.086518
227.290115,3.064519
226.291382,3.042387
225.259277,3.052220
224.260529,3.025908
223.261749,3.005216
222.229706,2.984929
221.230927,2.965530
220.232147,2.946414
219.200073,2.930208
218.201324,2.918511
217.202515,2.907442
216.170486,2.896325
215.171677,2.884933
214.172928,2.873004
213.140839,2.858948
212.142090,2.843120
211.143280,2.828785
210.111252,2.814515
209.112442,2.802834
208.113693,2.789899
207.081604,2.774237
206.082840,2.761225
205.050766,2.748707
204.052017,2.736609
203.053238,2.723715
202.021164,2.709104
201.022385,2.695308
200.023605,2.679607
198.991516,2.665004
197.992783,2.651268
196.994003,2.637480
195.961929,2.623061
194.963150,2.608779
193.964371,2.595521
192.932281,2.580803
191.933533,2.566944
190.934753,2.553107
189.902695,2.538509
188.903946,2.524935
187.905136,2.511051
186.873108,2.495989
185.874298,2.483150
184.875549,2.467395
183.843445,2.452489
182.844696,2.437262
181.845901,2.421643
180.813843,2.405875
179.815063,2.390100
178.816269,2.374866
177.784180,2.358332
176.785431,2.343707
175.786636,2.327528
174.754608,2.312077
173.755783,2.296524
172.757034,2.281015
171.724945,2.265416
170.726196,2.249416
169.727371,2.234173
168.695328,2.218738
167.696548,2.203058
166.697769,2.186928
165.665665,2.171906
164.666916,2.156194
163.668106,2.140685
162.636078,2.125077
161.637283,2.109709
160.638535,2.094430
159.606430,2.078504
158.607651,2.062990
157.608841,2.047971
156.576813,2.031888
155.578003,2.016653
154.545944,2.001010
153.547165,1.985566
152.548386,1.970087
151.516296,1.953467
150.517532,1.939978
149.518738,1.923655
148.486664,1.908251
147.487885,1.893228
146.489105,1.878158
145.457016,1.861979
144.458267,1.846806
143.459503,1.831856
142.427399,1.815816
141.428650,1.800979
140.429840,1.785921
139.397781,1.770232
138.399002,1.754709
137.400223,1.740042
136.368118,1.724333
135.369385,1.709128
134.370560,1.693884
133.338501,1.678579
132.339691,1.663573
131.340958,1.648509
130.308853,1.632938
129.310074,1.618168
128.311264,1.602843
127.279228,1.587163
126.280426,1.572400
125.281647,1.557456
124.249550,1.541787
123.250801,1.527215
122.251991,1.511868
121.219940,1.496873
120.221115,1.481728
119.222366,1.466889
118.190239,1.451760
117.191505,1.436661
116.192688,1.422208
115.160629,1.406485
114.161819,1.391687
113.163063,1.377122
112.130974,1.361656
111.132202,1.347124
110.133385,1.332095
109.101326,1.317223
108.102509,1.302476
107.103767,1.286852
106.071671,1.272655
105.072891,1.258108
104.074081,1.243610
103.042015,1.227474
102.043213,1.213947
101.011185,1.198795
100.012398,1.184675
99.013596,1.169483
97.981529,1.154783
96.982719,1.140433
95.983971,1.126021
94.951881,1.110967
93.953102,1.096959
92.954285,1.082461
91.922226,1.067682
90.923409,1.053203
89.924667,1.039178
88.892548,1.024474
87.893791,1.010193
86.894981,0.996067
85.862923,0.981386
84.864113,0.967367
83.865334,0.952997
82.833237,0.938487
81.834457,0.924701
80.835648,0.910483
79.803581,0.896196
78.804771,0.882264
77.806030,0.868232
76.773903,0.854207
75.775154,0.864930
74.776337,0.859682
73.744286,0.845134
72.745476,0.830588
71.746696,0.816780
70.714600,0.802523
69.715820,0.787871
68.717003,0.774838
67.684944,0.759522
66.686142,0.746231
65.687355,0.732575
64.655266,0.718269
63.656487,0.704641
62.657673,0.690788
61.625610,0.676473
60.626797,0.662669
59.628021,0.649412
58.595932,0.635374
57.597145,0.621667
56.598400,0.608426
55.566277,0.594944
54.567528,0.581335
53.568687,0.567600
52.536625,0.553692
51.537811,0.540510
50.505753,0.525370
49.506939,0.512848
48.508160,0.498798
47.476070,0.485599
46.477287,0.469135
45.478477,0.446510
44.446415,0.432051
43.447601,0.419804
42.448826,0.405883
41.416702,0.392659
40.417953,0.379490
39.419140,0.366293
38.387077,0.354578
37.388233,0.341000
36.389488,0.328361
35.357365,0.314587
34.358585,0.300192
33.359772,0.269776
32.327709,0.255823
31.328901,0.248298
30.330120,0.240809
29.297997,0.232964
28.299248,0.224989
27.300406,0.217675
26.268345,0.209210
25.269531,0.202211
24.270754,0.193892
23.238661,0.186163
22.239880,0.178504
21.241070,0.170838
20.209009,0.162831
19.210163,0.155042
18.211416,0.147253
17.179293,0.139659
16.180511,0.131540
15.181702,0.124157
14.149640,0.116299
