2,Ligier JS P320,baseline
Steering Wheel Angle,Yaw Rate
174.754608,1.637031
173.755783,1.637328
172.757034,1.629151
171.724945,1.620235
170.726196,1.611641
169.727371,1.602888
168.695328,1.593680
167.696548,1.584776
166.697769,1.575610
165.665665,1.565847
164.666916,1.556236
163.668106,1.546679
162.636078,1.536649
161.637283,1.527078
160.638535,1.517358
159.606430,1.507374
158.607651,1.497811
157.608841,1.488204
156.576813,1.478184
155.578003,1.468663
154.545944,1.458687
153.547165,1.448633
152.548386,1.438360
151.516296,1.427634
150.517532,1.417945
149.518738,1.408361
148.486664,1.398441
147.487885,1.389179
146.489105,1.380392
145.457016,1.370502
144.458267,1.360895
143.459503,1.351393
142.427399,1.341327
141.428650,1.331355
140.429840,1.321914
139.397781,1.312083
138.399002,1.302422
137.400223,1.293059
136.368118,1.283071
135.369385,1.273384
134.370560,1.264062
133.338501,1.253947
132.339691,1.244943
131.340958,1.234878
130.308853,1.224951
129.310074,1.215652
128.311264,1.206166
127.279228,1.196188
126.280426,1.186822
125.281647,1.177072
124.249550,1.167407
123.250801,1.157769
122.251991,1.148338
121.219940,1.138454
120.221115,1.128920
119.222366,1.119375
118.190239,1.109560
117.191505,1.100032
116.192688,1.090493
115.160629,1.080766
114.161819,1.071221
113.163063,1.061690
112.130974,1.051903
111.132202,1.042393
110.133385,1.033173
109.101326,1.023031
108.102509,1.013612
107.103767,1.004211
106.071671,0.994268
105.072891,0.984841
104.074081,0.975362
103.042015,0.965568
102.043213,0.956057
101.011185,0.946346
100.012398,0.936797
99.013596,0.927299
97.981529,0.917587
96.982719,0.908104
95.983971,0.898742
94.951881,0.888779
93.953102,0.879356
92.954285,0.869863
91.922226,0.860070
90.923409,0.850601
89.924667,0.841187
88.892548,0.831456
87.893791,0.821948
86.894981,0.812498
85.862923,0.802773
84.864113,0.793255
83.865334,0.783782
82.833237,0.773975
81.834457,0.764695
80.835648,0.755226
79.803581,0.745280
78.804771,0.735972
77.806030,0.726530
76.773903,0.716738
75.775154,0.707449
74.776337,0.697729
73.744286,0.688165
72.745476,0.678723
71.746696,0.669284
70.714600,0.659518
69.715820,0.650090
68.717003,0.640587
67.684944,0.630855
66.686142,0.621465
65.687355,0.611944
64.655266,0.602275
63.656487,0.592812
62.657673,0.583423
61.625610,0.573581
60.626797,0.564170
59.628021,0.554796
58.595932,0.545200
57.597145,0.535642
56.598400,0.526224
55.566277,0.516408
54.567528,0.507020
53.568687,0.497600
52.536625,0.487790
51.537811,0.478448
50.505753,0.468697
49.506939,0.459300
48.508160,0.449925
47.476070,0.440078
46.477287,0.430759
45.478477,0.421275
44.446415,0.411631
43.447601,0.402320
42.448826,0.392786
41.416702,0.383152
40.417953,0.373690
39.419140,0.364207
38.387077,0.354459
37.388233,0.345046
36.389488,0.335747
35.357365,0.326022
34.358585,0.316572
33.359772,0.307272
32.327709,0.297426
31.328901,0.288197
30.330120,0.278596
29.297997,0.268979
28.299248,0.259462
27.300406,0.250198
26.268345,0.240517
25.269531,0.231058
24.270754,0.221510
23.238661,0.211882
22.239880,0.202537
21.241070,0.193086
20.209009,0.183331
19.210163,0.174021
18.211416,0.164584
17.179293,0.154945
16.180511,0.145367
15.181702,0.136040
