2,Lotus 49,nurburgring
Steering Wheel Angle,Yaw Rate
211.143280,2.370616
210.111252,2.371072
209.112442,2.360591
208.113693,2.354023
207.081604,2.340600
206.082840,2.329490
205.050766,2.316746
204.052017,2.304876
203.053238,2.292906
202.021164,2.280462
201.022385,2.268174
200.023605,2.256561
198.991516,2.244362
197.992783,2.233028
196.994003,2.221591
195.961929,2.210027
194.963150,2.198765
193.964371,2.187366
192.932281,2.175488
191.933533,2.163831
190.934753,2.151952
189.902695,2.140168
188.903946,2.128664
187.905136,2.117030
186.873108,2.104965
185.874298,2.093513
184.875549,2.081871
183.843445,2.069915
182.844696,2.058452
181.845901,2.046910
180.813843,2.035069
179.815063,2.023601
178.816269,2.011863
177.784180,1.999946
176.785431,1.988587
175.786636,1.977097
174.754608,1.965018
173.755783,1.953847
172.757034,1.942134
171.724945,1.930428
170.726196,1.918861
169.727371,1.907485
168.695328,1.895414
167.696548,1.884126
166.697769,1.872470
165.665665,1.860712
164.666916,1.849259
163.668106,1.837849
162.636078,1.825852
161.637283,1.814577
160.638535,1.802763
159.606430,1.791090
158.607651,1.779832
157.608841,1.768230
156.576813,1.756267
155.578003,1.745063
154.545944,1.733144
153.547165,1.721776
152.548386,1.710250
151.516296,1.698415
150.517532,1.687035
149.518738,1.675804
148.486664,1.663437
147.487885,1.652350
146.489105,1.640789
145.457016,1.629265
144.458267,1.617700
143.459503,1.606117
142.427399,1.594426
141.428650,1.583057
140.429840,1.571586
139.397781,1.559754
138.399002,1.548508
137.400223,1.537219
136.368118,1.525222
135.369385,1.514084
134.370560,1.502557
133.338501,1.490818
132.339691,1.479552
131.340958,1.468158
130.308853,1.456482
129.310074,1.444966
128.311264,1.433566
127.279228,1.421716
126.280426,1.410500
125.281647,1.399016
124.249550,1.387310
123.250801,1.375966
122.251991,1.364704
121.219940,1.352821
120.221115,1.341606
119.222366,1.330363
118.190239,1.318382
117.191505,1.307145
116.192688,1.295808
115.160629,1.283966
114.161819,1.272600
113.163063,1.261319
112.130974,1.249549
111.132202,1.238446
110.133385,1.227076
109.101326,1.215323
108.102509,1.204032
107.103767,1.192813
106.071671,1.180947
105.072891,1.169728
104.074081,1.158458
103.042015,1.146664
102.043213,1.135424
101.011185,1.123733
100.012398,1.112543
99.013596,1.101119
97.981529,1.089253
96.982719,1.077951
95.983971,1.066911
94.951881,1.055184
93.953102,1.043884
92.954285,1.032602
91.922226,1.020916
90.923409,1.009637
89.924667,0.998357
88.892548,0.986504
87.893791,0.975274
86.894981,0.964026
85.862923,0.952310
84.864113,0.941194
83.865334,0.929725
82.833237,0.918283
81.834457,0.906946
80.835648,0.895693
79.803581,0.883863
78.804771,0.872699
77.806030,0.861629
76.773903,0.849882
75.775154,0.838647
74.776337,0.827486
73.744286,0.815542
72.745476,0.804395
71.746696,0.793212
70.714600,0.781486
69.715820,0.770213
68.717003,0.759183
67.684944,0.747243
66.686142,0.736377
65.687355,0.724836
64.655266,0.713243
63.656487,0.702059
62.657673,0.690929
61.625610,0.679198
60.626797,0.667941
59.628021,0.656761
58.595932,0.645140
57.597145,0.633977
56.598400,0.622569
55.566277,0.611179
54.567528,0.599966
53.568687,0.588592
52.536625,0.577088
51.537811,0.565799
50.505753,0.554304
49.506939,0.543100
48.508160,0.531614
47.476070,0.519884
46.477287,0.508888
45.478477,0.497778
44.446415,0.486113
43.447601,0.474953
42.448826,0.463638
41.416702,0.451971
40.417953,0.440821
39.419140,0.429696
38.387077,0.418018
37.388233,0.406831
36.389488,0.395515
35.357365,0.384045
34.358585,0.372751
33.359772,0.361676
32.327709,0.350050
31.328901,0.338747
30.330120,0.327635
29.297997,0.316130
28.299248,0.304887
27.300406,0.293681
26.268345,0.282099
25.269531,0.270996
24.270754,0.259688
23.238661,0.248129
22.239880,0.237045
21.241070,0.225850
20.209009,0.214344
19.210163,0.202908
18.211416,0.191944
17.179293,0.180266
16.180511,0.169124
15.181702,0.157754
14.149640,0.146274
13.150796,0.135233
12.152049,0.124122
11.119988,0.112516
10.121144,0.101249
9.122396,0.090121
8.090272,0.078556
7.091493,0.067618
6.092681,0.056934
5.060620,0.049779
4.061809,0.042961
3.062997,0.035388
2.030904,0.022846
1.032093,0.012013
0.000000,0.003311
-0.998747,0.010876
-1.997624,0.022081
-3.029652,0.033511
-4.028464,0.044799
-5.027276,0.055969
-6.059368,0.067669
-7.058115,0.078559
-8.056992,0.089737
-9.089020,0.101372
-10.087896,0.112472
-11.086643,0.123811
-12.118735,0.135162
-13.117547,0.146372
-14.116360,0.157574
-15.148452,0.169144
-16.147263,0.180119
-17.146011,0.191413
-18.178169,0.202901
-19.176916,0.214005
-20.175728,0.225312
-21.207819,0.236796
-22.206633,0.247875
-23.205444,0.259200
-24.237535,0.270879
-25.236284,0.281825
-26.235159,0.292920
-27.267187,0.304412
-28.266064,0.315674
-29.264811,0.326813
-30.296968,0.338544
-31.295717,0.349602
-32.294464,0.360929
-33.326618,0.372358
-34.325367,0.383513
-35.324245,0.394745
-36.356274,0.406069
-37.355083,0.417242
-38.353897,0.428307
-39.385986,0.440044
-40.384800,0.450995
-41.383614,0.462249
-42.415703,0.473725
-43.414516,0.484864
-44.413265,0.496234
-45.445419,0.507814
-46.444168,0.518793
-47.443043,0.529966
-48.475071,0.541687
-49.473949,0.552624
-50.472694,0.563810
-51.504852,0.575389
-52.503601,0.586543
-53.535759,0.598224
-54.534504,0.609029
-55.533318,0.620471
-56.565411,0.631809
-57.564224,0.643163
-58.563034,0.654267
-59.595127,0.665767
-60.593937,0.677134
-61.592751,0.688064
-62.624840,0.699590
-63.623653,0.710871
-64.622467,0.721944
-65.654556,0.733546
-66.653366,0.744589
-67.652184,0.755845
-68.684273,0.767375
-69.683090,0.778420
-70.681831,0.789714
-71.713989,0.801365
-72.712738,0.812472
-73.711617,0.823619
-74.743645,0.835169
-75.742516,0.846458
-76.741264,0.857430
-77.773361,0.869085
-78.772171,0.880037
-79.770981,0.891251
-80.803070,0.902944
-81.801888,0.914030
-82.800697,0.925162
-83.832787,0.936816
-84.831604,0.947849
-85.830414,0.959073
-86.862572,0.970760
-87.861313,0.981917
-88.860130,0.993112
-89.892227,1.004498
-90.891098,1.015642
-91.889847,1.026694
-92.921997,1.038377
-93.920753,1.049848
-94.919624,1.060880
