2,Lotus 79,baseline
Steering Wheel Angle,Yaw Rate
261.647827,2.378552
260.615753,2.379548
259.617004,2.377713
258.584900,2.370522
257.586182,2.363243
256.587372,2.354732
255.555344,2.345818
254.556549,2.333518
253.557785,2.323907
252.525742,2.317472
251.526947,2.314810
250.528183,2.311575
249.496140,2.307374
248.497330,2.299609
247.498581,2.285794
246.466522,2.272659
245.467773,2.266432
244.468964,2.264470
243.436951,2.259336
242.438156,2.248177
241.439392,2.238158
240.407318,2.225194
239.408585,2.213593
238.409760,2.204532
237.377716,2.195680
236.378922,2.185733
235.380157,2.182136
234.348114,2.178045
233.349335,2.172817
232.350586,2.166470
231.318527,2.156132
230.319733,2.143867
229.320969,2.134168
228.288895,2.123001
227.290115,2.114553
226.291382,2.104640
225.259277,2.098586
224.260529,2.093123
223.261749,2.090072
222.229706,2.084245
221.230927,2.073010
220.232147,2.064235
219.200073,2.055517
218.201324,2.041207
217.202515,2.025324
216.170486,2.024908
215.171677,2.019001
214.172928,2.012963
213.140839,2.008664
212.142090,2.000684
211.143280,1.989001
210.111252,1.987158
209.112442,1.966470
208.113693,1.963669
207.081604,1.946979
206.082840,1.941133
205.050766,1.936493
204.052017,1.930703
203.053238,1.921485
202.021164,1.921824
201.022385,1.912554
200.023605,1.902030
198.991516,1.893823
197.992783,1.880267
196.994003,1.870208
195.961929,1.861553
194.963150,1.853250
193.964371,1.845737
192.932281,1.840766
191.933533,1.835096
190.934753,1.829422
189.902695,1.821208
188.903946,1.812248
187.905136,1.806490
186.873108,1.789510
185.874298,1.781626
184.875549,1.768991
183.843445,1.762663
182.844696,1.754663
181.845901,1.745728
180.813843,1.712862
179.815063,1.696066
178.816269,1.641329
177.784180,1.688107
176.785431,1.721712
175.786636,1.638499
174.754608,1.618866
173.755783,1.604592
172.757034,1.631673
171.724945,1.646496
170.726196,1.624261
169.727371,1.612509
168.695328,1.586045
167.696548,1.587205
166.697769,1.563674
165.665665,1.547704
164.666916,1.580538
163.668106,1.566642
162.636078,1.531094
161.637283,1.568161
160.638535,1.513192
159.606430,1.517101
158.607651,1.484975
157.608841,1.518163
156.576813,1.467342
155.578003,1.489872
154.545944,1.465639
153.547165,1.453439
152.548386,1.462121
151.516296,1.455595
150.517532,1.451421
149.518738,1.407190
148.486664,1.414422
147.487885,1.388311
146.489105,1.385052
145.457016,1.385073
144.458267,1.356552
143.459503,1.369823
142.427399,1.360507
141.428650,1.357502
140.429840,1.330701
139.397781,1.339836
138.399002,1.322965
137.400223,1.319602
136.368118,1.298645
135.369385,1.293640
134.370560,1.273532
133.338501,1.275963
132.339691,1.262507
131.340958,1.252653
130.308853,1.236114
129.310074,1.235966
128.311264,1.226713
127.279228,1.207029
126.280426,1.203928
125.281647,1.201622
124.249550,1.183355
123.250801,1.177088
122.251991,1.165986
121.219940,1.162715
120.221115,1.158105
119.222366,1.136950
118.190239,1.122404
117.191505,1.114370
116.192688,1.103251
115.160629,1.099336
114.161819,1.084811
113.163063,1.072640
112.130974,1.062547
111.132202,1.062473
110.133385,1.042940
109.101326,1.037060
108.102509,1.029092
107.103767,1.020966
106.071671,1.006797
105.072891,0.994189
104.074081,0.985945
103.042015,0.982121
102.043213,0.965420
101.011185,0.957093
100.012398,0.953630
99.013596,0.944481
97.981529,0.934482
96.982719,0.924044
95.983971,0.921497
94.951881,0.903011
93.953102,0.889423
92.954285,0.888643
91.922226,0.875706
90.923409,0.873779
89.924667,0.856514
88.892548,0.844846
87.893791,0.837663
86.894981,0.820513
85.862923,0.818701
84.864113,0.802438
83.865334,0.800628
82.833237,0.789360
81.834457,0.776351
80.835648,0.767209
79.803581,0.755239
78.804771,0.748521
77.806030,0.746905
76.773903,0.735131
75.775154,0.725676
74.776337,0.712424
73.744286,0.701294
72.745476,0.690970
71.746696,0.686625
70.714600,0.672219
69.715820,0.662041
68.717003,0.649060
67.684944,0.636652
66.686142,0.628545
65.687355,0.619893
64.655266,0.612765
63.656487,0.602249
62.657673,0.593000
61.625610,0.582078
60.626797,0.579048
59.628021,0.566813
58.595932,0.558174
57.597145,0.546903
56.598400,0.536734
55.566277,0.528512
54.567528,0.516111
53.568687,0.507981
52.536625,0.500874
51.537811,0.487010
50.505753,0.479070
49.506939,0.468944
48.508160,0.457861
47.476070,0.450581
46.477287,0.438701
45.478477,0.428215
44.446415,0.422870
43.447601,0.414056
42.448826,0.403132
41.416702,0.389787
40.417953,0.381881
39.419140,0.375843
38.387077,0.357050
37.388233,0.353968
36.389488,0.344034
35.357365,0.334548
34.358585,0.322807
33.359772,0.312926
32.327709,0.304716
31.328901,0.297617
30.330120,0.285335
29.297997,0.274494
28.299248,0.266737
27.300406,0.258718
26.268345,0.246853
25.269531,0.236619
24.270754,0.229902
23.238661,0.221132
22.239880,0.207497
21.241070,0.194421
20.209009,0.187201
19.210163,0.181460
18.211416,0.171944
17.179293,0.161333
16.180511,0.152035
15.181702,0.142764
14.149640,0.133765
13.150796,0.120479
12.152049,0.112056
11.119988,0.101893
10.121144,0.089336
9.122396,0.083792
8.090272,0.073466
7.091493,0.064187
6.092681,0.048299
5.060620,0.046201
4.061809,0.036403
3.062997,0.024932
2.030904,0.016218
1.032093,0.007030
0.000000,0.006487
-0.998747,0.005527
-1.997624,0.016609
-3.029652,0.024735
-4.028464,0.036468
-5.027276,0.045533
-6.059368,0.050367
-7.058115,0.060998
-8.056992,0.074151
-9.089020,0.081260
-10.087896,0.091198
-11.086643,0.101591
-12.118735,0.112428
-13.117547,0.121466
-14.116360,0.133080
-15.148452,0.138007
-16.147263,0.145487
-17.146011,0.160574
-18.178169,0.169821
-19.176916,0.181461
-20.175728,0.190975
-21.207819,0.194962
-22.206633,0.208085
-23.205444,0.221371
-24.237535,0.225409
-25.236284,0.238422
-26.235159,0.244875
-27.267187,0.260345
-28.266064,0.268272
-29.264811,0.273760
-30.296968,0.285461
-31.295717,0.296363
-32.294464,0.306254
-33.326618,0.313855
-34.325367,0.326513
-35.324245,0.333503
-36.356274,0.342699
-37.355083,0.355044
-38.353897,0.360097
-39.385986,0.369529
-40.384800,0.382293
-41.383614,0.392496
-42.415703,0.402708
-43.414516,0.412958
-44.413265,0.419302
-45.445419,0.434308
-46.444168,0.437922
-47.443043,0.454557
-48.475071,0.457382
-49.473949,0.468603
-50.472694,0.481585
-51.504852,0.489081
-52.503601,0.500740
-53.535759,0.503000
-54.534504,0.516532
-55.533318,0.524372
-56.565411,0.537123
-57.564224,0.550968
-58.563034,0.556217
-59.595127,0.558983
-60.593937,0.572830
-61.592751,0.582098
-62.624840,0.594446
-63.623653,0.604638
-64.622467,0.612178
-65.654556,0.623986
-66.653366,0.636385
-67.652184,0.638177
-68.684273,0.648783
-69.683090,0.659184
-70.681831,0.670205
-71.713989,0.681095
-72.712738,0.693496
-73.711617,0.699703
-74.743645,0.708178
-75.742516,0.720657
-76.741264,0.730971
-77.773361,0.733678
-78.772171,0.751641
-79.770981,0.753772
-80.803070,0.769721
-81.801888,0.772728
-82.800697,0.791823
-83.832787,0.794409
-84.831604,0.806944
-85.830414,0.810189
-86.862572,0.828823
-87.861313,0.831039
-88.860130,0.841888
-89.892227,0.855124
-90.891098,0.870781
-91.889847,0.876442
-92.921997,0.892798
-93.920753,0.900114
-94.919624,0.899512
-95.951653,0.913269
-96.950531,0.930829
-97.949280,0.934417
-98.981438,0.939781
-99.980179,0.952020
-100.979065,0.967751
-102.011093,0.973084
-103.009964,0.978091
-104.008705,0.990149
-105.040863,0.999293
-106.039619,1.013597
-107.071777,1.008700
-108.070587,1.023053
-109.069389,1.036952
-110.101486,1.048896
-111.100304,1.063882
-112.099113,1.072870
-113.131271,1.071933
-114.130020,1.082543
-115.128899,1.098017
-116.160927,1.115542
-117.159798,1.115437
-118.158554,1.118423
-119.190704,1.137108
-120.189453,1.144725
-121.188255,1.140875
-122.220421,1.168423
-123.219162,1.186844
-124.218033,1.187512
-125.250061,1.188271
-126.248947,1.197339
-127.247688,1.213679
-128.279846,1.218208
-129.278656,1.227688
-130.277481,1.249379
-131.309555,1.261066
-132.308380,1.267640
-133.307190,1.275095
-134.339355,1.282405
-135.338089,1.295584
-136.336975,1.312699
-137.369003,1.310807
-138.367874,1.327935
-139.366684,1.329275
-140.398773,1.322335
-141.397583,1.330927
-142.396408,1.352556
-143.428497,1.358176
-144.427368,1.363231
-145.426117,1.370459
-146.458282,1.400960
-147.457077,1.420513
-148.455902,1.404703
-149.487991,1.422791
-150.486877,1.451736
-151.485611,1.409288
-152.517776,1.455457
-153.516525,1.459592
-154.515396,1.471743
-155.547485,1.492299
-156.546295,1.478415
-157.578400,1.509461
-158.577271,1.489372
-159.576004,1.499491
-160.608170,1.510029
-161.606918,1.559724
-162.605804,1.563482
-163.637894,1.539708
-164.636765,1.556645
-165.635513,1.539146
-166.667603,1.600301
-167.666428,1.595979
-168.665222,1.590982
-169.697372,1.601759
-170.696136,1.616210
-171.695007,1.586280
-172.727097,1.627890
-173.725922,1.604871
-174.724731,1.620769
-175.756882,1.625420
-176.755630,1.655374
-177.754501,1.670972
-178.786606,1.680690
-179.785477,1.688323
-180.784225,1.688124
-181.816376,1.692161
-182.815125,1.722742
-183.813995,1.722243
-184.846100,1.764821
-185.844971,1.778264
-186.843719,1.776948
-187.875870,1.791017
-188.874695,1.804236
-189.873505,1.812223
-190.905594,1.819120
-191.904465,1.826267
-192.903214,1.831108
-193.935364,1.839083
-194.934189,1.845654
-195.933060,1.856503
-196.965088,1.868086
-197.963959,1.878738
-198.962769,1.889544
-199.994934,1.898346
-200.993683,1.910120
-201.992554,1.917756
-203.024643,1.928515
-204.023468,1.932160
-205.022263,1.937942
-206.054428,1.946533
-207.053177,1.950849
-208.085403,1.954329
-209.084137,1.971089
-210.082886,1.978760
-211.115112,1.987715
