2,Lucas Oil Off-Road Racing Series Pro-2 Lite,baseline
Steering Wheel Angle,Yaw Rate
520.284241,3.790942
517.703979,3.787975
515.207092,3.783100
512.626892,3.771084
510.130035,3.803012
507.633087,3.801667
505.052917,3.794564
502.555969,3.791473
500.059021,3.783592
497.478790,3.770954
494.981964,3.754788
492.485016,3.735158
489.904816,3.712048
487.407867,3.686741
484.910919,3.659260
482.330688,3.629384
479.833832,3.598498
477.336884,3.566540
474.756744,3.532978
472.259857,3.499305
469.762848,3.467859
467.182770,3.438326
464.685730,3.409629
462.188873,3.382663
459.608612,3.357095
457.111755,3.327116
454.614746,3.299267
452.034607,3.283467
449.537659,3.264103
447.040680,3.244856
444.460449,3.225894
441.963562,3.206740
439.466583,3.188012
436.886536,3.169978
434.389465,3.153303
431.892578,3.136352
429.312378,3.118757
426.815491,3.101580
424.318420,3.082737
421.738312,3.063528
419.241364,3.044793
416.744415,3.026124
414.164154,3.006938
411.667297,2.989311
409.170258,2.971426
406.590210,2.951751
404.093201,2.935863
401.596344,2.918062
399.016083,2.902176
396.519135,2.883232
394.022095,2.865803
391.442017,2.847976
388.945007,2.829402
386.364868,2.811098
383.867920,2.793571
381.370972,2.775340
378.790741,2.757775
376.293823,2.740885
373.796844,2.722888
371.216675,2.704446
368.719727,2.686949
366.222778,2.669584
363.642548,2.650475
361.145660,2.633313
358.648743,2.615595
356.068481,2.510368
353.571625,2.592007
351.074585,2.505843
348.494446,2.521490
345.997498,2.481605
343.500549,2.468317
340.920288,2.445723
338.423462,2.450484
335.926392,2.386560
333.346252,2.374306
330.849243,2.353107
328.352386,2.332031
325.772125,2.309911
323.275177,2.288422
320.778168,2.263131
318.198059,2.254216
315.701050,2.231490
313.204102,2.214170
310.623871,2.193393
308.127014,2.174320
305.629974,2.233833
303.049866,2.186968
300.552795,2.170665
298.055908,2.146918
295.475586,2.125248
292.978760,2.104007
290.481720,2.082522
287.901581,2.060732
285.404541,2.040766
282.907654,2.019227
280.327423,1.997053
277.830505,1.975898
275.333466,1.953732
272.753326,1.931920
270.256287,1.910695
267.759430,1.888010
265.179169,1.866733
262.682220,1.845869
260.185211,1.822458
257.605042,1.800793
255.108032,1.780638
252.527954,1.758322
250.030991,1.735474
247.533997,1.715207
244.953827,1.693589
242.456802,1.670664
239.959930,1.650723
237.379700,1.628579
234.882751,1.607611
232.385712,1.586353
229.805573,1.563290
227.308517,1.542953
224.811676,1.522149
222.231369,1.498564
219.734482,1.478899
217.237457,1.457547
214.657303,1.434605
212.160278,1.415273
209.663330,1.394212
207.083099,1.372595
204.586151,1.351400
202.089111,1.331534
199.508957,1.310505
197.011932,1.289926
194.515076,1.269936
191.934753,1.248801
189.437881,1.227677
186.940842,1.208859
184.360718,1.187972
181.863693,1.167426
179.366745,1.148081
176.786499,1.127452
174.289551,1.107888
171.792511,1.087270
169.212357,1.068161
166.715363,1.049074
164.218384,1.028914
161.638168,1.010718
159.141220,0.990876
156.644180,0.970857
154.064026,0.952369
151.566986,0.933993
149.070053,0.915098
146.489838,0.895043
143.992859,0.877786
141.496002,0.858880
138.915695,0.839113
136.418823,0.821191
133.921722,0.801544
131.341568,0.781843
128.844528,0.764620
126.264381,0.745429
123.767349,0.726966
121.270401,0.710646
118.690178,0.692300
116.193222,0.674731
113.696198,0.658533
111.116035,0.640539
108.619003,0.623444
106.122063,0.607504
103.541756,0.589487
101.044884,0.573398
98.547852,0.557982
95.967697,0.541279
93.470581,0.525585
90.973724,0.510005
88.393410,0.493720
85.896461,0.478240
83.399429,0.468222
80.819275,0.452334
