2,Lucas Oil Off-Road Racing Series Pro-4,baseline
Steering Wheel Angle,Yaw Rate
520.284241,3.818072
517.703979,3.732903
515.207092,3.662216
512.626892,3.689381
510.130035,3.665586
507.633087,3.663028
505.052917,3.609393
502.555969,3.603901
500.059021,3.590454
497.478790,3.570715
494.981964,3.554916
492.485016,3.536059
489.904816,3.513955
487.407867,3.497164
484.910919,3.480489
482.330688,3.455568
479.833832,3.444769
477.336884,3.426485
474.756744,3.406818
472.259857,3.379967
469.762848,3.362985
467.182770,3.341760
464.685730,3.320462
462.188873,3.299661
459.608612,3.284256
457.111755,3.264489
454.614746,3.250926
452.034607,3.234239
449.537659,3.213650
447.040680,3.197240
444.460449,3.171685
441.963562,3.151302
439.466583,3.132884
436.886536,3.112039
434.389465,3.089477
431.892578,3.070483
429.312378,3.049792
426.815491,3.043363
424.318420,3.021633
421.738312,3.002808
419.241364,2.987005
416.744415,2.969465
414.164154,2.945225
411.667297,2.928398
409.170258,2.894128
406.590210,2.888872
404.093201,2.864105
401.596344,2.849393
399.016083,2.836097
396.519135,2.803998
394.022095,2.787725
391.442017,2.772776
388.945007,2.753557
386.364868,2.718099
383.867920,2.723525
381.370972,2.691231
378.790741,2.674344
376.293823,2.663568
373.796844,2.640143
371.216675,2.459360
368.719727,2.463248
366.222778,2.429029
363.642548,2.403650
361.145660,2.500556
358.648743,2.499545
356.068481,2.310508
353.571625,2.337542
351.074585,2.311944
348.494446,2.292210
345.997498,2.262393
343.500549,2.232372
340.920288,2.212468
338.423462,2.205478
335.926392,2.196672
333.346252,2.181230
330.849243,2.147873
328.352386,2.110293
325.772125,2.079654
323.275177,2.070851
320.778168,2.062958
318.198059,2.054225
315.701050,2.038935
313.204102,2.012201
310.623871,1.982158
308.127014,1.952094
305.629974,1.930256
303.049866,1.910302
300.552795,1.896795
298.055908,1.886685
295.475586,1.873146
292.978760,1.855721
290.481720,1.838409
287.901581,1.803381
285.404541,1.770623
282.907654,1.748591
280.327423,1.732831
277.830505,1.723549
275.333466,1.718062
272.753326,1.708132
270.256287,1.691503
267.759430,1.661415
265.179169,1.625137
262.682220,1.590595
260.185211,1.567842
257.605042,1.557960
255.108032,1.554282
252.527954,1.552075
250.030991,1.545344
247.533997,1.522276
244.953827,1.485849
242.456802,1.452173
239.959930,1.418666
237.379700,1.399662
234.882751,1.387128
232.385712,1.384088
229.805573,1.376778
227.308517,1.368521
224.811676,1.349178
222.231369,1.323317
219.734482,1.292110
217.237457,1.258294
214.657303,1.234607
212.160278,1.220189
209.663330,1.211336
207.083099,1.204415
204.586151,1.192565
202.089111,1.176798
199.508957,1.155621
197.011932,1.133306
194.515076,1.109196
191.934753,1.084613
189.437881,1.068441
186.940842,1.056090
184.360718,1.043335
181.863693,1.026389
179.366745,1.010588
176.786499,0.990281
174.289551,0.975020
171.792511,0.963344
169.212357,0.952559
166.715363,0.936708
164.218384,0.920829
161.638168,0.909562
159.141220,0.890951
156.644180,0.878043
154.064026,0.876920
151.566986,0.857514
149.070053,0.845149
146.489838,0.830711
143.992859,0.819546
141.496002,0.805868
138.915695,0.788783
136.418823,0.773674
133.921722,0.761914
131.341568,0.750035
128.844528,0.715944
126.264381,0.703844
123.767349,0.693468
121.270401,0.682674
118.690178,0.666293
116.193222,0.650863
113.696198,0.655473
111.116035,0.640280
108.619003,0.641869
106.122063,0.638095
103.541756,0.619061
101.044884,0.595872
98.547852,0.579609
95.967697,0.569335
93.470581,0.557352
90.973724,0.540741
88.393410,0.523453
85.896461,0.504478
83.399429,0.488437
80.819275,0.478073
78.322250,0.498154
75.825302,0.487228
73.244995,0.507418
70.748123,0.491912
68.251015,0.472119
65.670860,0.450441
63.173828,0.428989
60.676884,0.414183
58.096653,0.389726
55.599701,0.366156
53.102676,0.361018
50.522522,0.347901
48.025406,0.329372
45.528542,0.322036
42.948231,0.308159
40.451279,0.290323
37.954254,0.275199
35.374100,0.309183
32.876991,0.138154
30.380123,0.127359
27.799971,0.120469
25.302860,0.108523
22.805992,0.091329
20.225679,0.074434
17.728731,0.062899
15.231703,0.057881
12.651550,0.051321
10.154522,0.040517
7.657493,0.031069
