2,Mazda MX-5 Cup,baseline
Steering Wheel Angle,Yaw Rate
405.069702,3.158875
404.037689,3.158130
403.038910,3.168729
402.040161,3.181119
401.008118,3.179091
400.009369,3.170352
399.010620,3.144130
397.978607,3.137286
396.979797,3.128807
395.981079,3.119622
394.949005,3.112487
393.950256,3.105331
392.951538,3.098910
391.919495,3.090434
390.920715,3.081733
389.921997,3.073158
388.889893,3.064217
387.891144,3.053467
386.892426,3.044696
385.860382,3.036152
384.861633,3.025881
383.862885,3.019390
382.830811,3.011849
381.832031,3.002466
380.833282,2.992066
379.801239,2.981842
378.802521,2.973755
377.803772,2.967797
376.771698,2.959060
375.772919,2.949445
374.774170,2.939497
373.742157,2.929303
372.743378,2.920532
371.744659,2.914208
370.712555,2.906458
369.713837,2.897573
368.715057,2.887193
367.683044,2.876747
366.684296,2.869987
365.685516,2.863401
364.653442,2.853966
363.654724,2.843965
362.622681,2.833785
361.623901,2.826134
360.625153,2.820105
359.593109,2.810924
358.594330,2.801265
357.595612,2.791540
356.563568,2.782693
355.564758,2.776608
354.566010,2.768834
353.533997,2.759289
352.535248,2.748874
351.536469,2.739638
350.504425,2.731856
349.505646,2.725464
348.506927,2.716895
347.474854,2.706518
346.476105,2.696461
345.477325,2.689249
344.445282,2.682795
343.446533,2.674333
342.447784,2.664148
341.415710,2.653815
340.416962,2.646701
339.418213,2.639726
338.386139,2.632107
337.387360,2.623183
336.388641,2.612983
335.356598,2.604414
334.357849,2.598092
333.359039,2.589892
332.326996,2.580623
331.328247,2.571029
330.329498,2.561280
329.297424,2.553859
328.298645,2.548112
327.299927,2.538002
326.267853,2.529008
325.269073,2.519755
324.270355,2.512765
323.238281,2.505868
322.239502,2.495965
321.240784,2.485731
320.208710,2.480683
319.209961,2.472420
318.211212,2.463640
317.179138,2.453232
316.180359,2.444008
315.181641,2.437143
314.149536,2.430676
313.150787,2.422086
312.152069,2.412387
311.119995,2.402597
310.121185,2.395212
309.089172,2.388723
308.090393,2.381043
307.091644,2.372047
306.059570,2.361850
305.060852,2.352848
304.062042,2.345228
303.029999,2.338548
