2,Mazda MX-5 Roadster,baseline
Steering Wheel Angle,Yaw Rate
444.453705,3.476581
443.454987,3.478570
442.422974,3.520303
441.424194,3.509532
440.425476,3.499886
439.393402,3.474854
438.394653,3.465792
437.395905,3.457777
436.363892,3.450949
435.365143,3.445753
434.366364,3.440826
433.334320,3.432775
432.335571,3.425332
431.336823,3.416974
430.304779,3.408221
429.306061,3.397500
428.307312,3.392920
427.275269,3.386611
426.276489,3.377985
425.277771,3.368496
424.245728,3.358840
423.246979,3.349208
422.248230,3.339288
421.216156,3.329702
420.217407,3.321819
419.218658,3.312979
418.186646,3.306261
417.187897,3.301209
416.189148,3.296094
415.157104,3.289461
414.158325,3.281820
413.126312,3.272383
412.127533,3.261967
411.128784,3.252317
410.096741,3.241906
409.098022,3.233499
408.099243,3.223983
407.067230,3.215605
406.068481,3.208924
405.069702,3.203068
404.037689,3.198161
403.038910,3.192089
402.040161,3.184205
401.008118,3.175355
400.009369,3.166248
399.010620,3.156066
397.978607,3.146064
396.979797,3.136531
395.981079,3.127266
394.949005,3.118320
393.950256,3.110016
392.951538,3.103744
391.919495,3.098247
390.920715,3.093503
389.921997,3.086552
388.889893,3.078566
387.891144,3.070086
386.892426,3.060176
385.860382,3.050429
384.861633,3.040443
383.862885,3.030450
382.830811,3.020691
381.832031,3.013119
380.833282,3.006601
379.801239,3.001040
378.802521,2.996052
377.803772,2.990099
376.771698,2.981589
375.772919,2.972192
374.774170,2.962163
373.742157,2.952617
372.743378,2.943596
371.744659,2.933146
370.712555,2.923634
369.713837,2.916300
368.715057,2.908675
367.683044,2.902139
366.684296,2.897342
365.685516,2.891770
364.653442,2.884487
363.654724,2.876047
362.622681,2.866476
361.623901,2.856810
360.625153,2.846972
359.593109,2.836827
358.594330,2.827202
357.595612,2.818991
356.563568,2.810371
355.564758,2.804016
354.566010,2.798723
353.533997,2.792564
352.535248,2.786405
351.536469,2.779091
350.504425,2.770398
349.505646,2.760211
348.506927,2.750298
347.474854,2.740025
346.476105,2.730486
345.477325,2.721925
344.445282,2.713417
343.446533,2.707135
342.447784,2.701746
341.415710,2.696122
340.416962,2.689952
339.418213,2.681955
338.386139,2.672490
337.387360,2.662801
336.388641,2.652653
335.356598,2.642805
334.357849,2.633949
333.359039,2.624417
332.326996,2.616841
331.328247,2.610983
330.329498,2.605231
329.297424,2.599577
328.298645,2.593033
327.299927,2.585083
326.267853,2.575747
325.269073,2.566527
324.270355,2.556241
323.238281,2.545965
322.239502,2.536223
321.240784,2.528027
320.208710,2.520386
319.209961,2.513812
318.211212,2.508516
317.179138,2.502979
316.180359,2.496001
315.181641,2.487955
314.149536,2.478536
313.150787,2.468909
312.152069,2.458861
311.119995,2.449194
310.121185,2.439447
309.089172,2.431091
308.090393,2.424066
307.091644,2.417683
306.059570,2.412087
305.060852,2.406915
304.062042,2.399777
303.029999,2.390471
302.031219,2.381558
301.032471,2.372746
300.000427,2.362187
299.001678,2.352660
298.002899,2.343486
296.970825,2.334324
295.972076,2.327161
294.973328,2.321171
293.941254,2.315457
292.942474,2.309645
291.943726,2.303321
290.911652,2.294475
289.912903,2.284951
288.914154,2.275374
287.882080,2.265119
286.883301,2.255461
285.884552,2.246301
284.852478,2.238778
283.853729,2.232778
282.854980,2.226987
281.822876,2.221365
280.824127,2.214427
279.825317,2.206368
278.793304,2.196626
277.794556,2.186355
276.795776,2.176769
275.763702,2.166616
274.764984,2.157943
273.766174,2.151397
272.734131,2.145320
271.735382,2.139623
270.736603,2.133528
269.704529,2.126191
268.705780,2.117993
267.707001,2.108399
266.674927,2.097971
265.676178,2.088410
264.677399,2.078632
263.645355,2.070113
262.646576,2.062419
261.647827,2.056455
260.615753,2.050292
259.617004,2.044536
258.584900,2.037747
257.586182,2.029752
256.587372,2.020978
255.555344,2.011504
254.556549,2.002040
253.557785,1.992193
252.525742,1.982188
251.526947,1.974743
250.528183,1.967252
249.496140,1.961220
248.497330,1.956067
247.498581,1.949387
246.466522,1.941590
245.467773,1.933502
244.468964,1.924009
243.436951,1.914039
242.438156,1.904311
241.439392,1.894662
240.407318,1.886003
239.408585,1.879807
238.409760,1.874113
237.377716,1.868001
236.378922,1.861846
235.380157,1.853630
234.348114,1.844441
233.349335,1.834689
232.350586,1.824921
231.318527,1.814883
230.319733,1.806315
229.320969,1.799010
228.288895,1.792493
227.290115,1.787109
226.291382,1.781306
225.259277,1.773821
224.260529,1.765075
223.261749,1.755947
222.229706,1.746173
221.230927,1.736280
220.232147,1.726902
219.200073,1.718780
218.201324,1.712177
217.202515,1.707220
216.170486,1.701193
215.171677,1.693632
214.172928,1.685061
213.140839,1.675663
212.142090,1.665839
211.143280,1.656025
210.111252,1.646641
209.112442,1.639953
208.113693,1.633103
207.081604,1.626963
206.082840,1.621260
205.050766,1.613942
204.052017,1.605623
203.053238,1.596098
202.021164,1.585714
201.022385,1.576089
200.023605,1.567450
198.991516,1.559723
197.992783,1.552909
196.994003,1.546833
195.961929,1.540772
194.963150,1.534127
193.964371,1.525803
192.932281,1.517277
191.933533,1.508035
190.934753,1.497621
189.902695,1.488312
188.903946,1.480570
187.905136,1.471965
186.873108,1.463897
185.874298,1.457373
184.875549,1.448777
183.843445,1.440401
182.844696,1.434967
181.845901,1.426825
180.813843,1.418374
179.815063,1.412509
178.816269,1.405053
177.784180,1.396006
176.785431,1.390129
175.786636,1.382680
174.754608,1.373322
173.755783,1.366521
172.757034,1.358849
171.724945,1.348985
170.726196,1.342015
169.727371,1.334512
168.695328,1.324597
167.696548,1.316596
166.697769,1.309322
165.665665,1.299539
164.666916,1.290128
163.668106,1.282297
162.636078,1.272980
161.637283,1.265169
160.638535,1.258949
159.606430,1.252058
158.607651,1.244052
157.608841,1.238237
156.576813,1.230342
155.578003,1.221634
154.545944,1.215121
153.547165,1.207553
152.548386,1.198267
151.516296,1.190942
150.517532,1.182831
149.518738,1.173327
148.486664,1.164655
147.487885,1.155823
146.489105,1.146374
145.457016,1.137951
144.458267,1.131355
143.459503,1.124841
142.427399,1.118605
141.428650,1.111971
140.429840,1.104247
139.397781,1.095099
138.399002,1.086198
137.400223,1.077285
136.368118,1.067309
135.369385,1.058820
134.370560,1.051293
133.338501,1.044334
132.339691,1.038147
131.340958,1.031913
130.308853,1.024527
129.310074,1.016013
128.311264,1.007084
127.279228,0.997440
126.280426,0.987868
125.281647,0.979434
124.249550,0.971441
123.250801,0.965348
122.251991,0.959008
121.219940,0.952122
