2,McLaren 720S GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
263.645355,1.849371
262.646576,1.849209
261.647827,1.848168
260.615753,1.841047
259.617004,1.833967
258.584900,1.826770
257.586182,1.819613
256.587372,1.750447
255.555344,1.756270
254.556549,1.759437
253.557785,1.752161
252.525742,1.745346
251.526947,1.738743
250.528183,1.732169
249.496140,1.725351
248.497330,1.718686
247.498581,1.712769
246.466522,1.715358
245.467773,1.708392
244.468964,1.701529
243.436951,1.694396
242.438156,1.697170
241.439392,1.696445
240.407318,1.689396
239.408585,1.682506
238.409760,1.675462
237.377716,1.668129
236.378922,1.661058
235.380157,1.654042
234.348114,1.646686
233.349335,1.639581
232.350586,1.632488
231.318527,1.625205
230.319733,1.618132
229.320969,1.611080
228.288895,1.603733
227.290115,1.596662
226.291382,1.589581
225.259277,1.582274
224.260529,1.575193
223.261749,1.568139
222.229706,1.560825
221.230927,1.553759
220.232147,1.546691
219.200073,1.539362
218.201324,1.532356
217.202515,1.525235
216.170486,1.517938
215.171677,1.510881
214.172928,1.503811
213.140839,1.496496
212.142090,1.489464
211.143280,1.482429
210.111252,1.475078
209.112442,1.468072
208.113693,1.460990
207.081604,1.453683
206.082840,1.446604
205.050766,1.439340
204.052017,1.432262
203.053238,1.425197
202.021164,1.417926
201.022385,1.410919
200.023605,1.403825
198.991516,1.396555
197.992783,1.389511
196.994003,1.382441
195.961929,1.375126
194.963150,1.368096
193.964371,1.361037
192.932281,1.353777
191.933533,1.346749
190.934753,1.339706
189.902695,1.332414
188.903946,1.325366
187.905136,1.318310
186.873108,1.311047
185.874298,1.304021
184.875549,1.296935
183.843445,1.289698
182.844696,1.282640
181.845901,1.275608
180.813843,1.268339
179.815063,1.261316
178.816269,1.254256
177.784180,1.246998
176.785431,1.239985
175.786636,1.232911
174.754608,1.225621
173.755783,1.218586
172.757034,1.211573
171.724945,1.204293
170.726196,1.197240
169.727371,1.190195
168.695328,1.182924
167.696548,1.175921
166.697769,1.168857
165.665665,1.161600
164.666916,1.154550
163.668106,1.147527
162.636078,1.140184
161.637283,1.133188
160.638535,1.126170
159.606430,1.118897
158.607651,1.111874
157.608841,1.104812
156.576813,1.097534
155.578003,1.090496
154.545944,1.083198
153.547165,1.076174
152.548386,1.069147
151.516296,1.061867
150.517532,1.054827
149.518738,1.047809
148.486664,1.040521
147.487885,1.033483
146.489105,1.026427
145.457016,1.019174
144.458267,1.012147
143.459503,1.005104
142.427399,0.997806
141.428650,0.990780
140.429840,0.983778
139.397781,0.976521
138.399002,0.969445
137.400223,0.962484
136.368118,0.955145
135.369385,0.948143
134.370560,0.941061
133.338501,0.933816
132.339691,0.926825
131.340958,0.919751
130.308853,0.912468
129.310074,0.905412
128.311264,0.898414
127.279228,0.891109
126.280426,0.884124
125.281647,0.877071
124.249550,0.869791
123.250801,0.862767
122.251991,0.855721
121.219940,0.848470
120.221115,0.841429
119.222366,0.834385
118.190239,0.827137
117.191505,0.820102
116.192688,0.813065
115.160629,0.805799
114.161819,0.798796
113.163063,0.791702
112.130974,0.784460
111.132202,0.777436
110.133385,0.770405
109.101326,0.763126
108.102509,0.756087
107.103767,0.749080
106.071671,0.741814
105.072891,0.734794
104.074081,0.727763
103.042015,0.720481
102.043213,0.713433
101.011185,0.706190
100.012398,0.699150
99.013596,0.692142
97.981529,0.684819
96.982719,0.677875
95.983971,0.670811
94.951881,0.663548
93.953102,0.656512
92.954285,0.649476
91.922226,0.642260
90.923409,0.635150
89.924667,0.628177
88.892548,0.620882
87.893791,0.613862
86.894981,0.606821
85.862923,0.599597
84.864113,0.592543
83.865334,0.585554
82.833237,0.578276
81.834457,0.571228
80.835648,0.564221
79.803581,0.556983
78.804771,0.549949
77.806030,0.542894
76.773903,0.535650
75.775154,0.528627
74.776337,0.521585
73.744286,0.514316
72.745476,0.507304
71.746696,0.500269
70.714600,0.493030
69.715820,0.485969
68.717003,0.478957
67.684944,0.471703
66.686142,0.464686
65.687355,0.457616
64.655266,0.450395
63.656487,0.443347
62.657673,0.436349
61.625610,0.429044
60.626797,0.422038
59.628021,0.415004
58.595932,0.407691
57.597145,0.400731
56.598400,0.393699
55.566277,0.386406
54.567528,0.379337
53.568687,0.372366
52.536625,0.365063
51.537811,0.358022
50.505753,0.350742
49.506939,0.343761
48.508160,0.336711
47.476070,0.329441
46.477287,0.322419
45.478477,0.315353
44.446415,0.308112
43.447601,0.301106
42.448826,0.294059
41.416702,0.286779
40.417953,0.279714
39.419140,0.272713
38.387077,0.265445
37.388233,0.258443
36.389488,0.251393
35.357365,0.244157
34.358585,0.237121
33.359772,0.230060
32.327709,0.222797
31.328901,0.215771
30.330120,0.208701
29.297997,0.201447
28.299248,0.194453
27.300406,0.187428
26.268345,0.180142
25.269531,0.173124
24.270754,0.166067
23.238661,0.158803
22.239880,0.151806
21.241070,0.144760
20.209009,0.137470
19.210163,0.130424
18.211416,0.123438
17.179293,0.116153
16.180511,0.109092
15.181702,0.102093
14.149640,0.094836
13.150796,0.087773
12.152049,0.080777
11.119988,0.073499
10.121144,0.066469
9.122396,0.059444
8.090272,0.052208
7.091493,0.045177
6.092681,0.038158
5.060620,0.030866
4.061809,0.023810
3.062997,0.017678
2.030904,0.011712
1.032093,0.005839
0.000000,0.000823
-0.998747,0.005952
-1.997624,0.011763
-3.029652,0.017816
-4.028464,0.023945
-5.027276,0.030933
-6.059368,0.038214
-7.058115,0.045280
-8.056992,0.052237
-9.089020,0.059557
-10.087896,0.066536
-11.086643,0.073583
-12.118735,0.080884
-13.117547,0.087901
-14.116360,0.094933
-15.148452,0.102175
-16.147263,0.109198
-17.146011,0.116245
-18.178169,0.123518
-19.176916,0.130531
-20.175728,0.137582
-21.207819,0.144876
-22.206633,0.151865
-23.205444,0.158928
-24.237535,0.166202
-25.236284,0.173220
-26.235159,0.180287
-27.267187,0.187573
-28.266064,0.194567
-29.264811,0.201589
-30.296968,0.208852
-31.295717,0.215882
-32.294464,0.222917
-33.326618,0.230189
-34.325367,0.237253
-35.324245,0.244244
-36.356274,0.251571
-37.355083,0.258564
-38.353897,0.265595
-39.385986,0.272861
-40.384800,0.279890
-41.383614,0.286916
-42.415703,0.294180
-43.414516,0.301199
-44.413265,0.308230
-45.445419,0.315507
-46.444168,0.322544
-47.443043,0.329572
-48.475071,0.336875
-49.473949,0.343903
-50.472694,0.350912
-51.504852,0.358168
-52.503601,0.365253
-53.535759,0.372496
-54.534504,0.379517
-55.533318,0.386555
-56.565411,0.393857
-57.564224,0.400841
-58.563034,0.407921
-59.595127,0.415181
-60.593937,0.422188
-61.592751,0.429276
-62.624840,0.436512
-63.623653,0.443577
-64.622467,0.450554
-65.654556,0.457865
-66.653366,0.464881
-67.652184,0.471890
-68.684273,0.479186
-69.683090,0.486177
-70.681831,0.493230
-71.713989,0.500504
-72.712738,0.507511
-73.711617,0.514535
-74.743645,0.521809
-75.742516,0.528823
-76.741264,0.535871
-77.773361,0.543125
-78.772171,0.550151
-79.770981,0.557174
-80.803070,0.564476
-81.801888,0.571469
-82.800697,0.578480
-83.832787,0.585796
-84.831604,0.592808
-85.830414,0.599833
-86.862572,0.607096
-87.861313,0.614113
-88.860130,0.621127
-89.892227,0.628402
-90.891098,0.635433
-91.889847,0.642505
-92.921997,0.649719
-93.920753,0.656771
-94.919624,0.663763
-95.951653,0.671040
-96.950531,0.678107
-97.949280,0.685136
-98.981438,0.692362
-99.980179,0.699417
-100.979065,0.706429
-102.011093,0.713724
-103.009964,0.720728
-104.008705,0.727764
-105.040863,0.735041
-106.039619,0.742112
-107.071777,0.749323
-108.070587,0.756382
-109.069389,0.763430
-110.101486,0.770687
-111.100304,0.777707
-112.099113,0.784774
-113.131271,0.792047
-114.130020,0.799033
-115.128899,0.806095
-116.160927,0.813344
-117.159798,0.820391
-118.158554,0.827421
-119.190704,0.834692
-120.189453,0.841733
-121.188255,0.848775
-122.220421,0.856032
-123.219162,0.863051
-124.218033,0.870101
-125.250061,0.877367
-126.248947,0.884377
-127.247688,0.891461
-128.279846,0.898745
-129.278656,0.905759
-130.277481,0.912793
-131.309555,0.920036
-132.308380,0.927081
-133.307190,0.934184
-134.339355,0.941415
-135.338089,0.948470
-136.336975,0.955457
-137.369003,0.962767
-138.367874,0.969808
-139.366684,0.976854
-140.398773,0.984147
-141.397583,0.991158
-142.396408,0.998203
-143.428497,1.005491
-144.427368,1.012493
-145.426117,1.019582
-146.458282,1.026854
-147.457077,1.033868
-148.455902,1.040898
-149.487991,1.048196
-150.486877,1.055221
-151.485611,1.062251
-152.517776,1.069557
-153.516525,1.076582
-154.515396,1.083616
-155.547485,1.090919
-156.546295,1.097945
-157.578400,1.105247
-158.577271,1.112247
-159.576004,1.119322
-160.608170,1.126583
-161.606918,1.133647
-162.605804,1.140668
-163.637894,1.147967
-164.636765,1.155006
-165.635513,1.162033
-166.667603,1.169340
-167.666428,1.176380
-168.665222,1.183421
-169.697372,1.190711
-170.696136,1.197735
-171.695007,1.204758
-172.727097,1.212052
-173.725922,1.219078
-174.724731,1.226121
-175.756882,1.233405
-176.755630,1.240428
-177.754501,1.247471
-178.786606,1.254738
-179.785477,1.261785
-180.784225,1.268811
-181.816376,1.276136
-182.815125,1.283172
-183.813995,1.290214
-184.846100,1.297455
-185.844971,1.304461
-186.843719,1.311483
-187.875870,1.318832
-188.874695,1.325865
-189.873505,1.332863
-190.905594,1.340170
-191.904465,1.347163
-192.903214,1.354283
-193.935364,1.361527
-194.934189,1.368578
-195.933060,1.375581
-196.965088,1.382927
-197.963959,1.389931
-198.962769,1.396993
-199.994934,1.404284
-200.993683,1.411330
-201.992554,1.418359
-203.024643,1.425654
-204.023468,1.432725
-205.022263,1.439752
-206.054428,1.447030
-207.053177,1.454097
-208.085403,1.461381
-209.084137,1.468454
-210.082886,1.475518
-211.115112,1.482799
-212.113861,1.489820
-213.112732,1.496924
-214.144836,1.504238
-215.143646,1.511261
-216.142456,1.518337
-217.174606,1.525658
-218.173355,1.532698
-219.172241,1.539764
-220.204330,1.547073
-221.203201,1.554108
-222.201950,1.561196
-223.234177,1.568504
-224.232925,1.575545
-225.231796,1.582617
-226.263885,1.589955
-227.262772,1.597002
-228.261505,1.604064
-229.293671,1.611397
-230.292496,1.618407
-231.291367,1.625487
-232.323380,1.632825
-233.322250,1.639917
-234.321075,1.647003
-235.353226,1.654327
-236.351990,1.661388
-237.350861,1.668455
-238.382965,1.675786
-239.381836,1.682859
-240.380569,1.689922
-241.412811,1.697266
-242.411545,1.704373
-243.410416,1.711417
-244.442505,1.718735
-245.441391,1.725792
-246.440125,1.732905
-247.472305,1.740222
-248.471100,1.747288
-249.469971,1.754434
-250.502060,1.761735
-251.500946,1.768847
-252.499710,1.775883
-253.531860,1.783214
-254.530670,1.790337
-255.529404,1.797416
-256.561554,1.804743
-257.560394,1.811858
