2,McLaren MP4-12C GT3,baseline
Steering Wheel Angle,Yaw Rate
386.892426,2.348204
385.860382,2.313506
384.861633,2.362551
383.862885,2.311068
382.830811,2.371131
381.832031,2.303541
380.833282,2.288344
379.801239,2.313750
378.802521,2.286300
377.803772,2.294503
376.771698,2.285477
375.772919,2.348660
374.774170,2.270060
373.742157,2.292800
372.743378,2.241157
371.744659,2.248044
370.712555,2.277092
369.713837,2.236755
368.715057,2.263210
367.683044,2.211529
366.684296,2.201186
365.685516,2.214850
364.653442,2.214419
363.654724,2.209586
362.622681,2.203189
361.623901,2.209048
360.625153,2.194923
359.593109,2.181315
358.594330,2.206584
357.595612,2.185802
356.563568,2.191229
355.564758,2.161841
354.566010,2.181058
353.533997,2.180093
352.535248,2.121244
351.536469,2.172192
350.504425,2.186655
349.505646,2.170037
348.506927,2.171360
347.474854,2.165715
346.476105,2.159240
345.477325,2.152713
344.445282,2.146115
343.446533,2.139520
342.447784,2.132393
341.415710,2.126029
340.416962,2.119940
339.418213,2.113364
338.386139,2.106875
337.387360,2.100349
336.388641,2.094243
335.356598,2.087660
334.357849,2.081346
333.359039,2.074838
332.326996,2.068355
331.328247,2.062137
330.329498,2.055859
329.297424,2.049255
328.298645,2.043212
327.299927,2.036904
326.267853,2.030290
325.269073,2.024161
324.270355,2.017464
323.238281,2.011125
322.239502,2.004825
321.240784,1.998238
320.208710,1.991687
319.209961,1.985700
318.211212,1.979409
317.179138,1.972526
316.180359,1.966432
315.181641,1.960075
314.149536,1.953414
313.150787,1.947124
312.152069,1.941071
311.119995,1.934503
310.121185,1.928154
309.089172,1.921702
308.090393,1.915174
307.091644,1.909160
306.059570,1.902487
305.060852,1.896131
304.062042,1.890059
303.029999,1.883549
302.031219,1.876975
301.032471,1.870959
300.000427,1.864190
299.001678,1.857939
298.002899,1.851479
296.970825,1.845039
295.972076,1.838900
294.973328,1.832371
293.941254,1.826169
292.942474,1.819635
291.943726,1.813370
290.911652,1.806824
289.912903,1.800803
288.914154,1.794225
287.882080,1.787923
286.883301,1.781541
285.884552,1.775157
284.852478,1.768617
283.853729,1.762629
282.854980,1.756019
281.822876,1.749684
280.824127,1.743409
279.825317,1.737115
278.793304,1.730408
277.794556,1.724273
276.795776,1.718035
275.763702,1.711289
274.764984,1.705113
273.766174,1.698873
272.734131,1.692522
271.735382,1.685934
270.736603,1.679857
269.704529,1.673316
268.705780,1.666999
267.707001,1.660875
266.674927,1.654162
265.676178,1.647917
264.677399,1.641493
263.645355,1.635077
262.646576,1.628984
261.647827,1.622508
260.615753,1.616004
259.617004,1.609810
258.584900,1.603206
257.586182,1.597084
256.587372,1.590968
255.555344,1.584181
254.556549,1.577978
253.557785,1.571719
252.525742,1.565180
251.526947,1.559002
250.528183,1.552541
249.496140,1.546293
248.497330,1.540014
247.498581,1.533761
246.466522,1.527053
245.467773,1.520857
244.468964,1.514621
243.436951,1.508099
242.438156,1.501920
241.439392,1.495601
240.407318,1.489045
239.408585,1.482923
238.409760,1.476573
237.377716,1.470078
236.378922,1.463844
235.380157,1.457499
