2,Mclaren 570s GT4,baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.601525
274.764984,1.601988
273.766174,1.602427
272.734131,1.598822
271.735382,1.593644
270.736603,1.588670
269.704529,1.583267
268.705780,1.578032
267.707001,1.572676
266.674927,1.567078
265.676178,1.561607
264.677399,1.555566
263.645355,1.549358
262.646576,1.543342
261.647827,1.537296
260.615753,1.530543
259.617004,1.523925
258.584900,1.517394
257.586182,1.511633
256.587372,1.505848
255.555344,1.499826
254.556549,1.494164
253.557785,1.488049
252.525742,1.481714
251.526947,1.476122
250.528183,1.469690
249.496140,1.463775
248.497330,1.457883
247.498581,1.452025
246.466522,1.446280
245.467773,1.440419
244.468964,1.434697
243.436951,1.428592
242.438156,1.422760
241.439392,1.416845
240.407318,1.410707
239.408585,1.404878
238.409760,1.398486
237.377716,1.392127
236.378922,1.386606
235.380157,1.380584
234.348114,1.374793
233.349335,1.369405
232.350586,1.363332
231.318527,1.357421
230.319733,1.351598
229.320969,1.345456
228.288895,1.339439
227.290115,1.333550
226.291382,1.327507
225.259277,1.321296
224.260529,1.315388
223.261749,1.309422
222.229706,1.303280
221.230927,1.297330
220.232147,1.291420
219.200073,1.285320
218.201324,1.279218
217.202515,1.273504
216.170486,1.267319
215.171677,1.261551
214.172928,1.255734
213.140839,1.249700
212.142090,1.243854
211.143280,1.238063
210.111252,1.231897
209.112442,1.225982
208.113693,1.220232
207.081604,1.214208
206.082840,1.208288
205.050766,1.202172
204.052017,1.196307
203.053238,1.190428
202.021164,1.184465
201.022385,1.178587
200.023605,1.172785
198.991516,1.166839
197.992783,1.160898
196.994003,1.154801
195.961929,1.148852
194.963150,1.142988
193.964371,1.137254
192.932281,1.131227
191.933533,1.125498
190.934753,1.119639
189.902695,1.113451
188.903946,1.107685
187.905136,1.101533
186.873108,1.095418
185.874298,1.089568
184.875549,1.083628
183.843445,1.077472
182.844696,1.071858
181.845901,1.065650
180.813843,1.059665
179.815063,1.053874
178.816269,1.048049
177.784180,1.042128
176.785431,1.036290
175.786636,1.030299
174.754608,1.024368
173.755783,1.017943
172.757034,1.011913
171.724945,1.006352
170.726196,1.000381
169.727371,0.994886
168.695328,0.989489
167.696548,0.983369
166.697769,0.977711
165.665665,0.971619
164.666916,0.965160
163.668106,0.959452
162.636078,0.952890
161.637283,0.946662
160.638535,0.941164
159.606430,0.934814
158.607651,0.928938
157.608841,0.923441
156.576813,0.917272
155.578003,0.911861
154.545944,0.906327
153.547165,0.900037
152.548386,0.894608
151.516296,0.888357
150.517532,0.882287
149.518738,0.876492
148.486664,0.870038
147.487885,0.863729
146.489105,0.858186
145.457016,0.851618
144.458267,0.846015
143.459503,0.840650
142.427399,0.834530
141.428650,0.829036
140.429840,0.823429
139.397781,0.817155
138.399002,0.811531
137.400223,0.805237
136.368118,0.798658
135.369385,0.792942
134.370560,0.786725
133.338501,0.780493
132.339691,0.775206
131.340958,0.769115
130.308853,0.763491
129.310074,0.758225
128.311264,0.752081
127.279228,0.746268
126.280426,0.740249
125.281647,0.734360
124.249550,0.728517
123.250801,0.722498
122.251991,0.716717
121.219940,0.710640
120.221115,0.704838
119.222366,0.698921
118.190239,0.692890
117.191505,0.687061
116.192688,0.681052
115.160629,0.675042
114.161819,0.669088
113.163063,0.662679
112.130974,0.656624
111.132202,0.650365
110.133385,0.644416
109.101326,0.638864
108.102509,0.632885
107.103767,0.627532
106.071671,0.621848
105.072891,0.615740
104.074081,0.610173
103.042015,0.603843
102.043213,0.597416
101.011185,0.591532
100.012398,0.585284
99.013596,0.579086
97.981529,0.573577
96.982719,0.567501
95.983971,0.561849
94.951881,0.556248
93.953102,0.550368
92.954285,0.544942
91.922226,0.539014
90.923409,0.532701
89.924667,0.527026
88.892548,0.520363
87.893791,0.514101
86.894981,0.508514
85.862923,0.502162
84.864113,0.496336
83.865334,0.491093
82.833237,0.484959
81.834457,0.479433
80.835648,0.473892
79.803581,0.467596
78.804771,0.461943
77.806030,0.456102
76.773903,0.449517
75.775154,0.443771
74.776337,0.437485
73.744286,0.431078
72.745476,0.425514
71.746696,0.419552
70.714600,0.413616
69.715820,0.408377
68.717003,0.402447
67.684944,0.396736
66.686142,0.390890
65.687355,0.384626
64.655266,0.378817
63.656487,0.372630
62.657673,0.366296
61.625610,0.360431
60.626797,0.354200
59.628021,0.348462
58.595932,0.343007
57.597145,0.336881
56.598400,0.331600
55.566277,0.325823
54.567528,0.319638
53.568687,0.314072
52.536625,0.307981
51.537811,0.301614
50.505753,0.295738
49.506939,0.289375
48.508160,0.283203
47.476070,0.277450
46.477287,0.271457
45.478477,0.265741
44.446415,0.260219
43.447601,0.254336
42.448826,0.248760
41.416702,0.242932
40.417953,0.236610
39.419140,0.230922
38.387077,0.224520
37.388233,0.218266
36.389488,0.212569
35.357365,0.206361
34.358585,0.200197
33.359772,0.194835
32.327709,0.188520
31.328901,0.182960
30.330120,0.177572
29.297997,0.171406
28.299248,0.165995
27.300406,0.160198
26.268345,0.153682
25.269531,0.147899
24.270754,0.141860
23.238661,0.135286
22.239880,0.129742
21.241070,0.123423
20.209009,0.117595
19.210163,0.112264
18.211416,0.106401
17.179293,0.100584
16.180511,0.095015
15.181702,0.088760
14.149640,0.082954
13.150796,0.076592
12.152049,0.070370
11.119988,0.064511
10.121144,0.058363
9.122396,0.052530
8.090272,0.047024
7.091493,0.041100
6.092681,0.035422
5.060620,0.029883
4.061809,0.023638
3.062997,0.018047
2.030904,0.011950
1.032093,0.005586
0.000000,0.001284
-0.998747,0.005222
-1.997624,0.010591
-3.029652,0.016923
-4.028464,0.022578
-5.027276,0.028590
-6.059368,0.035195
-7.058115,0.040699
-8.056992,0.046929
-9.089020,0.053184
-10.087896,0.058648
-11.086643,0.064643
-12.118735,0.070460
-13.117547,0.075789
-14.116360,0.081924
-15.148452,0.087666
-16.147263,0.093759
-17.146011,0.100068
-18.178169,0.106044
-19.176916,0.112127
-20.175728,0.118097
-21.207819,0.123726
-22.206633,0.129805
-23.205444,0.135193
-24.237535,0.140978
-25.236284,0.147015
-26.235159,0.152637
-27.267187,0.158944
-28.266064,0.165302
-29.264811,0.170959
-30.296968,0.177254
-31.295717,0.183306
-32.294464,0.188712
-33.326618,0.194958
-34.325367,0.200656
-35.324245,0.206238
-36.356274,0.212364
-37.355083,0.217909
-38.353897,0.223656
-39.385986,0.230002
-40.384800,0.235829
-41.383614,0.241992
-42.415703,0.248358
-43.414516,0.254017
-44.413265,0.260078
-45.445419,0.266089
-46.444168,0.271536
-47.443043,0.277594
-48.475071,0.283275
-49.473949,0.288764
-50.472694,0.294959
-51.504852,0.300748
-52.503601,0.306854
-53.535759,0.313397
-54.534504,0.319094
-55.533318,0.325223
-56.565411,0.331423
-57.564224,0.336865
-58.563034,0.342859
-59.595127,0.348689
-60.593937,0.353995
-61.592751,0.360134
-62.624840,0.365917
-63.623653,0.371764
-64.622467,0.378028
-65.654556,0.384045
-66.653366,0.390135
-67.652184,0.396281
-68.684273,0.402133
-69.683090,0.408168
-70.681831,0.413981
-71.713989,0.419578
-72.712738,0.425714
-73.711617,0.431395
-74.743645,0.436897
-75.742516,0.443019
-76.741264,0.448569
-77.773361,0.454732
-78.772171,0.461058
-79.770981,0.466789
-80.803070,0.473057
-81.801888,0.479303
-82.800697,0.484823
-83.832787,0.491197
-84.831604,0.496818
-85.830414,0.502313
-86.862572,0.508513
-87.861313,0.513975
-88.860130,0.519561
-89.892227,0.526033
-90.891098,0.531848
-91.889847,0.537750
-92.921997,0.544311
-93.920753,0.550026
-94.919624,0.556266
-95.951653,0.562328
-96.950531,0.567733
-97.949280,0.573738
-98.981438,0.579438
-99.980179,0.584902
-100.979065,0.590948
-102.011093,0.596784
-103.009964,0.602762
-104.008705,0.609127
-105.040863,0.615054
-106.039619,0.621250
-107.071777,0.627529
-108.070587,0.633035
-109.069389,0.639129
-110.101486,0.644801
-111.100304,0.650268
-112.099113,0.656251
-113.131271,0.662059
-114.130020,0.667669
-115.128899,0.674021
-116.160927,0.680007
-117.159798,0.686176
-118.158554,0.692479
-119.190704,0.698237
-120.189453,0.704385
-121.188255,0.710309
-122.220421,0.715832
-123.219162,0.721819
-124.218033,0.727312
-125.250061,0.733065
-126.248947,0.739191
-127.247688,0.744848
-128.279846,0.751140
-129.278656,0.757490
-130.277481,0.763214
-131.309555,0.769415
-132.308380,0.775630
-133.307190,0.781050
-134.339355,0.787487
-135.338089,0.793217
-136.336975,0.798318
-137.369003,0.804629
-138.367874,0.810081
-139.366684,0.815856
-140.398773,0.822348
-141.397583,0.828158
-142.396408,0.834233
-143.428497,0.840742
-144.427368,0.846418
-145.426117,0.852487
-146.458282,0.858709
-147.457077,0.864109
-148.455902,0.870037
-149.487991,0.875896
-150.486877,0.881346
-151.485611,0.887313
-152.517776,0.892979
-153.516525,0.899264
-154.515396,0.905680
-155.547485,0.911525
-156.546295,0.917551
-157.578400,0.923939
-158.577271,0.929499
-159.576004,0.935643
-160.608170,0.941572
-161.606918,0.947041
-162.605804,0.953061
-163.637894,0.958716
-164.636765,0.964295
-165.635513,0.970405
-166.667603,0.976198
-167.666428,0.982234
-168.665222,0.988701
-169.697372,0.994697
-170.696136,1.000873
-171.695007,1.006940
-172.727097,1.012631
-173.725922,1.018677
-174.724731,1.024229
-175.756882,1.029998
-176.755630,1.035866
-177.754501,1.041652
-178.786606,1.047412
-179.785477,1.053532
-180.784225,1.059295
-181.816376,1.065567
-182.815125,1.071939
-183.813995,1.077620
-184.846100,1.084179
-185.844971,1.089986
-186.843719,1.095390
-187.875870,1.101604
-188.874695,1.106897
-189.873505,1.112740
-190.905594,1.118743
-191.904465,1.124485
-192.903214,1.130528
-193.935364,1.137047
-194.934189,1.142997
-195.933060,1.149151
-196.965088,1.155465
-197.963959,1.160961
-198.962769,1.167198
-199.994934,1.172886
-200.993683,1.179023
-201.992554,1.184936
-203.024643,1.191028
-204.023468,1.196905
-205.022263,1.202801
-206.054428,1.208611
-207.053177,1.214694
-208.085403,1.220390
-209.084137,1.225783
-210.082886,1.231847
-211.115112,1.237741
-212.113861,1.243331
-213.112732,1.249638
-214.144836,1.255552
-215.143646,1.261608
-216.142456,1.268030
-217.174606,1.273822
-218.173355,1.279939
-219.172241,1.286094
-220.204330,1.291689
-221.203201,1.297770
-222.201950,1.303456
-223.234177,1.308978
-224.232925,1.314908
-225.231796,1.320467
-226.263885,1.326571
-227.262772,1.332900
-228.261505,1.338869
-229.293671,1.345269
-230.292496,1.351186
-231.291367,1.356948
-232.323380,1.363398
-233.322250,1.369263
-234.321075,1.374787
-235.353226,1.381002
-236.351990,1.386394
-237.350861,1.391922
-238.382965,1.398140
-239.381836,1.403786
-240.380569,1.409806
-241.412811,1.416559
-242.411545,1.422414
-243.410416,1.428489
-244.442505,1.434847
-245.441391,1.440362
-246.440125,1.446397
-247.472305,1.452124
-248.471100,1.457566
-249.469971,1.463692
-250.502060,1.469307
-251.500946,1.475144
-252.499710,1.481593
-253.531860,1.487647
-254.530670,1.493799
-255.529404,1.499969
-256.561554,1.505857
-257.560394,1.511897
-258.559265,1.517709
-259.591339,1.523680
-260.590240,1.529721
-261.622253,1.535662
-262.621124,1.541575
-263.619934,1.547467
-264.652100,1.553418
-265.650909,1.559141
-266.649780,1.565108
-267.681824,1.571115
-268.680695,1.577042
-269.679504,1.583090
-270.711670,1.589152
-271.710449,1.594966
-272.709351,1.600815
-273.741425,1.605164
-274.740295,1.605180
-275.739075,1.605110
