2,Mclaren MP4-30,baseline
Steering Wheel Angle,Yaw Rate
260.615753,1.690319
259.617004,1.690299
258.584900,1.688412
257.586182,1.681344
256.587372,1.674798
255.555344,1.667845
254.556549,1.661323
253.557785,1.651419
252.525742,1.643991
251.526947,1.606079
250.528183,1.599147
249.496140,1.604263
248.497330,1.598002
247.498581,1.590665
246.466522,1.584062
245.467773,1.568627
244.468964,1.561444
243.436951,1.554791
242.438156,1.570037
241.439392,1.573209
240.407318,1.565204
239.408585,1.558571
238.409760,1.550560
237.377716,1.542849
236.378922,1.537181
235.380157,1.530613
234.348114,1.523592
233.349335,1.516966
232.350586,1.510195
231.318527,1.503298
230.319733,1.496657
229.320969,1.489852
228.288895,1.482994
227.290115,1.476462
226.291382,1.470438
225.259277,1.463537
224.260529,1.456748
223.261749,1.450039
222.229706,1.443239
221.230927,1.436753
220.232147,1.430195
219.200073,1.423462
218.201324,1.416997
217.202515,1.409323
216.170486,1.402714
215.171677,1.395621
214.172928,1.390125
213.140839,1.383336
212.142090,1.375391
211.143280,1.370035
210.111252,1.362687
209.112442,1.355424
208.113693,1.349477
207.081604,1.342973
206.082840,1.336160
205.050766,1.329341
204.052017,1.322548
203.053238,1.316088
202.021164,1.309247
201.022385,1.304245
200.023605,1.296104
198.991516,1.288612
197.992783,1.281959
196.994003,1.275631
195.961929,1.267365
194.963150,1.261312
193.964371,1.255033
192.932281,1.246785
191.933533,1.241497
190.934753,1.234876
189.902695,1.228686
188.903946,1.222719
187.905136,1.212073
186.873108,1.207082
185.874298,1.200939
184.875549,1.194225
183.843445,1.187364
182.844696,1.180726
181.845901,1.174177
180.813843,1.167436
179.815063,1.164582
178.816269,1.160716
177.784180,1.150410
176.785431,1.141952
175.786636,1.134657
174.754608,1.127752
173.755783,1.121279
172.757034,1.113666
171.724945,1.107122
170.726196,1.101516
169.727371,1.094419
168.695328,1.087397
167.696548,1.079774
166.697769,1.074890
165.665665,1.069479
164.666916,1.060724
163.668106,1.051722
162.636078,1.047650
161.637283,1.041102
160.638535,1.034349
159.606430,1.027684
158.607651,1.021207
157.608841,1.014689
156.576813,1.007858
155.578003,1.001410
154.545944,0.994706
153.547165,0.988238
152.548386,0.981694
151.516296,0.974956
150.517532,0.968479
149.518738,0.961918
148.486664,0.955218
147.487885,0.948714
146.489105,0.942242
145.457016,0.935609
144.458267,0.929073
143.459503,0.922883
142.427399,0.918138
141.428650,0.911134
140.429840,0.904038
139.397781,0.897197
138.399002,0.890740
137.400223,0.884407
136.368118,0.877854
135.369385,0.871508
134.370560,0.863857
133.338501,0.856991
132.339691,0.850031
131.340958,0.843015
130.308853,0.837639
129.310074,0.831579
128.311264,0.825783
127.279228,0.820218
126.280426,0.811220
125.281647,0.805384
124.249550,0.797502
123.250801,0.793104
122.251991,0.787129
121.219940,0.779738
120.221115,0.773852
119.222366,0.766929
118.190239,0.759340
117.191505,0.752849
116.192688,0.746322
115.160629,0.739549
114.161819,0.732162
113.163063,0.726433
112.130974,0.720036
111.132202,0.713815
110.133385,0.706237
109.101326,0.697843
108.102509,0.692446
107.103767,0.688183
106.071671,0.679702
105.072891,0.672702
104.074081,0.666434
103.042015,0.659932
102.043213,0.653492
101.011185,0.646799
100.012398,0.640388
99.013596,0.633944
97.981529,0.627356
96.982719,0.620808
95.983971,0.614331
94.951881,0.607730
93.953102,0.601312
92.954285,0.594870
91.922226,0.588247
90.923409,0.581795
89.924667,0.575037
88.892548,0.569314
87.893791,0.564927
86.894981,0.558093
85.862923,0.550785
84.864113,0.544275
83.865334,0.537757
82.833237,0.531182
81.834457,0.524922
80.835648,0.517836
79.803581,0.511950
78.804771,0.505841
77.806030,0.497728
76.773903,0.491222
75.775154,0.482962
74.776337,0.479041
73.744286,0.471218
72.745476,0.464882
71.746696,0.459757
70.714600,0.451816
69.715820,0.447380
68.717003,0.440181
67.684944,0.434147
66.686142,0.427162
65.687355,0.421862
64.655266,0.412498
63.656487,0.407773
62.657673,0.401116
61.625610,0.392871
60.626797,0.388840
59.628021,0.380787
58.595932,0.375913
57.597145,0.367879
56.598400,0.361478
55.566277,0.356033
54.567528,0.348738
53.568687,0.342043
52.536625,0.335595
51.537811,0.329431
