2,Mercedes AMG GT4,baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.588196
274.764984,1.588782
273.766174,1.591189
272.734131,1.592845
271.735382,1.587696
270.736603,1.581577
269.704529,1.575078
268.705780,1.568951
267.707001,1.562359
266.674927,1.555264
265.676178,1.548164
264.677399,1.542169
263.645355,1.536072
262.646576,1.530273
261.647827,1.524874
260.615753,1.519872
259.617004,1.513870
258.584900,1.507916
257.586182,1.501127
256.587372,1.495835
255.555344,1.489609
254.556549,1.483887
253.557785,1.478088
252.525742,1.472209
251.526947,1.466156
250.528183,1.459748
249.496140,1.454229
248.497330,1.447890
247.498581,1.441822
246.466522,1.436294
245.467773,1.430679
244.468964,1.424216
243.436951,1.418956
242.438156,1.412598
241.439392,1.406816
240.407318,1.400541
239.408585,1.394896
238.409760,1.388855
237.377716,1.383167
236.378922,1.376785
235.380157,1.371355
234.348114,1.364974
233.349335,1.359520
232.350586,1.352994
231.318527,1.347504
230.319733,1.341176
229.320969,1.335172
228.288895,1.329452
227.290115,1.323937
226.291382,1.317796
225.259277,1.311916
224.260529,1.305578
223.261749,1.300048
222.229706,1.293905
221.230927,1.288251
220.232147,1.281947
219.200073,1.276469
218.201324,1.270013
217.202515,1.264557
216.170486,1.258154
215.171677,1.252858
214.172928,1.246527
213.140839,1.240867
212.142090,1.235106
211.143280,1.229188
210.111252,1.222698
209.112442,1.217121
208.113693,1.211258
207.081604,1.205146
206.082840,1.199269
205.050766,1.193163
204.052017,1.187662
203.053238,1.181351
202.021164,1.175489
201.022385,1.169639
200.023605,1.163765
198.991516,1.157793
197.992783,1.152238
196.994003,1.146044
195.961929,1.140330
194.963150,1.133853
193.964371,1.128199
192.932281,1.122229
191.933533,1.116708
190.934753,1.110330
189.902695,1.104800
188.903946,1.098529
187.905136,1.092850
186.873108,1.086636
185.874298,1.080987
184.875549,1.074947
183.843445,1.069099
182.844696,1.063621
181.845901,1.057231
180.813843,1.051312
179.815063,1.045550
178.816269,1.040027
177.784180,1.033518
176.785431,1.028193
175.786636,1.021627
174.754608,1.016040
173.755783,1.010018
172.757034,1.004509
171.724945,0.998137
170.726196,0.992462
169.727371,0.986327
168.695328,0.980580
167.696548,0.974769
166.697769,0.968788
165.665665,0.962778
164.666916,0.956801
163.668106,0.951296
162.636078,0.945032
161.637283,0.939193
160.638535,0.933327
159.606430,0.927492
158.607651,0.921355
157.608841,0.915824
156.576813,0.909483
155.578003,0.903831
154.545944,0.897839
153.547165,0.892208
152.548386,0.885899
151.516296,0.879723
150.517532,0.874387
149.518738,0.868384
148.486664,0.862519
147.487885,0.856513
146.489105,0.850906
145.457016,0.844629
144.458267,0.839220
143.459503,0.832922
142.427399,0.827300
141.428650,0.820883
140.429840,0.815658
139.397781,0.809388
138.399002,0.803656
137.400223,0.797589
136.368118,0.791732
135.369385,0.785781
134.370560,0.780023
133.338501,0.773968
132.339691,0.768138
131.340958,0.762699
130.308853,0.756160
129.310074,0.750811
128.311264,0.744476
127.279228,0.738945
126.280426,0.732711
125.281647,0.727237
124.249550,0.720952
123.250801,0.715149
122.251991,0.709411
121.219940,0.703255
120.221115,0.697507
119.222366,0.691649
118.190239,0.685558
117.191505,0.679892
116.192688,0.674199
115.160629,0.667790
114.161819,0.662413
113.163063,0.656264
112.130974,0.650641
111.132202,0.644150
110.133385,0.638749
109.101326,0.632437
108.102509,0.626630
107.103767,0.620933
106.071671,0.615093
105.072891,0.608988
104.074081,0.603272
103.042015,0.597230
102.043213,0.591481
101.011185,0.585701
100.012398,0.579326
99.013596,0.574061
97.981529,0.567539
96.982719,0.562316
95.983971,0.555821
94.951881,0.550252
93.953102,0.544150
92.954285,0.538571
91.922226,0.532359
90.923409,0.526841
89.924667,0.520424
88.892548,0.514893
87.893791,0.508708
86.894981,0.503021
85.862923,0.497057
84.864113,0.491369
83.865334,0.485387
82.833237,0.479416
81.834457,0.473458
80.835648,0.467781
79.803581,0.461712
78.804771,0.455818
77.806030,0.450175
76.773903,0.444025
75.775154,0.438229
74.776337,0.432422
73.744286,0.426414
72.745476,0.420600
71.746696,0.414844
70.714600,0.408766
69.715820,0.403065
68.717003,0.397096
67.684944,0.391313
66.686142,0.385197
65.687355,0.379576
64.655266,0.373372
63.656487,0.367796
62.657673,0.361812
61.625610,0.355763
60.626797,0.350077
59.628021,0.344086
58.595932,0.338185
57.597145,0.332242
56.598400,0.326862
55.566277,0.320223
54.567528,0.314798
53.568687,0.308837
52.536625,0.303110
51.537811,0.296680
50.505753,0.291387
49.506939,0.284908
48.508160,0.279661
47.476070,0.273167
46.477287,0.267843
45.478477,0.261495
44.446415,0.255942
43.447601,0.249709
42.448826,0.244174
41.416702,0.237943
40.417953,0.232334
39.419140,0.226295
38.387077,0.220414
37.388233,0.214722
36.389488,0.208804
35.357365,0.202862
34.358585,0.196630
33.359772,0.191314
32.327709,0.184891
31.328901,0.179580
30.330120,0.173326
29.297997,0.167730
28.299248,0.161407
27.300406,0.156058
26.268345,0.149468
25.269531,0.144257
24.270754,0.137809
23.238661,0.132284
22.239880,0.126150
21.241070,0.120488
20.209009,0.114473
19.210163,0.108603
18.211416,0.102784
17.179293,0.096914
16.180511,0.091053
15.181702,0.084979
14.149640,0.079345
13.150796,0.073158
12.152049,0.067759
11.119988,0.061401
10.121144,0.055965
9.122396,0.049560
8.090272,0.044158
7.091493,0.037627
6.092681,0.032424
5.060620,0.025843
4.061809,0.020579
3.062997,0.014661
2.030904,0.009704
1.032093,0.005063
0.000000,0.001596
-0.998747,0.004434
-1.997624,0.009012
-3.029652,0.014003
-4.028464,0.020223
-5.027276,0.025686
-6.059368,0.031904
-7.058115,0.037596
-8.056992,0.043458
-9.089020,0.049487
-10.087896,0.055241
-11.086643,0.061207
-12.118735,0.066968
-13.117547,0.073061
-14.116360,0.078552
-15.148452,0.084878
-16.147263,0.090360
-17.146011,0.096659
-18.178169,0.102142
-19.176916,0.108417
-20.175728,0.113878
-21.207819,0.120297
-22.206633,0.125701
-23.205444,0.131953
-24.237535,0.137526
-25.236284,0.143765
-26.235159,0.149025
-27.267187,0.155482
-28.266064,0.160987
-29.264811,0.167107
-30.296968,0.172910
-31.295717,0.179027
-32.294464,0.184517
-33.326618,0.190648
-34.325367,0.196465
-35.324245,0.202345
-36.356274,0.208239
-37.355083,0.214251
-38.353897,0.219986
-39.385986,0.226019
-40.384800,0.231814
-41.383614,0.237648
-42.415703,0.243581
-43.414516,0.249396
-44.413265,0.255397
-45.445419,0.261200
-46.444168,0.267394
-47.443043,0.272796
-48.475071,0.279102
-49.473949,0.284677
-50.472694,0.290804
-51.504852,0.296300
-52.503601,0.302561
-53.535759,0.308415
-54.534504,0.314487
-55.533318,0.319834
-56.565411,0.326229
-57.564224,0.331866
-58.563034,0.337526
-59.595127,0.343856
-60.593937,0.349437
-61.592751,0.355494
-62.624840,0.361136
-63.623653,0.367398
-64.622467,0.372876
-65.654556,0.379166
-66.653366,0.384673
-67.652184,0.390952
-68.684273,0.396450
-69.683090,0.402826
-70.681831,0.408039
-71.713989,0.414668
-72.712738,0.419865
-73.711617,0.426331
-74.743645,0.431769
-75.742516,0.438016
-76.741264,0.443576
-77.773361,0.449840
-78.772171,0.455289
-79.770981,0.461522
-80.803070,0.467328
-81.801888,0.473349
-82.800697,0.478928
-83.832787,0.485075
-84.831604,0.490866
-85.830414,0.496413
-86.862572,0.502673
-87.861313,0.508524
-88.860130,0.514335
-89.892227,0.520419
-90.891098,0.526207
-91.889847,0.531955
-92.921997,0.537999
-93.920753,0.543868
-94.919624,0.549690
-95.951653,0.555384
-96.950531,0.561687
-97.949280,0.567192
-98.981438,0.573420
-99.980179,0.578920
-100.979065,0.585079
-102.011093,0.590919
-103.009964,0.596912
-104.008705,0.602621
-105.040863,0.608468
-106.039619,0.614480
-107.071777,0.620273
-108.070587,0.626382
-109.069389,0.632170
-110.101486,0.638229
-111.100304,0.643855
-112.099113,0.649918
-113.131271,0.655544
-114.130020,0.661927
-115.128899,0.667230
-116.160927,0.673719
-117.159798,0.679150
-118.158554,0.685393
-119.190704,0.691161
-120.189453,0.696957
-121.188255,0.702671
-122.220421,0.709037
-123.219162,0.714878
-124.218033,0.720376
-125.250061,0.726544
-126.248947,0.732426
-127.247688,0.738174
-128.279846,0.744269
-129.278656,0.750048
-130.277481,0.755808
-131.309555,0.761981
-132.308380,0.767488
-133.307190,0.773508
-134.339355,0.779590
-135.338089,0.785371
-136.336975,0.791001
-137.369003,0.797198
-138.367874,0.802874
-139.366684,0.809004
-140.398773,0.814854
-141.397583,0.820721
-142.396408,0.826606
-143.428497,0.832361
-144.427368,0.838333
-145.426117,0.844115
-146.458282,0.850465
-147.457077,0.856039
-148.455902,0.862035
-149.487991,0.868002
-150.486877,0.873852
-151.485611,0.879679
-152.517776,0.885710
-153.516525,0.891564
-154.515396,0.897357
-155.547485,0.903232
-156.546295,0.909064
-157.578400,0.915148
-158.577271,0.921054
-159.576004,0.926748
-160.608170,0.933065
-161.606918,0.938722
-162.605804,0.944494
-163.637894,0.950759
-164.636765,0.956345
-165.635513,0.962396
-166.667603,0.968439
-167.666428,0.974192
-168.665222,0.979730
-169.697372,0.986080
-170.696136,0.991493
-171.695007,0.997844
-172.727097,1.003451
-173.725922,1.009867
-174.724731,1.015374
-175.756882,1.021443
-176.755630,1.027117
-177.754501,1.033316
-178.786606,1.039147
-179.785477,1.044959
-180.784225,1.050718
-181.816376,1.056612
-182.815125,1.062739
-183.813995,1.068609
-184.846100,1.074548
-185.844971,1.080127
-186.843719,1.086344
-187.875870,1.092312
-188.874695,1.098217
-189.873505,1.103707
-190.905594,1.110122
-191.904465,1.115670
-192.903214,1.121774
-193.935364,1.127633
-194.934189,1.133673
-195.933060,1.139175
-196.965088,1.145816
-197.963959,1.151417
-198.962769,1.157398
-199.994934,1.163125
-200.993683,1.169188
-201.992554,1.174782
-203.024643,1.180969
-204.023468,1.186718
-205.022263,1.192948
-206.054428,1.198722
-207.053177,1.204855
-208.085403,1.210596
-209.084137,1.216563
-210.082886,1.222267
-211.115112,1.228548
-212.113861,1.234126
-213.112732,1.240372
-214.144836,1.246580
-215.143646,1.251978
-216.142456,1.257939
-217.174606,1.263899
-218.173355,1.269772
-219.172241,1.275941
-220.204330,1.281672
-221.203201,1.287309
-222.201950,1.293328
-223.234177,1.299700
-224.232925,1.305273
