2,Mercedes W12,baseline
Steering Wheel Angle,Yaw Rate
211.143280,1.514355
210.111252,1.514526
209.112442,1.507789
208.113693,1.500490
207.081604,1.494404
206.082840,1.486205
205.050766,1.478290
204.052017,1.470843
203.053238,1.464541
202.021164,1.455749
201.022385,1.447755
200.023605,1.440480
198.991516,1.432200
197.992783,1.425287
196.994003,1.418442
195.961929,1.410716
194.963150,1.402972
193.964371,1.395321
192.932281,1.388029
191.933533,1.380905
190.934753,1.373176
189.902695,1.365077
188.903946,1.358020
187.905136,1.350463
186.873108,1.342782
185.874298,1.335389
184.875549,1.327729
183.843445,1.320029
182.844696,1.313014
181.845901,1.306538
180.813843,1.300487
179.815063,1.291578
178.816269,1.283139
177.784180,1.276097
176.785431,1.268674
175.786636,1.261034
174.754608,1.253605
173.755783,1.246194
172.757034,1.239028
171.724945,1.231275
170.726196,1.224211
169.727371,1.216884
168.695328,1.209159
167.696548,1.201482
166.697769,1.193702
165.665665,1.186365
164.666916,1.179948
163.668106,1.172428
162.636078,1.164896
161.637283,1.157361
160.638535,1.150224
159.606430,1.142745
158.607651,1.135562
157.608841,1.127759
156.576813,1.120617
155.578003,1.113569
154.545944,1.105678
153.547165,1.098646
152.548386,1.091449
151.516296,1.083761
150.517532,1.076275
149.518738,1.068871
148.486664,1.061377
147.487885,1.054325
146.489105,1.046893
145.457016,1.039889
144.458267,1.032468
143.459503,1.023627
142.427399,1.016997
141.428650,1.010576
140.429840,1.003956
139.397781,0.995937
138.399002,0.988366
137.400223,0.978814
136.368118,0.968731
135.369385,0.962793
134.370560,0.957946
133.338501,0.951936
132.339691,0.944461
131.340958,0.937378
130.308853,0.929849
129.310074,0.922396
128.311264,0.915247
127.279228,0.907883
126.280426,0.900684
125.281647,0.893313
124.249550,0.886015
123.250801,0.878847
122.251991,0.871642
121.219940,0.864122
120.221115,0.856902
119.222366,0.849573
118.190239,0.842285
117.191505,0.834126
116.192688,0.828058
115.160629,0.820402
114.161819,0.813241
113.163063,0.805904
112.130974,0.798499
111.132202,0.791320
110.133385,0.783927
109.101326,0.776798
108.102509,0.769637
107.103767,0.762178
106.071671,0.755076
105.072891,0.747806
104.074081,0.740741
103.042015,0.733017
102.043213,0.726190
101.011185,0.718660
100.012398,0.711416
99.013596,0.704447
97.981529,0.697033
96.982719,0.689730
95.983971,0.682521
94.951881,0.675233
93.953102,0.668070
92.954285,0.660976
91.922226,0.653408
90.923409,0.646041
89.924667,0.638955
88.892548,0.631573
87.893791,0.624482
86.894981,0.617372
85.862923,0.610080
84.864113,0.603042
83.865334,0.593435
82.833237,0.585958
81.834457,0.580099
80.835648,0.573874
79.803581,0.566214
78.804771,0.559476
77.806030,0.552385
76.773903,0.545071
75.775154,0.537980
