2,Mercedes-AMG GT3 2020,baseline
Steering Wheel Angle,Yaw Rate
219.200073,1.434431
218.201324,1.434526
217.202515,1.433625
216.170486,1.433174
215.171677,1.426802
214.172928,1.420230
213.140839,1.413468
212.142090,1.406767
211.143280,1.400130
210.111252,1.393093
209.112442,1.386089
208.113693,1.378973
207.081604,1.371622
206.082840,1.363459
205.050766,1.356022
204.052017,1.349341
203.053238,1.342616
202.021164,1.335717
201.022385,1.329002
200.023605,1.322926
198.991516,1.316526
197.992783,1.310305
196.994003,1.304096
195.961929,1.297392
194.963150,1.290805
193.964371,1.284058
192.932281,1.277238
191.933533,1.270045
190.934753,1.263001
189.902695,1.256009
188.903946,1.249422
187.905136,1.243093
186.873108,1.236173
185.874298,1.229353
184.875549,1.222682
183.843445,1.215832
182.844696,1.209169
181.845901,1.202421
180.813843,1.195523
179.815063,1.188868
178.816269,1.182132
177.784180,1.175293
176.785431,1.168598
175.786636,1.162051
174.754608,1.155077
173.755783,1.148458
172.757034,1.141757
171.724945,1.134994
170.726196,1.128182
169.727371,1.121552
168.695328,1.114630
167.696548,1.108035
166.697769,1.101273
165.665665,1.094514
164.666916,1.087940
163.668106,1.081120
162.636078,1.074346
161.637283,1.067567
160.638535,1.061028
159.606430,1.054148
158.607651,1.047454
157.608841,1.040797
156.576813,1.033893
155.578003,1.027227
154.545944,1.020396
153.547165,1.013768
152.548386,1.007080
151.516296,1.000167
150.517532,0.993512
149.518738,0.986877
148.486664,0.979882
147.487885,0.973336
146.489105,0.966655
145.457016,0.959825
144.458267,0.953120
143.459503,0.946470
142.427399,0.939564
141.428650,0.932994
140.429840,0.926236
139.397781,0.919294
138.399002,0.912803
137.400223,0.905926
136.368118,0.899162
135.369385,0.892493
134.370560,0.885996
133.338501,0.879152
132.339691,0.872450
131.340958,0.865660
130.308853,0.858886
129.310074,0.852191
128.311264,0.845600
127.279228,0.838662
126.280426,0.832071
125.281647,0.825412
124.249550,0.818579
123.250801,0.811952
122.251991,0.805152
121.219940,0.798343
120.221115,0.791670
119.222366,0.785052
118.190239,0.778186
117.191505,0.771598
116.192688,0.764867
115.160629,0.758099
114.161819,0.751394
113.163063,0.744763
112.130974,0.737959
111.132202,0.731415
110.133385,0.724611
109.101326,0.717656
108.102509,0.711254
107.103767,0.704515
106.071671,0.697582
105.072891,0.690949
104.074081,0.684334
103.042015,0.677420
102.043213,0.670896
101.011185,0.663975
100.012398,0.657286
99.013596,0.650665
97.981529,0.643747
96.982719,0.637132
95.983971,0.630573
94.951881,0.623734
93.953102,0.616979
92.954285,0.610343
91.922226,0.603440
90.923409,0.596766
89.924667,0.590265
88.892548,0.583426
87.893791,0.576719
86.894981,0.570068
85.862923,0.563209
84.864113,0.556545
83.865334,0.549865
82.833237,0.543091
81.834457,0.536353
80.835648,0.529770
79.803581,0.522863
78.804771,0.516316
77.806030,0.509646
76.773903,0.502793
75.775154,0.496129
74.776337,0.489536
73.744286,0.482682
72.745476,0.476087
71.746696,0.469404
70.714600,0.462521
69.715820,0.455860
68.717003,0.449256
67.684944,0.442330
66.686142,0.435758
65.687355,0.429047
64.655266,0.422154
63.656487,0.415534
62.657673,0.408976
61.625610,0.402138
60.626797,0.395410
59.628021,0.388872
58.595932,0.382112
57.597145,0.375428
56.598400,0.368672
55.566277,0.361855
54.567528,0.355240
53.568687,0.348649
52.536625,0.341704
51.537811,0.335064
50.505753,0.328293
49.506939,0.321693
48.508160,0.314941
47.476070,0.308180
46.477287,0.301500
45.478477,0.294864
44.446415,0.288001
43.447601,0.281325
42.448826,0.274679
41.416702,0.267843
40.417953,0.261182
39.419140,0.254533
38.387077,0.247648
37.388233,0.241156
36.389488,0.234477
35.357365,0.227696
34.358585,0.221047
33.359772,0.214266
32.327709,0.207488
31.328901,0.200877
30.330120,0.194182
29.297997,0.187355
28.299248,0.180750
27.300406,0.174060
26.268345,0.167205
25.269531,0.160673
24.270754,0.153972
23.238661,0.147175
22.239880,0.140476
21.241070,0.133786
20.209009,0.127047
19.210163,0.120378
18.211416,0.113748
17.179293,0.106910
16.180511,0.100283
15.181702,0.093610
14.149640,0.086682
13.150796,0.080122
12.152049,0.073512
11.119988,0.066606
10.121144,0.059910
9.122396,0.053399
8.090272,0.046446
7.091493,0.039809
6.092681,0.033633
5.060620,0.027935
4.061809,0.022476
3.062997,0.017000
2.030904,0.011401
1.032093,0.005873
0.000000,0.001570
-0.998747,0.005227
-1.997624,0.010723
-3.029652,0.016452
-4.028464,0.021861
-5.027276,0.027385
-6.059368,0.033028
-7.058115,0.039409
-8.056992,0.045984
-9.089020,0.052839
-10.087896,0.059398
-11.086643,0.066051
-12.118735,0.072912
-13.117547,0.079540
-14.116360,0.086179
-15.148452,0.093113
-16.147263,0.099727
-17.146011,0.106323
-18.178169,0.113304
-19.176916,0.119943
-20.175728,0.126527
-21.207819,0.133350
-22.206633,0.139996
-23.205444,0.146596
-24.237535,0.153461
-25.236284,0.160104
-26.235159,0.166730
-27.267187,0.173596
-28.266064,0.180198
-29.264811,0.186890
-30.296968,0.193695
-31.295717,0.200450
-32.294464,0.206988
-33.326618,0.213840
-34.325367,0.220504
-35.324245,0.227181
-36.356274,0.233985
-37.355083,0.240618
-38.353897,0.247255
-39.385986,0.254069
-40.384800,0.260704
-41.383614,0.267303
-42.415703,0.274276
-43.414516,0.280964
-44.413265,0.287527
-45.445419,0.294358
-46.444168,0.301005
-47.443043,0.307643
-48.475071,0.314542
-49.473949,0.321192
-50.472694,0.327847
-51.504852,0.334624
-52.503601,0.341255
-53.535759,0.348148
-54.534504,0.354802
-55.533318,0.361531
-56.565411,0.368322
-57.564224,0.374869
-58.563034,0.381598
-59.595127,0.388453
-60.593937,0.395061
-61.592751,0.401759
-62.624840,0.408576
-63.623653,0.415165
-64.622467,0.421808
-65.654556,0.428629
-66.653366,0.435255
-67.652184,0.441978
-68.684273,0.448832
-69.683090,0.455509
-70.681831,0.462100
-71.713989,0.468992
-72.712738,0.475594
-73.711617,0.482189
-74.743645,0.488978
-75.742516,0.495712
-76.741264,0.502414
-77.773361,0.509173
-78.772171,0.515825
-79.770981,0.522491
-80.803070,0.529454
-81.801888,0.536076
-82.800697,0.542619
-83.832787,0.549559
-84.831604,0.556156
-85.830414,0.562848
-86.862572,0.569706
-87.861313,0.576321
-88.860130,0.582955
-89.892227,0.589793
-90.891098,0.596412
-91.889847,0.603205
-92.921997,0.609934
-93.920753,0.616667
-94.919624,0.623217
-95.951653,0.630088
-96.950531,0.636744
-97.949280,0.643332
-98.981438,0.650254
-99.980179,0.656904
-100.979065,0.663571
-102.011093,0.670381
-103.009964,0.677093
-104.008705,0.683708
-105.040863,0.690599
-106.039619,0.697189
-107.071777,0.703947
-108.070587,0.710589
-109.069389,0.717278
-110.101486,0.724218
-111.100304,0.730791
-112.099113,0.737489
-113.131271,0.744364
-114.130020,0.750937
-115.128899,0.757687
-116.160927,0.764583
-117.159798,0.771199
-118.158554,0.777814
-119.190704,0.784684
-120.189453,0.791299
-121.188255,0.798009
-122.220421,0.804872
-123.219162,0.811437
-124.218033,0.817954
-125.250061,0.824957
-126.248947,0.831620
-127.247688,0.838201
