2,Mercedes-AMG W13 E Performance,baseline
Steering Wheel Angle,Yaw Rate
211.143280,1.512874
210.111252,1.534850
209.112442,1.547366
208.113693,1.486114
207.081604,1.494010
206.082840,1.506447
205.050766,1.483587
204.052017,1.477750
203.053238,1.494897
202.021164,1.490322
201.022385,1.459262
200.023605,1.473368
198.991516,1.445091
197.992783,1.411409
196.994003,1.426251
195.961929,1.409909
194.963150,1.435385
193.964371,1.444391
192.932281,1.415085
191.933533,1.397267
190.934753,1.406271
189.902695,1.403431
188.903946,1.386078
187.905136,1.382434
186.873108,1.378684
185.874298,1.375280
184.875549,1.368675
183.843445,1.364170
182.844696,1.355930
181.845901,1.349291
180.813843,1.341878
179.815063,1.338143
178.816269,1.326658
177.784180,1.317537
176.785431,1.310477
175.786636,1.303219
174.754608,1.295359
173.755783,1.287872
172.757034,1.280526
171.724945,1.272733
170.726196,1.266216
169.727371,1.258087
168.695328,1.248646
167.696548,1.241580
166.697769,1.234342
165.665665,1.226514
164.666916,1.219023
163.668106,1.211357
162.636078,1.203525
161.637283,1.196088
160.638535,1.188351
159.606430,1.180735
158.607651,1.171375
157.608841,1.164784
156.576813,1.158105
155.578003,1.150601
154.545944,1.142766
153.547165,1.135236
152.548386,1.127367
151.516296,1.119630
150.517532,1.112047
149.518738,1.104755
148.486664,1.097053
147.487885,1.089495
146.489105,1.081983
145.457016,1.074251
144.458267,1.066927
143.459503,1.059232
142.427399,1.051649
141.428650,1.044055
140.429840,1.036885
139.397781,1.027164
138.399002,1.020016
137.400223,1.013029
136.368118,1.006171
135.369385,0.998765
134.370560,0.991307
133.338501,0.983563
132.339691,0.976206
131.340958,0.968585
130.308853,0.961001
129.310074,0.953435
128.311264,0.946035
127.279228,0.938326
126.280426,0.930813
125.281647,0.923380
124.249550,0.915640
123.250801,0.908354
122.251991,0.900856
121.219940,0.893158
120.221115,0.885757
119.222366,0.878431
118.190239,0.870702
117.191505,0.863174
116.192688,0.855842
115.160629,0.847996
114.161819,0.840668
113.163063,0.833257
112.130974,0.825494
111.132202,0.818161
110.133385,0.810732
109.101326,0.803143
108.102509,0.795650
107.103767,0.788292
106.071671,0.779448
105.072891,0.773111
104.074081,0.765803
103.042015,0.758277
102.043213,0.750761
101.011185,0.742956
100.012398,0.735564
99.013596,0.728357
97.981529,0.720698
96.982719,0.713091
95.983971,0.705900
94.951881,0.698074
93.953102,0.690816
92.954285,0.683389
91.922226,0.675800
90.923409,0.668543
89.924667,0.660995
88.892548,0.653304
87.893791,0.645910
86.894981,0.638398
85.862923,0.630954
84.864113,0.623779
83.865334,0.616237
82.833237,0.608778
81.834457,0.601281
80.835648,0.593831
79.803581,0.586292
78.804771,0.578848
77.806030,0.571471
76.773903,0.563797
75.775154,0.556561
74.776337,0.549031
73.744286,0.541860
72.745476,0.534359
71.746696,0.526866
70.714600,0.518672
69.715820,0.510411
68.717003,0.504005
67.684944,0.496904
66.686142,0.489615
65.687355,0.482380
64.655266,0.474529
63.656487,0.467274
62.657673,0.459954
61.625610,0.452276
60.626797,0.444970
59.628021,0.437532
58.595932,0.430092
57.597145,0.422707
56.598400,0.415262
55.566277,0.407857
54.567528,0.400504
53.568687,0.393061
52.536625,0.385432
51.537811,0.378164
50.505753,0.370483
49.506939,0.363258
48.508160,0.355940
47.476070,0.348429
46.477287,0.340933
45.478477,0.333673
44.446415,0.326163
43.447601,0.318689
42.448826,0.311368
41.416702,0.303838
40.417953,0.296534
39.419140,0.289059
38.387077,0.281617
37.388233,0.274193
36.389488,0.266967
35.357365,0.259417
34.358585,0.252144
33.359772,0.244856
32.327709,0.237282
31.328901,0.229877
30.330120,0.222486
29.297997,0.215007
28.299248,0.207651
27.300406,0.200340
26.268345,0.192772
25.269531,0.185440
24.270754,0.178165
23.238661,0.170653
22.239880,0.163134
21.241070,0.155963
20.209009,0.148257
19.210163,0.141024
18.211416,0.133615
17.179293,0.125587
16.180511,0.118813
15.181702,0.111607
14.149640,0.104070
13.150796,0.096692
12.152049,0.089399
11.119988,0.081650
10.121144,0.074551
9.122396,0.067089
8.090272,0.059416
7.091493,0.052161
6.092681,0.044849
5.060620,0.037340
4.061809,0.030050
3.062997,0.022708
2.030904,0.015085
1.032093,0.007768
0.000000,0.000978
-0.998747,0.006985
-1.997624,0.014155
-3.029652,0.021746
-4.028464,0.029046
-5.027276,0.036357
-6.059368,0.043740
-7.058115,0.051210
-8.056992,0.058545
-9.089020,0.066015
-10.087896,0.073501
-11.086643,0.080696
-12.118735,0.088366
-13.117547,0.095630
-14.116360,0.102947
-15.148452,0.110643
-16.147263,0.117940
-17.146011,0.125272
-18.178169,0.131973
-19.176916,0.138504
-20.175728,0.147099
-21.207819,0.154958
-22.206633,0.162339
-23.205444,0.169729
-24.237535,0.177026
-25.236284,0.184445
-26.235159,0.191805
-27.267187,0.199357
-28.266064,0.206752
-29.264811,0.213970
-30.296968,0.221513
-31.295717,0.228913
-32.294464,0.236209
-33.326618,0.243902
-34.325367,0.251143
-35.324245,0.258413
-36.356274,0.265895
-37.355083,0.273284
-38.353897,0.280723
-39.385986,0.288288
-40.384800,0.295583
-41.383614,0.302984
-42.415703,0.310438
-43.414516,0.317907
-44.413265,0.325079
-45.445419,0.332674
-46.444168,0.340127
-47.443043,0.347389
-48.475071,0.355024
-49.473949,0.362326
-50.472694,0.369670
-51.504852,0.377256
-52.503601,0.384530
-53.535759,0.392135
-54.534504,0.399506
-55.533318,0.406920
-56.565411,0.414449
-57.564224,0.421820
-58.563034,0.429178
-59.595127,0.436811
-60.593937,0.444092
-61.592751,0.451363
-62.624840,0.459030
-63.623653,0.466297
-64.622467,0.473799
-65.654556,0.481273
-66.653366,0.488629
-67.652184,0.496098
-68.684273,0.503555
-69.683090,0.510892
-70.681831,0.518192
-71.713989,0.525899
-72.712738,0.533284
-73.711617,0.540573
-74.743645,0.548219
-75.742516,0.555692
-76.741264,0.563081
-77.773361,0.570580
-78.772171,0.578032
-79.770981,0.585257
-80.803070,0.593080
-81.801888,0.600164
-82.800697,0.607577
-83.832787,0.615406
-84.831604,0.622860
-85.830414,0.630177
-86.862572,0.637595
-87.861313,0.645061
-88.860130,0.652341
-89.892227,0.660065
-90.891098,0.667562
-91.889847,0.674810
-92.921997,0.682257
-93.920753,0.689693
-94.919624,0.697407
-95.951653,0.704952
-96.950531,0.712302
-97.949280,0.719731
-98.981438,0.727350
-99.980179,0.734663
-100.979065,0.742102
-102.011093,0.749795
-103.009964,0.757134
-104.008705,0.764544
-105.040863,0.772370
-106.039619,0.779605
-107.071777,0.787239
-108.070587,0.794747
-109.069389,0.801999
-110.101486,0.809710
-111.100304,0.817115
-112.099113,0.824608
-113.131271,0.832301
-114.130020,0.839742
-115.128899,0.847013
-116.160927,0.854907
-117.159798,0.862085
-118.158554,0.869521
-119.190704,0.877267
-120.189453,0.884806
-121.188255,0.892246
-122.220421,0.899851
-123.219162,0.907506
-124.218033,0.914785
-125.250061,0.922390
-126.248947,0.929913
-127.247688,0.937279
-128.279846,0.945010
-129.278656,0.952448
-130.277481,0.960017
-131.309555,0.967506
-132.308380,0.974985
-133.307190,0.982523
-134.339355,0.990238
-135.338089,0.997732
-136.336975,1.005078
-137.369003,1.012964
-138.367874,1.020322
-139.366684,1.028072
-140.398773,1.035722
-141.397583,1.043152
-142.396408,1.050497
-143.428497,1.058128
-144.427368,1.065544
-145.426117,1.073080
-146.458282,1.080988
-147.457077,1.088451
-148.455902,1.095988
-149.487991,1.103617
-150.486877,1.111129
-151.485611,1.118827
-152.517776,1.126434
-153.516525,1.134126
-154.515396,1.141376
-155.547485,1.149090
-156.546295,1.156524
-157.578400,1.164660
-158.577271,1.171915
-159.576004,1.179690
-160.608170,1.187361
-161.606918,1.194704
-162.605804,1.202549
-163.637894,1.210281
-164.636765,1.217717
-165.635513,1.225154
-166.667603,1.232945
-167.666428,1.240674
-168.665222,1.248127
-169.697372,1.255633
-170.696136,1.263328
-171.695007,1.271035
-172.727097,1.278897
-173.725922,1.286546
-174.724731,1.293933
-175.756882,1.301697
-176.755630,1.309583
-177.754501,1.317098
-178.786606,1.324786
-179.785477,1.332845
-180.784225,1.339990
-181.816376,1.348162
-182.815125,1.355471
-183.813995,1.363135
-184.846100,1.370933
-185.844971,1.378905
-186.843719,1.386086
-187.875870,1.394279
-188.874695,1.401656
-189.873505,1.407628
-190.905594,1.416705
-191.904465,1.419328
-192.903214,1.430995
-193.935364,1.419904
-194.934189,1.432808
-195.933060,1.413256
-196.965088,1.442670
-197.963959,1.466050
-198.962769,1.452782
-199.994934,1.506948
-200.993683,1.453866
-201.992554,1.450026
-203.024643,1.482153
-204.023468,1.519925
-205.022263,1.468236
-206.054428,1.493708
-207.053177,1.525639
-208.085403,1.500888
-209.084137,1.501908
-210.082886,1.514715
-211.115112,1.526854
