2,Mini Stock,baseline
Steering Wheel Angle,Yaw Rate
394.949005,3.005338
393.950256,3.019112
392.951538,3.166385
391.919495,3.164160
390.920715,3.153294
389.921997,3.135939
388.889893,3.115784
387.891144,3.104684
386.892426,3.098122
385.860382,3.100060
384.861633,3.092982
383.862885,3.078309
382.830811,3.074605
381.832031,3.067070
380.833282,3.054356
379.801239,3.051240
378.802521,3.035439
377.803772,3.034454
376.771698,3.020036
375.772919,3.016231
374.774170,3.002941
373.742157,2.998955
372.743378,2.986275
371.744659,2.981051
370.712555,2.969755
369.713837,2.960627
368.715057,2.953181
367.683044,2.941357
366.684296,2.934163
365.685516,2.921732
364.653442,2.911877
363.654724,2.905910
362.622681,2.891420
361.623901,2.881250
360.625153,2.873972
359.593109,2.857029
358.594330,2.849348
357.595612,2.845137
356.563568,2.830283
355.564758,2.818835
354.566010,2.811433
353.533997,2.803736
352.535248,2.790386
351.536469,2.784090
350.504425,2.783466
349.505646,2.761564
348.506927,2.760682
347.474854,2.750800
346.476105,2.745259
345.477325,2.731723
344.445282,2.730529
343.446533,2.719105
342.447784,2.713301
341.415710,2.702788
340.416962,2.694115
339.418213,2.686072
338.386139,2.675096
337.387360,2.669017
336.388641,2.658997
335.356598,2.650267
334.357849,2.637640
333.359039,2.634151
332.326996,2.623299
331.328247,2.614961
330.329498,2.604946
329.297424,2.597606
328.298645,2.588523
327.299927,2.579935
326.267853,2.569308
325.269073,2.562787
324.270355,2.553025
323.238281,2.544352
322.239502,2.534180
321.240784,2.527469
320.208710,2.517537
319.209961,2.509319
318.211212,2.500131
317.179138,2.491040
316.180359,2.483205
315.181641,2.474537
314.149536,2.462973
313.150787,2.456704
312.152069,2.443526
311.119995,2.438801
310.121185,2.425455
309.089172,2.420476
308.090393,2.413359
307.091644,2.403868
306.059570,2.394373
305.060852,2.386320
304.062042,2.376987
303.029999,2.368070
302.031219,2.359943
301.032471,2.348557
300.000427,2.341709
299.001678,2.328740
298.002899,2.324530
296.970825,2.315143
295.972076,2.308325
294.973328,2.297503
293.941254,2.290803
292.942474,2.281454
291.943726,2.272661
290.911652,2.262762
289.912903,2.254930
288.914154,2.245942
287.882080,2.237002
286.883301,2.228441
285.884552,2.220209
284.852478,2.210468
283.853729,2.202655
282.854980,2.193281
281.822876,2.184544
280.824127,2.176444
279.825317,2.165784
278.793304,2.152761
277.794556,2.150719
276.795776,2.141643
275.763702,2.133131
274.764984,2.123111
273.766174,2.116410
272.734131,2.104675
271.735382,2.098383
270.736603,2.088998
269.704529,2.079887
268.705780,2.072621
267.707001,2.063905
266.674927,2.055061
265.676178,2.045717
264.677399,2.037948
263.645355,2.028013
262.646576,2.020581
261.647827,2.010852
260.615753,2.001874
259.617004,1.995209
258.584900,1.984794
257.586182,1.977083
256.587372,1.967250
255.555344,1.954468
254.556549,1.951861
253.557785,1.937812
252.525742,1.933181
251.526947,1.925598
250.528183,1.917359
249.496140,1.908462
248.497330,1.896624
247.498581,1.891698
246.466522,1.882083
245.467773,1.874161
244.468964,1.864674
243.436951,1.856748
242.438156,1.847935
241.439392,1.839331
240.407318,1.830480
239.408585,1.822635
238.409760,1.813647
237.377716,1.804927
236.378922,1.797049
235.380157,1.786975
234.348114,1.780370
233.349335,1.771044
232.350586,1.762986
231.318527,1.754131
230.319733,1.744993
229.320969,1.736760
228.288895,1.726701
227.290115,1.714937
226.291382,1.711218
225.259277,1.700132
224.260529,1.690030
223.261749,1.685865
222.229706,1.676354
221.230927,1.668814
220.232147,1.660726
219.200073,1.651499
218.201324,1.643871
217.202515,1.634669
216.170486,1.626614
215.171677,1.616664
214.172928,1.609763
213.140839,1.598327
212.142090,1.590307
211.143280,1.583822
210.111252,1.572257
209.112442,1.567101
208.113693,1.555597
207.081604,1.549096
206.082840,1.541680
205.050766,1.533517
204.052017,1.521459
203.053238,1.515567
202.021164,1.508541
201.022385,1.499575
200.023605,1.491245
198.991516,1.482100
197.992783,1.472606
196.994003,1.467246
195.961929,1.457270
194.963150,1.448910
193.964371,1.438628
192.932281,1.432435
191.933533,1.424644
190.934753,1.415595
189.902695,1.407676
188.903946,1.398949
187.905136,1.391081
186.873108,1.381974
185.874298,1.374252
184.875549,1.365694
183.843445,1.357513
182.844696,1.348623
181.845901,1.340970
180.813843,1.331296
179.815063,1.323955
178.816269,1.314508
177.784180,1.302913
176.785431,1.298621
175.786636,1.288028
174.754608,1.278211
173.755783,1.273379
172.757034,1.264670
171.724945,1.253739
170.726196,1.249232
169.727371,1.236916
168.695328,1.230447
167.696548,1.224604
166.697769,1.214810
165.665665,1.208426
164.666916,1.200123
163.668106,1.191378
162.636078,1.183452
161.637283,1.174746
160.638535,1.166626
159.606430,1.158522
158.607651,1.149972
157.608841,1.141768
156.576813,1.132259
155.578003,1.122422
154.545944,1.116935
153.547165,1.107822
152.548386,1.101746
151.516296,1.092769
150.517532,1.084726
149.518738,1.076927
148.486664,1.068093
147.487885,1.060079
146.489105,1.051783
145.457016,1.042130
144.458267,1.036518
143.459503,1.025398
142.427399,1.018510
141.428650,1.011860
140.429840,1.003462
139.397781,0.995536
138.399002,0.984570
137.400223,0.978316
136.368118,0.969929
135.369385,0.959902
134.370560,0.954382
133.338501,0.946102
132.339691,0.937761
131.340958,0.930895
130.308853,0.921613
129.310074,0.913920
128.311264,0.907456
127.279228,0.898153
126.280426,0.891365
125.281647,0.883111
124.249550,0.874847
123.250801,0.867390
122.251991,0.856693
121.219940,0.850937
120.221115,0.841973
119.222366,0.832929
118.190239,0.826727
117.191505,0.819547
116.192688,0.810451
115.160629,0.803954
114.161819,0.794542
113.163063,0.785936
112.130974,0.780149
111.132202,0.772518
110.133385,0.764394
109.101326,0.758067
108.102509,0.748959
107.103767,0.742593
106.071671,0.734282
105.072891,0.726717
104.074081,0.718919
103.042015,0.711154
102.043213,0.703945
101.011185,0.696339
100.012398,0.689042
99.013596,0.681693
97.981529,0.673751
96.982719,0.666310
95.983971,0.658887
94.951881,0.651656
93.953102,0.643971
92.954285,0.637068
91.922226,0.628821
90.923409,0.622215
89.924667,0.615023
88.892548,0.607387
87.893791,0.600581
86.894981,0.593302
85.862923,0.585923
84.864113,0.579221
83.865334,0.572011
82.833237,0.564948
81.834457,0.557864
80.835648,0.551156
79.803581,0.544209
78.804771,0.537095
77.806030,0.530460
76.773903,0.523297
75.775154,0.516567
74.776337,0.509935
73.744286,0.503189
72.745476,0.496667
71.746696,0.490212
70.714600,0.482834
69.715820,0.475223
68.717003,0.468925
67.684944,0.461771
66.686142,0.455111
65.687355,0.447816
64.655266,0.441602
63.656487,0.435201
62.657673,0.428824
61.625610,0.422714
60.626797,0.416898
59.628021,0.412238
58.595932,0.406555
57.597145,0.401413
56.598400,0.396063
55.566277,0.390683
54.567528,0.385489
53.568687,0.380157
52.536625,0.374865
51.537811,0.369528
50.505753,0.364258
49.506939,0.359121
48.508160,0.353955
47.476070,0.348735
46.477287,0.343493
45.478477,0.338445
44.446415,0.332945
43.447601,0.328030
42.448826,0.322603
41.416702,0.317082
40.417953,0.312081
39.419140,0.306481
38.387077,0.301417
37.388233,0.296362
36.389488,0.290932
35.357365,0.285869
34.358585,0.280617
33.359772,0.275394
32.327709,0.270272
31.328901,0.264757
30.330120,0.259480
29.297997,0.254110
28.299248,0.248829
27.300406,0.243950
26.268345,0.238637
25.269531,0.233259
24.270754,0.228494
23.238661,0.222842
22.239880,0.217661
21.241070,0.212559
20.209009,0.206777
19.210163,0.201913
18.211416,0.196700
17.179293,0.191032
16.180511,0.186426
15.181702,0.181122
14.149640,0.175654
13.150796,0.170841
12.152049,0.165194
11.119988,0.160051
10.121144,0.154765
9.122396,0.149258
8.090272,0.144601
7.091493,0.139334
6.092681,0.133952
5.060620,0.124527
4.061809,0.118813
3.062997,0.113027
2.030904,0.105804
1.032093,0.099863
0.000000,0.093251
-0.998747,0.085726
-1.997624,0.079604
-3.029652,0.070029
-4.028464,0.065376
-5.027276,0.059153
-6.059368,0.052405
-7.058115,0.046790
-8.056992,0.041223
-9.089020,0.035388
-10.087896,0.029812
-11.086643,0.024303
-12.118735,0.018636
-13.117547,0.013225
-14.116360,0.007799
-15.148452,0.002012
-16.147263,0.003621
-17.146011,0.009233
-18.178169,0.015119
-19.176916,0.020557
-20.175728,0.026111
-21.207819,0.031844
-22.206633,0.037312
-23.205444,0.042798
-24.237535,0.048584
-25.236284,0.053914
-26.235159,0.059601
-27.267187,0.065389
-28.266064,0.070802
-29.264811,0.076321
-30.296968,0.082026
-31.295717,0.087454
-32.294464,0.093045
-33.326618,0.098748
-34.325367,0.104254
-35.324245,0.109708
-36.356274,0.115440
-37.355083,0.120952
-38.353897,0.126434
-39.385986,0.132300
-40.384800,0.140950
-41.383614,0.149359
-42.415703,0.158336
-43.414516,0.170537
-44.413265,0.177992
-45.445419,0.187910
-46.444168,0.197535
-47.443043,0.204347
-48.475071,0.211862
-49.473949,0.221553
-50.472694,0.229873
-51.504852,0.236882
-52.503601,0.244944
-53.535759,0.254171
-54.534504,0.260944
-55.533318,0.268936
-56.565411,0.278318
-57.564224,0.285523
-58.563034,0.293158
-59.595127,0.301998
-60.593937,0.310839
-61.592751,0.317632
-62.624840,0.325601
-63.623653,0.335278
-64.622467,0.341964
-65.654556,0.348581
-66.653366,0.358856
-67.652184,0.367246
-68.684273,0.374075
-69.683090,0.381681
-70.681831,0.390096
-71.713989,0.400517
-72.712738,0.407130
-73.711617,0.413866
-74.743645,0.422555
-75.742516,0.430782
-76.741264,0.442140
-77.773361,0.448103
-78.772171,0.456530
-79.770981,0.467346
-80.803070,0.477679
-81.801888,0.484977
-82.800697,0.492343
-83.832787,0.502991
-84.831604,0.511417
-85.830414,0.518266
-86.862572,0.528312
-87.861313,0.537196
-88.860130,0.543191
-89.892227,0.553155
-90.891098,0.561988
-91.889847,0.568096
-92.921997,0.577335
-93.920753,0.586315
-94.919624,0.592523
-95.951653,0.602413
-96.950531,0.611155
-97.949280,0.617319
-98.981438,0.626859
-99.980179,0.635616
