2,Modified - SK,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.865921
271.735382,1.865887
270.736603,1.876020
269.704529,1.887947
268.705780,1.880702
267.707001,1.872304
266.674927,1.863612
265.676178,1.855243
264.677399,1.838966
263.645355,1.832503
262.646576,1.827597
261.647827,1.817640
260.615753,1.810475
259.617004,1.803021
258.584900,1.794102
257.586182,1.787027
256.587372,1.778383
255.555344,1.770154
254.556549,1.762245
253.557785,1.754542
252.525742,1.746772
251.526947,1.738965
250.528183,1.731223
249.496140,1.723264
248.497330,1.715030
247.498581,1.706913
246.466522,1.699036
245.467773,1.691541
244.468964,1.683298
243.436951,1.675053
242.438156,1.667130
241.439392,1.660105
240.407318,1.651568
239.408585,1.643862
238.409760,1.636641
237.377716,1.627788
236.378922,1.620505
235.380157,1.612569
234.348114,1.604918
233.349335,1.596276
232.350586,1.588570
231.318527,1.581309
230.319733,1.573523
229.320969,1.564885
228.288895,1.556865
227.290115,1.550110
226.291382,1.541411
225.259277,1.533626
224.260529,1.525363
223.261749,1.517924
222.229706,1.510086
221.230927,1.502174
220.232147,1.494356
219.200073,1.486758
218.201324,1.478591
217.202515,1.471158
216.170486,1.463728
215.171677,1.455419
214.172928,1.447903
213.140839,1.439841
212.142090,1.432115
211.143280,1.425094
210.111252,1.416373
209.112442,1.408780
208.113693,1.401289
207.081604,1.393379
206.082840,1.386459
205.050766,1.377840
204.052017,1.370477
203.053238,1.362976
202.021164,1.355029
201.022385,1.347943
200.023605,1.339959
198.991516,1.332264
197.992783,1.324867
196.994003,1.317580
195.961929,1.309258
194.963150,1.301864
193.964371,1.294659
192.932281,1.286490
191.933533,1.279850
190.934753,1.271675
189.902695,1.264197
188.903946,1.257258
187.905136,1.249556
186.873108,1.241900
185.874298,1.235157
184.875549,1.227371
183.843445,1.219946
182.844696,1.212566
181.845901,1.205124
180.813843,1.197642
179.815063,1.190017
178.816269,1.183249
177.784180,1.175218
176.785431,1.168626
175.786636,1.161161
174.754608,1.153496
173.755783,1.146579
172.757034,1.138921
171.724945,1.131506
170.726196,1.124271
169.727371,1.117876
168.695328,1.109887
167.696548,1.103447
166.697769,1.095943
165.665665,1.088773
164.666916,1.081939
163.668106,1.074542
162.636078,1.067208
161.637283,1.060390
160.638535,1.053550
159.606430,1.046530
158.607651,1.039116
157.608841,1.032733
156.576813,1.025233
155.578003,1.018331
154.545944,1.011737
153.547165,1.004654
152.548386,0.997958
