2,Modified - Tour,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.842162
271.735382,1.841240
270.736603,1.853057
269.704529,1.858113
268.705780,1.857456
267.707001,1.846568
266.674927,1.837958
265.676178,1.829662
264.677399,1.821343
263.645355,1.806610
262.646576,1.803193
261.647827,1.794275
260.615753,1.786303
259.617004,1.778405
258.584900,1.770175
257.586182,1.762161
256.587372,1.755195
255.555344,1.747115
254.556549,1.739157
253.557785,1.731820
252.525742,1.724064
251.526947,1.715549
250.528183,1.708069
249.496140,1.700593
248.497330,1.692675
247.498581,1.684924
246.466522,1.677449
245.467773,1.670353
244.468964,1.662135
243.436951,1.653204
242.438156,1.645200
241.439392,1.637942
240.407318,1.630100
239.408585,1.621692
238.409760,1.614183
237.377716,1.606120
236.378922,1.599037
235.380157,1.591239
234.348114,1.582770
233.349335,1.575082
232.350586,1.567675
231.318527,1.559970
230.319733,1.551906
229.320969,1.544692
228.288895,1.537164
227.290115,1.528639
226.291382,1.521308
225.259277,1.513154
224.260529,1.506249
223.261749,1.498304
222.229706,1.489808
221.230927,1.482718
220.232147,1.474851
219.200073,1.467571
218.201324,1.459982
217.202515,1.451247
216.170486,1.444281
215.171677,1.436264
214.172928,1.428246
213.140839,1.421335
212.142090,1.413698
211.143280,1.405759
210.111252,1.398340
209.112442,1.391014
208.113693,1.383513
207.081604,1.375023
206.082840,1.368481
205.050766,1.359861
204.052017,1.352957
203.053238,1.345207
202.021164,1.337921
201.022385,1.330892
200.023605,1.322215
198.991516,1.314913
197.992783,1.308168
196.994003,1.300092
195.961929,1.292543
194.963150,1.285390
193.964371,1.277882
192.932281,1.270239
191.933533,1.262875
190.934753,1.256011
189.902695,1.248163
188.903946,1.240844
187.905136,1.234118
186.873108,1.226238
185.874298,1.219657
184.875549,1.211603
183.843445,1.204658
182.844696,1.197539
181.845901,1.189738
180.813843,1.182977
179.815063,1.175324
178.816269,1.168465
177.784180,1.160897
176.785431,1.153845
175.786636,1.147441
174.754608,1.139505
173.755783,1.132802
172.757034,1.125233
171.724945,1.118572
170.726196,1.111087
169.727371,1.104278
168.695328,1.097320
167.696548,1.090240
166.697769,1.083551
165.665665,1.075927
164.666916,1.069743
163.668106,1.062279
162.636078,1.055698
161.637283,1.048460
160.638535,1.041830
159.606430,1.034882
158.607651,1.027942
157.608841,1.021691
156.576813,1.014263
155.578003,1.007887
154.545944,0.999034
153.547165,0.991719
152.548386,0.984238
151.516296,0.975665
150.517532,0.969350
149.518738,0.963046
148.486664,0.954857
147.487885,0.948225
146.489105,0.941128
145.457016,0.934521
144.458267,0.927037
143.459503,0.920157
142.427399,0.912160
141.428650,0.904962
140.429840,0.898224
139.397781,0.891648
138.399002,0.884660
137.400223,0.876843
136.368118,0.869632
135.369385,0.862629
134.370560,0.854600
133.338501,0.847166
132.339691,0.839693
131.340958,0.834052
130.308853,0.827964
129.310074,0.808330
128.311264,0.798307
127.279228,0.793023
126.280426,0.788130
125.281647,0.782755
124.249550,0.777307
123.250801,0.772718
122.251991,0.767933
121.219940,0.762986
120.221115,0.758102
119.222366,0.753239
118.190239,0.748330
117.191505,0.743391
116.192688,0.738443
115.160629,0.733488
114.161819,0.728646
113.163063,0.723798
112.130974,0.718801
111.132202,0.713936
110.133385,0.709068
109.101326,0.704058
108.102509,0.699127
107.103767,0.694291
106.071671,0.689283
105.072891,0.684423
104.074081,0.679515
103.042015,0.674545
102.043213,0.669628
101.011185,0.664650
100.012398,0.659797
99.013596,0.654927
97.981529,0.649758
96.982719,0.644992
95.983971,0.640138
94.951881,0.635221
93.953102,0.630212
92.954285,0.625465
91.922226,0.620301
90.923409,0.615522
89.924667,0.610698
88.892548,0.605679
87.893791,0.600711
86.894981,0.595788
85.862923,0.590742
84.864113,0.585924
83.865334,0.581134
82.833237,0.576159
81.834457,0.571111
80.835648,0.566380
79.803581,0.561218
78.804771,0.556322
77.806030,0.551516
76.773903,0.546445
75.775154,0.541561
74.776337,0.536706
73.744286,0.531637
72.745476,0.526812
71.746696,0.521857
70.714600,0.516919
69.715820,0.511846
68.717003,0.506974
67.684944,0.501937
66.686142,0.497033
65.687355,0.492229
64.655266,0.487183
63.656487,0.482129
62.657673,0.477260
61.625610,0.472162
60.626797,0.467252
59.628021,0.462509
58.595932,0.457324
57.597145,0.452384
56.598400,0.447457
55.566277,0.442353
54.567528,0.437655
53.568687,0.432627
52.536625,0.427549
51.537811,0.422644
50.505753,0.417670
49.506939,0.412799
48.508160,0.407937
47.476070,0.402927
46.477287,0.398029
45.478477,0.393020
44.446415,0.388124
43.447601,0.383273
42.448826,0.378195
41.416702,0.373342
40.417953,0.368470
39.419140,0.363685
38.387077,0.358585
37.388233,0.353690
36.389488,0.348843
35.357365,0.343997
34.358585,0.339032
33.359772,0.334236
32.327709,0.329246
31.328901,0.324330
30.330120,0.319455
29.297997,0.314532
28.299248,0.309603
27.300406,0.304751
26.268345,0.299755
25.269531,0.294996
24.270754,0.290235
23.238661,0.285157
22.239880,0.280347
21.241070,0.275497
20.209009,0.270496
19.210163,0.265709
18.211416,0.260922
17.179293,0.255889
16.180511,0.251079
15.181702,0.246204
14.149640,0.241335
13.150796,0.236460
12.152049,0.231550
11.119988,0.226598
10.121144,0.221913
9.122396,0.216962
8.090272,0.212027
7.091493,0.207216
6.092681,0.202456
5.060620,0.197515
4.061809,0.192668
3.062997,0.187915
2.030904,0.182906
1.032093,0.178063
0.000000,0.173185
-0.998747,0.168320
-1.997624,0.163580
-3.029652,0.158503
-4.028464,0.153735
-5.027276,0.148897
-6.059368,0.144028
-7.058115,0.139241
-8.056992,0.134410
-9.089020,0.129446
-10.087896,0.124665
-11.086643,0.119909
-12.118735,0.114891
-13.117547,0.108094
-14.116360,0.103911
-15.148452,0.098974
-16.147263,0.094115
-17.146011,0.089191
-18.178169,0.084190
-19.176916,0.079396
-20.175728,0.074413
-21.207819,0.069482
-22.206633,0.038989
-23.205444,0.029785
-24.237535,0.023599
-25.236284,0.016068
-26.235159,0.009463
-27.267187,0.001725
-28.266064,0.005176
-29.264811,0.012518
-30.296968,0.018701
-31.295717,0.024873
-32.294464,0.032436
-33.326618,0.039631
-34.325367,0.047760
-35.324245,0.054588
-36.356274,0.061038
-37.355083,0.068193
-38.353897,0.075453
-39.385986,0.083192
-40.384800,0.090528
-41.383614,0.097663
-42.415703,0.104343
-43.414516,0.112548
-44.413265,0.118900
-45.445419,0.129441
-46.444168,0.135835
-47.443043,0.141885
-48.475071,0.148646
-49.473949,0.155221
-50.472694,0.162150
-51.504852,0.169365
-52.503601,0.176116
-53.535759,0.183263
-54.534504,0.189988
-55.533318,0.196967
-56.565411,0.204156
-57.564224,0.211472
-58.563034,0.217991
-59.595127,0.225583
-60.593937,0.232324
-61.592751,0.239663
-62.624840,0.246892
-63.623653,0.253808
-64.622467,0.261120
-65.654556,0.268418
-66.653366,0.275610
-67.652184,0.282939
-68.684273,0.290306
-69.683090,0.297950
-70.681831,0.304699
-71.713989,0.312181
-72.712738,0.319846
-73.711617,0.326932
-74.743645,0.334505
-75.742516,0.341922
-76.741264,0.349232
-77.773361,0.357142
-78.772171,0.364439
-79.770981,0.371858
-80.803070,0.379549
-81.801888,0.386906
-82.800697,0.394670
-83.832787,0.402303
-84.831604,0.409690
-85.830414,0.417466
-86.862572,0.425660
-87.861313,0.432877
-88.860130,0.440491
-89.892227,0.448535
-90.891098,0.455801
-91.889847,0.463658
-92.921997,0.471885
-93.920753,0.479063
-94.919624,0.486991
-95.951653,0.494705
-96.950531,0.502302
-97.949280,0.510032
-98.981438,0.518012
-99.980179,0.525772
-100.979065,0.533595
-102.011093,0.541584
-103.009964,0.549372
-104.008705,0.557480
-105.040863,0.565452
-106.039619,0.573344
