2,NASCAR Chevrolet Camaro ZL1,watkinsglen
Steering Wheel Angle,Yaw Rate
356.563568,2.110860
355.564758,2.114721
354.566010,2.139927
353.533997,2.139495
352.535248,2.132757
351.536469,2.126735
350.504425,2.119265
349.505646,2.110141
348.506927,2.099651
347.474854,2.088849
346.476105,2.083492
345.477325,2.077185
344.445282,2.070566
343.446533,2.068902
342.447784,2.065421
341.415710,2.058442
340.416962,2.052247
339.418213,2.043873
338.386139,2.039058
337.387360,2.033323
336.388641,2.026269
335.356598,2.019999
334.357849,2.014761
333.359039,2.007868
332.326996,2.002129
331.328247,1.996330
330.329498,1.989491
329.297424,1.982697
328.298645,1.976567
327.299927,1.971297
326.267853,1.964384
325.269073,1.958070
324.270355,1.952539
323.238281,1.945853
322.239502,1.939604
321.240784,1.933869
320.208710,1.928133
319.209961,1.921758
318.211212,1.915638
317.179138,1.909079
316.180359,1.903491
315.181641,1.897067
314.149536,1.890466
313.150787,1.884433
312.152069,1.878832
311.119995,1.872880
310.121185,1.866065
309.089172,1.859355
308.090393,1.853230
307.091644,1.847624
306.059570,1.841887
305.060852,1.835701
304.062042,1.829584
303.029999,1.823221
302.031219,1.816718
301.032471,1.810641
300.000427,1.804313
299.001678,1.798164
298.002899,1.792392
296.970825,1.786166
295.972076,1.780546
294.973328,1.773744
293.941254,1.767611
292.942474,1.761181
291.943726,1.755513
290.911652,1.748765
289.912903,1.743025
288.914154,1.736859
287.882080,1.730987
286.883301,1.724805
285.884552,1.718271
284.852478,1.711669
283.853729,1.705599
282.854980,1.699822
281.822876,1.694010
280.824127,1.687568
279.825317,1.681028
278.793304,1.674405
277.794556,1.669346
276.795776,1.664005
275.763702,1.657080
274.764984,1.651474
273.766174,1.645375
272.734131,1.639203
271.735382,1.633060
270.736603,1.626624
269.704529,1.620381
268.705780,1.614525
267.707001,1.608204
266.674927,1.602091
265.676178,1.596195
264.677399,1.590262
263.645355,1.583998
262.646576,1.577768
261.647827,1.571326
260.615753,1.565160
259.617004,1.559206
258.584900,1.553060
257.586182,1.546732
256.587372,1.540405
255.555344,1.534701
254.556549,1.528429
253.557785,1.522284
252.525742,1.515904
251.526947,1.509908
250.528183,1.504307
249.496140,1.498218
248.497330,1.492123
247.498581,1.486081
246.466522,1.479716
245.467773,1.473680
244.468964,1.467585
243.436951,1.461201
242.438156,1.454734
241.439392,1.448604
240.407318,1.442564
239.408585,1.436329
238.409760,1.430108
237.377716,1.424654
236.378922,1.419009
235.380157,1.412299
234.348114,1.406608
233.349335,1.400278
232.350586,1.394658
231.318527,1.388046
230.319733,1.382211
229.320969,1.375677
228.288895,1.369009
227.290115,1.362865
226.291382,1.356885
225.259277,1.350851
224.260529,1.344926
223.261749,1.339074
222.229706,1.333207
221.230927,1.327265
220.232147,1.320546
219.200073,1.314392
218.201324,1.308275
217.202515,1.302150
216.170486,1.295870
215.171677,1.290199
214.172928,1.284407
213.140839,1.278571
212.142090,1.272545
211.143280,1.266339
210.111252,1.260117
209.112442,1.253988
208.113693,1.247564
207.081604,1.241135
206.082840,1.235236
205.050766,1.228953
204.052017,1.222944
203.053238,1.216947
202.021164,1.210817
201.022385,1.204960
200.023605,1.199319
198.991516,1.193462
197.992783,1.187312
196.994003,1.180870
195.961929,1.174315
194.963150,1.168236
193.964371,1.162511
192.932281,1.156677
191.933533,1.150714
190.934753,1.144517
189.902695,1.138206
188.903946,1.132439
187.905136,1.126220
186.873108,1.120077
185.874298,1.113768
184.875549,1.107556
183.843445,1.101424
182.844696,1.095532
181.845901,1.089542
180.813843,1.083574
179.815063,1.077590
178.816269,1.071263
177.784180,1.065063
176.785431,1.058933
175.786636,1.053070
174.754608,1.047187
173.755783,1.041140
172.757034,1.034991
171.724945,1.029047
170.726196,1.023217
169.727371,1.017055
168.695328,1.010899
167.696548,1.004794
166.697769,0.998783
165.665665,0.992189
164.666916,0.986201
163.668106,0.980700
162.636078,0.974165
161.637283,0.968116
160.638535,0.962160
159.606430,0.955898
158.607651,0.949693
157.608841,0.943577
156.576813,0.938018
155.578003,0.931850
154.545944,0.925576
153.547165,0.919387
152.548386,0.913298
151.516296,0.907247
150.517532,0.901496
149.518738,0.895479
148.486664,0.889149
147.487885,0.882992
146.489105,0.877182
145.457016,0.870792
144.458267,0.864498
143.459503,0.858781
142.427399,0.852374
141.428650,0.846850
140.429840,0.840602
139.397781,0.834290
138.399002,0.828404
137.400223,0.822699
136.368118,0.816277
135.369385,0.810530
134.370560,0.804357
133.338501,0.797792
132.339691,0.791800
131.340958,0.785930
130.308853,0.779500
129.310074,0.773535
128.311264,0.767364
127.279228,0.761578
126.280426,0.755428
125.281647,0.749651
124.249550,0.743309
123.250801,0.737150
122.251991,0.731453
121.219940,0.725246
120.221115,0.719150
119.222366,0.713004
118.190239,0.706976
117.191505,0.701120
116.192688,0.694978
115.160629,0.688598
114.161819,0.682764
113.163063,0.677124
112.130974,0.670557
111.132202,0.664437
110.133385,0.658679
109.101326,0.652467
108.102509,0.646617
107.103767,0.640293
106.071671,0.634138
105.072891,0.628439
104.074081,0.622719
103.042015,0.616376
102.043213,0.610368
101.011185,0.603821
100.012398,0.597701
99.013596,0.591801
97.981529,0.585728
96.982719,0.580012
95.983971,0.573726
94.951881,0.567643
93.953102,0.561783
92.954285,0.555781
91.922226,0.549657
90.923409,0.543511
89.924667,0.537730
88.892548,0.531638
87.893791,0.525385
86.894981,0.519398
85.862923,0.513036
84.864113,0.507206
83.865334,0.501163
82.833237,0.495022
81.834457,0.489550
80.835648,0.483400
79.803581,0.477214
78.804771,0.470747
77.806030,0.464996
76.773903,0.459016
75.775154,0.453071
74.776337,0.446780
73.744286,0.440278
72.745476,0.434563
71.746696,0.428915
70.714600,0.422694
69.715820,0.416370
68.717003,0.410593
67.684944,0.404466
66.686142,0.398308
65.687355,0.392287
64.655266,0.386205
63.656487,0.380008
62.657673,0.374200
61.625610,0.368176
60.626797,0.362217
59.628021,0.356056
58.595932,0.349584
57.597145,0.344101
56.598400,0.338075
55.566277,0.331869
54.567528,0.325786
53.568687,0.319880
52.536625,0.313564
51.537811,0.307783
50.505753,0.301442
49.506939,0.295380
48.508160,0.289620
47.476070,0.283246
46.477287,0.277289
45.478477,0.271558
44.446415,0.265170
43.447601,0.259279
42.448826,0.253454
41.416702,0.247099
40.417953,0.241260
39.419140,0.235624
38.387077,0.229208
37.388233,0.223046
36.389488,0.216887
35.357365,0.210815
34.358585,0.204821
33.359772,0.198876
32.327709,0.192894
31.328901,0.186706
30.330120,0.180939
29.297997,0.174555
28.299248,0.168646
27.300406,0.162792
26.268345,0.156626
25.269531,0.150501
24.270754,0.144532
23.238661,0.138607
22.239880,0.132682
21.241070,0.126468
20.209009,0.120157
19.210163,0.114392
18.211416,0.108276
17.179293,0.102338
16.180511,0.096095
15.181702,0.090368
14.149640,0.084293
13.150796,0.078058
12.152049,0.072097
11.119988,0.066060
10.121144,0.060034
9.122396,0.053901
8.090272,0.048009
7.091493,0.041950
6.092681,0.035993
5.060620,0.029720
4.061809,0.024027
3.062997,0.018448
2.030904,0.014225
1.032093,0.010169
0.000000,0.005928
-0.998747,0.001210
-1.997624,0.006249
-3.029652,0.012673
-4.028464,0.018561
-5.027276,0.024599
-6.059368,0.030575
-7.058115,0.036673
-8.056992,0.042457
-9.089020,0.048938
-10.087896,0.054914
-11.086643,0.060802
-12.118735,0.067081
-13.117547,0.072824
-14.116360,0.078926
-15.148452,0.084954
-16.147263,0.091187
-17.146011,0.097000
-18.178169,0.103342
-19.176916,0.109066
-20.175728,0.115285
-21.207819,0.121193
-22.206633,0.127167
-23.205444,0.133246
-24.237535,0.139237
-25.236284,0.145348
-26.235159,0.151308
-27.267187,0.157617
-28.266064,0.163313
-29.264811,0.169356
-30.296968,0.175298
-31.295717,0.181346
-32.294464,0.187627
-33.326618,0.193651
-34.325367,0.199682
-35.324245,0.205683
-36.356274,0.211933
-37.355083,0.218001
-38.353897,0.223937
-39.385986,0.230024
-40.384800,0.235811
-41.383614,0.241713
-42.415703,0.248151
-43.414516,0.253925
-44.413265,0.259685
-45.445419,0.266335
-46.444168,0.272339
-47.443043,0.277942
-48.475071,0.284417
-49.473949,0.290441
-50.472694,0.296259
-51.504852,0.302436
-52.503601,0.308216
-53.535759,0.314586
-54.534504,0.320365
-55.533318,0.326301
-56.565411,0.332808
-57.564224,0.338887
-58.563034,0.344633
-59.595127,0.350656
-60.593937,0.356663
-61.592751,0.362557
-62.624840,0.368715
-63.623653,0.374608
