2,NASCAR Ford Mustang,watkinsglen
Steering Wheel Angle,Yaw Rate
356.563568,2.112406
355.564758,2.116303
354.566010,2.137095
353.533997,2.139523
352.535248,2.132774
351.536469,2.126747
350.504425,2.119399
349.505646,2.110382
348.506927,2.099959
347.474854,2.088442
346.476105,2.083253
345.477325,2.076907
344.445282,2.070243
343.446533,2.069431
342.447784,2.065583
341.415710,2.058727
340.416962,2.052540
339.418213,2.044142
338.386139,2.039678
337.387360,2.033206
336.388641,2.027070
335.356598,2.020241
334.357849,2.013603
333.359039,2.007371
332.326996,2.002127
331.328247,1.996472
330.329498,1.990321
329.297424,1.983629
328.298645,1.976999
327.299927,1.970687
326.267853,1.964391
325.269073,1.959058
324.270355,1.952770
323.238281,1.946499
322.239502,1.940153
321.240784,1.933530
320.208710,1.927094
319.209961,1.921777
318.211212,1.915224
317.179138,1.908584
316.180359,1.903411
315.181641,1.897303
314.149536,1.890551
313.150787,1.884031
312.152069,1.878615
311.119995,1.872672
310.121185,1.865941
309.089172,1.859961
308.090393,1.853929
307.091644,1.847145
306.059570,1.840505
305.060852,1.834936
304.062042,1.829220
303.029999,1.823111
302.031219,1.817138
301.032471,1.811031
300.000427,1.804261
299.001678,1.798147
298.002899,1.792113
296.970825,1.785863
295.972076,1.780193
294.973328,1.774076
293.941254,1.767276
292.942474,1.761576
291.943726,1.755435
290.911652,1.748538
289.912903,1.742645
288.914154,1.737174
287.882080,1.730934
286.883301,1.724769
285.884552,1.718234
284.852478,1.711839
283.853729,1.705855
282.854980,1.700167
281.822876,1.693505
280.824127,1.687582
279.825317,1.681635
278.793304,1.675613
277.794556,1.669653
276.795776,1.663596
275.763702,1.656994
274.764984,1.651014
273.766174,1.644362
272.734131,1.638477
271.735382,1.632865
270.736603,1.626611
269.704529,1.620635
268.705780,1.614707
267.707001,1.608023
266.674927,1.601240
265.676178,1.595651
264.677399,1.589560
263.645355,1.583315
262.646576,1.577181
261.647827,1.571729
260.615753,1.565540
259.617004,1.558881
258.584900,1.552261
257.586182,1.546401
256.587372,1.540779
255.555344,1.534068
254.556549,1.528186
253.557785,1.522404
252.525742,1.515930
251.526947,1.509868
250.528183,1.503727
249.496140,1.497466
248.497330,1.491931
247.498581,1.485819
246.466522,1.478951
245.467773,1.472963
244.468964,1.467080
243.436951,1.460804
242.438156,1.454570
241.439392,1.448356
240.407318,1.442424
239.408585,1.437228
238.409760,1.431157
237.377716,1.424555
236.378922,1.418569
235.380157,1.412814
234.348114,1.406471
233.349335,1.400136
232.350586,1.394127
231.318527,1.388184
230.319733,1.382360
229.320969,1.375642
228.288895,1.369537
227.290115,1.363465
226.291382,1.357113
225.259277,1.351165
224.260529,1.345476
223.261749,1.339175
222.229706,1.332939
221.230927,1.327222
220.232147,1.320991
219.200073,1.314590
218.201324,1.308617
217.202515,1.302541
216.170486,1.296244
215.171677,1.290283
214.172928,1.284140
213.140839,1.278134
212.142090,1.271877
211.143280,1.265803
210.111252,1.259400
209.112442,1.253287
208.113693,1.247825
207.081604,1.241804
206.082840,1.236069
205.050766,1.229544
204.052017,1.223591
203.053238,1.217085
202.021164,1.210919
201.022385,1.205058
200.023605,1.199324
198.991516,1.193206
197.992783,1.187273
196.994003,1.181203
195.961929,1.174791
194.963150,1.168793
193.964371,1.162500
192.932281,1.156453
191.933533,1.150742
190.934753,1.144351
189.902695,1.138162
188.903946,1.132007
187.905136,1.125994
186.873108,1.119838
185.874298,1.113634
184.875549,1.107461
183.843445,1.101439
182.844696,1.095435
181.845901,1.089588
180.813843,1.083125
179.815063,1.076903
178.816269,1.071091
177.784180,1.064892
176.785431,1.058950
175.786636,1.052982
174.754608,1.046601
173.755783,1.040940
172.757034,1.034884
171.724945,1.028322
170.726196,1.022193
169.727371,1.016493
168.695328,1.010571
167.696548,1.004267
166.697769,0.998500
165.665665,0.992318
164.666916,0.986531
163.668106,0.980844
162.636078,0.974310
161.637283,0.967979
160.638535,0.961847
159.606430,0.955857
158.607651,0.949740
157.608841,0.943865
156.576813,0.937477
155.578003,0.931476
154.545944,0.925013
153.547165,0.918992
152.548386,0.913078
151.516296,0.907131
150.517532,0.901367
149.518738,0.895154
148.486664,0.888814
147.487885,0.882781
146.489105,0.876822
145.457016,0.870794
144.458267,0.864904
143.459503,0.858832
142.427399,0.852257
141.428650,0.846342
