2,NASCAR Toyota Camry,watkinsglen
Steering Wheel Angle,Yaw Rate
356.563568,2.110829
355.564758,2.114688
354.566010,2.139874
353.533997,2.139542
352.535248,2.132751
351.536469,2.126682
350.504425,2.119226
349.505646,2.110121
348.506927,2.099609
347.474854,2.088848
346.476105,2.083449
345.477325,2.077179
344.445282,2.070542
343.446533,2.069119
342.447784,2.065306
341.415710,2.058434
340.416962,2.052237
339.418213,2.043812
338.386139,2.039813
337.387360,2.033364
336.388641,2.026773
335.356598,2.020537
334.357849,2.014413
333.359039,2.008885
332.326996,2.002093
331.328247,1.995636
330.329498,1.989557
329.297424,1.982922
328.298645,1.977463
327.299927,1.971505
326.267853,1.964815
325.269073,1.959175
324.270355,1.952979
323.238281,1.947030
322.239502,1.940885
321.240784,1.934193
320.208710,1.927821
319.209961,1.921365
318.211212,1.914889
317.179138,1.909179
316.180359,1.903746
315.181641,1.897152
314.149536,1.890477
313.150787,1.884410
312.152069,1.877628
311.119995,1.872164
310.121185,1.866018
309.089172,1.859470
308.090393,1.853554
307.091644,1.847371
306.059570,1.840999
305.060852,1.834823
304.062042,1.828719
303.029999,1.822487
302.031219,1.817012
301.032471,1.811402
300.000427,1.804429
299.001678,1.798396
298.002899,1.792080
296.970825,1.785238
295.972076,1.779968
294.973328,1.773525
293.941254,1.766814
292.942474,1.760650
291.943726,1.755219
290.911652,1.749210
289.912903,1.742860
288.914154,1.736699
287.882080,1.730078
286.883301,1.724443
285.884552,1.718582
284.852478,1.712090
283.853729,1.705723
282.854980,1.699643
281.822876,1.693856
280.824127,1.687981
279.825317,1.681866
278.793304,1.675675
277.794556,1.669632
276.795776,1.663579
275.763702,1.656707
274.764984,1.650872
273.766174,1.644690
272.734131,1.638391
271.735382,1.632828
270.736603,1.626764
269.704529,1.620184
268.705780,1.614137
267.707001,1.607921
266.674927,1.602262
265.676178,1.595791
264.677399,1.590324
263.645355,1.583582
262.646576,1.577270
261.647827,1.570956
260.615753,1.565196
259.617004,1.559072
258.584900,1.552778
257.586182,1.546760
256.587372,1.540993
255.555344,1.534561
254.556549,1.528661
253.557785,1.522230
252.525742,1.515787
251.526947,1.509921
250.528183,1.503522
