2,Nissan GTP ZX-T,baseline
Steering Wheel Angle,Yaw Rate
325.269073,2.218594
324.270355,2.217673
323.238281,2.226571
322.239502,2.231513
321.240784,2.226579
320.208710,2.220372
319.209961,2.213532
318.211212,2.205693
317.179138,2.197458
316.180359,2.190466
315.181641,2.183236
314.149536,2.175822
313.150787,2.168954
312.152069,2.162684
311.119995,2.155262
310.121185,2.148107
309.089172,2.140519
308.090393,2.133571
307.091644,2.126088
306.059570,2.118861
305.060852,2.111632
304.062042,2.104591
303.029999,2.097066
302.031219,2.090141
301.032471,2.082969
300.000427,2.075643
299.001678,2.068587
298.002899,2.061442
296.970825,2.053965
295.972076,2.047125
294.973328,2.039885
293.941254,2.032591
292.942474,2.025452
291.943726,2.018395
290.911652,2.011183
289.912903,2.003873
288.914154,1.996902
287.882080,1.989711
286.883301,1.982450
285.884552,1.975394
284.852478,1.968151
283.853729,1.961116
282.854980,1.954021
281.822876,1.946564
280.824127,1.939706
279.825317,1.932530
278.793304,1.925293
277.794556,1.917976
276.795776,1.911241
275.763702,1.903676
274.764984,1.896819
273.766174,1.889630
272.734131,1.882325
271.735382,1.875369
270.736603,1.868296
269.704529,1.860964
268.705780,1.853869
267.707001,1.846977
266.674927,1.839635
265.676178,1.832237
264.677399,1.825410
263.645355,1.818226
262.646576,1.811270
261.647827,1.804143
260.615753,1.796878
259.617004,1.790136
258.584900,1.782379
257.586182,1.775506
256.587372,1.768524
255.555344,1.761260
254.556549,1.754167
253.557785,1.747188
252.525742,1.739961
251.526947,1.732928
250.528183,1.725832
249.496140,1.718705
248.497330,1.711599
247.498581,1.704628
246.466522,1.697362
245.467773,1.690385
244.468964,1.683308
243.436951,1.676150
242.438156,1.669092
241.439392,1.662011
240.407318,1.654906
239.408585,1.647879
238.409760,1.640697
237.377716,1.633647
236.378922,1.626624
235.380157,1.619586
234.348114,1.612278
233.349335,1.605404
232.350586,1.598359
231.318527,1.591085
230.319733,1.584211
229.320969,1.577174
228.288895,1.569944
227.290115,1.562980
226.291382,1.555935
225.259277,1.548783
224.260529,1.541760
223.261749,1.534858
222.229706,1.527513
221.230927,1.520621
220.232147,1.513674
219.200073,1.506389
218.201324,1.499534
217.202515,1.492519
216.170486,1.485279
215.171677,1.478535
214.172928,1.471438
213.140839,1.464161
212.142090,1.457254
211.143280,1.450266
210.111252,1.442969
209.112442,1.435980
208.113693,1.429135
207.081604,1.421913
206.082840,1.415002
205.050766,1.407856
204.052017,1.400956
203.053238,1.393878
202.021164,1.386681
201.022385,1.379810
200.023605,1.372786
198.991516,1.365669
197.992783,1.358713
196.994003,1.351625
195.961929,1.344544
194.963150,1.337596
193.964371,1.330650
192.932281,1.323341
191.933533,1.316592
190.934753,1.309459
189.902695,1.302513
188.903946,1.295472
187.905136,1.288630
186.873108,1.281437
185.874298,1.274524
184.875549,1.267561
183.843445,1.260373
182.844696,1.253499
181.845901,1.246598
