2,Outlaw Non-Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
123.250801,7.288230
122.251991,7.182765
121.219940,7.050231
120.221115,6.897366
119.222366,6.762945
118.190239,6.699400
117.191505,6.695079
116.192688,6.741038
115.160629,6.768139
114.161819,6.710186
113.163063,6.618053
112.130974,6.523202
111.132202,6.430592
110.133385,6.337364
109.101326,6.248566
108.102509,6.163448
107.103767,6.087793
106.071671,6.001281
105.072891,5.922518
104.074081,5.849094
103.042015,5.768808
102.043213,5.747623
101.011185,5.707970
100.012398,5.626192
99.013596,5.719605
97.981529,5.568045
96.982719,5.380690
95.983971,5.337492
94.951881,5.235582
93.953102,5.183954
92.954285,5.145021
91.922226,5.103164
90.923409,4.986233
89.924667,4.900049
88.892548,4.798002
87.893791,4.812187
86.894981,4.872535
85.862923,4.766283
84.864113,4.706276
83.865334,4.634020
82.833237,4.566710
81.834457,4.494111
80.835648,4.419407
79.803581,4.352522
78.804771,4.288694
77.806030,4.221428
76.773903,4.121767
75.775154,4.064984
74.776337,3.992316
73.744286,3.912559
72.745476,3.843226
71.746696,3.774988
70.714600,3.700729
69.715820,3.630722
68.717003,3.562266
67.684944,3.487273
66.686142,3.422015
65.687355,3.349814
64.655266,3.278675
63.656487,3.211396
62.657673,3.140814
61.625610,3.073263
60.626797,3.002682
59.628021,2.938971
58.595932,2.867880
57.597145,2.803219
56.598400,2.735098
55.566277,2.670447
54.567528,2.602789
53.568687,2.538804
52.536625,2.473465
51.537811,2.407000
50.505753,2.342999
49.506939,2.280341
48.508160,2.217993
47.476070,2.155145
46.477287,2.091878
45.478477,2.032339
44.446415,1.969997
43.447601,1.908606
42.448826,1.850180
41.416702,1.814574
40.417953,1.815275
39.419140,1.758573
38.387077,1.689255
37.388233,1.629574
36.389488,1.569713
35.357365,1.510712
34.358585,1.459009
33.359772,1.569449
32.327709,1.490697
31.328901,1.448376
30.330120,1.398859
29.297997,1.339862
28.299248,1.282182
27.300406,1.225897
26.268345,1.163449
25.269531,1.113215
24.270754,1.060723
23.238661,1.008164
22.239880,0.953641
21.241070,0.901578
20.209009,0.848825
19.210163,0.797725
18.211416,0.747268
17.179293,0.698029
16.180511,0.650897
15.181702,0.602260
14.149640,0.550634
13.150796,0.461504
12.152049,0.452191
11.119988,0.420403
10.121144,0.383474
9.122396,0.354132
8.090272,0.316793
7.091493,0.285748
6.092681,0.254025
5.060620,0.216399
4.061809,0.181420
3.062997,0.148593
2.030904,0.118399
1.032093,0.081709
0.000000,0.048513
-0.998747,0.022803
-1.997624,0.014051
-3.029652,0.049121
-4.028464,0.083193
-5.027276,0.114589
-6.059368,0.148383
-7.058115,0.178759
-8.056992,0.234088
-9.089020,0.328518
-10.087896,0.375124
-11.086643,0.415825
-12.118735,0.459462
-13.117547,0.501756
-14.116360,0.545728
-15.148452,0.589708
-16.147263,0.634175
-17.146011,0.679615
-18.178169,0.725380
-19.176916,0.770591
-20.175728,0.816645
-21.207819,0.866402
-22.206633,0.913809
-23.205444,0.956778
-24.237535,1.053826
-25.236284,1.135964
-26.235159,1.196464
-27.267187,1.240881
-28.266064,1.293108
-29.264811,1.340568
-30.296968,1.392006
-31.295717,1.445665
-32.294464,1.492531
-33.326618,1.548731
-34.325367,1.595172
-35.324245,1.647969
-36.356274,1.699411
-37.355083,1.750530
-38.353897,1.801252
-39.385986,1.856422
-40.384800,1.905819
-41.383614,1.960223
-42.415703,2.013470
-43.414516,2.067894
-44.413265,2.120392
-45.445419,2.178054
-46.444168,2.231806
-47.443043,2.288883
-48.475071,2.349449
-49.473949,2.402081
-50.472694,2.465635
-51.504852,2.536680
-52.503601,2.593302
-53.535759,2.654468
-54.534504,2.738771
-55.533318,2.828148
-56.565411,2.904241
-57.564224,2.964662
-58.563034,3.064279
-59.595127,3.191094
-60.593937,3.259037
-61.592751,3.330665
-62.624840,3.434806
-63.623653,3.552397
-64.622467,3.644407
-65.654556,3.745848
-66.653366,3.850924
-67.652184,3.936669
-68.684273,4.038890
-69.683090,4.128621
-70.681831,4.211515
-71.713989,4.305242
-72.712738,4.388838
-73.711617,4.475204
-74.743645,4.564486
-75.742516,4.650609
-76.741264,4.739650
-77.773361,4.829033
-78.772171,4.918071
-79.770981,5.008729
-80.803070,5.103416
-81.801888,5.195205
-82.800697,5.289107
-83.832787,5.386405
-84.831604,5.481945
-85.830414,5.500365
-86.862572,5.609337
-87.861313,5.560149
-88.860130,5.627268
-89.892227,5.649409
-90.891098,5.635147
-91.889847,5.651459
-92.921997,5.655033
-93.920753,5.647650
-94.919624,5.678216
-95.951653,5.663651
-96.950531,5.720409
-97.949280,5.782009
-98.981438,5.851107
-99.980179,5.977781
-100.979065,6.079203
-102.011093,5.984314
-103.009964,6.150339
-104.008705,6.332481
-105.040863,6.336092
-106.039619,6.590990
-107.071777,6.669323
-108.070587,6.742572
-109.069389,6.882720
-110.101486,6.938780
-111.100304,7.116045
-112.099113,7.191714
-113.131271,7.260412
-114.130020,7.410560
-115.128899,7.490133
-116.160927,7.560678
-117.159798,7.812132
-118.158554,7.915918
-119.190704,8.111207
-120.189453,8.345921
-121.188255,8.582986
-122.220421,8.791575
-123.219162,8.931472
