2,Outlaw Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
132.339691,5.405006
131.340958,5.453732
130.308853,5.592408
129.310074,5.464957
128.311264,5.471191
127.279228,5.504390
126.280426,5.496485
125.281647,5.385797
124.249550,5.282261
123.250801,5.223296
122.251991,5.321417
121.219940,5.255537
120.221115,5.179545
119.222366,5.103115
118.190239,4.989555
117.191505,4.957082
116.192688,4.901106
115.160629,4.853714
114.161819,4.806041
113.163063,4.741054
112.130974,4.683849
111.132202,4.607583
110.133385,4.552258
109.101326,4.387452
108.102509,4.161786
107.103767,4.060506
106.071671,3.996868
105.072891,3.927801
104.074081,3.862781
103.042015,3.798523
102.043213,3.735271
101.011185,3.675720
100.012398,3.612997
99.013596,3.553776
97.981529,3.495830
96.982719,3.435434
95.983971,3.380644
94.951881,3.324457
93.953102,3.268452
92.954285,3.215926
91.922226,3.162155
90.923409,3.106581
89.924667,3.055573
88.892548,2.999066
87.893791,2.950209
86.894981,2.898935
85.862923,2.846920
84.864113,2.798779
83.865334,2.749305
82.833237,2.700712
81.834457,2.651905
80.835648,2.602454
79.803581,2.554060
78.804771,2.507897
77.806030,2.460008
76.773903,2.414537
75.775154,2.372892
74.776337,2.327193
73.744286,2.282881
72.745476,2.249453
71.746696,2.205134
70.714600,2.161671
69.715820,2.118918
68.717003,2.085293
67.684944,2.045717
66.686142,2.006741
65.687355,1.968507
64.655266,1.935801
63.656487,1.898809
62.657673,1.855781
61.625610,1.817639
60.626797,1.790282
59.628021,1.758063
58.595932,1.723600
57.597145,1.699458
56.598400,1.712898
55.566277,1.666975
54.567528,1.635223
53.568687,1.607858
52.536625,1.578807
51.537811,1.551484
50.505753,1.546600
49.506939,1.525764
48.508160,1.638318
47.476070,1.663836
46.477287,1.651503
45.478477,1.635451
44.446415,1.613323
43.447601,1.584657
42.448826,1.558329
41.416702,1.531593
40.417953,1.505367
39.419140,1.478284
38.387077,1.446321
37.388233,1.421931
36.389488,1.397947
35.357365,1.367865
34.358585,1.339869
33.359772,1.317230
32.327709,1.286164
31.328901,1.263137
30.330120,1.232689
29.297997,1.209010
28.299248,1.183269
27.300406,1.155284
26.268345,1.132856
25.269531,1.100843
24.270754,1.079690
23.238661,1.052443
22.239880,1.026749
21.241070,1.002382
20.209009,0.974776
19.210163,0.951023
18.211416,0.927099
17.179293,0.901556
16.180511,0.870673
15.181702,0.849494
14.149640,0.821986
13.150796,0.797407
12.152049,0.636061
11.119988,0.573449
10.121144,0.545375
9.122396,0.517567
8.090272,0.486424
7.091493,0.455894
6.092681,0.425922
5.060620,0.393374
4.061809,0.362041
3.062997,0.329928
2.030904,0.297462
1.032093,0.265942
0.000000,0.231304
-0.998747,0.199184
-1.997624,0.165863
-3.029652,0.131408
-4.028464,0.099551
-5.027276,0.066144
-6.059368,0.033392
-7.058115,0.001930
-8.056992,0.032452
-9.089020,0.066485
-10.087896,0.097288
-11.086643,0.132058
-12.118735,0.161307
-13.117547,0.195600
-14.116360,0.231074
-15.148452,0.342264
-16.147263,0.377034
-17.146011,0.420040
-18.178169,0.451307
-19.176916,0.492712
-20.175728,0.526199
-21.207819,0.561140
-22.206633,0.598444
-23.205444,0.630340
-24.237535,0.669173
-25.236284,0.705381
-26.235159,0.734706
-27.267187,0.780788
-28.266064,0.807234
-29.264811,0.851483
-30.296968,0.881144
-31.295717,0.923845
-32.294464,0.953630
-33.326618,0.999064
-34.325367,1.027361
-35.324245,1.072747
-36.356274,1.102954
-37.355083,1.147723
-38.353897,1.177874
-39.385986,1.224949
-40.384800,1.254989
-41.383614,1.301435
-42.415703,1.333773
-43.414516,1.379802
-44.413265,1.412982
-45.445419,1.460708
-46.444168,1.494905
-47.443043,1.541344
-48.475071,1.579397
-49.473949,1.627049
-50.472694,1.664253
-51.504852,1.713803
-52.503601,1.754180
-53.535759,1.804041
-54.534504,1.847341
-55.533318,1.896220
-56.565411,1.943384
-57.564224,1.994065
-58.563034,2.040040
-59.595127,2.093723
-60.593937,2.143839
-61.592751,2.199219
-62.624840,2.252589
-63.623653,2.311178
-64.622467,2.371982
-65.654556,2.426015
-66.653366,2.475415
-67.652184,2.547120
-68.684273,2.615693
-69.683090,2.659236
-70.681831,2.725000
-71.713989,2.803423
-72.712738,2.859704
-73.711617,2.907233
-74.743645,2.977394
-75.742516,3.030315
-76.741264,3.074689
-77.773361,3.141491
-78.772171,3.195539
-79.770981,3.244076
-80.803070,3.310132
-81.801888,3.355885
-82.800697,3.409892
-83.832787,3.474409
-84.831604,3.519670
-85.830414,3.574010
-86.862572,3.639816
-87.861313,3.683395
-88.860130,3.760755
-89.892227,3.835743
-90.891098,3.893203
-91.889847,3.974902
-92.921997,4.024007
-93.920753,4.110919
-94.919624,4.093883
-95.951653,4.213169
-96.950531,4.277701
-97.949280,4.330175
-98.981438,4.400548
-99.980179,4.465436
-100.979065,4.525980
-102.011093,4.600347
-103.009964,4.662215
-104.008705,4.730703
-105.040863,4.801197
-106.039619,4.867212
-107.071777,4.941865
-108.070587,5.008212
-109.069389,5.079985
-110.101486,5.156483
-111.100304,5.224040
-112.099113,5.295717
-113.131271,5.380312
-114.130020,5.442410
-115.128899,5.522696
-116.160927,5.522122
-117.159798,5.608687
-118.158554,5.527333
-119.190704,5.382405
-120.189453,4.575424
-121.188255,4.205143
-122.220421,4.354077
-123.219162,4.451117
-124.218033,4.430825
-125.250061,4.552348
-126.248947,4.545345
-127.247688,4.586123
-128.279846,4.763732
-129.278656,4.699645
-130.277481,4.875581
-131.309555,4.901136
-132.308380,4.942507
