2,Pontiac Solstice - Rookie,baseline
Steering Wheel Angle,Yaw Rate
489.896606,3.114365
488.897858,3.187439
487.899139,3.177802
486.867065,3.141834
485.868317,3.170113
484.869598,3.164349
483.837555,3.160049
482.838837,3.137886
481.840027,3.135850
480.808014,3.109703
479.809296,3.085029
478.810547,3.123605
477.778534,3.065900
476.779755,3.085358
475.781006,3.138113
474.748993,3.211834
473.750244,3.185251
472.751526,3.172249
471.719452,3.157233
470.720764,3.142953
469.721985,3.134838
468.689972,3.126868
467.691223,3.118448
466.659149,3.113411
465.660400,3.112515
464.661682,3.109468
463.629669,3.099413
462.630920,3.094414
461.632141,3.091422
460.600128,3.083061
459.601379,3.079810
458.602631,3.079550
457.570587,3.071561
456.571869,3.064075
455.573090,3.063681
454.541046,3.058476
453.542328,3.056627
452.543579,3.059365
451.511505,3.066218
450.512787,3.066398
449.514038,3.061476
448.481995,3.052560
447.483276,3.042601
446.484497,3.032779
445.452484,3.028246
444.453705,3.027751
443.454987,3.026631
442.422974,3.025914
441.424194,3.011976
440.425476,3.042760
439.393402,3.011229
438.394653,2.962718
437.395905,2.848240
436.363892,2.869427
435.365143,2.908675
434.366364,2.797710
433.334320,2.834223
432.335571,2.783585
431.336823,2.772917
430.304779,2.775361
429.306061,2.808631
428.307312,2.894142
427.275269,2.930345
426.276489,2.722727
425.277771,2.768029
424.245728,2.759053
423.246979,2.849455
422.248230,2.783593
421.216156,2.779629
420.217407,2.755908
419.218658,2.845201
418.186646,2.857678
417.187897,2.878866
416.189148,2.704159
415.157104,2.824275
414.158325,2.830190
413.126312,2.752016
412.127533,2.783417
411.128784,2.779728
410.096741,2.728778
409.098022,2.643349
408.099243,2.745971
407.067230,2.794769
406.068481,2.774756
405.069702,2.768008
404.037689,2.764612
403.038910,2.761302
402.040161,2.753441
401.008118,2.741272
400.009369,2.736165
399.010620,2.732521
397.978607,2.724823
396.979797,2.713244
395.981079,2.707165
394.949005,2.703849
393.950256,2.695839
392.951538,2.684085
391.919495,2.679777
390.920715,2.676580
389.921997,2.665824
388.889893,2.656177
387.891144,2.653497
386.892426,2.648452
385.860382,2.636538
384.861633,2.628619
383.862885,2.626440
382.830811,2.618907
381.832031,2.607454
380.833282,2.602458
379.801239,2.598588
378.802521,2.589581
377.803772,2.578964
376.771698,2.575735
375.772919,2.570575
374.774170,2.559552
373.742157,2.550940
372.743378,2.548831
371.744659,2.542611
370.712555,2.530233
369.713837,2.524238
368.715057,2.521547
367.683044,2.513098
366.684296,2.501665
365.685516,2.497989
364.653442,2.493553
363.654724,2.483030
362.622681,2.473823
361.623901,2.471606
360.625153,2.464880
359.593109,2.453062
358.594330,2.447172
357.595612,2.444421
356.563568,2.435465
355.564758,2.424192
354.566010,2.420782
353.533997,2.416335
352.535248,2.405689
351.536469,2.396778
350.504425,2.394306
349.505646,2.387836
348.506927,2.376243
347.474854,2.369525
346.476105,2.366954
345.477325,2.358910
344.445282,2.347441
343.446533,2.344010
342.447784,2.339387
341.415710,2.328439
340.416962,2.319804
339.418213,2.317820
338.386139,2.310476
337.387360,2.298862
336.388641,2.293332
335.356598,2.290380
334.357849,2.281829
333.359039,2.270700
332.326996,2.265897
331.328247,2.262679
330.329498,2.252880
329.297424,2.242181
328.298645,2.239560
327.299927,2.234948
326.267853,2.223866
325.269073,2.214586
324.270355,2.212026
323.238281,2.206463
322.239502,2.195331
321.240784,2.187515
320.208710,2.185155
319.209961,2.177783
318.211212,2.166046
317.179138,2.161139
316.180359,2.157971
315.181641,2.148593
314.149536,2.137735
313.150787,2.134628
312.152069,2.130097
311.119995,2.119335
310.121185,2.110586
309.089172,2.107426
308.090393,2.101356
307.091644,2.091892
306.059570,2.082800
305.060852,2.078850
304.062042,2.073416
303.029999,2.065790
302.031219,2.056536
301.032471,2.047860
300.000427,2.042809
299.001678,2.039532
298.002899,2.032494
296.970825,2.020584
295.972076,2.012373
294.973328,2.009827
293.941254,2.005092
292.942474,1.995739
291.943726,1.986113
290.911652,1.979343
289.912903,1.974481
288.914154,1.968927
287.882080,1.961680
286.883301,1.952440
285.884552,1.943833
284.852478,1.938529
283.853729,1.935249
282.854980,1.927941
281.822876,1.916367
280.824127,1.908387
279.825317,1.905991
278.793304,1.900825
277.794556,1.890692
276.795776,1.881499
275.763702,1.875258
274.764984,1.872123
273.766174,1.864377
272.734131,1.853304
271.735382,1.847841
270.736603,1.844675
269.704529,1.836304
268.705780,1.825362
267.707001,1.820821
266.674927,1.817103
265.676178,1.807959
264.677399,1.797487
263.645355,1.793851
262.646576,1.789437
261.647827,1.779153
260.615753,1.769915
259.617004,1.766951
258.584900,1.761294
257.586182,1.750517
256.587372,1.743022
255.555344,1.739981
254.556549,1.732463
253.557785,1.721804
252.525742,1.716605
251.526947,1.712975
250.528183,1.703976
249.496140,1.693706
248.497330,1.690166
247.498581,1.685144
246.466522,1.675005
245.467773,1.666482
244.468964,1.663675
243.436951,1.656905
242.438156,1.646079
241.439392,1.639694
240.407318,1.636711
239.408585,1.628520
238.409760,1.617962
237.377716,1.612867
236.378922,1.609472
235.380157,1.600288
234.348114,1.589785
233.349335,1.585576
232.350586,1.581938
231.318527,1.572373
230.319733,1.562070
229.320969,1.558202
228.288895,1.554281
227.290115,1.544750
226.291382,1.534973
225.259277,1.529743
224.260529,1.526564
223.261749,1.517680
222.229706,1.507324
221.230927,1.502016
220.232147,1.497392
219.200073,1.490893
218.201324,1.483268
217.202515,1.474543
216.170486,1.466562
215.171677,1.461371
214.172928,1.457486
213.140839,1.449640
212.142090,1.438912
211.143280,1.431730
210.111252,1.428333
209.112442,1.423598
208.113693,1.413916
207.081604,1.404189
206.082840,1.398638
205.050766,1.393788
204.052017,1.387450
203.053238,1.379698
202.021164,1.370732
201.022385,1.362931
200.023605,1.357983
198.991516,1.353616
197.992783,1.346147
196.994003,1.335766
195.961929,1.328335
194.963150,1.325030
193.964371,1.319835
192.932281,1.310105
191.933533,1.300637
190.934753,1.294794
189.902695,1.290142
188.903946,1.283841
187.905136,1.276818
186.873108,1.267902
185.874298,1.259311
184.875549,1.254272
183.843445,1.250068
182.844696,1.242971
181.845901,1.232410
180.813843,1.224426
179.815063,1.221030
178.816269,1.216186
177.784180,1.207334
176.785431,1.197915
175.786636,1.191381
174.754608,1.186464
173.755783,1.180436
172.757034,1.173403
171.724945,1.164543
170.726196,1.156326
169.727371,1.150823
168.695328,1.146819
167.696548,1.139794
166.697769,1.129066
