2,Porsche 718 Cayman GT4,baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.640314
274.764984,1.640705
273.766174,1.642284
272.734131,1.642936
271.735382,1.639270
270.736603,1.632919
269.704529,1.626495
268.705780,1.620162
267.707001,1.614412
266.674927,1.600082
265.676178,1.593821
264.677399,1.590966
263.645355,1.585946
262.646576,1.580263
261.647827,1.575303
260.615753,1.569615
259.617004,1.563772
258.584900,1.557321
257.586182,1.550950
256.587372,1.543646
255.555344,1.537334
254.556549,1.532471
253.557785,1.527088
252.525742,1.520362
251.526947,1.514739
250.528183,1.508777
249.496140,1.501091
248.497330,1.494338
247.498581,1.488173
246.466522,1.480843
245.467773,1.474400
244.468964,1.469745
243.436951,1.464081
242.438156,1.458075
241.439392,1.453177
240.407318,1.447382
239.408585,1.440904
238.409760,1.435378
237.377716,1.429116
236.378922,1.421588
235.380157,1.414870
234.348114,1.408496
233.349335,1.401227
232.350586,1.394805
231.318527,1.389474
230.319733,1.383816
229.320969,1.377915
228.288895,1.372937
227.290115,1.367517
226.291382,1.361117
225.259277,1.355738
224.260529,1.349899
223.261749,1.342484
222.229706,1.335803
221.230927,1.329351
220.232147,1.322021
219.200073,1.315351
218.201324,1.310392
217.202515,1.304751
216.170486,1.298556
215.171677,1.293876
214.172928,1.288388
213.140839,1.281732
212.142090,1.276089
211.143280,1.270016
210.111252,1.262463
209.112442,1.255756
208.113693,1.249484
207.081604,1.242525
206.082840,1.236695
205.050766,1.231672
204.052017,1.226575
203.053238,1.221017
202.021164,1.214924
201.022385,1.207947
200.023605,1.200257
198.991516,1.193348
197.992783,1.188083
196.994003,1.183388
195.961929,1.177928
194.963150,1.172269
193.964371,1.165643
192.932281,1.157892
191.933533,1.150798
190.934753,1.145176
189.902695,1.139271
188.903946,1.133391
187.905136,1.128660
186.873108,1.123298
185.874298,1.116750
184.875549,1.111260
183.843445,1.105317
182.844696,1.098117
181.845901,1.091576
180.813843,1.085155
179.815063,1.077845
178.816269,1.071222
177.784180,1.065930
176.785431,1.060194
175.786636,1.054233
174.754608,1.049443
173.755783,1.043771
172.757034,1.037633
171.724945,1.032103
170.726196,1.026260
169.727371,1.019011
168.695328,1.012558
167.696548,1.006394
166.697769,0.998913
165.665665,0.992192
164.666916,0.986817
163.668106,0.980992
162.636078,0.974746
161.637283,0.970296
160.638535,0.964833
159.606430,0.958378
158.607651,0.953131
157.608841,0.947087
156.576813,0.939618
155.578003,0.932816
154.545944,0.926606
153.547165,0.919600
152.548386,0.913020
151.516296,0.907993
150.517532,0.902224
149.518738,0.896330
148.486664,0.891355
147.487885,0.885977
146.489105,0.879512
145.457016,0.873467
144.458267,0.867635
143.459503,0.860143
142.427399,0.853154
141.428650,0.847133
140.429840,0.840418
139.397781,0.834045
138.399002,0.829150
137.400223,0.823752
136.368118,0.817636
135.369385,0.812834
134.370560,0.807201
133.338501,0.800459
132.339691,0.794489
131.340958,0.788377
130.308853,0.780872
129.310074,0.774123
128.311264,0.768277
127.279228,0.761575
126.280426,0.755219
125.281647,0.750369
124.249550,0.744604
123.250801,0.738667
122.251991,0.733709
121.219940,0.727953
120.221115,0.721473
119.222366,0.715954
118.190239,0.709803
117.191505,0.702529
116.192688,0.696089
115.160629,0.689630
114.161819,0.682582
113.163063,0.676250
112.130974,0.671191
111.132202,0.665185
110.133385,0.659538
109.101326,0.654628
108.102509,0.649201
107.103767,0.642550
106.071671,0.636543
105.072891,0.630453
104.074081,0.623046
103.042015,0.616461
102.043213,0.610591
101.011185,0.603465
100.012398,0.597098
99.013596,0.592312
97.981529,0.586737
96.982719,0.580755
95.983971,0.575940
94.951881,0.570257
93.953102,0.563625
92.954285,0.557952
91.922226,0.551803
90.923409,0.544334
89.924667,0.537751
88.892548,0.531527
87.893791,0.524664
86.894981,0.518386
85.862923,0.513356
84.864113,0.507781
83.865334,0.501678
82.833237,0.496725
81.834457,0.491297
80.835648,0.484906
79.803581,0.479106
78.804771,0.472840
77.806030,0.465632
76.773903,0.458933
75.775154,0.452894
74.776337,0.446042
73.744286,0.439556
72.745476,0.434738
71.746696,0.429065
70.714600,0.423170
69.715820,0.418397
68.717003,0.412663
67.684944,0.405885
66.686142,0.400120
65.687355,0.394017
64.655266,0.386478
63.656487,0.379817
62.657673,0.374012
61.625610,0.367144
60.626797,0.360945
59.628021,0.355933
58.595932,0.350485
57.597145,0.344560
56.598400,0.339546
55.566277,0.333829
54.567528,0.327163
53.568687,0.321292
52.536625,0.314864
51.537811,0.307416
50.505753,0.300706
49.506939,0.295018
48.508160,0.288435
47.476070,0.282042
46.477287,0.277104
45.478477,0.271555
44.446415,0.265449
43.447601,0.260610
42.448826,0.255085
41.416702,0.248326
40.417953,0.242230
39.419140,0.236200
38.387077,0.228533
37.388233,0.222019
36.389488,0.216327
35.357365,0.209754
34.358585,0.203593
33.359772,0.199089
32.327709,0.193552
31.328901,0.187406
30.330120,0.182197
29.297997,0.176299
28.299248,0.169193
27.300406,0.162948
26.268345,0.156583
25.269531,0.149486
24.270754,0.142970
23.238661,0.137554
22.239880,0.131379
21.241070,0.125563
20.209009,0.120688
19.210163,0.115183
18.211416,0.108949
17.179293,0.103251
16.180511,0.097295
15.181702,0.090067
14.149640,0.083600
13.150796,0.077440
12.152049,0.070478
11.119988,0.063937
10.121144,0.058751
9.122396,0.053128
8.090272,0.047043
7.091493,0.042398
6.092681,0.036807
5.060620,0.030111
4.061809,0.024493
3.062997,0.018382
2.030904,0.010632
1.032093,0.005373
0.000000,0.001287
-0.998747,0.005232
-1.997624,0.010517
-3.029652,0.016532
-4.028464,0.022664
-5.027276,0.028778
-6.059368,0.035985
-7.058115,0.042258
-8.056992,0.047917
-9.089020,0.053765
-10.087896,0.059811
-11.086643,0.064673
-12.118735,0.070386
-13.117547,0.076621
-14.116360,0.082169
-15.148452,0.088251
-16.147263,0.095303
-17.146011,0.101993
-18.178169,0.108106
-19.176916,0.114774
-20.175728,0.121098
-21.207819,0.126463
-22.206633,0.132476
-23.205444,0.138316
-24.237535,0.143386
-25.236284,0.148841
-26.235159,0.155172
-27.267187,0.161234
-28.266064,0.167047
-29.264811,0.174338
-30.296968,0.180909
-31.295717,0.186894
-32.294464,0.193591
-33.326618,0.199993
-34.325367,0.205022
-35.324245,0.210628
-36.356274,0.216890
-37.355083,0.221861
-38.353897,0.227276
-39.385986,0.234063
-40.384800,0.240033
-41.383614,0.246000
-42.415703,0.253317
-43.414516,0.259905
-44.413265,0.265662
-45.445419,0.272422
-46.444168,0.278582
-47.443043,0.283580
-48.475071,0.289319
-49.473949,0.294694
-50.472694,0.300238
-51.504852,0.306844
-52.503601,0.314047
-53.535759,0.320863
-54.534504,0.326511
-55.533318,0.333085
-56.565411,0.339314
-57.564224,0.344068
-58.563034,0.349566
-59.595127,0.355741
-60.593937,0.360956
-61.592751,0.366659
-62.624840,0.373484
-63.623653,0.379518
-64.622467,0.385519
-65.654556,0.392960
-66.653366,0.399520
-67.652184,0.405285
-68.684273,0.411927
-69.683090,0.418099
-70.681831,0.422886
-71.713989,0.428695
-72.712738,0.434750
-73.711617,0.439815
-74.743645,0.445581
-75.742516,0.452425
-76.741264,0.458292
-77.773361,0.464608
-78.772171,0.471751
-79.770981,0.478391
-80.803070,0.484272
-81.801888,0.490607
-82.800697,0.496692
-83.832787,0.501897
-84.831604,0.507601
-85.830414,0.513584
-86.862572,0.518718
-87.861313,0.524220
-88.860130,0.530857
-89.892227,0.537369
-90.891098,0.543265
-91.889847,0.550428
-92.921997,0.557207
-93.920753,0.562964
-94.919624,0.569327
-95.951653,0.575686
-96.950531,0.580471
-97.949280,0.586048
-98.981438,0.592256
-99.980179,0.597387
-100.979065,0.603075
-102.011093,0.610081
-103.009964,0.616457
-104.008705,0.622639
-105.040863,0.629986
-106.039619,0.636554
-107.071777,0.642171
-108.070587,0.647787
-109.069389,0.653899
-110.101486,0.658954
-111.100304,0.664108
-112.099113,0.670685
-113.131271,0.676381
-114.130020,0.682510
-115.128899,0.689767
-116.160927,0.696580
-117.159798,0.702407
-118.158554,0.708967
-119.190704,0.715682
-120.189453,0.720913
-121.188255,0.726669
-122.220421,0.732790
-123.219162,0.737586
-124.218033,0.743147
-125.250061,0.749722
-126.248947,0.755230
-127.247688,0.761154
-128.279846,0.768633
-129.278656,0.775098
-130.277481,0.781145
-131.309555,0.788194
-132.308380,0.794606
-133.307190,0.799525
-134.339355,0.805611
-135.338089,0.811621
-136.336975,0.816461
-137.369003,0.822008
-138.367874,0.828548
-139.366684,0.834223
-140.398773,0.840339
-141.397583,0.847555
-142.396408,0.854111
-143.428497,0.860385
-144.427368,0.867090
-145.426117,0.873531
-146.458282,0.878411
-147.457077,0.884135
-148.455902,0.890019
-149.487991,0.895133
-150.486877,0.900767
-151.485611,0.907677
-152.517776,0.913756
-153.516525,0.919926
-154.515396,0.927073
-155.547485,0.933865
-156.546295,0.939653
-157.578400,0.946161
-158.577271,0.952415
-159.576004,0.957225
-160.608170,0.963015
-161.606918,0.969053
-162.605804,0.974016
-163.637894,0.979903
-164.636765,0.986820
-165.635513,0.993063
-166.667603,0.999536
-167.666428,1.006865
-168.665222,1.013512
-169.697372,1.019101
-170.696136,1.025041
-171.695007,1.031131
-172.727097,1.036116
-173.725922,1.041484
-174.724731,1.047754
-175.756882,1.053364
-176.755630,1.059245
-177.754501,1.066292
-178.786606,1.072918
-179.785477,1.079010
-180.784225,1.086097
-181.816376,1.092915
-182.815125,1.097909
-183.813995,1.103491
-184.846100,1.109789
-185.844971,1.114699
-186.843719,1.120210
-187.875870,1.126817
-188.874695,1.132553
-189.873505,1.138649
-190.905594,1.146252
-191.904465,1.152819
-192.903214,1.158818
-193.935364,1.165847
-194.934189,1.172244
-195.933060,1.177111
-196.965088,1.182737
-197.963959,1.188842
-198.962769,1.193835
-199.994934,1.199460
-200.993683,1.205997
-201.992554,1.211676
-203.024643,1.218015
-204.023468,1.225428
-205.022263,1.232002
-206.054428,1.238242
-207.053177,1.245095
-208.085403,1.251615
-209.084137,1.256488
-210.082886,1.262203
-211.115112,1.268407
-212.113861,1.273293
-213.112732,1.278787
-214.144836,1.285420
-215.143646,1.291088
-216.142456,1.297241
-217.174606,1.304477
-218.173355,1.311139
-219.172241,1.317272
-220.204330,1.324211
-221.203201,1.330664
-222.201950,1.335676
-223.234177,1.341647
-224.232925,1.347691
-225.231796,1.352482
-226.263885,1.358074
-227.262772,1.364788
-228.261505,1.370563
-229.293671,1.376851
-230.292496,1.384322
-231.291367,1.391037
-232.323380,1.397217
-233.322250,1.403812
-234.321075,1.410012
-235.353226,1.414910
-236.351990,1.420713
-237.350861,1.426603
-238.382965,1.431769
-239.381836,1.437366
-240.380569,1.444321
-241.412811,1.450537
-242.411545,1.456730
-243.410416,1.464229
-244.442505,1.471231
-245.441391,1.476829
-246.440125,1.483115
-247.472305,1.489607
-248.471100,1.494327
-249.469971,1.499825
-250.502060,1.506060
