2,Porsche 911 Cup (992.1),baseline
Steering Wheel Angle,Yaw Rate
229.320969,1.593212
228.288895,1.593849
227.290115,1.592316
226.291382,1.597068
225.259277,1.588763
224.260529,1.581345
223.261749,1.574095
222.229706,1.566569
221.230927,1.558922
220.232147,1.550968
219.200073,1.540493
218.201324,1.530953
217.202515,1.523619
216.170486,1.516289
215.171677,1.509340
214.172928,1.503661
213.140839,1.497556
212.142090,1.491594
211.143280,1.485602
210.111252,1.478089
209.112442,1.470899
208.113693,1.463742
207.081604,1.455626
206.082840,1.447394
205.050766,1.440243
204.052017,1.433852
203.053238,1.426574
202.021164,1.419648
201.022385,1.412448
200.023605,1.405349
198.991516,1.397748
197.992783,1.390627
196.994003,1.383845
195.961929,1.375961
194.963150,1.369315
193.964371,1.362312
192.932281,1.354896
191.933533,1.347965
190.934753,1.340797
189.902695,1.333432
188.903946,1.326292
187.905136,1.319275
186.873108,1.311996
185.874298,1.304589
184.875549,1.297672
183.843445,1.290377
182.844696,1.282974
181.845901,1.276241
180.813843,1.268483
179.815063,1.261897
178.816269,1.254655
177.784180,1.247334
176.785431,1.240510
175.786636,1.233346
174.754608,1.225782
173.755783,1.218727
172.757034,1.211866
171.724945,1.204183
170.726196,1.197205
169.727371,1.190162
168.695328,1.182863
167.696548,1.175778
166.697769,1.168648
165.665665,1.161478
164.666916,1.154340
163.668106,1.147093
162.636078,1.139826
161.637283,1.132466
160.638535,1.125665
159.606430,1.118249
158.607651,1.111264
157.608841,1.103518
156.576813,1.096714
155.578003,1.089863
154.545944,1.082021
153.547165,1.075421
152.548386,1.068104
151.516296,1.060740
150.517532,1.053775
149.518738,1.046633
148.486664,1.039212
147.487885,1.032385
146.489105,1.025014
145.457016,1.017935
144.458267,1.010893
143.459503,1.003375
142.427399,0.996095
141.428650,0.989370
140.429840,0.982115
139.397781,0.974782
138.399002,0.967618
137.400223,0.960645
136.368118,0.953409
135.369385,0.946389
134.370560,0.939106
133.338501,0.931873
132.339691,0.924901
131.340958,0.917664
130.308853,0.910518
129.310074,0.903087
128.311264,0.896270
127.279228,0.888659
126.280426,0.881879
125.281647,0.874877
124.249550,0.867375
123.250801,0.860403
122.251991,0.853348
121.219940,0.845906
120.221115,0.838922
119.222366,0.831900
118.190239,0.824290
117.191505,0.817120
116.192688,0.810118
115.160629,0.803060
114.161819,0.795991
113.163063,0.788592
112.130974,0.781449
111.132202,0.774497
110.133385,0.767112
109.101326,0.759696
108.102509,0.752985
107.103767,0.745980
106.071671,0.738371
105.072891,0.731470
104.074081,0.724446
103.042015,0.716897
102.043213,0.710052
101.011185,0.702317
100.012398,0.695339
99.013596,0.688533
97.981529,0.680730
96.982719,0.673844
95.983971,0.667152
94.951881,0.659649
93.953102,0.652565
92.954285,0.645666
91.922226,0.638239
90.923409,0.631201
89.924667,0.623938
88.892548,0.616813
87.893791,0.609546
86.894981,0.602590
85.862923,0.595301
84.864113,0.588358
83.865334,0.581358
82.833237,0.573979
81.834457,0.566825
80.835648,0.559731
79.803581,0.552607
78.804771,0.545360
77.806030,0.538189
76.773903,0.530900
75.775154,0.523972
74.776337,0.516886
73.744286,0.509468
72.745476,0.502235
71.746696,0.495575
70.714600,0.488019
69.715820,0.480718
68.717003,0.474041
67.684944,0.466647
66.686142,0.459373
65.687355,0.452443
64.655266,0.445229
63.656487,0.437986
62.657673,0.430969
61.625610,0.423421
60.626797,0.416379
59.628021,0.409634
58.595932,0.401883
57.597145,0.394904
56.598400,0.388225
55.566277,0.380733
54.567528,0.373729
53.568687,0.366435
52.536625,0.359339
51.537811,0.352052
50.505753,0.344718
49.506939,0.337971
48.508160,0.330809
47.476070,0.323436
46.477287,0.316445
45.478477,0.309413
44.446415,0.301867
43.447601,0.294782
42.448826,0.287962
41.416702,0.280737
40.417953,0.273634
39.419140,0.266304
38.387077,0.259087
37.388233,0.252155
36.389488,0.245142
35.357365,0.237861
34.358585,0.230618
33.359772,0.223476
32.327709,0.216219
31.328901,0.209092
30.330120,0.202344
29.297997,0.194897
28.299248,0.187621
27.300406,0.180651
26.268345,0.173127
25.269531,0.166231
24.270754,0.159324
23.238661,0.151897
22.239880,0.144547
21.241070,0.138014
20.209009,0.130369
19.210163,0.123173
18.211416,0.116419
17.179293,0.108929
16.180511,0.101704
15.181702,0.095145
14.149640,0.087523
13.150796,0.080231
12.152049,0.073545
11.119988,0.066038
10.121144,0.058819
9.122396,0.051791
8.090272,0.045320
7.091493,0.040007
6.092681,0.034276
5.060620,0.028512
4.061809,0.022832
3.062997,0.017200
2.030904,0.011353
1.032093,0.005684
0.000000,0.001563
-0.998747,0.005762
-1.997624,0.011424
-3.029652,0.017238
-4.028464,0.022858
-5.027276,0.028542
-6.059368,0.034370
-7.058115,0.040018
-8.056992,0.045683
-9.089020,0.053053
-10.087896,0.060331
-11.086643,0.067703
-12.118735,0.075213
-13.117547,0.082176
-14.116360,0.088954
-15.148452,0.096720
-16.147263,0.103641
-17.146011,0.110433
-18.178169,0.118036
-19.176916,0.124876
-20.175728,0.131891
-21.207819,0.139460
-22.206633,0.146521
-23.205444,0.153322
-24.237535,0.160619
-25.236284,0.168063
-26.235159,0.174735
-27.267187,0.182237
-28.266064,0.189516
-29.264811,0.196461
-30.296968,0.203819
-31.295717,0.210654
-32.294464,0.217719
-33.326618,0.224970
-34.325367,0.232199
-35.324245,0.239114
-36.356274,0.246412
-37.355083,0.253419
-38.353897,0.260528
-39.385986,0.267787
-40.384800,0.274792
-41.383614,0.282058
-42.415703,0.289602
-43.414516,0.296131
-44.413265,0.303623
-45.445419,0.311052
-46.444168,0.317678
-47.443043,0.324840
-48.475071,0.332465
-49.473949,0.339352
-50.472694,0.346569
-51.504852,0.353925
-52.503601,0.360704
-53.535759,0.368305
-54.534504,0.375310
-55.533318,0.382263
-56.565411,0.389578
-57.564224,0.396902
-58.563034,0.403912
-59.595127,0.411068
-60.593937,0.418419
-61.592751,0.425022
-62.624840,0.432737
-63.623653,0.439664
-64.622467,0.446691
-65.654556,0.453944
-66.653366,0.461090
-67.652184,0.468182
-68.684273,0.475529
-69.683090,0.482465
-70.681831,0.489630
-71.713989,0.497004
-72.712738,0.504118
-73.711617,0.510933
-74.743645,0.518366
-75.742516,0.525190
-76.741264,0.532271
-77.773361,0.539521
-78.772171,0.546819
-79.770981,0.553800
-80.803070,0.561214
-81.801888,0.568360
-82.800697,0.575239
-83.832787,0.582857
-84.831604,0.589758
-85.830414,0.596833
-86.862572,0.604083
-87.861313,0.611140
-88.860130,0.618257
-89.892227,0.625425
-90.891098,0.632715
-91.889847,0.639546
-92.921997,0.647170
-93.920753,0.654202
-94.919624,0.661019
-95.951653,0.668473
-96.950531,0.675643
-97.949280,0.682566
-98.981438,0.690097
-99.980179,0.697068
-100.979065,0.704219
-102.011093,0.711697
-103.009964,0.718592
-104.008705,0.725566
-105.040863,0.732837
-106.039619,0.739809
-107.071777,0.747437
-108.070587,0.754323
-109.069389,0.761551
-110.101486,0.768968
-111.100304,0.775811
-112.099113,0.782757
-113.131271,0.790431
-114.130020,0.797275
-115.128899,0.804277
-116.160927,0.811983
-117.159798,0.818745
-118.158554,0.825878
-119.190704,0.833007
-120.189453,0.840025
-121.188255,0.847456
-122.220421,0.854492
-123.219162,0.861684
-124.218033,0.868603
-125.250061,0.875884
-126.248947,0.883391
-127.247688,0.890075
-128.279846,0.897758
-129.278656,0.904776
