2,Porsche 911 GT3 Cup (991),baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.616268
274.764984,1.616958
273.766174,1.619284
272.734131,1.626892
271.735382,1.619660
270.736603,1.613363
269.704529,1.607069
268.705780,1.601003
267.707001,1.594497
266.674927,1.587335
265.676178,1.579392
264.677399,1.569393
263.645355,1.563284
262.646576,1.557354
261.647827,1.551507
260.615753,1.546716
259.617004,1.542050
258.584900,1.537105
257.586182,1.531979
256.587372,1.525736
255.555344,1.519400
254.556549,1.513424
253.557785,1.506178
252.525742,1.499777
251.526947,1.493767
250.528183,1.488249
249.496140,1.481558
248.497330,1.475996
247.498581,1.470164
246.466522,1.463581
245.467773,1.457691
244.468964,1.452095
243.436951,1.445707
242.438156,1.439443
241.439392,1.433599
240.407318,1.427231
239.408585,1.421260
238.409760,1.415197
237.377716,1.409112
236.378922,1.403037
235.380157,1.397026
234.348114,1.390858
233.349335,1.384895
232.350586,1.379292
231.318527,1.372922
230.319733,1.366959
229.320969,1.360787
228.288895,1.354558
227.290115,1.348428
226.291382,1.342522
225.259277,1.336474
224.260529,1.330275
223.261749,1.324278
222.229706,1.318168
221.230927,1.312088
220.232147,1.306392
219.200073,1.300138
218.201324,1.293987
217.202515,1.288120
216.170486,1.281864
215.171677,1.275986
214.172928,1.270068
213.140839,1.263938
212.142090,1.257749
211.143280,1.251816
210.111252,1.245775
209.112442,1.239416
208.113693,1.233584
207.081604,1.227459
206.082840,1.221613
205.050766,1.215389
204.052017,1.209330
203.053238,1.203384
202.021164,1.197122
201.022385,1.191132
200.023605,1.185062
198.991516,1.178942
197.992783,1.173120
196.994003,1.166831
195.961929,1.160733
194.963150,1.154594
193.964371,1.148789
192.932281,1.142797
191.933533,1.136601
190.934753,1.130631
189.902695,1.124269
188.903946,1.118481
187.905136,1.112509
186.873108,1.106452
185.874298,1.100327
184.875549,1.094356
183.843445,1.088047
182.844696,1.082325
181.845901,1.076277
180.813843,1.069968
179.815063,1.063906
178.816269,1.058128
177.784180,1.051769
176.785431,1.045942
175.786636,1.039965
174.754608,1.033741
173.755783,1.027903
172.757034,1.021794
171.724945,1.015521
170.726196,1.009866
