2,Porsche 911 GT3 R (992),baseline
Steering Wheel Angle,Yaw Rate
285.884552,1.709556
284.852478,1.710124
283.853729,1.711645
282.854980,1.716368
281.822876,1.709263
280.824127,1.702835
279.825317,1.696542
278.793304,1.690071
277.794556,1.683733
276.795776,1.677083
275.763702,1.670048
274.764984,1.663160
273.766174,1.656598
272.734131,1.648850
271.735382,1.642836
270.736603,1.636720
269.704529,1.630477
268.705780,1.624960
267.707001,1.619668
266.674927,1.614061
265.676178,1.608579
264.677399,1.602356
263.645355,1.595947
262.646576,1.589821
261.647827,1.583287
260.615753,1.576384
259.617004,1.570366
258.584900,1.564504
257.586182,1.558170
256.587372,1.552277
255.555344,1.545795
254.556549,1.539700
253.557785,1.533688
252.525742,1.527329
251.526947,1.521213
250.528183,1.515127
249.496140,1.508751
248.497330,1.502651
247.498581,1.496599
246.466522,1.490279
245.467773,1.484251
244.468964,1.477996
243.436951,1.471787
242.438156,1.465616
241.439392,1.459490
240.407318,1.453158
239.408585,1.447180
238.409760,1.440948
237.377716,1.434613
236.378922,1.428665
235.380157,1.422336
234.348114,1.416013
233.349335,1.410029
232.350586,1.403805
231.318527,1.397679
230.319733,1.391436
229.320969,1.385355
228.288895,1.379182
227.290115,1.373096
226.291382,1.366830
225.259277,1.360627
224.260529,1.354466
223.261749,1.348491
222.229706,1.342105
221.230927,1.336004
220.232147,1.329897
219.200073,1.323589
218.201324,1.317527
217.202515,1.311520
216.170486,1.305132
215.171677,1.298923
214.172928,1.292922
213.140839,1.286672
212.142090,1.280635
211.143280,1.274390
210.111252,1.268056
209.112442,1.262058
208.113693,1.256054
207.081604,1.249568
206.082840,1.243511
205.050766,1.237296
204.052017,1.231193
203.053238,1.225032
202.021164,1.218694
201.022385,1.212655
200.023605,1.206483
198.991516,1.200168
197.992783,1.194127
196.994003,1.188143
195.961929,1.181780
194.963150,1.175765
193.964371,1.169642
192.932281,1.163294
191.933533,1.157223
190.934753,1.151126
189.902695,1.144754
188.903946,1.138744
187.905136,1.132734
186.873108,1.126301
185.874298,1.120207
184.875549,1.114111
183.843445,1.107716
182.844696,1.101791
181.845901,1.095652
180.813843,1.089424
179.815063,1.083266
178.816269,1.077247
177.784180,1.070956
176.785431,1.064685
175.786636,1.058680
174.754608,1.052403
173.755783,1.046139
172.757034,1.040149
171.724945,1.033882
170.726196,1.027850
169.727371,1.021813
