2,Porsche 911 GT3 R,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.705468
258.584900,1.706257
257.586182,1.711400
256.587372,1.713274
255.555344,1.705347
254.556549,1.698171
253.557785,1.691183
252.525742,1.683437
251.526947,1.676008
250.528183,1.666102
249.496140,1.657989
248.497330,1.651559
247.498581,1.644888
246.466522,1.639217
245.467773,1.633471
244.468964,1.627631
243.436951,1.621149
242.438156,1.614854
241.439392,1.607391
240.407318,1.600442
239.408585,1.593044
238.409760,1.585335
237.377716,1.578310
236.378922,1.571933
235.380157,1.565512
234.348114,1.558745
233.349335,1.551749
232.350586,1.545225
231.318527,1.537969
230.319733,1.531707
229.320969,1.524293
228.288895,1.517612
227.290115,1.510533
226.291382,1.504246
225.259277,1.496896
224.260529,1.490272
223.261749,1.482948
222.229706,1.476798
221.230927,1.469280
220.232147,1.463491
219.200073,1.455393
218.201324,1.449680
217.202515,1.442618
216.170486,1.435470
215.171677,1.428877
214.172928,1.421647
213.140839,1.415546
212.142090,1.407692
211.143280,1.402121
210.111252,1.393869
209.112442,1.388405
208.113693,1.380763
207.081604,1.374306
206.082840,1.367235
205.050766,1.360816
204.052017,1.353441
203.053238,1.346702
202.021164,1.339928
201.022385,1.332906
200.023605,1.326774
198.991516,1.319169
197.992783,1.312966
196.994003,1.305660
195.961929,1.299155
194.963150,1.292377
193.964371,1.285482
192.932281,1.278706
191.933533,1.271967
190.934753,1.264917
189.902695,1.258330
188.903946,1.251162
187.905136,1.244893
186.873108,1.237654
185.874298,1.230871
184.875549,1.224204
183.843445,1.216977
182.844696,1.210496
181.845901,1.203868
180.813843,1.196713
179.815063,1.190288
178.816269,1.183569
177.784180,1.175848
176.785431,1.169949
175.786636,1.162700
174.754608,1.156020
173.755783,1.149121
172.757034,1.142477
171.724945,1.135459
170.726196,1.128494
169.727371,1.122299
168.695328,1.115043
167.696548,1.108353
166.697769,1.101309
165.665665,1.094753
164.666916,1.087896
163.668106,1.081071
162.636078,1.074113
161.637283,1.066918
160.638535,1.061097
159.606430,1.053247
158.607651,1.047087
157.608841,1.040248
156.576813,1.033075
155.578003,1.026608
154.545944,1.019272
153.547165,1.012902
152.548386,1.005780
151.516296,0.999067
150.517532,0.992478
149.518738,0.985336
148.486664,0.978709
147.487885,0.971722
146.489105,0.965342
145.457016,0.958067
144.458267,0.951506
143.459503,0.944483
