2,Porsche 911 RSR,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.678983
258.584900,1.679573
257.586182,1.684469
256.587372,1.683558
255.555344,1.676866
254.556549,1.670207
253.557785,1.663558
252.525742,1.656487
251.526947,1.649490
250.528183,1.642430
249.496140,1.632986
248.497330,1.626479
247.498581,1.620031
246.466522,1.613039
245.467773,1.606494
244.468964,1.600759
243.436951,1.594551
242.438156,1.588591
241.439392,1.582130
240.407318,1.575175
239.408585,1.568656
238.409760,1.561635
237.377716,1.554384
236.378922,1.547601
235.380157,1.541511
234.348114,1.534566
233.349335,1.527667
232.350586,1.521348
231.318527,1.514536
230.319733,1.508002
229.320969,1.501258
228.288895,1.494375
227.290115,1.487635
226.291382,1.480953
225.259277,1.474451
224.260529,1.467871
223.261749,1.461055
222.229706,1.454156
221.230927,1.447998
220.232147,1.441106
219.200073,1.434343
218.201324,1.427503
217.202515,1.421329
216.170486,1.414282
215.171677,1.407688
214.172928,1.400837
213.140839,1.394442
212.142090,1.387764
211.143280,1.381093
210.111252,1.374359
209.112442,1.367466
208.113693,1.360832
207.081604,1.354360
206.082840,1.347710
205.050766,1.340839
204.052017,1.334011
203.053238,1.327550
202.021164,1.320793
201.022385,1.314373
200.023605,1.307247
198.991516,1.300795
197.992783,1.293937
196.994003,1.287495
195.961929,1.280693
194.963150,1.274269
193.964371,1.267303
192.932281,1.260490
191.933533,1.254192
190.934753,1.247390
189.902695,1.240956
188.903946,1.234129
187.905136,1.227551
186.873108,1.220786
185.874298,1.214218
184.875549,1.207401
183.843445,1.200690
182.844696,1.194036
181.845901,1.187410
180.813843,1.180799
179.815063,1.174297
178.816269,1.167692
177.784180,1.160690
176.785431,1.154037
175.786636,1.147567
174.754608,1.140963
173.755783,1.134436
172.757034,1.127722
171.724945,1.120944
170.726196,1.114263
169.727371,1.107558
168.695328,1.100832
167.696548,1.094351
166.697769,1.087704
165.665665,1.080797
164.666916,1.074148
163.668106,1.067620
162.636078,1.060739
161.637283,1.054088
160.638535,1.047651
159.606430,1.040811
158.607651,1.034363
157.608841,1.027557
156.576813,1.020917
155.578003,1.014265
154.545944,1.007414
153.547165,1.001091
152.548386,0.994580
151.516296,0.987788
150.517532,0.981048
149.518738,0.974260
148.486664,0.967669
147.487885,0.961019
146.489105,0.954624
145.457016,0.947555
144.458267,0.940954
143.459503,0.934596
142.427399,0.927535
141.428650,0.921082
140.429840,0.914501
139.397781,0.908055
138.399002,0.901187
137.400223,0.894676
136.368118,0.887723
135.369385,0.881321
134.370560,0.874405
133.338501,0.868103
132.339691,0.861271
131.340958,0.854474
130.308853,0.847781
129.310074,0.841386
128.311264,0.834588
127.279228,0.827882
126.280426,0.821263
125.281647,0.814620
124.249550,0.807833
123.250801,0.801476
122.251991,0.794781
121.219940,0.788144
120.221115,0.781350
119.222366,0.774859
118.190239,0.768020
117.191505,0.761481
116.192688,0.754853
115.160629,0.747904
114.161819,0.741604
113.163063,0.734786
112.130974,0.728050
111.132202,0.721461
110.133385,0.714889
109.101326,0.708067
108.102509,0.701417
107.103767,0.695085
106.071671,0.688275
105.072891,0.681600
104.074081,0.675004
103.042015,0.668110
102.043213,0.661721
101.011185,0.654839
100.012398,0.648327
99.013596,0.641629
97.981529,0.634859
96.982719,0.628453
95.983971,0.621720
94.951881,0.614833
93.953102,0.608425
92.954285,0.601758
91.922226,0.594919
90.923409,0.588592
89.924667,0.581953
88.892548,0.574964
87.893791,0.568520
86.894981,0.561828
85.862923,0.554911
84.864113,0.548371
83.865334,0.541895
82.833237,0.535067
81.834457,0.528451
80.835648,0.521862
79.803581,0.514999
78.804771,0.508518
77.806030,0.501979
76.773903,0.494983
75.775154,0.488399
74.776337,0.482202
73.744286,0.475181
72.745476,0.468559
71.746696,0.461944
70.714600,0.455116
69.715820,0.448550
68.717003,0.442088
67.684944,0.435420
66.686142,0.428572
65.687355,0.422060
64.655266,0.415369
63.656487,0.408839
62.657673,0.402391
61.625610,0.395273
60.626797,0.388630
59.628021,0.382086
58.595932,0.375319
57.597145,0.368904
56.598400,0.362387
55.566277,0.355484
54.567528,0.348848
53.568687,0.342197
52.536625,0.335630
51.537811,0.328896
50.505753,0.322069
49.506939,0.315501
48.508160,0.308993
47.476070,0.302167
46.477287,0.295590
45.478477,0.289032
44.446415,0.282302
43.447601,0.275763
42.448826,0.269201
41.416702,0.262189
40.417953,0.255799
39.419140,0.249342
38.387077,0.242535
37.388233,0.235838
36.389488,0.229172
35.357365,0.222324
34.358585,0.215757
33.359772,0.209261
32.327709,0.202441
31.328901,0.195852
30.330120,0.189528
29.297997,0.182560
28.299248,0.176065
27.300406,0.169430
26.268345,0.162666
25.269531,0.155976
24.270754,0.149461
23.238661,0.142830
22.239880,0.136206
21.241070,0.129477
20.209009,0.122884
19.210163,0.116126
18.211416,0.109482
17.179293,0.102907
16.180511,0.096356
15.181702,0.089632
14.149640,0.082758
13.150796,0.076149
12.152049,0.069719
11.119988,0.062871
10.121144,0.056322
9.122396,0.050359
8.090272,0.044601
7.091493,0.039110
6.092681,0.033699
5.060620,0.028021
4.061809,0.022512
3.062997,0.016984
2.030904,0.011264
1.032093,0.005762
0.000000,0.001368
-0.998747,0.005435
-1.997624,0.010823
-3.029652,0.016572
-4.028464,0.022146
-5.027276,0.027540
-6.059368,0.033289
-7.058115,0.038749
-8.056992,0.044257
-9.089020,0.049915
-10.087896,0.056196
-11.086643,0.062662
-12.118735,0.069482
-13.117547,0.076062
-14.116360,0.082593
-15.148452,0.089366
-16.147263,0.096010
-17.146011,0.102604
-18.178169,0.109382
-19.176916,0.116052
-20.175728,0.122462
-21.207819,0.129238
-22.206633,0.135858
-23.205444,0.142526
-24.237535,0.149223
-25.236284,0.155731
-26.235159,0.162475
-27.267187,0.169081
-28.266064,0.175737
-29.264811,0.182188
-30.296968,0.189282
-31.295717,0.195796
-32.294464,0.202297
-33.326618,0.209124
-34.325367,0.215506
-35.324245,0.222281
-36.356274,0.229036
-37.355083,0.235645
-38.353897,0.242061
-39.385986,0.249001
-40.384800,0.255493
-41.383614,0.262112
-42.415703,0.268890
-43.414516,0.275364
-44.413265,0.282019
-45.445419,0.288870
-46.444168,0.295481
-47.443043,0.301950
-48.475071,0.308684
-49.473949,0.315341
-50.472694,0.322070
-51.504852,0.328809
-52.503601,0.335197
-53.535759,0.342074
-54.534504,0.348626
-55.533318,0.355315
-56.565411,0.362152
-57.564224,0.368694
-58.563034,0.375199
-59.595127,0.381879
-60.593937,0.388564
-61.592751,0.395147
-62.624840,0.402078
-63.623653,0.408526
-64.622467,0.415267
-65.654556,0.421970
-66.653366,0.428281
-67.652184,0.435226
-68.684273,0.441891
-69.683090,0.448350
-70.681831,0.454940
-71.713989,0.461721
-72.712738,0.468472
-73.711617,0.475009
-74.743645,0.481535
-75.742516,0.488419
-76.741264,0.494958
-77.773361,0.501640
-78.772171,0.508479
-79.770981,0.514740
-80.803070,0.521609
-81.801888,0.528205
-82.800697,0.534849
-83.832787,0.541645
-84.831604,0.548165
-85.830414,0.554763
-86.862572,0.561429
-87.861313,0.568003
-88.860130,0.574697
-89.892227,0.581719
-90.891098,0.588040
-91.889847,0.594671
-92.921997,0.601421
-93.920753,0.608300
-94.919624,0.614719
-95.951653,0.621409
-96.950531,0.628165
-97.949280,0.634522
-98.981438,0.641332
-99.980179,0.647919
-100.979065,0.654524
-102.011093,0.661182
-103.009964,0.667858
