2,Porsche 919 2016,baseline
Steering Wheel Angle,Yaw Rate
325.269073,1.958854
324.270355,1.959747
323.238281,1.966953
322.239502,1.968081
321.240784,1.961098
320.208710,1.949687
319.209961,1.942602
318.211212,1.936343
317.179138,1.930198
316.180359,1.924510
315.181641,1.918881
314.149536,1.912981
313.150787,1.907157
312.152069,1.900922
311.119995,1.894362
310.121185,1.888011
309.089172,1.881402
308.090393,1.874295
307.091644,1.867904
306.059570,1.861404
305.060852,1.855520
304.062042,1.849028
303.029999,1.842624
302.031219,1.838209
301.032471,1.832927
300.000427,1.825365
299.001678,1.819079
298.002899,1.812686
296.970825,1.805856
295.972076,1.798893
294.973328,1.792010
293.941254,1.784912
292.942474,1.778611
291.943726,1.772265
290.911652,1.765892
289.912903,1.760180
288.914154,1.754175
287.882080,1.747789
286.883301,1.741461
285.884552,1.734943
284.852478,1.730506
283.853729,1.724903
282.854980,1.718004
281.822876,1.711415
280.824127,1.705009
279.825317,1.700056
278.793304,1.693400
277.794556,1.687829
276.795776,1.679013
275.763702,1.672982
274.764984,1.666613
273.766174,1.660081
272.734131,1.653042
271.735382,1.646115
270.736603,1.639351
269.704529,1.632711
268.705780,1.626549
267.707001,1.620550
266.674927,1.614710
265.676178,1.608966
264.677399,1.602857
263.645355,1.596442
262.646576,1.590116
261.647827,1.583478
260.615753,1.577000
259.617004,1.571005
258.584900,1.564335
257.586182,1.558354
256.587372,1.551913
255.555344,1.545541
254.556549,1.539351
253.557785,1.533048
252.525742,1.526890
251.526947,1.520494
250.528183,1.514231
249.496140,1.508052
248.497330,1.501524
247.498581,1.498167
246.466522,1.491202
245.467773,1.485530
244.468964,1.478858
243.436951,1.471839
242.438156,1.465616
241.439392,1.458937
240.407318,1.451891
239.408585,1.445220
238.409760,1.438492
237.377716,1.432040
236.378922,1.425885
235.380157,1.419687
234.348114,1.413724
233.349335,1.407874
232.350586,1.401767
231.318527,1.395155
230.319733,1.388800
229.320969,1.382661
228.288895,1.376379
227.290115,1.370031
226.291382,1.363827
225.259277,1.357643
224.260529,1.353293
223.261749,1.346753
222.229706,1.341120
221.230927,1.335204
220.232147,1.328052
219.200073,1.321706
218.201324,1.315187
217.202515,1.308504
216.170486,1.301538
215.171677,1.294910
214.172928,1.289861
213.140839,1.283871
212.142090,1.278391
211.143280,1.270936
210.111252,1.265340
209.112442,1.258905
208.113693,1.252661
207.081604,1.246191
206.082840,1.239474
205.050766,1.232624
204.052017,1.226063
203.053238,1.220036
202.021164,1.213610
201.022385,1.207520
200.023605,1.201825
198.991516,1.195484
197.992783,1.189003
196.994003,1.183066
195.961929,1.176682
194.963150,1.170338
193.964371,1.164132
192.932281,1.157931
191.933533,1.151804
190.934753,1.145496
189.902695,1.139271
188.903946,1.133199
187.905136,1.127017
186.873108,1.120590
185.874298,1.114612
184.875549,1.108245
183.843445,1.101938
182.844696,1.095850
181.845901,1.089617
180.813843,1.083466
179.815063,1.077406
178.816269,1.071025
177.784180,1.064708
176.785431,1.058531
175.786636,1.052411
174.754608,1.046116
173.755783,1.040115
172.757034,1.033776
171.724945,1.027545
170.726196,1.021367
169.727371,1.016548
168.695328,1.010690
167.696548,1.004748
166.697769,0.998599
165.665665,0.991527
164.666916,0.985181
163.668106,0.978531
162.636078,0.971701
161.637283,0.965196
160.638535,0.958879
159.606430,0.952636
158.607651,0.946579
157.608841,0.940531
156.576813,0.934688
155.578003,0.928658
154.545944,0.922371
153.547165,0.916058
152.548386,0.909833
151.516296,0.903599
150.517532,0.897429
149.518738,0.891380
148.486664,0.885141
147.487885,0.879001
146.489105,0.872932
145.457016,0.866443
144.458267,0.860427
143.459503,0.854285
142.427399,0.847976
141.428650,0.841809
140.429840,0.835766
139.397781,0.829519
138.399002,0.823282
137.400223,0.817225
136.368118,0.810869
135.369385,0.804802
134.370560,0.798790
133.338501,0.792488
132.339691,0.787665
131.340958,0.781709
130.308853,0.775559
129.310074,0.769382
128.311264,0.762514
127.279228,0.756216
126.280426,0.749751
125.281647,0.743145
124.249550,0.736442
123.250801,0.730310
122.251991,0.724338
121.219940,0.717982
120.221115,0.712031
119.222366,0.707037
118.190239,0.701192
117.191505,0.695207
116.192688,0.689299
115.160629,0.682821
114.161819,0.676697
113.163063,0.670579
112.130974,0.664155
111.132202,0.657103
110.133385,0.650662
109.101326,0.644171
108.102509,0.638050
107.103767,0.632040
106.071671,0.625885
105.072891,0.620009
104.074081,0.613808
103.042015,0.607538
102.043213,0.601382
101.011185,0.594999
100.012398,0.589138
99.013596,0.582856
97.981529,0.576623
96.982719,0.570673
95.983971,0.564412
94.951881,0.558116
